State,City,Name,Language,Time(IST),Type,Price,Capacity,Booked
WestBengal,Waterland,MirajTestCinema,Hindi,12:35,Special,166₹,38,0
WestBengal,Waterland,MirajTestCinema,Hindi,12:35,Executive,311₹,232,6
WestBengal,Waterland,MirajTestCinema,Hindi,12:35,Gold,311₹,20,10
WestBengal,Waterland,MirajTestCinema,Hindi,17:20,Special,166₹,38,2
WestBengal,Waterland,MirajTestCinema,Hindi,17:20,Executive,311₹,232,1
WestBengal,Waterland,MirajTestCinema,Hindi,17:20,Gold,311₹,20,0
WestBengal,Waterland,MirajTestCinema,Tamil,20:10,3DSpecial,120₹,38,0
WestBengal,Waterland,MirajTestCinema,Tamil,20:10,3DExecutive,222₹,276,2
WestBengal,Waterland,MirajTestCinema,Tamil,20:10,3DGold,340₹,20,2
WestBengal,Waterland,MirajTestCinema,Hindi,21:15,Special,166₹,38,0
WestBengal,Waterland,MirajTestCinema,Hindi,21:15,Executive,311₹,232,1
WestBengal,Waterland,MirajTestCinema,Hindi,21:15,Gold,311₹,20,0
