State,City,Name,Language,Time(IST),Type,Price,Capacity,Booked
Haryana,Sirsa,OhmCineGardenHissarRoad,Punjabi,09:30,GoldExecutive,250₹,99,30
Haryana,Sirsa,OhmCineGardenHissarRoad,Punjabi,09:30,Gold,200₹,114,27
Haryana,Sirsa,OhmCineGardenHissarRoad,Punjabi,09:30,Silver,110₹,76,38
Punjab,Ludhiana,CinepolisMbdNeopolisMallLudhiana,Punjabi,09:40,Normal,140₹,75,0
Punjab,Ludhiana,CinepolisMbdNeopolisMallLudhiana,Punjabi,09:40,Executive,160₹,125,0
Punjab,Ludhiana,CinepolisMbdNeopolisMallLudhiana,Punjabi,09:40,Premium,180₹,155,0
Punjab,Ludhiana,CinepolisMbdNeopolisMallLudhiana,Punjabi,09:40,Vip,350₹,35,2
Punjab,Amritsar,CinepolisNexusAmritsar,Punjabi,09:40,Executive,190₹,151,0
Punjab,Amritsar,CinepolisNexusAmritsar,Punjabi,09:40,Normal,180₹,153,0
Punjab,Amritsar,CinepolisNexusAmritsar,Punjabi,09:40,Vip,350₹,18,0
Haryana,Ambala,FunCinemaGalaxyMallAmbala,Punjabi,09:45,Normal,170₹,56,0
Haryana,Ambala,FunCinemaGalaxyMallAmbala,Punjabi,09:45,Executive,180₹,145,2
Punjab,TalwandiBhai,FunCineplex,Punjabi,09:45,Royal,80₹,175,137
Punjab,Jalandhar,PvrCuroJalandhar,Punjabi,09:50,Classic,150₹,64,0
Punjab,Jalandhar,PvrCuroJalandhar,Punjabi,09:50,Prime,250₹,168,2
Punjab,Jalandhar,PvrCuroJalandhar,Punjabi,09:50,ClassicPlus,180₹,88,2
Punjab,Ludhiana,PvrSilverArcMallGurdevNagar,Punjabi,09:50,Prime,200₹,15,6
Punjab,Ludhiana,PvrSilverArcMallGurdevNagar,Punjabi,09:50,Classic,150₹,328,2
Punjab,Rupnagar,RitzMultiplexRupnagar,Punjabi,09:50,GoldClass,130₹,17,0
Punjab,Rupnagar,RitzMultiplexRupnagar,Punjabi,09:50,Silver1Class,90₹,95,38
Punjab,Rupnagar,RitzMultiplexRupnagar,Punjabi,09:50,NormalC,90₹,34,0
Punjab,Khanna,PvrTheCelebrationMallKhanna,Punjabi,10:00,Classic,160₹,126,0
Punjab,Khanna,PvrTheCelebrationMallKhanna,Punjabi,10:00,Prime,170₹,138,2
Punjab,Khanna,PvrTheCelebrationMallKhanna,Punjabi,10:00,Recliner,300₹,16,0
Punjab,Hoshiarpur,KbpShirazCinemaHoshiarpur,Punjabi,10:00,Diamond,150₹,33,0
Punjab,Hoshiarpur,KbpShirazCinemaHoshiarpur,Punjabi,10:00,Gold,150₹,44,0
Punjab,Hoshiarpur,KbpShirazCinemaHoshiarpur,Punjabi,10:00,Silver,150₹,22,0
Punjab,Amritsar,InoxVrAmbarsarCircularRoad,Punjabi,10:00,Normal,170₹,310,2
Punjab,Amritsar,MovietimeOmaxeNoveltyMallLawrenceRoad,Punjabi,10:00,Platinum,112₹,132,0
Punjab,Amritsar,MovietimeOmaxeNoveltyMallLawrenceRoad,Punjabi,10:00,Gold,112₹,126,0
Punjab,Amritsar,CinepolisCelebrationMallAmritsar,Punjabi,10:00,Premium,130₹,68,4
Punjab,Amritsar,CinepolisCelebrationMallAmritsar,Punjabi,10:00,Executive,130₹,194,0
Punjab,Amritsar,CinepolisCelebrationMallAmritsar,Punjabi,10:00,Normal,130₹,51,0
Punjab,Jalandhar,PvrMbdNeopolisMallJalandhar,Punjabi,10:00,Recliner,480₹,10,0
Punjab,Jalandhar,PvrMbdNeopolisMallJalandhar,Punjabi,10:00,Prime,320₹,13,0
Punjab,Jalandhar,PvrMbdNeopolisMallJalandhar,Punjabi,10:00,Classic,190₹,105,8
Punjab,Jalandhar,PvrMbdNeopolisMallJalandhar,Punjabi,10:00,ClassicPlus,230₹,193,2
Punjab,Mohali,PvrLuxeVrPunjabMohali,Punjabi,10:00,Gold,650₹,26,0
Haryana,Chandigarh,PvrCentraChandigarh,Punjabi,10:00,Prime,150₹,138,26
Haryana,Chandigarh,PvrCentraChandigarh,Punjabi,10:00,Classic,138₹,84,0
Punjab,Nakodar,KcAnandMiniplexNakodar,Punjabi,10:00,Gold,170₹,90,0
Punjab,Nakodar,KcAnandMiniplexNakodar,Punjabi,10:00,Silver,170₹,60,0
Punjab,Doraha,NovaCinemazDoraha,Punjabi,10:00,Platinum,250₹,19,0
Punjab,Doraha,NovaCinemazDoraha,Punjabi,10:00,Gold,200₹,82,0
Punjab,Doraha,NovaCinemazDoraha,Punjabi,10:00,Silver,170₹,24,0
Uttarakhand,Rudrapur,WaveRudrapur,Punjabi,10:00,Classic,130₹,141,0
JammuAndKashmir,Jammu,MovieTimeJammu,Punjabi,10:00,Silver,112₹,100,9
JammuAndKashmir,Jammu,MovieTimeJammu,Punjabi,10:00,Classic,112₹,75,0
Punjab,Bathinda,FunCinemaMittalCityMallVishalNagar,Punjabi,10:05,Premium,200₹,174,10
Punjab,Bathinda,FunCinemaMittalCityMallVishalNagar,Punjabi,10:05,Executive,200₹,120,0
Punjab,Bathinda,FunCinemaMittalCityMallVishalNagar,Punjabi,10:05,Normal,200₹,80,0
Punjab,Mohali,PvrVrPunjabMallMohali,Punjabi,10:05,Classic,200₹,136,0
Punjab,Mohali,PvrVrPunjabMallMohali,Punjabi,10:05,Prime,220₹,86,0
HimachalPradesh,UnaHimachalPradesh,RajhansCinemasMrcMagnumMallIsbtUna,Punjabi,10:10,Marvel,110₹,32,0
HimachalPradesh,UnaHimachalPradesh,RajhansCinemasMrcMagnumMallIsbtUna,Punjabi,10:10,Royal,110₹,48,0
HimachalPradesh,UnaHimachalPradesh,RajhansCinemasMrcMagnumMallIsbtUna,Punjabi,10:10,Executive,130₹,144,0
Punjab,Ludhiana,PvrFlamezMallGurudevNagar,Punjabi,10:10,Prime,150₹,25,0
Punjab,Ludhiana,PvrFlamezMallGurudevNagar,Punjabi,10:10,Classic,130₹,115,0
Punjab,Patiala,PvrVrcPatiala,Punjabi,10:15,Classic,180₹,32,0
Punjab,Patiala,PvrVrcPatiala,Punjabi,10:15,Prime,190₹,153,0
Punjab,Patiala,PvrVrcPatiala,Punjabi,10:15,Recliner,380₹,10,2
Punjab,Jalandhar,PvrFriendsJalandhar,Punjabi,10:15,Classic,150₹,70,4
Punjab,Jalandhar,PvrFriendsJalandhar,Punjabi,10:15,Prime,180₹,80,22
Punjab,Jalandhar,PvrFriendsJalandhar,Punjabi,10:15,Recliner,380₹,10,0
Haryana,Panipat,FunCinemaMittalMegaMallHuda,Punjabi,10:15,Normal,140₹,60,0
Haryana,Panipat,FunCinemaMittalMegaMallHuda,Punjabi,10:15,Executive,160₹,140,0
Haryana,Chandigarh,FunCinemasRepublicMallChandigarh,Punjabi,10:20,Normal,100₹,66,0
Haryana,Chandigarh,FunCinemasRepublicMallChandigarh,Punjabi,10:20,Executive,110₹,156,0
Punjab,Mohali,CinepolisBestechSquareMallMohali,Punjabi,10:30,Normal,140₹,42,2
Punjab,Mohali,CinepolisBestechSquareMallMohali,Punjabi,10:30,Executive,160₹,201,0
Punjab,Mohali,CinepolisBestechSquareMallMohali,Punjabi,10:30,Premium,180₹,57,3
Punjab,Mohali,CinepolisBestechSquareMallMohali,Punjabi,10:30,Vip,300₹,10,2
Haryana,Karnal,MovieTimeSuperMallKarnal,Punjabi,10:30,Gold,150₹,126,2
Haryana,Karnal,MovieTimeSuperMallKarnal,Punjabi,10:30,Silver,150₹,56,0
Haryana,Karnal,MovieTimeSuperMallKarnal,Punjabi,10:30,Normal,112₹,31,0
Punjab,Patiala,MovieMaxOmaxeMallPatialaSrsEarlier,Punjabi,10:30,Gold,160₹,64,0
Punjab,Patiala,MovieMaxOmaxeMallPatialaSrsEarlier,Punjabi,10:30,Platinum,170₹,91,0
Punjab,Patiala,MovieMaxOmaxeMallPatialaSrsEarlier,Punjabi,10:30,Premium,180₹,88,2
Punjab,Patiala,MovieMaxOmaxeMallPatialaSrsEarlier,Punjabi,10:30,Recliner,350₹,23,0
Punjab,Ludhiana,PvrPavilionMallLudhiana,Punjabi,10:30,Prime,270₹,10,2
Punjab,Ludhiana,PvrPavilionMallLudhiana,Punjabi,10:30,Classic,150₹,231,13
Haryana,Hisar,MgCinemasGeetaColony,Punjabi,10:30,Premium,100₹,119,4
Haryana,Chandigarh,PvrElanteMallChandigarh,Punjabi,10:35,Classic,180₹,227,9
Haryana,Chandigarh,PvrElanteMallChandigarh,Punjabi,10:35,Recliner,450₹,15,4
Punjab,Ludhiana,CinepolisMbdNeopolisMallLudhiana,Punjabi,10:35,Premium,200₹,85,2
Punjab,Amritsar,CinepolisNexusAmritsar,Punjabi,10:40,Vip,350₹,10,3
Punjab,Amritsar,CinepolisNexusAmritsar,Punjabi,10:40,Executive,190₹,42,2
Punjab,Amritsar,CinepolisNexusAmritsar,Punjabi,10:40,Normal,180₹,39,0
Haryana,Gurgaon,PvrDirectorsCutGurugramAmbienceMall,Punjabi,11:00,Platinum,600₹,45,0
Haryana,Gurgaon,PvrDirectorsCutGurugramAmbienceMall,Punjabi,11:00,PlatinumSuperior,600₹,8,0
Punjab,Ludhiana,WaveOneMoviesLudhiana,Punjabi,11:00,Classic,120₹,132,0
Punjab,Ludhiana,WaveOneMoviesLudhiana,Punjabi,11:00,Premium,130₹,134,4
Punjab,Ludhiana,WaveOneMoviesLudhiana,Punjabi,11:00,PlatinumPkg,"1,000₹",8,0
Punjab,Amritsar,InoxVrAmbarsarCircularRoad,Punjabi,11:30,SkyBox,380₹,34,2
Punjab,Hoshiarpur,SwarnTheatreHoshiarpur,Punjabi,11:35,Box2,150₹,9,9
Punjab,Hoshiarpur,SwarnTheatreHoshiarpur,Punjabi,11:35,GoldC,150₹,129,45
Punjab,Hoshiarpur,SwarnTheatreHoshiarpur,Punjabi,11:35,SilverC,150₹,60,0
Rajasthan,SriGanganagar,PvrRidhiSidhiMall,Punjabi,11:45,Classic,110₹,39,2
Rajasthan,SriGanganagar,PvrRidhiSidhiMall,Punjabi,11:45,Prime,130₹,108,36
Punjab,Barnala,VrcCinemaVrcMall,Punjabi,12:00,Platinum,250₹,14,0
Punjab,Barnala,VrcCinemaVrcMall,Punjabi,12:00,Gold,150₹,123,0
Punjab,Barnala,VrcCinemaVrcMall,Punjabi,12:00,Silver,150₹,70,0
Punjab,Ludhiana,PvrFlamezMallGurudevNagar,Punjabi,12:00,Prime,160₹,43,0
Punjab,Ludhiana,PvrFlamezMallGurudevNagar,Punjabi,12:00,Classic,140₹,366,0
Punjab,Rupnagar,RitzMultiplexRupnagar,Punjabi,12:00,GoldClass,130₹,17,0
Punjab,Rupnagar,RitzMultiplexRupnagar,Punjabi,12:00,Silver1Class,90₹,95,38
Punjab,Rupnagar,RitzMultiplexRupnagar,Punjabi,12:00,NormalC,90₹,34,0
Punjab,Abohar,MirajCinemasKundanPalaceAbohar,Punjabi,12:10,Gold,240₹,29,0
Punjab,Abohar,MirajCinemasKundanPalaceAbohar,Punjabi,12:10,Executive,150₹,150,0
Punjab,Abohar,MirajCinemasKundanPalaceAbohar,Punjabi,12:10,Special,150₹,142,0
Haryana,Kaithal,CineSquareCinemasPadmaCityMall,Punjabi,12:15,Royal,190₹,84,35
Haryana,Sirsa,OhmCineGardenHissarRoad,Punjabi,12:20,GoldExecutive,250₹,99,30
Haryana,Sirsa,OhmCineGardenHissarRoad,Punjabi,12:20,Gold,200₹,114,27
Haryana,Sirsa,OhmCineGardenHissarRoad,Punjabi,12:20,Silver,110₹,76,40
Punjab,Pathankot,PvrNoveltyMallPathankot,Punjabi,12:25,Classic,140₹,70,0
Punjab,Pathankot,PvrNoveltyMallPathankot,Punjabi,12:25,Prime,160₹,90,0
Punjab,Pathankot,PvrNoveltyMallPathankot,Punjabi,12:25,PrimePlus,180₹,82,0
Punjab,Mohali,PvrVrPunjabMallMohali,Punjabi,12:25,Classic,290₹,168,0
Punjab,Mohali,PvrVrPunjabMallMohali,Punjabi,12:25,Prime,320₹,106,2
Delhi,NewDelhi,WaveRajaGarden,Punjabi,12:25,Classic,230₹,183,8
Haryana,Fatehabad,RkPalaceModelTown,Punjabi,12:30,Gold,200₹,86,18
Haryana,Fatehabad,RkPalaceModelTown,Punjabi,12:30,Silver,150₹,64,16
Punjab,TalwandiBhai,FunCineplex,Punjabi,12:30,Royal,100₹,175,137
Punjab,Jagraon,LalPalaceCineplexJagraon,Punjabi,12:35,BoxR1,200₹,12,0
Punjab,Jagraon,LalPalaceCineplexJagraon,Punjabi,12:35,BoxR2,200₹,12,0
Punjab,Jagraon,LalPalaceCineplexJagraon,Punjabi,12:35,Gold,110₹,104,0
Punjab,Jagraon,LalPalaceCineplexJagraon,Punjabi,12:35,Silver,110₹,76,0
Punjab,Nakodar,KcAnandMiniplexNakodar,Punjabi,12:45,Gold,230₹,90,0
Punjab,Nakodar,KcAnandMiniplexNakodar,Punjabi,12:45,Silver,200₹,60,0
Punjab,Amritsar,CinepolisNexusAmritsar,Punjabi,12:45,Executive,230₹,151,38
Punjab,Amritsar,CinepolisNexusAmritsar,Punjabi,12:45,Normal,220₹,153,2
Punjab,Amritsar,CinepolisNexusAmritsar,Punjabi,12:45,Vip,450₹,18,6
Punjab,Doraha,NovaCinemazDoraha,Punjabi,12:45,Platinum,250₹,19,0
Punjab,Doraha,NovaCinemazDoraha,Punjabi,12:45,Gold,200₹,82,0
Punjab,Doraha,NovaCinemazDoraha,Punjabi,12:45,Silver,170₹,24,0
Punjab,Ludhiana,CinepolisMbdNeopolisMallLudhiana,Punjabi,12:50,Normal,170₹,75,0
Punjab,Ludhiana,CinepolisMbdNeopolisMallLudhiana,Punjabi,12:50,Executive,180₹,125,0
Punjab,Ludhiana,CinepolisMbdNeopolisMallLudhiana,Punjabi,12:50,Premium,200₹,155,0
Punjab,Ludhiana,CinepolisMbdNeopolisMallLudhiana,Punjabi,12:50,Vip,400₹,35,0
Haryana,Ambala,FunCinemaGalaxyMallAmbala,Punjabi,12:55,Normal,190₹,56,0
Haryana,Ambala,FunCinemaGalaxyMallAmbala,Punjabi,12:55,Executive,200₹,145,9
HimachalPradesh,UnaHimachalPradesh,RajhansCinemasMrcMagnumMallIsbtUna,Punjabi,13:00,Marvel,110₹,32,0
HimachalPradesh,UnaHimachalPradesh,RajhansCinemasMrcMagnumMallIsbtUna,Punjabi,13:00,Royal,130₹,48,0
HimachalPradesh,UnaHimachalPradesh,RajhansCinemasMrcMagnumMallIsbtUna,Punjabi,13:00,Executive,150₹,144,0
Punjab,Jalandhar,PvrCuroJalandhar,Punjabi,13:00,Classic,170₹,64,0
Punjab,Jalandhar,PvrCuroJalandhar,Punjabi,13:00,Prime,280₹,168,8
Punjab,Jalandhar,PvrCuroJalandhar,Punjabi,13:00,ClassicPlus,200₹,88,4
Punjab,Ludhiana,PvrSilverArcMallGurdevNagar,Punjabi,13:00,Prime,240₹,22,4
Punjab,Ludhiana,PvrSilverArcMallGurdevNagar,Punjabi,13:00,Classic,200₹,350,6
Punjab,Bathinda,FunCinemaMittalCityMallVishalNagar,Punjabi,13:05,Premium,250₹,174,0
Punjab,Bathinda,FunCinemaMittalCityMallVishalNagar,Punjabi,13:05,Executive,240₹,120,0
Punjab,Bathinda,FunCinemaMittalCityMallVishalNagar,Punjabi,13:05,Normal,230₹,80,0
Punjab,Khanna,PvrTheCelebrationMallKhanna,Punjabi,13:10,Classic,190₹,126,0
Punjab,Khanna,PvrTheCelebrationMallKhanna,Punjabi,13:10,Prime,200₹,138,0
Punjab,Khanna,PvrTheCelebrationMallKhanna,Punjabi,13:10,Recliner,400₹,16,0
Punjab,Amritsar,InoxVrAmbarsarCircularRoad,Punjabi,13:10,Normal,190₹,310,2
Punjab,Zirakpur,PvrCosmoMallZirakpur,Punjabi,13:10,Classic,160₹,108,0
Punjab,Zirakpur,PvrCosmoMallZirakpur,Punjabi,13:10,Prime,180₹,150,22
Punjab,Zirakpur,PvrCosmoMallZirakpur,Punjabi,13:10,Recliner,350₹,13,0
Delhi,NewDelhi,PvrPacificSubhashNagarDelhi,Punjabi,13:10,Classic,370₹,40,0
Delhi,NewDelhi,PvrPacificSubhashNagarDelhi,Punjabi,13:10,Prime,400₹,100,0
Delhi,NewDelhi,PvrPacificSubhashNagarDelhi,Punjabi,13:10,PrimePlus,400₹,23,6
Delhi,NewDelhi,PvrPacificSubhashNagarDelhi,Punjabi,13:10,Recliner,600₹,16,2
