State,City,Name,Language,Time(IST),Type,Price,Capacity,Booked
Haryana,Chandigarh,PvrElanteMallChandigarh,English,09:55,Classic,180₹,138,1
Haryana,Chandigarh,PvrElanteMallChandigarh,English,09:55,Recliner,450₹,13,5
Haryana,Gurgaon,PvrMgfMallGurgaon,English,10:40,Classic,210₹,59,0
Haryana,Gurgaon,PvrMgfMallGurgaon,English,10:40,Prime,260₹,52,0
Haryana,Gurgaon,PvrMgfMallGurgaon,English,10:40,Recliner,420₹,8,0
Gujarat,Ahmedabad,PvrAcropolisMallThaltej,English,11:40,PrimePlus,190₹,66,16
Gujarat,Ahmedabad,PvrAcropolisMallThaltej,English,11:40,Prime,140₹,65,1
Gujarat,Ahmedabad,PvrAcropolisMallThaltej,English,11:40,Classic,140₹,39,0
Gujarat,Ahmedabad,PvrAcropolisMallThaltej,English,11:40,Recliner,390₹,9,0
UttarPradesh,Noida,PvrSuperplexMallOfIndiaNoida,English,12:10,Classic,310₹,86,86
UttarPradesh,Noida,PvrSuperplexMallOfIndiaNoida,English,12:10,Prime,335₹,23,23
UttarPradesh,Noida,PvrSuperplexMallOfIndiaNoida,English,12:10,Recliner,"1,200₹",22,22
Delhi,NewDelhi,InoxNehruPlace,English,12:20,Club,350₹,75,0
Delhi,NewDelhi,InoxNehruPlace,English,12:20,Executive,330₹,70,0
Delhi,NewDelhi,InoxNehruPlace,English,12:20,Royal,370₹,33,0
Delhi,NewDelhi,PvrVegasDwarka,English,12:45,Classic,420₹,76,0
Karnataka,Bengaluru,CinepolisNexusShantiniketanThigalarapalya,English,12:55,Vip,450₹,10,2
Karnataka,Bengaluru,CinepolisNexusShantiniketanThigalarapalya,English,12:55,Premium,300₹,64,6
Karnataka,Bengaluru,CinepolisNexusShantiniketanThigalarapalya,English,12:55,Executive,280₹,24,0
Karnataka,Bengaluru,CinepolisNexusShantiniketanThigalarapalya,English,12:55,Normal,260₹,24,0
Karnataka,Bengaluru,PvrGoldVegaCityBannerghataMainRoad,English,13:35,Gold,800₹,24,0
Karnataka,Bengaluru,PvrGoldVegaCityBannerghataMainRoad,English,13:35,GoldPrime,850₹,12,7
Karnataka,Bengaluru,PvrPhoenixMarketcityMallWhitefieldRoad,English,13:35,Classic,270₹,66,6
