State,City,Name,Language,Time(IST),Type,Price,Capacity,Booked
Maharashtra,Mumbai,InoxLaserplexCr2NarimanPoint,English,09:45,ClubCl,140₹,128,0
Maharashtra,Mumbai,InoxLaserplexCr2NarimanPoint,English,09:45,RoyaleRy,160₹,100,0
Haryana,Chandigarh,PvrElanteMallChandigarh,English,10:00,Classic0000000004,130₹,138,0
Haryana,Chandigarh,PvrElanteMallChandigarh,English,10:00,Recliner0000000005,300₹,13,0
Haryana,Gurgaon,PvrMgfMallGurgaon,English,10:00,Classic0000000006,180₹,108,0
Haryana,Gurgaon,PvrMgfMallGurgaon,English,10:00,Prime0000000007,210₹,90,0
Haryana,Gurgaon,PvrMgfMallGurgaon,English,10:00,Recliner0000000008,370₹,6,0
Orissa,Bhubaneswar,CinepolisNexusEsplanadeBhubaneswar,English,10:05,Vip,400₹,9,0
Orissa,Bhubaneswar,CinepolisNexusEsplanadeBhubaneswar,English,10:05,Premium,160₹,44,4
Orissa,Bhubaneswar,CinepolisNexusEsplanadeBhubaneswar,English,10:05,Executive,150₹,52,0
Orissa,Bhubaneswar,CinepolisNexusEsplanadeBhubaneswar,English,10:05,Normal,140₹,23,0
Delhi,NewDelhi,PvrSelectCityWalkGoldDelhi,English,10:05,Platinum0000000006,600₹,24,0
Delhi,NewDelhi,PvrSelectCityWalkGoldDelhi,English,10:05,PlatinumSuperior0000000007,600₹,16,0
Delhi,NewDelhi,InoxVishalMallRajouriGarden,English,10:20,ClubCl,180₹,73,0
Delhi,NewDelhi,InoxVishalMallRajouriGarden,English,10:20,ExecutiveEx,160₹,33,0
Delhi,NewDelhi,InoxVishalMallRajouriGarden,English,10:20,RoyalRy,200₹,24,1
Maharashtra,Pune,CinepolisNexusWestend,English,10:20,Normal0000000000,160₹,21,0
Maharashtra,Pune,CinepolisNexusWestend,English,10:20,Executive0000000002,160₹,62,0
Maharashtra,Pune,CinepolisNexusWestend,English,10:20,Premium0000000001,160₹,35,0
Delhi,NewDelhi,PvrPromenadeVasantKunj,English,10:20,Classic0000000008,220₹,50,0
Delhi,NewDelhi,PvrPromenadeVasantKunj,English,10:20,Prime0000000009,270₹,30,0
UttarPradesh,Noida,PvrSuperplexMallOfIndiaNoida,English,10:30,Classic0000000006,180₹,86,0
UttarPradesh,Noida,PvrSuperplexMallOfIndiaNoida,English,10:30,Prime0000000007,200₹,23,0
UttarPradesh,Noida,PvrSuperplexMallOfIndiaNoida,English,10:30,Recliner0000000022,400₹,22,0
Haryana,Gurgaon,InoxGurgaonArdeeMall,English,10:50,PlatinumPl,500₹,12,0
Haryana,Gurgaon,InoxGurgaonArdeeMall,English,10:50,PlatinumSuperiorPs,600₹,12,0
Delhi,NewDelhi,PvrEcxChanakyapuri,English,11:00,Classic0000000004,200₹,31,0
Delhi,NewDelhi,PvrEcxChanakyapuri,English,11:00,Prime0000000003,230₹,105,0
Delhi,NewDelhi,PvrEcxChanakyapuri,English,11:00,PrimePlus0000000006,250₹,25,0
TamilNadu,Chennai,InoxPhoenixMarketCityVelacheryFormerlyJazzCinemas,English,11:40,BudgetBu,66₹,14,0
TamilNadu,Chennai,InoxPhoenixMarketCityVelacheryFormerlyJazzCinemas,English,11:40,EliteEl,211₹,119,4
Jharkhand,Jamshedpur,PjpCinepolisCityCentreMallMauja,English,11:50,Normal0000000000,160₹,22,0
Jharkhand,Jamshedpur,PjpCinepolisCityCentreMallMauja,English,11:50,Executive0000000002,180₹,33,0
Jharkhand,Jamshedpur,PjpCinepolisCityCentreMallMauja,English,11:50,Premium0000000001,200₹,59,2
Karnataka,Bengaluru,InoxGarudaMallMagrathRoad,English,12:05,ClubCl,200₹,74,0
Karnataka,Bengaluru,InoxGarudaMallMagrathRoad,English,12:05,ExecutiveEx,190₹,88,0
Karnataka,Bengaluru,InoxGarudaMallMagrathRoad,English,12:05,RoyaleReclinersRr,310₹,12,0
Rajasthan,Jaipur,CinepolisWorldTradeParkMalviyaNagar,English,12:20,Normal0000000000,180₹,39,0
