State,City,Name,Language,Time(IST),Type,Price,Capacity,Booked
Gujarat,Ahmedabad,NewfangledMiniplexMondealRetailParkAhmedabad,Hindi,08:00,VipClub,350₹,12,0
Gujarat,Ahmedabad,NewfangledMiniplexMondealRetailParkAhmedabad,Hindi,08:00,Premium,300₹,11,0
Gujarat,Ahmedabad,NewfangledMiniplexMoteraAhmedabad,Hindi,08:00,CoupleSeat,300₹,38,0
Karnataka,Bengaluru,PvrVega4DxBannerghattaRoad,English,08:10,Classic,470₹,100,3
Gujarat,Ahmedabad,BananaSmartplexSbrThaltej,Hindi,08:35,Premium,200₹,83,0
Gujarat,Anand,DiyaCinema100FeetRoad,Hindi,09:00,Recliner,300₹,10,0
Gujarat,Anand,DiyaCinema100FeetRoad,Hindi,09:00,Sofa,250₹,28,0
Gujarat,Anand,DiyaCinema100FeetRoad,Hindi,09:00,Platinum,180₹,77,0
Gujarat,Anand,DiyaCinema100FeetRoad,Hindi,09:00,Gold,180₹,39,0
Maharashtra,Thane,CinepolisVipVivianaMallThaneW,English,09:00,Vip,350₹,69,8
MadhyaPradesh,Bhopal,PvrAuraMallBhopal,Hindi,09:00,Classic,150₹,88,0
MadhyaPradesh,Bhopal,PvrAuraMallBhopal,Hindi,09:00,Prime,150₹,227,22
MadhyaPradesh,Bhopal,PvrAuraMallBhopal,Hindi,09:00,Recliner,270₹,13,0
Maharashtra,Mumbai,CinepolisNexusSeawoodsNaviMumbai,Hindi,09:00,Normal,500₹,60,17
Maharashtra,NaviMumbai,InoxRaghuleelaMallVashi,English,09:00,Gold,260₹,62,11
Gujarat,Anand,ShaanCinemaAvFortuneMall,Hindi,09:00,Recliner,350₹,13,0
Gujarat,Anand,ShaanCinemaAvFortuneMall,Hindi,09:00,Sofa,250₹,28,0
Gujarat,Anand,ShaanCinemaAvFortuneMall,Hindi,09:00,Platinum,140₹,66,0
Gujarat,Anand,ShaanCinemaAvFortuneMall,Hindi,09:00,Gold,140₹,45,0
Maharashtra,Mumbai,InoxMegaplexInorbitMall,Hindi,09:00,Club,290₹,16,2
Maharashtra,Mumbai,InoxMegaplexInorbitMall,Hindi,09:00,Royal,370₹,60,50
Karnataka,Bengaluru,Pvr4DxOrionMallDrRajkumarRoad,English,09:00,Classic,510₹,88,23
Maharashtra,Pune,PvrMarketCityGoldPune,English,09:00,GoldClassic,350₹,24,8
Maharashtra,Pune,PvrMarketCityGoldPune,English,09:00,GoldPrime,350₹,22,6
MadhyaPradesh,Satna,A4EntertainmentSatna,Hindi,09:00,Recliner,240₹,11,0
MadhyaPradesh,Satna,A4EntertainmentSatna,Hindi,09:00,Platinum,160₹,90,0
MadhyaPradesh,Satna,A4EntertainmentSatna,Hindi,09:00,Gold,160₹,42,0
MadhyaPradesh,Satna,A4EntertainmentSatna,Hindi,09:00,Recliner,240₹,11,11
MadhyaPradesh,Satna,A4EntertainmentSatna,Hindi,09:00,Platinum,160₹,90,90
MadhyaPradesh,Satna,A4EntertainmentSatna,Hindi,09:00,Gold,160₹,42,42
Gujarat,Ahmedabad,CinepolisNexusOneAhmedabad,Hindi,09:00,Normal,200₹,36,0
Gujarat,Ahmedabad,CinepolisNexusOneAhmedabad,Hindi,09:00,Executive,220₹,78,0
Gujarat,Ahmedabad,CinepolisNexusOneAhmedabad,Hindi,09:00,Premium,240₹,50,0
Goa,Goa,InoxPorvorimBardez,English,09:05,Club,180₹,116,0
Goa,Goa,InoxPorvorimBardez,English,09:05,Executive,180₹,36,0
Goa,Goa,InoxPorvorimBardez,English,09:05,RoyalRecliner,240₹,13,2
Goa,Goa,InoxPorvorimBardez,English,09:05,Royal,180₹,59,0
Gujarat,Ahmedabad,CinepolisNexusOneAhmedabad,English,09:10,Executive,200₹,168,0
Gujarat,Ahmedabad,CinepolisNexusOneAhmedabad,English,09:10,Premium,200₹,56,0
Gujarat,Ahmedabad,CinepolisNexusOneAhmedabad,English,09:10,Normal,200₹,39,0
Gujarat,Surat,CinepolisImperialSquareMallAdajan,Hindi,09:10,Normal,150₹,31,0
Gujarat,Surat,CinepolisImperialSquareMallAdajan,Hindi,09:10,Executive,150₹,207,0
Gujarat,Surat,CinepolisImperialSquareMallAdajan,Hindi,09:10,Premium,170₹,41,2
