State,City,Name,Language,Time(IST),Type,Price,Capacity,Booked
Maharashtra,Pune,InoxElproCitySquareChinchwad,Marathi,09:00,Club,140₹,78,22
Maharashtra,Pune,InoxElproCitySquareChinchwad,Marathi,09:00,Executive,140₹,26,0
Maharashtra,Pune,InoxElproCitySquareChinchwad,Marathi,09:00,Royale,160₹,45,16
Maharashtra,NaviMumbai,InoxRaghuleelaMallVashi,Marathi,09:10,Executive,130₹,32,0
Maharashtra,NaviMumbai,InoxRaghuleelaMallVashi,Marathi,09:10,Premier,150₹,101,0
Maharashtra,NaviMumbai,InoxRaghuleelaMallVashi,Marathi,09:10,Silver,150₹,37,0
Maharashtra,Pune,CinepolisSeasonsMallHadapsar,Marathi,09:10,Normal,140₹,17,0
Maharashtra,Pune,CinepolisSeasonsMallHadapsar,Marathi,09:10,Executive,140₹,49,0
Maharashtra,Pune,CinepolisSeasonsMallHadapsar,Marathi,09:10,Premium,140₹,22,19
Maharashtra,Nashik,MovieMaxNashik1,Marathi,09:15,Classic,80₹,57,0
Maharashtra,Nashik,MovieMaxNashik1,Marathi,09:15,Prime,100₹,261,0
Maharashtra,Nashik,MovieMaxNashik1,Marathi,09:15,PrimePlus,110₹,16,6
Maharashtra,Pune,RajhansCinemas93AvenueMallFatimaNagar,Marathi,10:00,Marvel,110₹,24,0
Maharashtra,Pune,RajhansCinemas93AvenueMallFatimaNagar,Marathi,10:00,Royal,110₹,48,0
Maharashtra,Pune,RajhansCinemas93AvenueMallFatimaNagar,Marathi,10:00,Executive,110₹,84,17
Maharashtra,Pune,RajhansCinemas93AvenueMallFatimaNagar,Marathi,10:00,Recliner,190₹,15,3
Maharashtra,Thane,MovieMaxEternityThaneMumbai,Marathi,10:00,Classic,100₹,42,0
Maharashtra,Thane,MovieMaxEternityThaneMumbai,Marathi,10:00,Prime,130₹,224,0
Maharashtra,Thane,MovieMaxEternityThaneMumbai,Marathi,10:00,Recliner,160₹,19,0
Maharashtra,Thane,MovieMaxWonderThaneMumbai,Marathi,10:00,Classic,100₹,76,0
Maharashtra,Thane,MovieMaxWonderThaneMumbai,Marathi,10:00,Prime,130₹,196,0
Maharashtra,Thane,MovieMaxWonderThaneMumbai,Marathi,10:00,PrimePlus,150₹,44,2
Maharashtra,Thane,CinepolisVivianaMallThaneW,Marathi,10:05,Normal,170₹,27,0
Maharashtra,Thane,CinepolisVivianaMallThaneW,Marathi,10:05,Executive,190₹,106,5
Maharashtra,Thane,CinepolisVivianaMallThaneW,Marathi,10:05,Premium,210₹,46,18
Maharashtra,Pune,InoxAmanoraTownCentreHadapsar,Marathi,10:10,Club,140₹,157,0
Maharashtra,Pune,InoxAmanoraTownCentreHadapsar,Marathi,10:10,Executive,140₹,42,0
Maharashtra,Pune,InoxAmanoraTownCentreHadapsar,Marathi,10:10,Royale,240₹,6,0
Maharashtra,Kolhapur,InoxRelianceMegaMallLaxmipuri,Marathi,10:15,Club,160₹,98,2
Maharashtra,Kolhapur,InoxRelianceMegaMallLaxmipuri,Marathi,10:15,Executive,160₹,24,0
Maharashtra,Kolhapur,InoxRelianceMegaMallLaxmipuri,Marathi,10:15,Royale,170₹,37,0
Maharashtra,Pune,CinepolisNexusWestend,Marathi,10:25,Executive,180₹,64,8
Maharashtra,Pune,CinepolisNexusWestend,Marathi,10:25,Premium,180₹,49,19
Maharashtra,Pune,CinepolisNexusWestend,Marathi,10:25,Normal,180₹,23,0
Maharashtra,NaviMumbai,CinepolisNexusSeawoodsNaviMumbai,Marathi,10:50,Normal,160₹,0,0
Maharashtra,NaviMumbai,CinepolisNexusSeawoodsNaviMumbai,Marathi,10:50,Executive,180₹,74,5
Maharashtra,NaviMumbai,CinepolisNexusSeawoodsNaviMumbai,Marathi,10:50,Premium,200₹,60,8
Maharashtra,NaviMumbai,CinepolisNexusSeawoodsNaviMumbai,Marathi,10:50,Vip,300₹,14,0
Maharashtra,Pune,InoxRoyalHeritageMallNibmExt,Marathi,11:00,Club,160₹,33,0
Maharashtra,Pune,InoxRoyalHeritageMallNibmExt,Marathi,11:00,Executive,160₹,22,0
Maharashtra,Pune,InoxRoyalHeritageMallNibmExt,Marathi,11:00,RoyaleRecliners,210₹,14,0
Maharashtra,Pune,InoxRoyalHeritageMallNibmExt,Marathi,11:00,Royale,160₹,40,6
Maharashtra,Thane,InoxKorumMallThaneW,Marathi,11:00,Club,140₹,150,16
Maharashtra,Thane,InoxKorumMallThaneW,Marathi,11:00,Executive,130₹,75,0
Maharashtra,Thane,InoxKorumMallThaneW,Marathi,11:00,Royal,260₹,24,2
Maharashtra,Nashik,InoxOldVijayMamtaNasik,Marathi,11:00,Silver,130₹,189,0
Maharashtra,Nashik,InoxOldVijayMamtaNasik,Marathi,11:00,Executive,100₹,46,0
Maharashtra,Nashik,InoxOldVijayMamtaNasik,Marathi,11:00,Platinum,130₹,88,5
Maharashtra,Mumbai,InoxNeelyogSquareMallGhatkoparE,Marathi,11:05,Executive,130₹,37,0
