City,Name,ZIP,Language,Time,Type,Price,Capacity,Booked
Kolkata,CinepolisLakeMallRashbehari,700026,Bengali,11:55,Normal,180₹,38,0
Kolkata,CinepolisLakeMallRashbehari,700026,Bengali,11:55,Executive,200₹,161,40
Kolkata,CinepolisLakeMallRashbehari,700026,Bengali,11:55,Premium,220₹,18,11
Kolkata,CinepolisLakeMallRashbehari,700026,Bengali,11:55,Vip,380₹,8,8
Kolkata,JayantiCinemaBarrackpore,700120,Bengali,12:00,GoldStall,200₹,18,18
Kolkata,JayantiCinemaBarrackpore,700120,Bengali,12:00,SuperStall,200₹,244,193
Kolkata,JayantiCinemaBarrackpore,700120,Bengali,12:00,Stall,200₹,50,50
Kolkata,PvrAvaniRiverSideMall,711102,Bengali,12:15,Prime,310₹,11,0
Kolkata,PvrAvaniRiverSideMall,711102,Bengali,12:15,Classic,220₹,200,4
Kolkata,InoxMetropolisMallHilandPark,700094,Bengali,13:35,Premier,200₹,55,2
Kolkata,InoxMetropolisMallHilandPark,700094,Bengali,13:35,Royal,400₹,20,0
Kolkata,InoxMetropolisMallHilandPark,700094,Bengali,13:35,Silver,220₹,191,39
Kolkata,InoxStarMallMadhyamgram,700129,Bengali,13:35,Club,180₹,95,18
Kolkata,InoxStarMallMadhyamgram,700129,Bengali,13:35,Executive,160₹,30,0
Kolkata,InoxStarMallMadhyamgram,700129,Bengali,13:35,Royal,200₹,63,14
Siliguri,InoxCityCentreMatigara,734010,Bengali,14:00,Club,250₹,176,42
Siliguri,InoxCityCentreMatigara,734010,Bengali,14:00,Executive,230₹,32,0
Siliguri,InoxCityCentreMatigara,734010,Bengali,14:00,Royale,320₹,10,4
Jalpaiguri,CinebazzUkilpara,735101,Bengali,14:00,Premium,80₹,55,0
Jalpaiguri,CinebazzUkilpara,735101,Bengali,14:00,Regular,80₹,10,0
Kolkata,PvrDiamondPlazaJassore,700055,Bengali,14:00,Classic,230₹,189,104
Kolkata,PvrDiamondPlazaJassore,700055,Bengali,14:00,Prime,280₹,11,11
Kolkata,PvrDiamondPlazaJassore,700055,Bengali,14:00,Recliner,460₹,12,10
Karimganj,GoldCinemaKarimganj,788710,Bengali,14:00,Platinum,200₹,9,8
Karimganj,GoldCinemaKarimganj,788710,Bengali,14:00,Gold,150₹,109,65
Karimganj,GoldCinemaKarimganj,788710,Bengali,14:00,Silver,120₹,40,10
Kolkata,CarnivalArtiSuncityMallBarasat,700106,Bengali,14:10,Diamond,150₹,118,16
