State,City,Name,Language,Time(IST),Type,Price,Capacity,Booked
Gujarat,Vadodara,InoxRelianceMegaMallVadodara,Hindi,07:25,Gold,170₹,104,0
Gujarat,Vadodara,InoxRelianceMegaMallVadodara,Hindi,07:25,Platinum,170₹,29,0
Gujarat,Vadodara,InoxRelianceMegaMallVadodara,Hindi,07:25,RoyalRecliners,320₹,8,0
Gujarat,Vadodara,InoxRelianceMegaMallVadodara,Hindi,07:25,Silver,150₹,20,0
Maharashtra,Pune,InoxJaiGaneshVisionMallAkurdi,Hindi,08:25,Premiere,130₹,90,0
Maharashtra,Pune,InoxJaiGaneshVisionMallAkurdi,Hindi,08:25,Silver,150₹,49,0
Gujarat,Ahmedabad,NyCinemasAhmedabad,Hindi,09:00,Recliner,250₹,15,0
Gujarat,Ahmedabad,NyCinemasAhmedabad,Hindi,09:00,Comforts,150₹,26,0
Gujarat,Ahmedabad,NyCinemasAhmedabad,Hindi,09:00,Prime,110₹,126,0
Gujarat,Ahmedabad,NyCinemasAhmedabad,Hindi,09:00,Classic,110₹,34,0
Delhi,NewDelhi,PvrDirectorsCutDelhiAmbienceMall,Hindi,09:00,Platinum,500₹,19,0
Delhi,NewDelhi,PvrDirectorsCutDelhiAmbienceMall,Hindi,09:00,PlatinumSuperior,500₹,6,0
Gujarat,Surat,InoxRajImperialVarachhaRoad,Hindi,09:00,Platinum,150₹,42,0
Gujarat,Surat,InoxRajImperialVarachhaRoad,Hindi,09:00,Silver,100₹,30,0
Gujarat,Surat,InoxRajImperialVarachhaRoad,Hindi,09:00,Gold,112₹,112,0
Gujarat,Surat,InoxRajImperialVarachhaRoad,Hindi,09:00,Imperial,270₹,0,0
WestBengal,Kolkata,CinepolisAcropolisMallRajdangaRoad,Hindi,09:00,Normal,180₹,42,0
WestBengal,Kolkata,CinepolisAcropolisMallRajdangaRoad,Hindi,09:00,Executive,180₹,135,0
WestBengal,Kolkata,CinepolisAcropolisMallRajdangaRoad,Hindi,09:00,Premium,180₹,42,0
UttarPradesh,Kanpur,InoxZSquareMallBadaChauraha,Hindi,09:00,Club,210₹,148,0
UttarPradesh,Kanpur,InoxZSquareMallBadaChauraha,Hindi,09:00,Executive,190₹,32,0
UttarPradesh,Kanpur,InoxZSquareMallBadaChauraha,Hindi,09:00,Royal,230₹,73,0
Gujarat,Vadodara,CinemarcAkota,Hindi,09:10,Premier,70₹,12,0
Gujarat,Vadodara,CinemarcAkota,Hindi,09:10,Silver,70₹,87,0
Gujarat,Vadodara,CinemarcAkota,Hindi,09:10,Sofa,80₹,26,0
Maharashtra,Pune,CinepolisVipSeasonsMallHadapsar,Hindi,09:10,VipExecutive,300₹,20,0
Maharashtra,Pune,CinepolisVipSeasonsMallHadapsar,Hindi,09:10,VipPremium,350₹,54,8
Maharashtra,Nagpur,CinepolisVrNagpurMall,Hindi,09:15,Vip,350₹,4,0
Maharashtra,Nagpur,CinepolisVrNagpurMall,Hindi,09:15,Premium,180₹,33,0
Maharashtra,Nagpur,CinepolisVrNagpurMall,Hindi,09:15,Executive,160₹,40,2
Maharashtra,Nagpur,CinepolisVrNagpurMall,Hindi,09:15,Normal,140₹,20,0
Gujarat,Rajkot,CosmoplexMultiplexKalawadRoad,Hindi,09:15,Crew,200₹,10,0
Gujarat,Surat,TheFridayCinemaMotaVarachha,Hindi,09:15,Recliner,250₹,81,0
Gujarat,Surat,TheFridayCinemaMotaVarachha,Hindi,09:15,PushBackSeat,150₹,81,0
Gujarat,Surat,TheFridayCinemaMotaVarachha,Hindi,09:15,Lounger,150₹,81,0
Haryana,Gurgaon,PvrMgfMallGurgaon,Hindi,09:20,Prime,200₹,61,2
Haryana,Gurgaon,PvrMgfMallGurgaon,Hindi,09:20,Classic,150₹,91,0
Haryana,Gurgaon,CinepolisTheEsplanade,Hindi,09:30,Normal,150₹,18,0
Haryana,Gurgaon,CinepolisTheEsplanade,Hindi,09:30,Executive,150₹,44,0
Haryana,Gurgaon,CinepolisTheEsplanade,Hindi,09:30,Premium,150₹,82,10
Bihar,Patna,CinepolisPMMallPatna,Hindi,09:30,Normal,220₹,174,4
Haryana,Kaithal,CineSquareCinemasPadmaCityMall,Hindi,09:30,Royal,150₹,84,30
Gujarat,Ahmedabad,CityGoldAshramRoad,Hindi,09:30,Executive,150₹,130,0
Maharashtra,Thane,CinepolisVivianaMallThaneW,Hindi,09:30,Normal,170₹,25,0
Maharashtra,Thane,CinepolisVivianaMallThaneW,Hindi,09:30,Executive,190₹,97,7
Maharashtra,Thane,CinepolisVivianaMallThaneW,Hindi,09:30,Premium,210₹,43,18
Delhi,NewDelhi,PvrSelectCityWalkSaket,Hindi,09:30,ClassicNormal,150₹,120,0
Delhi,NewDelhi,PvrSelectCityWalkSaket,Hindi,09:30,ClassicSuperior,200₹,34,0
Delhi,NewDelhi,PvrSelectCityWalkSaket,Hindi,09:30,ReclinersNormal,600₹,10,2
MadhyaPradesh,Gwalior,FunCinemaDdCityMallGwalior,Hindi,09:30,Normal,170₹,110,1
MadhyaPradesh,Gwalior,FunCinemaDdCityMallGwalior,Hindi,09:30,Executive,180₹,119,0
Delhi,NewDelhi,InoxNehruPlace,Hindi,09:35,Insignia,600₹,62,0
UttarPradesh,Lucknow,PvrSaharaGanjMallHazratganj,Hindi,09:35,Classic,180₹,171,0
UttarPradesh,Lucknow,PvrSaharaGanjMallHazratganj,Hindi,09:35,Recliner,280₹,12,0
Gujarat,Vadodara,CinemarcVip,Hindi,09:45,Premium,70₹,13,0
Gujarat,Vadodara,CinemarcVip,Hindi,09:45,Silver,70₹,87,0
Gujarat,Vadodara,CinemarcVip,Hindi,09:45,Gold,80₹,20,0
Gujarat,Vadodara,CinemarcVip,Hindi,09:45,Sofa,90₹,19,0
Jharkhand,Jamshedpur,PjpCinepolisCityCentreMallMauja,Hindi,09:45,Normal,180₹,22,0
Jharkhand,Jamshedpur,PjpCinepolisCityCentreMallMauja,Hindi,09:45,Executive,200₹,33,0
Jharkhand,Jamshedpur,PjpCinepolisCityCentreMallMauja,Hindi,09:45,Premium,220₹,59,0
