City,Name,ZIP,Language,Time,Type,Price,Capacity,Booked
Kareli,HuesEntertainmentSsrMall,487221,Hindi,00:00,Reciliner,200₹,6,0
Kareli,HuesEntertainmentSsrMall,487221,Hindi,00:00,Platinum,150₹,61,0
Kareli,HuesEntertainmentSsrMall,487221,Hindi,00:00,Gold,120₹,65,13
Kareli,HuesEntertainmentSsrMall,487221,Hindi,00:00,Silver,120₹,39,0
Surat,InoxRajImperialVarachhaRoad,395006,Hindi,07:00,Gold,90₹,248,29
Surat,InoxRajImperialVarachhaRoad,395006,Hindi,07:00,Imperial,240₹,11,8
Surat,InoxRajImperialVarachhaRoad,395006,Hindi,07:00,Platinum,112₹,97,26
Surat,InoxRajImperialVarachhaRoad,395006,Hindi,07:00,Silver,70₹,44,0
Thane,MaxusCinemasMaxusMallBhayandar,401101,Hindi,07:00,Recliners,149₹,24,0
Thane,MaxusCinemasMaxusMallBhayandar,401101,Hindi,07:00,Sofa,112₹,46,15
Thane,MaxusCinemasMaxusMallBhayandar,401101,Hindi,07:00,PremiumPlus,99₹,208,16
Thane,MaxusCinemasMaxusMallBhayandar,401101,Hindi,07:00,Premium,99₹,64,0
Thane,MaxusCinemasMaxusMallBhayandar,401101,Hindi,07:00,Lounger,99₹,16,0
Mumbai,MaxusCinemasBorivaliW,400092,Hindi,07:15,Sofa,149₹,36,11
Mumbai,MaxusCinemasBorivaliW,400092,Hindi,07:15,PremiumPlus,112₹,198,17
Mumbai,MaxusCinemasBorivaliW,400092,Hindi,07:15,Premium,112₹,42,0
Ahmedabad,ConnplexSmartScienceCity,380060,Hindi,07:45,Miller,120₹,38,0
Ahmedabad,ConnplexSmartScienceCity,380060,Hindi,07:45,Lounger,120₹,9,0
Thane,MaxusCinemasMaxusMallBhayandar,401101,Hindi,07:45,CoupleRecl,199₹,14,0
Thane,MaxusCinemasMaxusMallBhayandar,401101,Hindi,07:45,Recliners,199₹,44,0
Ahmedabad,NewfangledMiniplexMondealRetailParkAhmedabad,380015,Hindi,08:00,CoupleSeat,400₹,20,4
Ahmedabad,NewfangledMiniplexMoteraAhmedabad,380005,Hindi,08:00,CoupleSeat,400₹,25,4
Chennai,PvrVrMallAnnaNagar,600040,Hindi,08:00,Classic,63₹,50,2
Chennai,PvrVrMallAnnaNagar,600040,Hindi,08:00,Prime,202₹,317,13
Thane,MaxusCinemasMaxusMallBhayandar,401101,Hindi,08:15,Sofa,149₹,238,0
Mumbai,CinepolisSeawoodsGrandCentralMall,400706,Hindi,08:30,Normal,180₹,32,0
Mumbai,CinepolisSeawoodsGrandCentralMall,400706,Hindi,08:30,Executive,200₹,91,8
Mumbai,CinepolisSeawoodsGrandCentralMall,400706,Hindi,08:30,Premium,220₹,80,24
Mumbai,CinepolisSeawoodsGrandCentralMall,400706,Hindi,08:30,Vip,420₹,14,6
Nagpur,CinepolisVrNagpurMall,440003,Hindi,08:30,Vip,500₹,9,6
Nagpur,CinepolisVrNagpurMall,440003,Hindi,08:30,Premium,260₹,61,18
Nagpur,CinepolisVrNagpurMall,440003,Hindi,08:30,Executive,240₹,90,0
Nagpur,CinepolisVrNagpurMall,440003,Hindi,08:30,Normal,220₹,35,0
Surat,CineverseCinemaVesuSurat,395007,Hindi,08:30,Sofa,150₹,55,0
Surat,CineverseCinemaVesuSurat,395007,Hindi,08:30,Recliner,150₹,8,0
Mumbai,CinepolisMagnetMallBhandupW,400078,Hindi,08:30,Vip,300₹,24,0
Mumbai,CinepolisMagnetMallBhandupW,400078,Hindi,08:30,Executive,130₹,126,12
Mumbai,CinepolisMagnetMallBhandupW,400078,Hindi,08:30,Normal,130₹,36,0
Pune,CinepolisWestendMallAundh,411007,Hindi,08:30,Premium,200₹,48,42
Pune,CinepolisWestendMallAundh,411007,Hindi,08:30,Executive,200₹,64,39
Pune,CinepolisWestendMallAundh,411007,Hindi,08:30,Normal,200₹,24,0
Mumbai,CinepolisAndheriW,400053,Hindi,08:30,Premium,150₹,49,23
Mumbai,CinepolisAndheriW,400053,Hindi,08:30,Vip,320₹,17,6
Mumbai,CinepolisAndheriW,400053,Hindi,08:30,Executive,130₹,123,15
Mumbai,CinepolisAndheriW,400053,Hindi,08:30,Normal,110₹,40,2
Thane,CinemaStarHighStreetMallThaneMajiwada,400601,Hindi,08:30,Normal,130₹,291,27
Thane,CinepolisVivianaMallThaneW,400606,Hindi,08:30,Normal,160₹,41,0
Thane,CinepolisVivianaMallThaneW,400606,Hindi,08:30,Executive,180₹,215,10
