State,City,Name,Language,Time(IST),Type,Price,Capacity,Booked
WestBengal,Mahishadal,GitaCinema,Bengali,11:30,AcSuper,100₹,60,2
WestBengal,Mahishadal,GitaCinema,Bengali,11:30,Special,70₹,96,0
WestBengal,Mahishadal,GitaCinema,Bengali,11:30,DressCircle,40₹,40,0
WestBengal,Mahishadal,GitaCinema,Bengali,11:30,Balcony,30₹,141,0
WestBengal,Mahishadal,GitaCinema,Bengali,11:30,RearStall,25₹,600,0
WestBengal,Kolkata,ChhabigharCinemaBaithakkhana,Bengali,12:30,Balcony,100₹,144,80
WestBengal,Kolkata,ChhabigharCinemaBaithakkhana,Bengali,12:30,RearStall,80₹,502,432
WestBengal,Kolkata,BijoliCinemaBhowanipore,Bengali,12:30,Balcony,100₹,188,149
WestBengal,Kolkata,BijoliCinemaBhowanipore,Bengali,12:30,RearStall,80₹,614,418
WestBengal,Durgapur,CarnivalCityCenterDreamplexBuilding,Bengali,12:35,Economy,150₹,44,0
WestBengal,Durgapur,CarnivalCityCenterDreamplexBuilding,Bengali,12:35,Regular,150₹,70,0
WestBengal,Durgapur,CarnivalCityCenterDreamplexBuilding,Bengali,12:35,Executive,150₹,219,0
WestBengal,Siliguri,CarnivalCinemaSiliguri,Bengali,13:00,Special,160₹,28,0
WestBengal,Siliguri,CarnivalCinemaSiliguri,Bengali,13:00,Executive,160₹,188,0
WestBengal,Kolkata,CarnivalSaltLake,Bengali,13:10,Silver,150₹,166,6
WestBengal,Mahishadal,GitaCinema,Bengali,14:15,AcSuper,100₹,60,2
WestBengal,Mahishadal,GitaCinema,Bengali,14:15,Special,70₹,96,0
WestBengal,Mahishadal,GitaCinema,Bengali,14:15,DressCircle,40₹,40,0
WestBengal,Mahishadal,GitaCinema,Bengali,14:15,Balcony,30₹,141,0
WestBengal,Mahishadal,GitaCinema,Bengali,14:15,RearStall,25₹,600,0
WestBengal,Kolkata,PvrDiamondPlazaJassore,Bengali,14:30,Classic,230₹,100,13
WestBengal,Kolkata,PvrDiamondPlazaJassore,Bengali,14:30,Prime,280₹,11,8
WestBengal,Kolkata,PvrDiamondPlazaJassore,Bengali,14:30,Recliner,460₹,12,0
WestBengal,Kolkata,InoxCityCentreIiRajarhat,Bengali,14:40,Club,240₹,229,9
WestBengal,Kolkata,InoxCityCentreIiRajarhat,Bengali,14:40,Executive,220₹,42,0
WestBengal,Kolkata,InoxMetropolisMallHilandPark,Bengali,14:45,Premier,220₹,29,0
WestBengal,Kolkata,InoxMetropolisMallHilandPark,Bengali,14:45,Royal,400₹,18,0
WestBengal,Kolkata,InoxMetropolisMallHilandPark,Bengali,14:45,Silver,240₹,147,30
WestBengal,Kolkata,InoxQuestMallBallygunge,Bengali,15:00,Club,300₹,112,3
WestBengal,Kolkata,InoxQuestMallBallygunge,Bengali,15:00,Executive,280₹,24,0
WestBengal,Kolkata,InoxQuestMallBallygunge,Bengali,15:00,RoyalRecliner,450₹,8,5
WestBengal,Kolkata,InoxQuestMallBallygunge,Bengali,15:00,Royal,350₹,28,4
WestBengal,Kolkata,PvrAvaniRiverSideMall,Bengali,15:00,Prime,350₹,11,8
