State,City,Name,Language,Time(IST),Type,Price,Capacity,Booked
Assam,Tinsukia,RanggharCinema,Assamese,10:00,Gold,200₹,75,27
Assam,Bihpuria,PreranaCinema,Assamese,11:30,Platinum,150₹,57,31
Assam,Bihpuria,PreranaCinema,Assamese,11:30,Gold,120₹,50,24
Assam,Bihpuria,PreranaCinema,Assamese,11:30,Silver,80₹,33,15
Assam,Tezpur,GoldCinemaTezpur,Assamese,12:00,Platinum,150₹,61,9
Assam,Tezpur,GoldCinemaTezpur,Assamese,12:00,Gold,120₹,72,7
Assam,Tezpur,GoldCinemaTezpur,Assamese,12:00,Silver,100₹,43,4
Assam,Guwahati,MatrixCinemasMatrixMallBeltola,Assamese,13:05,Gold,400₹,42,6
Assam,Guwahati,MatrixCinemasMatrixMallBeltola,Assamese,13:05,Club,200₹,52,7
Assam,Guwahati,MatrixCinemasMatrixMallBeltola,Assamese,13:05,Executive,150₹,13,0
Assam,Guwahati,CarnivalTimesSquareTimesSquareMall,Assamese,13:50,Silver,150₹,54,0
Assam,Guwahati,CarnivalTimesSquareTimesSquareMall,Assamese,13:50,Gold,150₹,146,17
Assam,Tezpur,GoldCinemaTezpur,Assamese,14:10,Platinum,150₹,61,0
Assam,Tezpur,GoldCinemaTezpur,Assamese,14:10,Gold,120₹,72,0
Assam,Tezpur,GoldCinemaTezpur,Assamese,14:10,Silver,100₹,43,0
Assam,Guwahati,GalleriaCinemaHubMallGSRoad,Assamese,15:15,Silver,130₹,30,4
Assam,Guwahati,GalleriaCinemaHubMallGSRoad,Assamese,15:15,Gold,180₹,90,6
Assam,Guwahati,GalleriaCinemaHubMallGSRoad,Assamese,15:15,Business,250₹,60,10
Assam,Guwahati,GalleriaCinemaHubMallGSRoad,Assamese,15:15,Platinum,200₹,75,11
Assam,Guwahati,MatrixCinemasMatrixMallBeltola,Assamese,15:20,Gold,400₹,42,6
Assam,Guwahati,MatrixCinemasMatrixMallBeltola,Assamese,15:20,Club,200₹,52,7
Assam,Guwahati,MatrixCinemasMatrixMallBeltola,Assamese,15:20,Executive,150₹,13,0
Assam,Guwahati,PvrCityCentreGuwahati,Assamese,15:35,Classic,190₹,40,33
Assam,Guwahati,PvrCityCentreGuwahati,Assamese,15:35,Prime,220₹,82,81
Assam,Guwahati,PvrCityCentreGuwahati,Assamese,15:35,PrimePlus,260₹,13,12
Assam,Jorhat,InoxAbsMallJorhat,Assamese,16:45,Club,230₹,55,29
Assam,Jorhat,InoxAbsMallJorhat,Assamese,16:45,Executive,150₹,32,29
Assam,Jorhat,InoxAbsMallJorhat,Assamese,16:45,Premier,120₹,32,24
Assam,Jorhat,InoxAbsMallJorhat,Assamese,16:45,Royal,350₹,14,2
Assam,Dibrugarh,GalleriaCinemaDibrugarh,Assamese,17:00,Business,400₹,17,4
Assam,Dibrugarh,GalleriaCinemaDibrugarh,Assamese,17:00,Platinum,300₹,22,4
Assam,Dibrugarh,GalleriaCinemaDibrugarh,Assamese,17:00,Gold,220₹,85,5
Assam,Dibrugarh,GalleriaCinemaDibrugarh,Assamese,17:00,Silver,130₹,50,7
Assam,Dibrugarh,GalleriaCinemaDibrugarh,Assamese,17:00,Executive,270₹,150,13
Assam,Tinsukia,GalleriaCinemasAtcMallTinsukia,Assamese,17:00,Business,330₹,14,12
Assam,Tinsukia,GalleriaCinemasAtcMallTinsukia,Assamese,17:00,Platinum,280₹,192,36
Assam,Tinsukia,GalleriaCinemasAtcMallTinsukia,Assamese,17:00,Gold,220₹,51,7
Assam,Tinsukia,GalleriaCinemasAtcMallTinsukia,Assamese,17:00,Silver,130₹,34,2
Assam,Guwahati,InoxAurusGuwahati,Assamese,17:20,Insignia,700₹,42,0
Assam,Guwahati,CinepolisCentralMallGuwahati,Assamese,17:20,Normal,160₹,24,5
Assam,Guwahati,CinepolisCentralMallGuwahati,Assamese,17:20,Executive,180₹,116,112
Assam,Guwahati,CinepolisCentralMallGuwahati,Assamese,17:20,Premium,200₹,51,51
Assam,Guwahati,CinepolisCentralMallGuwahati,Assamese,17:20,Vip,400₹,4,4
