State,City,Name,Language,Time(IST),Type,Price,Capacity,Booked
Maharashtra,Amravati,PriyaTalkiesAmravati,Marathi,12:15,Balcony,100₹,169,0
Maharashtra,Amravati,PriyaTalkiesAmravati,Marathi,12:15,UpperClass,70₹,230,0
Maharashtra,Amravati,PriyaTalkiesAmravati,Marathi,12:15,LowerClass,50₹,100,0
Maharashtra,Thane,CinepolisVivianaMallThaneW,Marathi,13:25,Normal,170₹,27,0
Maharashtra,Thane,CinepolisVivianaMallThaneW,Marathi,13:25,Executive,180₹,106,37
Maharashtra,Thane,CinepolisVivianaMallThaneW,Marathi,13:25,Premium,200₹,46,28
Maharashtra,Pune,CinepolisNexusWestend,Marathi,14:20,Executive,200₹,76,2
Maharashtra,Pune,CinepolisNexusWestend,Marathi,14:20,Premium,200₹,49,25
Maharashtra,Pune,CinepolisNexusWestend,Marathi,14:20,Normal,200₹,23,0
Maharashtra,Mumbai,MovieTimeHubMallGoregaonE,Marathi,17:45,Gold,130₹,63,32
Goa,Goa,ZSquareHiraTalkiesBicholim,Marathi,18:15,DiamondA,170₹,20,0
Goa,Goa,ZSquareHiraTalkiesBicholim,Marathi,18:15,DiamondB,170₹,39,0
Goa,Goa,ZSquareHiraTalkiesBicholim,Marathi,18:15,Golden,150₹,211,0
Maharashtra,Amravati,PriyaTalkiesAmravati,Marathi,18:15,Balcony,100₹,169,0
Maharashtra,Amravati,PriyaTalkiesAmravati,Marathi,18:15,UpperClass,70₹,230,0
Maharashtra,Amravati,PriyaTalkiesAmravati,Marathi,18:15,LowerClass,50₹,100,1
