State,City,Name,Language,Time(IST),Type,Price,Capacity,Booked
Maharashtra,Mumbai,PvrMilapKandivaliW,Gujarati,09:00,Classic,130₹,108,0
Maharashtra,Mumbai,PvrMilapKandivaliW,Gujarati,09:00,Prime,130₹,57,18
Gujarat,Ahmedabad,CinepolisNexusOneAhmedabad,Gujarati,09:00,Normal,150₹,39,0
Gujarat,Ahmedabad,CinepolisNexusOneAhmedabad,Gujarati,09:00,Premium,200₹,56,0
Gujarat,Ahmedabad,CinepolisNexusOneAhmedabad,Gujarati,09:00,Executive,150₹,132,0
Gujarat,Surendranagar,NyCinemasSurendranagar,Gujarati,09:00,Gl,120₹,109,0
Gujarat,Surendranagar,NyCinemasSurendranagar,Gujarati,09:00,Rc,220₹,12,0
Gujarat,Surendranagar,NyCinemasSurendranagar,Gujarati,09:00,Sl,100₹,52,0
Gujarat,Bhavnagar,MaxusCinemaBhavnagar,Gujarati,09:00,Sofa,112₹,38,0
Gujarat,Bhavnagar,MaxusCinemaBhavnagar,Gujarati,09:00,PremierPlus,99₹,272,4
Gujarat,Bhavnagar,MaxusCinemaBhavnagar,Gujarati,09:00,Premium,99₹,44,0
Gujarat,Ahmedabad,NyCinemasAhmedabad,Gujarati,09:00,Re,250₹,75,0
Gujarat,Anand,ShaanCinemaAvFortuneMall,Gujarati,09:15,Recliner,350₹,13,0
Gujarat,Anand,ShaanCinemaAvFortuneMall,Gujarati,09:15,Sofa,150₹,28,0
Gujarat,Anand,ShaanCinemaAvFortuneMall,Gujarati,09:15,Platinum,100₹,66,0
Gujarat,Anand,ShaanCinemaAvFortuneMall,Gujarati,09:15,Gold,100₹,45,0
Gujarat,Ahmedabad,CityGoldAshramRoad,Gujarati,09:15,Executive,150₹,130,20
Gujarat,Surat,CinepolisImperialSquareMallAdajan,Gujarati,09:25,Normal,130₹,31,0
Gujarat,Surat,CinepolisImperialSquareMallAdajan,Gujarati,09:25,Executive,130₹,207,0
Gujarat,Surat,CinepolisImperialSquareMallAdajan,Gujarati,09:25,Premium,150₹,41,0
Gujarat,Surat,InoxRajImperialVarachhaRoad,Gujarati,09:25,Gold,112₹,112,0
Gujarat,Surat,InoxRajImperialVarachhaRoad,Gujarati,09:25,Imperial,260₹,0,0
Gujarat,Surat,InoxRajImperialVarachhaRoad,Gujarati,09:25,Platinum,140₹,42,0
Gujarat,Surat,InoxRajImperialVarachhaRoad,Gujarati,09:25,Silver,90₹,30,0
Gujarat,Ahmedabad,CinemaxShivAshramRoad,Gujarati,09:30,Recliner,220₹,54,0
Gujarat,Ahmedabad,CinemaxShivAshramRoad,Gujarati,09:30,Prime,95₹,253,23
Gujarat,Ahmedabad,CinemaxShivAshramRoad,Gujarati,09:30,Classic,85₹,46,0
Gujarat,Surat,RajhansMultiplexAdajan,Gujarati,09:30,Box,170₹,6,0
Gujarat,Surat,RajhansMultiplexAdajan,Gujarati,09:30,Executive,110₹,292,0
Gujarat,Surat,CineverseCinemaKatargam,Gujarati,09:30,Sofa,150₹,81,0
Gujarat,Surat,CineverseCinemaKatargam,Gujarati,09:30,Lounger,150₹,9,0
Gujarat,Ahmedabad,NewfangledMiniplexMondealRetailParkAhmedabad,Gujarati,09:30,VipClub,350₹,10,0
Gujarat,Ahmedabad,NewfangledMiniplexMondealRetailParkAhmedabad,Gujarati,09:30,Premium,300₹,10,0
Gujarat,Ahmedabad,PvrMotera,Gujarati,09:30,Classic,90₹,69,0
Gujarat,Ahmedabad,PvrMotera,Gujarati,09:30,Prime,120₹,212,23
Gujarat,Ahmedabad,PvrMotera,Gujarati,09:30,Recliner,225₹,25,0
Gujarat,Ahmedabad,MirajCinemasVitthalPlazaNaroda,Gujarati,09:30,Platinum,200₹,10,0
Gujarat,Ahmedabad,MirajCinemasVitthalPlazaNaroda,Gujarati,09:30,Executive,100₹,114,0
Maharashtra,Mumbai,PvrMarketCityKurlaW,Gujarati,09:30,Classic,90₹,80,0
Maharashtra,Mumbai,PvrMarketCityKurlaW,Gujarati,09:30,Prime,110₹,143,21
Maharashtra,Mumbai,InoxRaghuleelaMegaMallKandivaliW,Gujarati,09:30,Gold,112₹,325,24
Maharashtra,Mumbai,InoxRaghuleelaMegaMallKandivaliW,Gujarati,09:30,Premiere,112₹,82,0
Gujarat,Vadodara,PvrDeepVadodara,Gujarati,09:30,PrimePlus,100₹,229,26
Gujarat,Vadodara,PvrDeepVadodara,Gujarati,09:30,Classic,90₹,136,0
Gujarat,Vadodara,PvrDeepVadodara,Gujarati,09:30,Prime,90₹,182,0
Gujarat,Anand,PvrMarutiSolarisAnand,Gujarati,09:30,Classic,100₹,38,0
Gujarat,Anand,PvrMarutiSolarisAnand,Gujarati,09:30,ClassicPlus,100₹,38,0
Gujarat,Anand,PvrMarutiSolarisAnand,Gujarati,09:30,Prime,100₹,133,0
Gujarat,Anand,PvrMarutiSolarisAnand,Gujarati,09:30,PrimePlus,100₹,61,19
Gujarat,Surat,TheFridayCinemaMotaVarachha,Gujarati,09:30,PushBackSeat,150₹,119,0
Gujarat,Surat,TheFridayCinemaMotaVarachha,Gujarati,09:30,Lounger,150₹,119,0
Gujarat,Gandhinagar,CinemaxSumanGandhinagar,Gujarati,09:30,Recliner,200₹,22,0
Gujarat,Gandhinagar,CinemaxSumanGandhinagar,Gujarati,09:30,Prime,110₹,113,0
Gujarat,Gandhinagar,CinemaxSumanGandhinagar,Gujarati,09:30,Classic,110₹,42,0
Gujarat,Gandhinagar,CinemaxSumanGandhinagar,Gujarati,09:30,ClassicPlus,110₹,47,0
Gujarat,Jamnagar,PvrUtsavJcrEntertainmentWorldJamnagar,Gujarati,09:45,Classic,80₹,40,0
Gujarat,Jamnagar,PvrUtsavJcrEntertainmentWorldJamnagar,Gujarati,09:45,ClassicPlus,80₹,44,0
Gujarat,Jamnagar,PvrUtsavJcrEntertainmentWorldJamnagar,Gujarati,09:45,Prime,100₹,110,0
Gujarat,Jamnagar,PvrUtsavJcrEntertainmentWorldJamnagar,Gujarati,09:45,PrimePlus,100₹,44,22
Gujarat,Jamnagar,PvrUtsavJcrEntertainmentWorldJamnagar,Gujarati,09:45,Recliner,200₹,32,4
Gujarat,Ahmedabad,PvrArvedTranscube,Gujarati,09:45,Classic,90₹,60,0
Gujarat,Ahmedabad,PvrArvedTranscube,Gujarati,09:45,Prime,120₹,238,20
Gujarat,Ahmedabad,PvrArvedTranscube,Gujarati,09:45,Recliner,225₹,6,0
Gujarat,Vadodara,PvrEvaMallManjalpur,Gujarati,09:45,Classic,100₹,63,0
Gujarat,Vadodara,PvrEvaMallManjalpur,Gujarati,09:45,Recliner,250₹,14,0
Gujarat,Vadodara,PvrEvaMallManjalpur,Gujarati,09:45,Prime,100₹,63,0
Gujarat,Vadodara,PvrEvaMallManjalpur,Gujarati,09:45,PrimePlus,100₹,105,21
Gujarat,Gandhinagar,InoxR16Gandhinagar,Gujarati,09:45,Gold,90₹,118,0
Gujarat,Gandhinagar,InoxR16Gandhinagar,Gujarati,09:45,Platinum,140₹,6,0
Gujarat,Gandhinagar,InoxR16Gandhinagar,Gujarati,09:45,Silver,90₹,20,0
Maharashtra,Thane,CinepolisVivianaMallThaneW,Gujarati,09:45,Normal,120₹,25,0
Maharashtra,Thane,CinepolisVivianaMallThaneW,Gujarati,09:45,Executive,120₹,97,2
Maharashtra,Thane,CinepolisVivianaMallThaneW,Gujarati,09:45,Premium,140₹,43,22
Maharashtra,Pune,CinepolisSeasonsMallHadapsar,Gujarati,09:50,Normal,100₹,17,0
Maharashtra,Pune,CinepolisSeasonsMallHadapsar,Gujarati,09:50,Executive,100₹,49,0
Maharashtra,Pune,CinepolisSeasonsMallHadapsar,Gujarati,09:50,Premium,100₹,22,0
Gujarat,Vadodara,PvrNilamberTriumphMallSaiyedVasna,Gujarati,10:00,Recliner,250₹,7,0
Gujarat,Vadodara,PvrNilamberTriumphMallSaiyedVasna,Gujarati,10:00,Prime,100₹,119,15
Gujarat,Vadodara,PvrNilamberTriumphMallSaiyedVasna,Gujarati,10:00,Classic,100₹,33,0
Gujarat,Vadodara,CinemarcAkota,Gujarati,10:00,Premier,70₹,12,0
Gujarat,Vadodara,CinemarcAkota,Gujarati,10:00,Silver,70₹,87,0
Gujarat,Vadodara,CinemarcAkota,Gujarati,10:00,Sofa,80₹,25,0
Gujarat,Ahmedabad,MirajCinemasCinePrideKrishnaNagar,Gujarati,10:00,Gold,110₹,27,0
