City,Name,ZIP,Language,Time,Type,Price,Capacity,Booked
Pen,CarnivalMoreshwarChinchpada,402107,Marathi,09:00,Platinum,80₹,96,0
Pen,CarnivalMoreshwarChinchpada,402107,Marathi,09:00,Gold,80₹,42,0
Jalgaon,PvrUtsavKirtiMallNaviPeth,425001,Marathi,09:05,Classic,100₹,51,0
Jalgaon,PvrUtsavKirtiMallNaviPeth,425001,Marathi,09:05,ClassicPlus,100₹,120,20
Jalgaon,PvrUtsavKirtiMallNaviPeth,425001,Marathi,09:05,Prime,100₹,55,9
Pune,CinepolisWestendMallAundh,411007,Marathi,09:15,Normal,200₹,25,0
Pune,CinepolisWestendMallAundh,411007,Marathi,09:15,Executive,200₹,42,0
Pune,CinepolisWestendMallAundh,411007,Marathi,09:15,Premium,200₹,47,12
Thane,CinepolisVivianaMallThaneW,400606,Marathi,09:15,Normal,150₹,27,0
Thane,CinepolisVivianaMallThaneW,400606,Marathi,09:15,Executive,150₹,104,0
Thane,CinepolisVivianaMallThaneW,400606,Marathi,09:15,Premium,150₹,46,20
NaviMumbai,PvrOrionPanvel,410206,Marathi,09:30,Classic,90₹,28,0
NaviMumbai,PvrOrionPanvel,410206,Marathi,09:30,Prime,110₹,115,22
NaviMumbai,PvrOrionPanvel,410206,Marathi,09:30,PrimePlus,140₹,34,0
Mumbai,CinepolisSeawoodsGrandCentralMall,400706,Marathi,09:30,Normal,150₹,32,0
Mumbai,CinepolisSeawoodsGrandCentralMall,400706,Marathi,09:30,Executive,170₹,91,9
Mumbai,CinepolisSeawoodsGrandCentralMall,400706,Marathi,09:30,Premium,190₹,60,5
Mumbai,CinepolisSeawoodsGrandCentralMall,400706,Marathi,09:30,Vip,280₹,14,0
Nashik,InoxOldVijayMamtaNasik,422006,Marathi,09:30,Executive,90₹,46,0
Nashik,InoxOldVijayMamtaNasik,422006,Marathi,09:30,Platinum,112₹,88,4
Nashik,InoxOldVijayMamtaNasik,422006,Marathi,09:30,Silver,112₹,189,5
Pune,RahulTalkies70MmShivajiNagar,411004,Marathi,09:30,GoldClass,80₹,164,0
Pune,RahulTalkies70MmShivajiNagar,411004,Marathi,09:30,SilverClass,80₹,118,0
Vasai,CarnivalKtVasaiW,401202,Marathi,10:00,Silver,80₹,60,0
Vasai,CarnivalKtVasaiW,401202,Marathi,10:00,Gold,80₹,156,0
Vasai,CarnivalKtVasaiW,401202,Marathi,10:00,Platinum,80₹,78,0
Vasai,CarnivalKtVasaiW,401202,Marathi,10:00,Royal,100₹,22,0
