State,City,Name,Language,Time(IST),Type,Price,Capacity,Booked
AndhraPradesh,Kakinada,InoxSrmtMallRamanayyapeta,Telugu,10:45,Executive,112₹,176,0
AndhraPradesh,Yellandu,LalithaKalaMandirYellandu,Telugu,10:45,BoxA,110₹,56,36
AndhraPradesh,Yellandu,LalithaKalaMandirYellandu,Telugu,10:45,BoxB,110₹,17,17
AndhraPradesh,Yellandu,LalithaKalaMandirYellandu,Telugu,10:45,ReservedClass,110₹,324,281
AndhraPradesh,Rajahmundry,UrvasiComplexMangalavaripeta,Telugu,11:00,ReservedCl,112₹,695,252
AndhraPradesh,Rajahmundry,UrvasiComplexMangalavaripeta,Telugu,11:00,SecondCl,75₹,296,170
AndhraPradesh,Palasa,AnnapurnaTheatrePalasa,Telugu,11:00,FirstClass,80₹,267,183
AndhraPradesh,Mylavaram,SangaMitraTheatreMylavaram,Telugu,11:00,ReservedClass,100₹,92,12
AndhraPradesh,Mylavaram,SangaMitraTheatreMylavaram,Telugu,11:00,SecondClass,60₹,20,20
Telangana,Sathupally,SriSaiBalajiTheatreACDtsSathupalli,Telugu,11:00,Boxb,110₹,6,6
Telangana,Sathupally,SriSaiBalajiTheatreACDtsSathupalli,Telugu,11:00,Boxa,100₹,6,6
Telangana,Sathupally,SriSaiBalajiTheatreACDtsSathupalli,Telugu,11:00,Balacony,100₹,290,100
Telangana,Sathupally,SriSaiBalajiTheatreACDtsSathupalli,Telugu,11:00,DressCricle,80₹,148,0
Telangana,Sathupally,SriSaiBalajiTheatreACDtsSathupalli,Telugu,11:00,ThirdClass,50₹,100,100
AndhraPradesh,Akividu,VijayaCineComplexAkividu,Telugu,11:00,Balcony,100₹,125,64
AndhraPradesh,Akividu,VijayaCineComplexAkividu,Telugu,11:00,SecondClass,80₹,14,14
AndhraPradesh,Akividu,VijayaCineComplexAkividu,Telugu,11:00,ThirdClass,50₹,13,13
Telangana,Madhira,ShanthiTheatreMadhira,Telugu,11:15,Balcony,100₹,223,53
Telangana,Madhira,ShanthiTheatreMadhira,Telugu,11:15,FirstClass,80₹,309,309
Telangana,Madhira,ShanthiTheatreMadhira,Telugu,11:15,SecondCalss,50₹,140,140
AndhraPradesh,PDharmavaram,SriBalaTripuraSundariKalamandir,Telugu,11:15,FirstClass,100₹,220,60
AndhraPradesh,Pamarru,SivaRamaCineTheatre,Telugu,11:15,FirstClass,100₹,163,83
AndhraPradesh,Pamarru,SivaRamaCineTheatre,Telugu,11:15,SecondClass,100₹,106,106
AndhraPradesh,Pamarru,SivaRamaCineTheatre,Telugu,11:15,ThirdClass,100₹,44,44
AndhraPradesh,Gudivada,BommarilluCinemasSanthiNagar,Telugu,11:30,BalconyDressCircle,112₹,220,0
AndhraPradesh,Gudivada,BommarilluCinemasSanthiNagar,Telugu,11:30,SofaCoupleCircle,112₹,56,56
AndhraPradesh,Gudivada,BommarilluCinemasSanthiNagar,Telugu,11:30,ChairClass,112₹,104,0
AndhraPradesh,Gudivada,BommarilluCinemasSanthiNagar,Telugu,11:30,FourthClass,90₹,75,0
AndhraPradesh,Guntur,KrishnaMahalSambasivaPet,Telugu,11:30,Balcony,110₹,118,118
AndhraPradesh,Guntur,KrishnaMahalSambasivaPet,Telugu,11:30,Sofa,110₹,88,0
AndhraPradesh,Guntur,KrishnaMahalSambasivaPet,Telugu,11:30,LowerBalcony,110₹,144,0
AndhraPradesh,Guntur,KrishnaMahalSambasivaPet,Telugu,11:30,Chair,70₹,140,0
AndhraPradesh,Guntur,KrishnaMahalSambasivaPet,Telugu,11:30,ThirdClass,50₹,140,0
AndhraPradesh,Kakinada,MayuriAcDts,Telugu,11:30,Premium,112₹,351,0
AndhraPradesh,Kakinada,MayuriAcDts,Telugu,11:30,NonPremium,75₹,118,0
AndhraPradesh,Nellore,SiriMultiplex,Telugu,12:00,GoldClass,100₹,55,0
AndhraPradesh,Nellore,SiriMultiplex,Telugu,12:00,SilverClass,100₹,10,0
AndhraPradesh,Sullurpeta,CeyoneCinemasSullurpeta,Telugu,12:00,FirstClass,150₹,336,74
AndhraPradesh,Sullurpeta,CeyoneCinemasSullurpeta,Telugu,12:00,SecondClass,100₹,72,72
AndhraPradesh,Narsipatnam,PvrSreekanyaNarsipatnam,Telugu,13:05,Classic,60₹,29,0
AndhraPradesh,Narsipatnam,PvrSreekanyaNarsipatnam,Telugu,13:05,ClassicPlus,150₹,171,19
AndhraPradesh,Kakinada,InoxSrmtMallRamanayyapeta,Telugu,13:30,Executive,112₹,176,0
AndhraPradesh,Vizag,InoxVarunBeachMaharanipet,Telugu,14:00,Excutive,177₹,130,0
Telangana,Sathupally,SriSaiBalajiTheatreACDtsSathupalli,Telugu,14:00,Boxb,110₹,6,6
Telangana,Sathupally,SriSaiBalajiTheatreACDtsSathupalli,Telugu,14:00,Boxa,100₹,6,6
Telangana,Sathupally,SriSaiBalajiTheatreACDtsSathupalli,Telugu,14:00,Balacony,100₹,290,100
Telangana,Sathupally,SriSaiBalajiTheatreACDtsSathupalli,Telugu,14:00,DressCricle,80₹,148,0
Telangana,Sathupally,SriSaiBalajiTheatreACDtsSathupalli,Telugu,14:00,ThirdClass,50₹,100,100
Telangana,Hyderabad,MirajCinemasGeetaChandanagar,Telugu,14:10,Executive,150₹,111,0
Telangana,Hyderabad,PvrPanjagutta,Telugu,14:10,Classic,150₹,255,20
Telangana,Madhira,ShanthiTheatreMadhira,Telugu,14:15,Balcony,100₹,223,53
Telangana,Madhira,ShanthiTheatreMadhira,Telugu,14:15,FirstClass,80₹,309,309
Telangana,Madhira,ShanthiTheatreMadhira,Telugu,14:15,SecondCalss,50₹,140,140
AndhraPradesh,PDharmavaram,SriBalaTripuraSundariKalamandir,Telugu,14:15,FirstClass,100₹,220,60
AndhraPradesh,Yellandu,LalithaKalaMandirYellandu,Telugu,14:15,BoxA,110₹,56,36
AndhraPradesh,Yellandu,LalithaKalaMandirYellandu,Telugu,14:15,BoxB,110₹,17,17
AndhraPradesh,Yellandu,LalithaKalaMandirYellandu,Telugu,14:15,ReservedClass,110₹,324,281
AndhraPradesh,Mylavaram,SangaMitraTheatreMylavaram,Telugu,14:15,ReservedClass,100₹,92,12
AndhraPradesh,Mylavaram,SangaMitraTheatreMylavaram,Telugu,14:15,SecondClass,60₹,20,20
AndhraPradesh,Pamarru,SivaRamaCineTheatre,Telugu,14:15,FirstClass,100₹,163,83
AndhraPradesh,Pamarru,SivaRamaCineTheatre,Telugu,14:15,SecondClass,100₹,106,106
AndhraPradesh,Pamarru,SivaRamaCineTheatre,Telugu,14:15,ThirdClass,100₹,44,44
AndhraPradesh,Tenali,SangameswaraCinemasChenchupet,Telugu,14:30,Gold,150₹,204,17
AndhraPradesh,Tenali,SangameswaraCinemasChenchupet,Telugu,14:30,Silver,70₹,54,0
AndhraPradesh,Palasa,AnnapurnaTheatrePalasa,Telugu,14:30,FirstClass,80₹,267,183
AndhraPradesh,Gudivada,BommarilluCinemasSanthiNagar,Telugu,14:30,BalconyDressCircle,112₹,220,0
AndhraPradesh,Gudivada,BommarilluCinemasSanthiNagar,Telugu,14:30,SofaCoupleCircle,112₹,56,56
AndhraPradesh,Gudivada,BommarilluCinemasSanthiNagar,Telugu,14:30,ChairClass,112₹,104,0
AndhraPradesh,Gudivada,BommarilluCinemasSanthiNagar,Telugu,14:30,FourthClass,90₹,75,0
AndhraPradesh,Kanigiri,CeyoneCinemasSrinivasMahalKanigiri,Telugu,14:30,Balcony,109₹,42,42
AndhraPradesh,Kanigiri,CeyoneCinemasSrinivasMahalKanigiri,Telugu,14:30,FirstClas,100₹,285,0
AndhraPradesh,Kanigiri,CeyoneCinemasSrinivasMahalKanigiri,Telugu,14:30,SecondClass,100₹,40,0
AndhraPradesh,Kanigiri,CeyoneCinemasSrinivasMahalKanigiri,Telugu,14:30,Balcony,109₹,42,42
AndhraPradesh,Kanigiri,CeyoneCinemasSrinivasMahalKanigiri,Telugu,14:30,FirstClas,100₹,285,0
AndhraPradesh,Kanigiri,CeyoneCinemasSrinivasMahalKanigiri,Telugu,14:30,SecondClass,100₹,40,0
AndhraPradesh,Akividu,VijayaCineComplexAkividu,Telugu,14:30,Balcony,100₹,125,64
AndhraPradesh,Akividu,VijayaCineComplexAkividu,Telugu,14:30,SecondClass,80₹,14,14
AndhraPradesh,Akividu,VijayaCineComplexAkividu,Telugu,14:30,ThirdClass,50₹,13,13
AndhraPradesh,Vuyyuru,SaiCinemaVuyyuru,Telugu,14:30,Balacony,100₹,204,62
AndhraPradesh,Vuyyuru,SaiCinemaVuyyuru,Telugu,14:30,FirstClass,100₹,26,26
AndhraPradesh,Vuyyuru,SaiCinemaVuyyuru,Telugu,14:30,SecondClass,78₹,56,56
AndhraPradesh,Guntur,KrishnaMahalSambasivaPet,Telugu,14:30,Balcony,110₹,118,118
AndhraPradesh,Guntur,KrishnaMahalSambasivaPet,Telugu,14:30,Sofa,110₹,88,0
AndhraPradesh,Guntur,KrishnaMahalSambasivaPet,Telugu,14:30,LowerBalcony,110₹,144,0
AndhraPradesh,Guntur,KrishnaMahalSambasivaPet,Telugu,14:30,Chair,70₹,140,0
AndhraPradesh,Guntur,KrishnaMahalSambasivaPet,Telugu,14:30,ThirdClass,50₹,140,0
AndhraPradesh,Kakinada,MayuriAcDts,Telugu,14:30,Premium,112₹,351,0
AndhraPradesh,Kakinada,MayuriAcDts,Telugu,14:30,NonPremium,75₹,118,1
