City,Name,ZIP,Language,Time,Type,Price,Capacity,Booked
Madurai,InoxVishaalDeMallMadurai,625002,Tamil,09:50,Club,178₹,136,5
Madurai,InoxVishaalDeMallMadurai,625002,Tamil,09:50,Executive,60₹,12,3
Coimbatore,SpiTheCinemaBrookefieldsMall,641001,Tamil,11:55,Elite,190₹,165,80
Coimbatore,SpiTheCinemaBrookefieldsMall,641001,Tamil,11:55,Budget,60₹,19,15
Chennai,SpiPalazzoTheForumVijayaMallVadapalani,600026,Tamil,12:05,Elite,190₹,165,86
Chennai,SpiPalazzoTheForumVijayaMallVadapalani,600026,Tamil,12:05,Budget,60₹,27,21
Chennai,InoxTheMarinaMallOmrEgatoor,603103,Tamil,12:15,Club,190₹,126,35
Chennai,InoxTheMarinaMallOmrEgatoor,603103,Tamil,12:15,Executive,60₹,16,15
Chennai,InoxChandraMetroMallVirugambakkam,600092,Tamil,12:30,Premiere,60₹,15,15
Chennai,InoxChandraMetroMallVirugambakkam,600092,Tamil,12:30,Silver,152₹,120,25
Chennai,CinepolisBsrMallOmrThoraipakkam,600097,Tamil,12:40,Normal,60₹,17,16
Chennai,CinepolisBsrMallOmrThoraipakkam,600097,Tamil,12:40,Executive,152₹,152,69
Tuticorin,SathyaTheatre,628001,Tamil,14:30,FirstClass,50₹,100,0
Coimbatore,CinepolisFunCinemaRepublicMallPeelamedu,641004,Tamil,16:05,Executive,152₹,190,94
Coimbatore,CinepolisFunCinemaRepublicMallPeelamedu,641004,Tamil,16:05,Normal,60₹,22,22
Tuticorin,SathyaTheatre,628001,Tamil,18:30,FirstClass,50₹,100,0
Chennai,PvrAmpaSkywalkMallAminjikarai,600029,Tamil,18:45,Classic,60₹,17,17
Chennai,PvrAmpaSkywalkMallAminjikarai,600029,Tamil,18:45,Prime,179₹,118,84
Chennai,CinepolisBsrMallOmrThoraipakkam,600097,Tamil,19:05,Normal,60₹,17,15
Chennai,CinepolisBsrMallOmrThoraipakkam,600097,Tamil,19:05,Executive,152₹,117,18
Tuticorin,SathyaTheatre,628001,Tamil,22:00,FirstClass,50₹,100,0
Chennai,PvrHeritageRslEcrChennai,600119,Tamil,22:10,Classic,60₹,11,11
Chennai,PvrHeritageRslEcrChennai,600119,Tamil,22:10,Prime,190₹,99,17
Chennai,PvrVrMallAnnaNagar,600040,Tamil,22:15,Classic,60₹,16,16
Chennai,PvrVrMallAnnaNagar,600040,Tamil,22:15,Prime,190₹,110,67
Chennai,SpiPalazzoTheForumVijayaMallVadapalani,600026,Tamil,22:20,Budget,60₹,27,27
Chennai,SpiPalazzoTheForumVijayaMallVadapalani,600026,Tamil,22:20,Elite,190₹,165,19
Coimbatore,SrkMirajCinemasCoimbatore,641016,Tamil,22:40,Special,60₹,21,20
Coimbatore,SrkMirajCinemasCoimbatore,641016,Tamil,22:40,Executive,190₹,190,16
