State,City,Name,Language,Time(IST),Type,Price,Capacity,Booked
Bihar,Muzaffarpur,PjpCinemasMuzaffarpur,Hindi,08:30,Normal,110₹,30,0
Bihar,Muzaffarpur,PjpCinemasMuzaffarpur,Hindi,08:30,Executive,110₹,102,0
Bihar,Muzaffarpur,PjpCinemasMuzaffarpur,Hindi,08:30,Premium,110₹,80,13
MadhyaPradesh,Singrauli,CarnivalSingrauliKachniWaiden,Hindi,09:30,Silver,100₹,33,0
MadhyaPradesh,Singrauli,CarnivalSingrauliKachniWaiden,Hindi,09:30,Gold,120₹,74,20
MadhyaPradesh,Singrauli,CarnivalSingrauliKachniWaiden,Hindi,09:30,Platinum,180₹,7,0
UttarPradesh,Ghaziabad,MovieMaxPacificMallGhaziabad,Hindi,09:30,Club,112₹,74,0
UttarPradesh,Ghaziabad,MovieMaxPacificMallGhaziabad,Hindi,09:30,Premium,112₹,126,0
UttarPradesh,Ghaziabad,MovieMaxPacificMallGhaziabad,Hindi,09:30,Executive,112₹,36,0
Gujarat,Ahmedabad,NyCinemasAhmedabad,Hindi,10:00,Cl,100₹,34,0
Gujarat,Ahmedabad,NyCinemasAhmedabad,Hindi,10:00,Pr,100₹,126,3
Gujarat,Ahmedabad,NyCinemasAhmedabad,Hindi,10:00,Re,200₹,15,0
Gujarat,Ahmedabad,NyCinemasAhmedabad,Hindi,10:00,Co,150₹,26,0
Haryana,Gurgaon,PvrMgfMallGurgaon,Hindi,10:05,Classic,170₹,59,0
Haryana,Gurgaon,PvrMgfMallGurgaon,Hindi,10:05,Prime,200₹,52,2
Haryana,Gurgaon,PvrMgfMallGurgaon,Hindi,10:05,Recliner,350₹,8,0
Orissa,Bhubaneswar,CinepolisNexusEsplanadeBhubaneswar,Hindi,10:15,Vip,350₹,11,0
Orissa,Bhubaneswar,CinepolisNexusEsplanadeBhubaneswar,Hindi,10:15,Premium,110₹,51,13
Orissa,Bhubaneswar,CinepolisNexusEsplanadeBhubaneswar,Hindi,10:15,Executive,110₹,42,2
Orissa,Bhubaneswar,CinepolisNexusEsplanadeBhubaneswar,Hindi,10:15,Normal,110₹,28,0
Haryana,Jind,CinetimeCinemasCsrMall,Hindi,10:15,GoldC,150₹,21,0
Haryana,Jind,CinetimeCinemasCsrMall,Hindi,10:15,SilverC,150₹,99,0
HimachalPradesh,Palampur,YaashitaaMultiplexGhuggar,Hindi,10:30,Platinum,200₹,34,0
HimachalPradesh,Palampur,YaashitaaMultiplexGhuggar,Hindi,10:30,Gold,150₹,35,0
HimachalPradesh,Palampur,YaashitaaMultiplexGhuggar,Hindi,10:30,Silver,150₹,24,0
UttarPradesh,GreaterNoida,PvrGaurCityGreaterNoida,Hindi,10:30,Classic,135₹,87,0
UttarPradesh,GreaterNoida,PvrGaurCityGreaterNoida,Hindi,10:30,Prime,160₹,13,0
Maharashtra,Pune,CinepolisSeasonsMallHadapsar,Hindi,10:30,Normal,110₹,27,0
Maharashtra,Pune,CinepolisSeasonsMallHadapsar,Hindi,10:30,Executive,110₹,83,0
Maharashtra,Pune,CinepolisSeasonsMallHadapsar,Hindi,10:30,Premium,110₹,35,2
Orissa,Balasore,MovieExOtRoad,Hindi,11:00,Executive,200₹,13,0
Orissa,Balasore,MovieExOtRoad,Hindi,11:00,Prime,120₹,109,0
Orissa,Balasore,MovieExOtRoad,Hindi,11:00,Standard,100₹,45,0
WestBengal,Kolkata,JayantiCinemaBarrackpore,Hindi,11:00,SuperStall,200₹,183,171
WestBengal,Kolkata,JayantiCinemaBarrackpore,Hindi,11:00,Stall,150₹,39,39
Punjab,Mohali,PvrVrPunjabMallMohali,Hindi,11:00,Classic,170₹,84,0
Punjab,Mohali,PvrVrPunjabMallMohali,Hindi,11:00,Prime,200₹,38,0
HimachalPradesh,Bilaspur,PvrRamaMagnetoMallBilaspur,Hindi,11:00,Classic,100₹,36,0
HimachalPradesh,Bilaspur,PvrRamaMagnetoMallBilaspur,Hindi,11:00,Prime,120₹,69,11
HimachalPradesh,Bilaspur,PvrRamaMagnetoMallBilaspur,Hindi,11:00,PrimePlus,190₹,10,3
Rajasthan,Jaipur,InoxSunnyTradeCenterJaipur,Hindi,11:10,Club,100₹,101,1
Rajasthan,Jaipur,InoxSunnyTradeCenterJaipur,Hindi,11:10,Executive,100₹,30,0
Rajasthan,Jaipur,InoxSunnyTradeCenterJaipur,Hindi,11:10,RoyaleRecliners,190₹,13,2
Rajasthan,Jaipur,InoxSunnyTradeCenterJaipur,Hindi,11:10,Royal,112₹,47,4
Orissa,Jeypore,SrNovoCinemaJeypore,Hindi,11:45,Luxury,200₹,24,0
Orissa,Jeypore,SrNovoCinemaJeypore,Hindi,11:45,Platinum,150₹,44,0
Orissa,Jeypore,SrNovoCinemaJeypore,Hindi,11:45,Gold,150₹,36,0
Gujarat,Vadodara,InoxTakshGalaxyMallMadhavpura,Hindi,11:50,Club,100₹,36,0
Gujarat,Vadodara,InoxTakshGalaxyMallMadhavpura,Hindi,11:50,Executive,100₹,18,0
Gujarat,Vadodara,InoxTakshGalaxyMallMadhavpura,Hindi,11:50,Royal,100₹,88,0
UttarPradesh,GreaterNoida,UsCinemasEuropaLuxGalaxyBlueSapphire,Hindi,12:00,LuxPlus,150₹,143,0
UttarPradesh,GreaterNoida,UsCinemasEuropaLuxGalaxyBlueSapphire,Hindi,12:00,Lux,130₹,80,0
Delhi,NewDelhi,PvrVegasDwarka,Hindi,12:00,Prime,200₹,15,2
Delhi,NewDelhi,PvrVegasDwarka,Hindi,12:00,Classic,200₹,105,6
Uttarakhand,Bazpur,SharmaPalaceMundiyaPistour,Hindi,12:00,Platinum,200₹,16,0
Uttarakhand,Bazpur,SharmaPalaceMundiyaPistour,Hindi,12:00,Gold,150₹,68,0
Uttarakhand,Bazpur,SharmaPalaceMundiyaPistour,Hindi,12:00,Silver,112₹,48,0
Maharashtra,Nagpur,PvrEmpressCityMallNagpur,Hindi,12:05,Classic,90₹,28,0
Maharashtra,Nagpur,PvrEmpressCityMallNagpur,Hindi,12:05,Prime,110₹,84,2
Maharashtra,Nagpur,PvrEmpressCityMallNagpur,Hindi,12:05,PrimePlus,130₹,110,18
Uttarakhand,Dehradun,SilvercityDehradun,Hindi,12:10,Silver,100₹,68,1
Uttarakhand,Dehradun,SilvercityDehradun,Hindi,12:10,Gold,120₹,137,0
Uttarakhand,Dehradun,SilvercityDehradun,Hindi,12:10,Platinum,170₹,15,0
Maharashtra,Mumbai,MoviemaxHumaKanjurmarg,Hindi,12:45,Silver,120₹,80,0
Maharashtra,Mumbai,MoviemaxHumaKanjurmarg,Hindi,12:45,Gold,130₹,80,0
Maharashtra,Mumbai,MoviemaxHumaKanjurmarg,Hindi,12:45,Platinum,130₹,76,0
Maharashtra,Mumbai,MoviemaxHumaKanjurmarg,Hindi,12:45,Recliner,220₹,14,0
Maharashtra,Mumbai,MovieMaxEternityThaneMumbai,Hindi,12:45,Classic,120₹,38,0
Maharashtra,Mumbai,MovieMaxEternityThaneMumbai,Hindi,12:45,Prime,130₹,168,0
Maharashtra,Mumbai,MovieMaxEternityThaneMumbai,Hindi,12:45,Recliner,180₹,23,0
WestBengal,Kolkata,InoxQuestMallBallygunge,Hindi,12:50,Club,160₹,162,3
WestBengal,Kolkata,InoxQuestMallBallygunge,Hindi,12:50,Executive,160₹,30,0
WestBengal,Kolkata,InoxQuestMallBallygunge,Hindi,12:50,RoyalRecliner,280₹,10,2
WestBengal,Kolkata,InoxQuestMallBallygunge,Hindi,12:50,Royal,160₹,48,0
UttarPradesh,Lucknow,InoxMegaplexEmeraldLucknow,Hindi,12:50,Club,140₹,64,0
UttarPradesh,Lucknow,InoxMegaplexEmeraldLucknow,Hindi,12:50,Executive,112₹,16,0
UttarPradesh,Lucknow,InoxMegaplexEmeraldLucknow,Hindi,12:50,Royale,160₹,44,0
UttarPradesh,Lucknow,PvrPhoenixUnitedMallAlambagh,Hindi,12:55,Classic,140₹,151,13
UttarPradesh,Lucknow,PvrPhoenixUnitedMallAlambagh,Hindi,12:55,Prime,200₹,9,0
UttarPradesh,Noida,CinepolisModiMallFormerlySpiceMall,Hindi,13:05,Normal,350₹,36,0
UttarPradesh,Lucknow,InoxRiversideMallGomtiNagar,Hindi,13:05,Club,140₹,93,0
UttarPradesh,Lucknow,InoxRiversideMallGomtiNagar,Hindi,13:05,Executive,112₹,20,0
Gujarat,Jamnagar,InoxCrystalMallJamnagar,Hindi,13:15,Club,130₹,116,0
Gujarat,Jamnagar,InoxCrystalMallJamnagar,Hindi,13:15,Executive,130₹,20,0
Gujarat,Jamnagar,InoxCrystalMallJamnagar,Hindi,13:15,Royal,160₹,34,0
Orissa,Sambalpur,EylexCinemaSambalpur,Hindi,13:20,Platinum,100₹,64,0
Orissa,Sambalpur,EylexCinemaSambalpur,Hindi,13:20,Recliners,200₹,30,0
Delhi,NewDelhi,PvrSapphirePacificD21Dwarka,Hindi,13:20,Classic,150₹,44,0
Delhi,NewDelhi,PvrSapphirePacificD21Dwarka,Hindi,13:20,Prime,150₹,18,2
Gujarat,Rajkot,CosmoplexMultiplexKalawadRoad,Hindi,13:20,Crew,180₹,10,0
Maharashtra,Mumbai,CinepolisMagnetMallBhandupW,Hindi,13:30,Vip,250₹,23,0
Maharashtra,Mumbai,CinepolisMagnetMallBhandupW,Hindi,13:30,Executive,100₹,68,2
Maharashtra,Mumbai,CinepolisMagnetMallBhandupW,Hindi,13:30,Normal,100₹,36,0
Delhi,NewDelhi,CinepolisPacificNsp2,Hindi,13:30,Normal,190₹,65,2
Delhi,NewDelhi,CinepolisPacificNsp2,Hindi,13:30,Executive,210₹,77,0
Delhi,NewDelhi,CinepolisPacificNsp2,Hindi,13:30,Vip,390₹,11,0
Maharashtra,NaviMumbai,CinepolisNexusSeawoodsNaviMumbai,Hindi,13:40,Normal,180₹,17,0
Maharashtra,NaviMumbai,CinepolisNexusSeawoodsNaviMumbai,Hindi,13:40,Executive,200₹,77,5
Maharashtra,NaviMumbai,CinepolisNexusSeawoodsNaviMumbai,Hindi,13:40,Premium,220₹,80,7
Maharashtra,NaviMumbai,CinepolisNexusSeawoodsNaviMumbai,Hindi,13:40,Vip,350₹,14,0
Rajasthan,Udaipur,PvrCelebrationMallUdaipur,Hindi,13:40,Classic,110₹,52,0
Rajasthan,Udaipur,PvrCelebrationMallUdaipur,Hindi,13:40,Prime,150₹,130,0
