State,City,Name,Language,Time(IST),Type,Price,Capacity,Booked
Haryana,Gurgaon,PvrDirectorsCutGurugramAmbienceMall,English,09:40,Platinum,600₹,42,0
Haryana,Gurgaon,PvrDirectorsCutGurugramAmbienceMall,English,09:40,PlatinumSuperior,600₹,16,0
Maharashtra,Mumbai,MetroInoxCinemaMGRoad,English,11:55,Kiddles,190₹,36,3
Delhi,NewDelhi,PvrVegasDwarka,English,12:30,Recliner,320₹,8,0
Delhi,NewDelhi,PvrVegasDwarka,English,12:30,Prime,320₹,14,0
Delhi,NewDelhi,PvrVegasDwarka,English,12:30,Classic,275₹,36,0
Haryana,Gurgaon,PvrMgfMall4DxGurgaon,English,13:10,Classic,350₹,84,3
Maharashtra,Mumbai,InoxMegaplexInorbitMall,English,13:55,Club,320₹,16,0
Maharashtra,Mumbai,InoxMegaplexInorbitMall,English,13:55,Royal,320₹,60,9
Maharashtra,Mumbai,PvrInfinitiMalad4DxMumbai,English,14:00,4DxPrime,270₹,52,14
Maharashtra,Mumbai,PvrInfinitiMalad4DxMumbai,English,14:00,4DxClassic,250₹,24,0
UttarPradesh,Noida,PvrLogixCityCentreNoida,English,15:55,Classic,270₹,38,38
Maharashtra,Mumbai,PvrIconOberoiGoregaonE,English,17:00,Classic,170₹,22,22
Maharashtra,Mumbai,PvrIconOberoiGoregaonE,English,17:00,Prime,170₹,96,96
Maharashtra,Mumbai,PvrIconOberoiGoregaonE,English,17:00,Recliner,170₹,26,26
AndhraPradesh,Hyderabad,PvrNextGalleriaMallPanjagutta,English,19:20,Classic,150₹,54,33
