City,Name,ZIP,Language,Time,Type,Price,Capacity,Booked
Pathankot,MirajCinemasPathankot,145001,Hindi,09:20,3DSilver,130₹,64,10
Pathankot,MirajCinemasPathankot,145001,Hindi,09:20,3DGold,230₹,12,2
Rajkot,CosmoplexMultiplexKalawadRoad,360001,Hindi,09:30,Crew,220₹,244,100
Rajkot,CosmoplexMultiplexKalawadRoad,360001,Hindi,09:30,Captain,240₹,174,105
Rajkot,CosmoplexMultiplexKalawadRoad,360001,Hindi,09:30,Club,340₹,28,27
Rajkot,CosmoplexMultiplexKalawadRoad,360001,Hindi,10:20,Crew,230₹,268,138
Belagavi,CarnivalKapeelNucleusMall,411001,Hindi,10:30,Platinum,230₹,140,26
Belagavi,CarnivalKapeelNucleusMall,411001,Hindi,10:30,Gold,230₹,85,0
Belagavi,CarnivalKapeelNucleusMall,411001,Hindi,10:30,Silver,230₹,51,0
Pathankot,MirajCinemasPathankot,145001,Hindi,12:00,3DSilver,130₹,64,12
Pathankot,MirajCinemasPathankot,145001,Hindi,12:00,3DGold,230₹,12,12
Rajkot,CosmoplexMultiplexKalawadRoad,360001,Hindi,12:00,Crew,220₹,10,0
Rajkot,CosmoplexMultiplexKalawadRoad,360001,Hindi,12:00,Captain,240₹,10,0
Rajkot,CosmoplexMultiplexKalawadRoad,360001,Hindi,12:00,Club,340₹,10,0
Rajkot,CosmoplexMultiplexKalawadRoad,360001,Hindi,13:20,Crew,230₹,268,139
Surat,CityPlusMultiplexDumasRoad,395007,Hindi,13:40,GoldStar,170₹,10,0
Surat,CityPlusMultiplexDumasRoad,395007,Hindi,13:40,Gold,190₹,10,0
Surat,CityPlusMultiplexDumasRoad,395007,Hindi,13:40,Executive,350₹,10,0
Rajkot,CosmoplexMultiplexKalawadRoad,360001,Hindi,14:30,Crew,270₹,244,108
Rajkot,CosmoplexMultiplexKalawadRoad,360001,Hindi,14:30,Captain,290₹,174,105
Rajkot,CosmoplexMultiplexKalawadRoad,360001,Hindi,14:30,Club,350₹,28,21
Pathankot,MirajCinemasPathankot,145001,Hindi,14:40,3DSilver,130₹,64,8
Pathankot,MirajCinemasPathankot,145001,Hindi,14:40,3DGold,230₹,12,6
Belagavi,CarnivalKapeelNucleusMall,411001,Hindi,15:45,Platinum,230₹,140,86
Belagavi,CarnivalKapeelNucleusMall,411001,Hindi,15:45,Gold,230₹,85,5
Belagavi,CarnivalKapeelNucleusMall,411001,Hindi,15:45,Silver,230₹,51,0
Rajkot,CosmoplexMultiplexKalawadRoad,360001,Hindi,17:00,Crew,270₹,244,99
Rajkot,CosmoplexMultiplexKalawadRoad,360001,Hindi,17:00,Captain,290₹,174,105
Rajkot,CosmoplexMultiplexKalawadRoad,360001,Hindi,17:00,Club,350₹,28,25
Pathankot,MirajCinemasPathankot,145001,Hindi,17:20,3DSilver,130₹,64,28
Pathankot,MirajCinemasPathankot,145001,Hindi,17:20,3DGold,230₹,12,9
Surat,CityPlusMultiplexDumasRoad,395007,Hindi,19:15,GoldStar,230₹,10,0
Surat,CityPlusMultiplexDumasRoad,395007,Hindi,19:15,Gold,250₹,10,0
Surat,CityPlusMultiplexDumasRoad,395007,Hindi,19:15,Executive,450₹,10,0
Rajkot,CosmoplexMultiplexKalawadRoad,360001,English,19:30,Crew,280₹,244,104
Rajkot,CosmoplexMultiplexKalawadRoad,360001,English,19:30,Captain,300₹,174,123
Rajkot,CosmoplexMultiplexKalawadRoad,360001,English,19:30,Club,360₹,10,0
Pathankot,MirajCinemasPathankot,145001,Hindi,20:00,3DSilver,130₹,64,2
Pathankot,MirajCinemasPathankot,145001,Hindi,20:00,3DGold,230₹,12,0
Kashipur,SrsRrSquareMallRatanRoad,244713,English,22:00,Gold,200₹,206,0
Kashipur,SrsRrSquareMallRatanRoad,244713,English,22:00,PremiumSofa,250₹,16,5
Kashipur,SrsRrSquareMallRatanRoad,244713,English,22:00,Executive,500₹,10,0
Surat,CityPlusMultiplexDumasRoad,395007,Hindi,22:15,GoldStar,230₹,10,0
Surat,CityPlusMultiplexDumasRoad,395007,Hindi,22:15,Gold,250₹,10,0
Surat,CityPlusMultiplexDumasRoad,395007,Hindi,22:15,Executive,450₹,10,0
Rajkot,CosmoplexMultiplexKalawadRoad,360001,Hindi,22:40,Crew,310₹,244,100
Rajkot,CosmoplexMultiplexKalawadRoad,360001,Hindi,22:40,Captain,330₹,174,103
Rajkot,CosmoplexMultiplexKalawadRoad,360001,Hindi,22:40,Club,380₹,28,25
