City,Name,Language,Time,Type,Price,Capacity,Booked
Nagpur,KamalTalkiesNagpur,Marathi,09:00,Balcony,150₹,100,0
Nagpur,KamalTalkiesNagpur,Marathi,09:00,Gold,100₹,100,0
Nagpur,KamalTalkiesNagpur,Marathi,09:00,Silver,80₹,100,0
Nashik,InoxOldVijayMamtaNasik,Marathi,10:05,Executive,90₹,46,0
Nashik,InoxOldVijayMamtaNasik,Marathi,10:05,Platinum,112₹,88,9
Nashik,InoxOldVijayMamtaNasik,Marathi,10:05,Silver,112₹,189,10
Nashik,CinemaxCityCenterNasik,Marathi,10:45,Recliner,290₹,18,12
Nashik,CinemaxCityCenterNasik,Marathi,10:45,Prime,140₹,139,47
Nashik,CinemaxCityCenterNasik,Marathi,10:45,Classic,110₹,34,3
Kolhapur,InoxRelianceMegaMallLaxmipuri,Marathi,10:55,Club,140₹,84,0
Kolhapur,InoxRelianceMegaMallLaxmipuri,Marathi,10:55,Executive,140₹,28,0
Kolhapur,InoxRelianceMegaMallLaxmipuri,Marathi,10:55,Royale,140₹,21,7
Mumbai,CinepolisSeawoodsGrandCentralMall,Marathi,11:00,Normal,200₹,30,0
Mumbai,CinepolisSeawoodsGrandCentralMall,Marathi,11:00,Executive,220₹,66,2
Mumbai,CinepolisSeawoodsGrandCentralMall,Marathi,11:00,Premium,240₹,36,2
Mumbai,CinepolisSeawoodsGrandCentralMall,Marathi,11:00,Vip,440₹,14,4
Pune,VaibhavChitramandirHadapsar,Marathi,11:15,Gold,100₹,100,0
Washim,H2MMovieplexPatniCommercial,Marathi,11:15,Gl,100₹,96,0
Washim,H2MMovieplexPatniCommercial,Marathi,11:15,Pl,100₹,60,0
Washim,H2MMovieplexPatniCommercial,Marathi,11:15,Sf,100₹,500,479
Washim,H2MMovieplexPatniCommercial,Marathi,11:15,Sl,70₹,52,0
Pune,InoxRoyalHeritageMallNibmExt,Marathi,11:30,Club,112₹,39,0
Pune,InoxRoyalHeritageMallNibmExt,Marathi,11:30,Executive,112₹,26,0
Pune,InoxRoyalHeritageMallNibmExt,Marathi,11:30,RoyaleRecliners,190₹,16,0
Pune,InoxRoyalHeritageMallNibmExt,Marathi,11:30,Royale,112₹,21,2
Aurangabad,InoxTapadiaMallTownCenter,Marathi,11:35,Premiere,100₹,21,0
Aurangabad,InoxTapadiaMallTownCenter,Marathi,11:35,Royal,180₹,9,0
Aurangabad,InoxTapadiaMallTownCenter,Marathi,11:35,Silver,100₹,131,0
Aurangabad,InoxTapadiaMallTownCenter,Marathi,11:35,Premiere,100₹,41,0
Aurangabad,InoxTapadiaMallTownCenter,Marathi,11:35,Royal,180₹,18,0
Aurangabad,InoxTapadiaMallTownCenter,Marathi,11:35,Silver,100₹,262,18
Mumbai,MetroInoxCinemaMGRoad,Marathi,11:55,Club,160₹,144,10
Mumbai,MetroInoxCinemaMGRoad,Marathi,11:55,Executive,140₹,36,0
Mumbai,MetroInoxCinemaMGRoad,Marathi,11:55,Royale,190₹,46,5
Jalgaon,AshokTalkiesPolanPeth,Marathi,12:00,BoxA,100₹,16,16
Jalgaon,AshokTalkiesPolanPeth,Marathi,12:00,BoxB,100₹,15,15
Jalgaon,AshokTalkiesPolanPeth,Marathi,12:00,Balcony,100₹,158,143
Jalgaon,AshokTalkiesPolanPeth,Marathi,12:00,FirstClass,50₹,561,511
