City,Name,ZIP,Language,Time,Type,Price,Capacity,Booked
Ahmedabad,ConnplexSmartScienceCity,380060,Hindi,00:45,Miller,250₹,41,0
Ahmedabad,ConnplexSmartScienceCity,380060,Hindi,01:00,Miller,250₹,41,0
Ahmedabad,ConnplexSmartScienceCity,380060,Hindi,08:00,Miller,120₹,38,0
Ahmedabad,ConnplexSmartScienceCity,380060,Hindi,08:00,Lounger,120₹,9,0
Ahmedabad,NewfangledMiniplexMoteraAhmedabad,380005,Hindi,08:30,CoupleSeat,400₹,29,0
Bhavnagar,MaxusCinemaBhavnagar,364002,Hindi,08:30,Sofa,112₹,35,1
Bhavnagar,MaxusCinemaBhavnagar,364002,Hindi,08:30,PremierPlus,99₹,258,2
Bhavnagar,MaxusCinemaBhavnagar,364002,Hindi,08:30,Premium,99₹,42,0
Gorakhpur,InoxOrionMallMohaddipur,273010,Hindi,09:00,Club,170₹,124,2
Gorakhpur,InoxOrionMallMohaddipur,273010,Hindi,09:00,Executive,150₹,30,0
Gorakhpur,InoxOrionMallMohaddipur,273010,Hindi,09:00,RoyaleRecliners,390₹,9,0
Gorakhpur,InoxOrionMallMohaddipur,273010,Hindi,09:00,Royale,190₹,47,0
Pune,RajhansCinemas93AvenueMallFatimaNagar,411022,Hindi,09:00,Marvel,100₹,36,0
Pune,RajhansCinemas93AvenueMallFatimaNagar,411022,Hindi,09:00,Royal,100₹,76,0
Pune,RajhansCinemas93AvenueMallFatimaNagar,411022,Hindi,09:00,Executive,100₹,132,23
Pune,RajhansCinemas93AvenueMallFatimaNagar,411022,Hindi,09:00,Recliner,190₹,23,5
Surat,CineverseCinemaVesuSurat,395007,Hindi,09:00,Sofa,150₹,55,0
Surat,CineverseCinemaVesuSurat,395007,Hindi,09:00,Recliner,150₹,8,0
Kanpur,PvrDeepKanpur,208014,Hindi,09:00,Classic,112₹,134,9
Kanpur,PvrDeepKanpur,208014,Hindi,09:00,Prime,140₹,60,15
Kanpur,PvrDeepKanpur,208014,Hindi,09:00,Recliner,240₹,12,0
Mumbai,InoxNakshatraMallDadarW,400028,Hindi,09:00,Executive,112₹,36,0
Mumbai,InoxNakshatraMallDadarW,400028,Hindi,09:00,Premiere,112₹,139,0
Mumbai,InoxNakshatraMallDadarW,400028,Hindi,09:00,Royal,140₹,8,4
Mumbai,InoxNakshatraMallDadarW,400028,Hindi,09:00,Silver,112₹,84,5
Ghaziabad,PvrVvipRajNagarExtension,201001,Hindi,09:00,Classic,135₹,136,4
Ghaziabad,PvrVvipRajNagarExtension,201001,Hindi,09:00,Prime,187₹,10,0
Gurgaon,CinepolisAiriaMallSohnaRoadGurgaon,122103,Hindi,09:00,Vip,400₹,8,0
Gurgaon,CinepolisAiriaMallSohnaRoadGurgaon,122103,Hindi,09:00,Premium,220₹,34,0
Gurgaon,CinepolisAiriaMallSohnaRoadGurgaon,122103,Hindi,09:00,Executive,200₹,60,0
Gurgaon,CinepolisAiriaMallSohnaRoadGurgaon,122103,Hindi,09:00,Normal,180₹,29,0
Gurgaon,InoxGurgaonArdeeMall,122003,Hindi,09:00,Insignia,500₹,25,0
Gwalior,FunCinemaDdCityMallGwalior,474001,Hindi,09:00,Normal,110₹,110,0
Gwalior,FunCinemaDdCityMallGwalior,474001,Hindi,09:00,Executive,120₹,208,27
Bharuch,InoxBlueChipMallBharuch,392001,Hindi,09:00,Executive,100₹,66,0
Bharuch,InoxBlueChipMallBharuch,392001,Hindi,09:00,Gold,140₹,8,0
Bharuch,InoxBlueChipMallBharuch,392001,Hindi,09:00,Silver,112₹,174,3
Siliguri,InoxVegaCircleMallSevokeRoad,734001,Hindi,09:00,Club,250₹,68,0
Siliguri,InoxVegaCircleMallSevokeRoad,734001,Hindi,09:00,Executive,250₹,34,0
Siliguri,InoxVegaCircleMallSevokeRoad,734001,Hindi,09:00,Royal,280₹,148,0
Mumbai,MovieMaxWonderThaneMumbai,400601,Hindi,09:00,Prime,110₹,154,0
Mumbai,MovieMaxWonderThaneMumbai,400601,Hindi,09:00,PrimePlus,130₹,32,2
Mumbai,MovieMaxWonderThaneMumbai,400601,Hindi,09:00,Classic,100₹,66,0
Mumbai,InoxThakurMallDahisarE,400068,Hindi,09:00,Executive,112₹,45,0
Mumbai,InoxThakurMallDahisarE,400068,Hindi,09:00,Premier,112₹,435,6
Ahmedabad,CinemaxShivAshramRoad,380015,Hindi,09:00,Recliner,250₹,21,0
Ahmedabad,CinemaxShivAshramRoad,380015,Hindi,09:00,Prime,120₹,199,24
Faridabad,InoxCrownInteriorzMallDelhiMathuraRoad,121003,Hindi,09:00,Club,180₹,276,2
Faridabad,InoxCrownInteriorzMallDelhiMathuraRoad,121003,Hindi,09:00,Executive,160₹,78,0
Ahmedabad,NewfangledMiniplexMondealRetailParkAhmedabad,380015,Hindi,09:00,VipClub,450₹,100,0
Ahmedabad,NewfangledMiniplexMondealRetailParkAhmedabad,380015,Hindi,09:00,Premium,400₹,100,0
Howrah,MirajCinemasAurobinoMallHowrah,711106,Hindi,09:00,Premium,100₹,136,0
Howrah,MirajCinemasAurobinoMallHowrah,711106,Hindi,09:00,Deluxe,100₹,121,0
Ahmednagar,AshaSquareMultiplexAhmednagar,414001,Hindi,09:00,GoldenClass,120₹,342,0
Rajkot,InoxRWorldRajkot,360001,Hindi,09:00,Gold,180₹,133,0
