City,Name,Language,Time,Type,Price,Capacity,Booked
Hyderabad,AnjaliTheatreSecunderabad,Telugu,11:00,UpperBalcony,150₹,94,48
Hyderabad,AnjaliTheatreSecunderabad,Telugu,11:00,LowerBalcony,100₹,406,301
Hyderabad,AnjaliTheatreSecunderabad,Telugu,11:00,ThirdClass,40₹,164,164
Anakapalle,SvcSriSatyaACDtsNearGowriParameswarTemple,Telugu,11:00,Premium,147₹,344,0
Anakapalle,SvcSriSatyaACDtsNearGowriParameswarTemple,Telugu,11:00,NonPemium,100₹,128,128
Srikakulam,SriRamaKrishnaTheatreSrikakulam,Telugu,11:00,PremiumClass,147₹,323,273
Srikakulam,SriRamaKrishnaTheatreSrikakulam,Telugu,11:00,NonPremiumClass,100₹,102,102
Vizag,SvcCinemasGokulVisakhapatnam,Telugu,11:00,FirstClass,147₹,352,0
Vizag,SvcCinemasGokulVisakhapatnam,Telugu,11:00,SecondClass,100₹,126,0
Addanki,VCelluloidsSatyanarayanaKalamandirNspColony,Telugu,11:00,GoldClass,100₹,264,23
Addanki,VCelluloidsSatyanarayanaKalamandirNspColony,Telugu,11:00,ExecutiveClass,70₹,65,0
Rajahmundry,UrvasiComplexMangalavaripeta,Telugu,11:00,BalconyCl,112₹,352,112
Rajahmundry,UrvasiComplexMangalavaripeta,Telugu,11:00,ReservedCl,112₹,192,1
Rajahmundry,UrvasiComplexMangalavaripeta,Telugu,11:00,SecondCl,75₹,128,39
Guntur,VCelluloidBhaskarCinemasKothapet,Telugu,11:25,Platinum,295₹,42,22
Guntur,VCelluloidBhaskarCinemasKothapet,Telugu,11:25,Gold,145₹,611,317
Guntur,VCelluloidBhaskarCinemasKothapet,Telugu,11:25,Silver,80₹,115,46
Guntur,VCelluloidBhaskarCinemasKothapet,Telugu,11:25,Executive,80₹,92,46
Hyderabad,AnjaliTheatreSecunderabad,Telugu,14:00,UpperBalcony,150₹,94,48
Hyderabad,AnjaliTheatreSecunderabad,Telugu,14:00,LowerBalcony,100₹,406,301
Hyderabad,AnjaliTheatreSecunderabad,Telugu,14:00,ThirdClass,40₹,164,164
Anakapalle,SvcSriSatyaACDtsNearGowriParameswarTemple,Telugu,14:30,Premium,147₹,344,0
Anakapalle,SvcSriSatyaACDtsNearGowriParameswarTemple,Telugu,14:30,NonPemium,100₹,128,128
Guntur,VCelluloidBhaskarCinemasKothapet,Telugu,14:30,Platinum,295₹,42,22
Guntur,VCelluloidBhaskarCinemasKothapet,Telugu,14:30,Gold,145₹,611,318
Guntur,VCelluloidBhaskarCinemasKothapet,Telugu,14:30,Silver,80₹,115,52
Guntur,VCelluloidBhaskarCinemasKothapet,Telugu,14:30,Executive,80₹,92,46
Srikakulam,SriRamaKrishnaTheatreSrikakulam,Telugu,14:30,PremiumClass,147₹,323,273
Srikakulam,SriRamaKrishnaTheatreSrikakulam,Telugu,14:30,NonPremiumClass,100₹,102,102
Vizag,SvcCinemasGokulVisakhapatnam,Telugu,14:30,FirstClass,147₹,352,0
Vizag,SvcCinemasGokulVisakhapatnam,Telugu,14:30,SecondClass,100₹,126,0
Addanki,VCelluloidsSatyanarayanaKalamandirNspColony,Telugu,14:30,GoldClass,100₹,264,23
Addanki,VCelluloidsSatyanarayanaKalamandirNspColony,Telugu,14:30,ExecutiveClass,70₹,65,0
Bellary,RrCinemasBellary,Telugu,17:00,Gold,150₹,124,83
Bellary,RrCinemasBellary,Telugu,17:00,Silver,100₹,242,132
Hyderabad,AnjaliTheatreSecunderabad,Telugu,18:00,UpperBalcony,150₹,94,48
Hyderabad,AnjaliTheatreSecunderabad,Telugu,18:00,LowerBalcony,100₹,406,301
Hyderabad,AnjaliTheatreSecunderabad,Telugu,18:00,ThirdClass,40₹,164,164
Addanki,VCelluloidsSatyanarayanaKalamandirNspColony,Telugu,18:00,GoldClass,100₹,264,23
Addanki,VCelluloidsSatyanarayanaKalamandirNspColony,Telugu,18:00,ExecutiveClass,70₹,65,0
Vizag,SvcCinemasGokulVisakhapatnam,Telugu,18:15,FirstClass,147₹,352,0
Vizag,SvcCinemasGokulVisakhapatnam,Telugu,18:15,SecondClass,100₹,126,0
Rajahmundry,UrvasiComplexMangalavaripeta,Telugu,18:15,BalconyCl,112₹,352,112
Rajahmundry,UrvasiComplexMangalavaripeta,Telugu,18:15,ReservedCl,112₹,192,1
Rajahmundry,UrvasiComplexMangalavaripeta,Telugu,18:15,SecondCl,75₹,128,39
Guntur,VCelluloidBhaskarCinemasKothapet,Telugu,18:25,Platinum,295₹,42,22
Guntur,VCelluloidBhaskarCinemasKothapet,Telugu,18:25,Gold,145₹,611,317
Guntur,VCelluloidBhaskarCinemasKothapet,Telugu,18:25,Silver,80₹,115,46
Guntur,VCelluloidBhaskarCinemasKothapet,Telugu,18:25,Executive,80₹,92,46
Anakapalle,SvcSriSatyaACDtsNearGowriParameswarTemple,Telugu,18:30,Premium,147₹,344,0
Anakapalle,SvcSriSatyaACDtsNearGowriParameswarTemple,Telugu,18:30,NonPemium,100₹,128,128
Srikakulam,SriRamaKrishnaTheatreSrikakulam,Telugu,18:30,PremiumClass,147₹,323,273
Srikakulam,SriRamaKrishnaTheatreSrikakulam,Telugu,18:30,NonPremiumClass,100₹,102,102
Bellary,RrCinemasBellary,Telugu,20:00,Gold,150₹,124,83
Bellary,RrCinemasBellary,Telugu,20:00,Silver,100₹,242,132
Hyderabad,AnjaliTheatreSecunderabad,Telugu,21:00,UpperBalcony,150₹,94,48
Hyderabad,AnjaliTheatreSecunderabad,Telugu,21:00,LowerBalcony,100₹,406,301
Hyderabad,AnjaliTheatreSecunderabad,Telugu,21:00,ThirdClass,40₹,164,164
Anakapalle,SvcSriSatyaACDtsNearGowriParameswarTemple,Telugu,21:30,Premium,147₹,344,0
Anakapalle,SvcSriSatyaACDtsNearGowriParameswarTemple,Telugu,21:30,NonPemium,100₹,128,128
Narasannapeta,SreedeviPicturePalace,Telugu,21:30,Premium,100₹,392,0
Narasannapeta,SreedeviPicturePalace,Telugu,21:30,NonPremium2Cl,80₹,130,0
Guntur,VCelluloidBhaskarCinemasKothapet,Telugu,21:30,Platinum,295₹,42,22
Guntur,VCelluloidBhaskarCinemasKothapet,Telugu,21:30,Gold,145₹,611,317
Guntur,VCelluloidBhaskarCinemasKothapet,Telugu,21:30,Silver,80₹,115,49
Guntur,VCelluloidBhaskarCinemasKothapet,Telugu,21:30,Executive,80₹,92,46
Vizag,SvcCinemasGokulVisakhapatnam,Telugu,21:30,FirstClass,147₹,352,0
Vizag,SvcCinemasGokulVisakhapatnam,Telugu,21:30,SecondClass,100₹,126,0
Addanki,VCelluloidsSatyanarayanaKalamandirNspColony,Telugu,21:30,GoldClass,100₹,264,23
Addanki,VCelluloidsSatyanarayanaKalamandirNspColony,Telugu,21:30,ExecutiveClass,70₹,65,0
Rajahmundry,UrvasiComplexMangalavaripeta,Telugu,21:30,BalconyCl,112₹,352,112
Rajahmundry,UrvasiComplexMangalavaripeta,Telugu,21:30,ReservedCl,112₹,192,1
Rajahmundry,UrvasiComplexMangalavaripeta,Telugu,21:30,SecondCl,75₹,128,39
Srikakulam,SriRamaKrishnaTheatreSrikakulam,Telugu,21:45,PremiumClass,147₹,323,273
Srikakulam,SriRamaKrishnaTheatreSrikakulam,Telugu,21:45,NonPremiumClass,100₹,102,102
