State,City,Name,Language,Time(IST),Type,Price,Capacity,Booked
Gujarat,Ahmedabad,TimeCinemaCgRoad,Gujarati,09:00,Sofa200,200₹,84,0
Gujarat,Ahmedabad,RajhansCinemaVastral,Gujarati,09:10,Marvel,100₹,24,0
Gujarat,Ahmedabad,RajhansCinemaVastral,Gujarati,09:10,Royal,100₹,28,0
Gujarat,Ahmedabad,RajhansCinemaVastral,Gujarati,09:10,Executive,110₹,103,6
Gujarat,Ahmedabad,RajhansCinemaVastral,Gujarati,09:10,Recliner,200₹,17,6
Gujarat,Surat,CinepolisImperialSquareMallAdajan,Gujarati,09:10,Normal,110₹,22,0
Gujarat,Surat,CinepolisImperialSquareMallAdajan,Gujarati,09:10,Premium,110₹,33,0
Gujarat,Surat,CinepolisImperialSquareMallAdajan,Gujarati,09:10,Executive,110₹,89,0
Gujarat,Surat,InoxVrSuratDumasRoad,Gujarati,09:45,Club,112₹,122,6
Gujarat,Surat,InoxVrSuratDumasRoad,Gujarati,09:45,Executive,112₹,34,0
Gujarat,Surat,InoxVrSuratDumasRoad,Gujarati,09:45,Royal,140₹,54,3
Gujarat,Surat,InoxVrSuratDumasRoad,Gujarati,09:45,RoyalRecliner,280₹,12,0
Gujarat,Surat,PvrRahulRajMallDumasRoad,Gujarati,10:00,Recliner,280₹,24,10
Gujarat,Surat,PvrRahulRajMallDumasRoad,Gujarati,10:00,Prime,140₹,72,17
Gujarat,Surat,PvrRahulRajMallDumasRoad,Gujarati,10:00,ClassicPlus,120₹,30,4
Gujarat,Surat,PvrRahulRajMallDumasRoad,Gujarati,10:00,Classic,120₹,30,0
Gujarat,Vadodara,PvrTransCubeVadodara,Gujarati,10:00,Classic,110₹,34,0
Gujarat,Vadodara,PvrTransCubeVadodara,Gujarati,10:00,Prime,110₹,100,7
Gujarat,Vadodara,PvrTransCubeVadodara,Gujarati,10:00,Recliner,300₹,8,0
Gujarat,Ahmedabad,MirajCityPulseManiNagar,Gujarati,10:00,Gold,140₹,24,0
Maharashtra,Mumbai,CarnivalMoviestarGoregaonW,Gujarati,10:00,GoldOffline,90₹,46,4
Maharashtra,Mumbai,CarnivalMoviestarGoregaonW,Gujarati,10:00,SilverOffline,90₹,24,9
Gujarat,Ahmedabad,CineworldVishalaEmpireNaroda,Gujarati,10:05,Platinum,300₹,59,14
Gujarat,Ahmedabad,CineworldVishalaEmpireNaroda,Gujarati,10:05,Gold,99₹,59,14
Gujarat,Ahmedabad,CineworldVishalaEmpireNaroda,Gujarati,10:05,Silver,99₹,59,14
Gujarat,Rajkot,CosmoplexMultiplexKalawadRoad,Gujarati,11:30,Crew,200₹,10,0
Gujarat,Ahmedabad,RajhansCinemaVastral,Gujarati,11:50,Marvel,110₹,24,0
Gujarat,Ahmedabad,RajhansCinemaVastral,Gujarati,11:50,Royal,130₹,28,0
Gujarat,Ahmedabad,RajhansCinemaVastral,Gujarati,11:50,Executive,150₹,103,6
Gujarat,Ahmedabad,RajhansCinemaVastral,Gujarati,11:50,Recliner,250₹,17,6
Gujarat,Ahmedabad,TimeCinemaCgRoad,Gujarati,12:00,Standard180,180₹,108,8
Maharashtra,Mumbai,CarnivalRMallMulundW,Gujarati,12:10,ReclinerOffline,200₹,13,7
Maharashtra,Mumbai,CarnivalRMallMulundW,Gujarati,12:10,GoldOffline,130₹,114,15
Maharashtra,Mumbai,CarnivalRMallMulundW,Gujarati,12:10,SpecialOffline,110₹,18,0
