State,City,Name,Language,Time(IST),Type,Price,Capacity,Booked
Gujarat,Ahmedabad,PvrAcropolisMallThaltej,English,00:55,Prime0000000002,450₹,42,42
Gujarat,Ahmedabad,PvrAcropolisMallThaltej,English,00:55,Classic0000000007,420₹,42,42
Gujarat,Ahmedabad,PvrAcropolisMallThaltej,English,00:55,Recliner0000000008,820₹,11,11
Gujarat,Ahmedabad,PvrAcropolisMallThaltej,English,00:55,PrimePlus0000000009,480₹,70,70
Kerala,Kochi,Pvr4DxLuluKochi,English,08:00,3DClassic,575₹,116,116
Gujarat,Surendranagar,NyCinemasSurendranagar,Hindi,08:00,3DRecliner0000000005,350₹,12,12
Gujarat,Surendranagar,NyCinemasSurendranagar,Hindi,08:00,3DGold0000000002,250₹,109,60
Gujarat,Surendranagar,NyCinemasSurendranagar,Hindi,08:00,3DSilver0000000003,150₹,52,0
Gujarat,Ahmedabad,BananaSmartplexSbrThaltej,Hindi,08:00,Premium2748Premium,180₹,83,0
Gujarat,Rajkot,InoxRelianceMegaMallRajkot,Hindi,08:00,ClubCl,240₹,72,5
Gujarat,Rajkot,InoxRelianceMegaMallRajkot,Hindi,08:00,ExecutiveEx,220₹,24,0
Gujarat,Rajkot,InoxRelianceMegaMallRajkot,Hindi,08:00,RoyalRy,260₹,45,8
Maharashtra,Mumbai,PvrIconInfinitiAndheriW,English,08:00,Classic0000000021,180₹,60,0
Maharashtra,Mumbai,PvrIconInfinitiAndheriW,English,08:00,DboxPrime0000000039,300₹,40,10
Maharashtra,Mumbai,PvrIconInfinitiAndheriW,English,08:00,Prime0000000022,200₹,180,0
Maharashtra,Mumbai,PvrIconInfinitiAndheriW,English,08:00,DboxRecliner0000000034,400₹,16,0
Maharashtra,Thane,CinepolisVivianaMallThaneW,English,08:00,Normal0000000000,210₹,41,0
Maharashtra,Thane,CinepolisVivianaMallThaneW,English,08:00,Executive0000000002,210₹,215,0
Maharashtra,Thane,CinepolisVivianaMallThaneW,English,08:00,Premium0000000001,210₹,73,24
Gujarat,Surat,InoxRajImperialVarachhaRoad,Hindi,08:10,GoldGl,140₹,248,12
Gujarat,Surat,InoxRajImperialVarachhaRoad,Hindi,08:10,ImperialIp,310₹,7,0
Gujarat,Surat,InoxRajImperialVarachhaRoad,Hindi,08:10,PlatinumPl,170₹,97,2
Gujarat,Surat,InoxRajImperialVarachhaRoad,Hindi,08:10,SilverSl,140₹,44,0
Gujarat,Rajkot,InoxRWorldRajkot,Hindi,08:15,GoldGl,250₹,191,0
Gujarat,Rajkot,InoxRWorldRajkot,Hindi,08:15,SilverSl,220₹,51,0
Gujarat,Ahmedabad,NewfangledMiniplexMondealRetailParkAhmedabad,Hindi,08:30,VipClub2685VipClub,300₹,12,0
Gujarat,Ahmedabad,NewfangledMiniplexMondealRetailParkAhmedabad,Hindi,08:30,Premium2686Premium,300₹,11,0
Gujarat,Ahmedabad,NewfangledMiniplexMoteraAhmedabad,Hindi,08:30,CoupleSeat2619CoupleSeat,300₹,38,0
Gujarat,Bhavnagar,MaxusCinemaBhavnagar,Hindi,08:45,Sofa1345Sofa,199₹,35,1
Gujarat,Bhavnagar,MaxusCinemaBhavnagar,Hindi,08:45,PremierPlus1346PremierPlus,149₹,258,15
Gujarat,Bhavnagar,MaxusCinemaBhavnagar,Hindi,08:45,Premium2108Premium,149₹,42,0
Maharashtra,Pune,VictoryTheatreCamp,Hindi,08:45,3DGold0000000003,80₹,57,0
Maharashtra,Pune,VictoryTheatreCamp,Hindi,08:45,3DPlatinum0000000002,80₹,230,29
Maharashtra,Pune,VictoryTheatreCamp,Hindi,08:45,3DBalcony0000000001,100₹,152,152
Maharashtra,Pune,InoxElproCitySquareChinchwad,English,08:45,ClubCl,180₹,108,1
Maharashtra,Pune,InoxElproCitySquareChinchwad,English,08:45,ExecutiveEx,180₹,36,0
Maharashtra,Pune,InoxElproCitySquareChinchwad,English,08:45,RoyaleReclinersRr,300₹,31,3
Maharashtra,Pune,InoxElproCitySquareChinchwad,English,08:45,RoyaleRy,200₹,98,11
Bihar,Patna,CinepolisPMMallPatna,Hindi,08:50,Normal0000000000,260₹,280,4
Delhi,NewDelhi,CinepolisV3SMallLaxmiNagar,Hindi,08:55,Normal0000000000,270₹,145,2
Delhi,NewDelhi,CinepolisV3SMallLaxmiNagar,Hindi,08:55,Executive0000000002,280₹,144,13
Gujarat,Anand,InfinityCinemas,Hindi,09:00,Recliner2519Recliner,260₹,19,0
Gujarat,Anand,InfinityCinemas,Hindi,09:00,Platinum2520Platinum,160₹,50,0
Gujarat,Anand,InfinityCinemas,Hindi,09:00,Gold2521Gold,140₹,60,0
Rajasthan,Jaipur,PvrMallOfJaipur,English,09:00,Prime0000000003,220₹,56,16
Rajasthan,Jaipur,PvrMallOfJaipur,English,09:00,PrimePlus0000000005,240₹,32,4
Rajasthan,Jaipur,PvrMallOfJaipur,English,09:00,Recliner0000000004,380₹,11,2
Rajasthan,Jaipur,PvrMallOfJaipur,English,09:00,Classic0000000002,200₹,24,0
UttarPradesh,Lucknow,InoxUmraoMallMahanagar,Hindi,09:00,ClubCl,200₹,127,0
UttarPradesh,Lucknow,InoxUmraoMallMahanagar,Hindi,09:00,ExecutiveEx,170₹,34,0
UttarPradesh,Lucknow,InoxUmraoMallMahanagar,Hindi,09:00,RoyaleReclinersRr,340₹,12,0
UttarPradesh,Lucknow,InoxUmraoMallMahanagar,Hindi,09:00,RoyaleRy,200₹,28,0
Gujarat,Vadodara,PvrNilamberTriumphMallSaiyedVasna,English,09:00,Recliner0000000003,360₹,7,0
Gujarat,Vadodara,PvrNilamberTriumphMallSaiyedVasna,English,09:00,Prime0000000002,180₹,134,15
Gujarat,Vadodara,PvrNilamberTriumphMallSaiyedVasna,English,09:00,Classic0000000001,180₹,33,0
MadhyaPradesh,Ujjain,PvrTreasureBazaarMallUjjain,Hindi,09:00,Prime0000000005,140₹,122,32
MadhyaPradesh,Ujjain,PvrTreasureBazaarMallUjjain,Hindi,09:00,ClassicPlus0000000007,140₹,33,0
MadhyaPradesh,Ujjain,PvrTreasureBazaarMallUjjain,Hindi,09:00,Classic0000000004,140₹,33,0
Uttarakhand,Rudrapur,FunCinemasRaveCinemaRudrapur,Hindi,09:00,Gold0000000002,200₹,15,0
Uttarakhand,Rudrapur,FunCinemasRaveCinemaRudrapur,Hindi,09:00,Silver0000000001,150₹,65,0
Gujarat,Anand,InoxCityPulseMallAnand,Hindi,09:00,GoldGl,190₹,48,0
Assam,Guwahati,NyCinemas,English,09:00,3DClassic0000000004,160₹,41,0
Assam,Guwahati,NyCinemas,English,09:00,3DPrime0000000003,190₹,166,26
Assam,Guwahati,NyCinemas,English,09:00,3DRecliner0000000002,330₹,43,0
Gujarat,Ahmedabad,RajhansCinemasSatadhar,Hindi,09:00,3DMarvel0000000002,180₹,32,0
Gujarat,Ahmedabad,RajhansCinemasSatadhar,Hindi,09:00,3DRoyal0000000003,180₹,112,0
Gujarat,Ahmedabad,RajhansCinemasSatadhar,Hindi,09:00,3DExecutive0000000001,180₹,184,24
Gujarat,Ahmedabad,RajhansCinemasSatadhar,Hindi,09:00,3DBox0000000004,180₹,6,6
UttarPradesh,Lucknow,FunCinemaFunRepublicMallGomtiNagar,Hindi,09:00,Normal0000000000,160₹,110,0
UttarPradesh,Lucknow,FunCinemaFunRepublicMallGomtiNagar,Hindi,09:00,Executive0000000002,180₹,232,3
Gujarat,Rajkot,InoxRelianceMegaMallRajkot,Hindi,09:00,ClubCl,210₹,72,42
Gujarat,Rajkot,InoxRelianceMegaMallRajkot,Hindi,09:00,ExecutiveEx,180₹,24,0
Gujarat,Rajkot,InoxRelianceMegaMallRajkot,Hindi,09:00,RoyalRy,250₹,46,43
Gujarat,Ahmedabad,MangoPlusCinemasNikol,Hindi,09:00,Recliner2865Recliner,250₹,16,0
Gujarat,Ahmedabad,MangoPlusCinemasNikol,Hindi,09:00,Sofa2867Sofa,150₹,150,0
Delhi,NewDelhi,PvrPacificSubhashNagar4DxDelhi,Hindi,09:00,Prime0000000016,440₹,56,8
Delhi,NewDelhi,PvrPacificSubhashNagar4DxDelhi,Hindi,09:00,Classic0000000015,390₹,36,2
Karnataka,Bengaluru,CinepolisSjrSpectrumCentralMallBannerghattaRoad,English,09:00,Normal0000000000,140₹,42,0
Karnataka,Bengaluru,CinepolisSjrSpectrumCentralMallBannerghattaRoad,English,09:00,Executive0000000002,160₹,79,2
Karnataka,Bengaluru,CinepolisSjrSpectrumCentralMallBannerghattaRoad,English,09:00,Premium0000000001,180₹,57,2
Karnataka,Bengaluru,CinepolisSjrSpectrumCentralMallBannerghattaRoad,English,09:00,Vip0000000003,350₹,12,0
Assam,Guwahati,CinepolisCentralMallGuwahati,English,09:00,Normal0000000000,130₹,26,0
Assam,Guwahati,CinepolisCentralMallGuwahati,English,09:00,Executive0000000002,150₹,124,2
Assam,Guwahati,CinepolisCentralMallGuwahati,English,09:00,Premium0000000001,170₹,41,0
Assam,Guwahati,CinepolisCentralMallGuwahati,English,09:00,Vip0000000003,350₹,8,0
Haryana,Panipat,FunCinemaMittalMegaMallHuda,Hindi,09:00,Normal0000000000,150₹,54,0
Haryana,Panipat,FunCinemaMittalMegaMallHuda,Hindi,09:00,Executive0000000002,170₹,156,0
Gujarat,Gandhidham,RajhansCinemasGandhidham,Hindi,09:00,3DMarvel0000000002,180₹,29,0
Gujarat,Gandhidham,RajhansCinemasGandhidham,Hindi,09:00,3DRoyal0000000003,180₹,58,0
Gujarat,Gandhidham,RajhansCinemasGandhidham,Hindi,09:00,3DExecutive0000000001,190₹,242,30
Gujarat,Gandhidham,RajhansCinemasGandhidham,Hindi,09:00,3DRecliner0000000004,290₹,27,1
Haryana,Gurgaon,InoxGurgaonSapphire83,Hindi,09:00,ClubCl,150₹,45,0
Haryana,Gurgaon,InoxGurgaonSapphire83,Hindi,09:00,RoyalReclinerRr,300₹,8,0
Haryana,Gurgaon,InoxGurgaonSapphire83,Hindi,09:00,RoyalRy,200₹,106,0
UttarPradesh,Kanpur,MovietimeCinemasRatanHimanchalMallKanpur,Hindi,09:00,3DPlatinumRecliner0000000006,250₹,15,0
UttarPradesh,Kanpur,MovietimeCinemasRatanHimanchalMallKanpur,Hindi,09:00,3DGold0000000005,150₹,286,0
Maharashtra,Pune,InoxBundGarden,English,09:00,RoyaleRy,330₹,34,2
Karnataka,Bengaluru,InoxGarudaYelahanka,English,09:00,ClubCl,200₹,111,2
Karnataka,Bengaluru,InoxGarudaYelahanka,English,09:00,ExecutiveEx,190₹,60,0
Maharashtra,Nagpur,CinepolisVrNagpurMall,Hindi,09:00,Vip0000000003,450₹,9,0
Maharashtra,Nagpur,CinepolisVrNagpurMall,Hindi,09:00,Premium0000000001,220₹,61,15
Maharashtra,Nagpur,CinepolisVrNagpurMall,Hindi,09:00,Executive0000000002,200₹,90,0
Maharashtra,Nagpur,CinepolisVrNagpurMall,Hindi,09:00,Normal0000000000,180₹,35,0
UttarPradesh,Noida,MovieTimeDharamPalaceMallNoida,Hindi,09:00,3DPremium0000000001,160₹,175,2
Delhi,NewDelhi,CinepolisJanakCinemaJanakpuri,Hindi,09:00,Normal0000000000,240₹,32,0
Delhi,NewDelhi,CinepolisJanakCinemaJanakpuri,Hindi,09:00,Executive0000000002,260₹,120,6
Delhi,NewDelhi,CinepolisJanakCinemaJanakpuri,Hindi,09:00,Premium0000000001,280₹,54,4
Gujarat,Ahmedabad,SaneliteCinemasScienceCity,Hindi,09:00,Miller2477Miller,200₹,45,0
Gujarat,Ahmedabad,SaneliteCinemasScienceCity,Hindi,09:00,Lounger2478Lounger,200₹,9,0
Maharashtra,Pune,PvrIconPavillionMallShivajinagar,Hindi,09:00,Classic0000000005,200₹,28,0
Maharashtra,Pune,PvrIconPavillionMallShivajinagar,Hindi,09:00,Prime0000000006,230₹,134,19
Maharashtra,Pune,PvrIconPavillionMallShivajinagar,Hindi,09:00,Recliner0000000007,540₹,8,0
Maharashtra,Mumbai,FunCinemaKStarMallChemburE,English,09:00,Normal0000000000,150₹,112,0
Maharashtra,Mumbai,FunCinemaKStarMallChemburE,English,09:00,Executive0000000002,150₹,124,12
Maharashtra,Mumbai,FunCinemaKStarMallChemburE,English,09:00,Premium0000000001,190₹,36,5
MadhyaPradesh,Bhopal,CinepolisAashimaMallBawadiyaKalan,Hindi,09:00,Normal0000000000,180₹,34,0
MadhyaPradesh,Bhopal,CinepolisAashimaMallBawadiyaKalan,Hindi,09:00,Executive0000000002,180₹,123,0
MadhyaPradesh,Bhopal,CinepolisAashimaMallBawadiyaKalan,Hindi,09:00,Premium0000000001,180₹,78,0
MadhyaPradesh,Indore,InoxNexusIndoreCentralRegalSquare,Hindi,09:00,ClubCl,170₹,247,10
MadhyaPradesh,Indore,InoxNexusIndoreCentralRegalSquare,Hindi,09:00,ExecutiveEx,170₹,51,0
Maharashtra,Pune,RajhansCinemas93AvenueMallFatimaNagar,Hindi,09:00,Marvel0000000002,140₹,38,0
Maharashtra,Pune,RajhansCinemas93AvenueMallFatimaNagar,Hindi,09:00,Royal0000000003,140₹,76,0
Maharashtra,Pune,RajhansCinemas93AvenueMallFatimaNagar,Hindi,09:00,Executive0000000001,140₹,138,4
Maharashtra,Pune,RajhansCinemas93AvenueMallFatimaNagar,Hindi,09:00,Recliner0000000005,220₹,23,4
Maharashtra,Mumbai,MovieMaxMiraRoadMumbai,English,09:00,3DRecliner0000000008,330₹,16,1
Maharashtra,Mumbai,MovieMaxMiraRoadMumbai,English,09:00,3DPrimePlus0000000007,200₹,9,0
Maharashtra,Mumbai,MovieMaxMiraRoadMumbai,English,09:00,3DClassic0000000006,150₹,46,0
Maharashtra,Mumbai,MovieMaxMiraRoadMumbai,English,09:00,3DPrime0000000005,150₹,292,5
Delhi,NewDelhi,CinepolisPacificNsp2,Hindi,09:00,Normal0000000000,260₹,95,0
Delhi,NewDelhi,CinepolisPacificNsp2,Hindi,09:00,Vip0000000003,420₹,12,0
Delhi,NewDelhi,CinepolisPacificNsp2,Hindi,09:00,Executive0000000002,280₹,103,4
Haryana,Sonipat,MirajCinemaSonipatCityMall,Hindi,09:00,3DExecutive0000000004,170₹,244,0
Haryana,Sonipat,MirajCinemaSonipatCityMall,Hindi,09:00,3DPrime0000000005,190₹,19,0
Gujarat,Bhuj,NyCinemasBhuj,Hindi,09:00,Ebony0000000006,250₹,12,1
Gujarat,Bhuj,NyCinemasBhuj,Hindi,09:00,Executive0000000004,180₹,54,0
Gujarat,Bhuj,NyCinemasBhuj,Hindi,09:00,Normal0000000005,150₹,36,0
Gujarat,Bhuj,NyCinemasBhuj,Hindi,09:00,Premium0000000003,200₹,68,0
Maharashtra,NaviMumbai,PvrOrionPanvel,Hindi,09:00,Classic0000000004,170₹,20,0
Maharashtra,NaviMumbai,PvrOrionPanvel,Hindi,09:00,Prime0000000005,190₹,98,34
Maharashtra,NaviMumbai,PvrOrionPanvel,Hindi,09:00,PrimePlus0000000006,230₹,27,6
Gujarat,Navsari,RajhansCinemasNavsari,Hindi,09:00,3DMarvel0000000005,180₹,32,0
Gujarat,Navsari,RajhansCinemasNavsari,Hindi,09:00,3DRoyal0000000004,180₹,96,0
Gujarat,Navsari,RajhansCinemasNavsari,Hindi,09:00,3DPlatinum0000000012,190₹,59,9
Gujarat,Navsari,RajhansCinemasNavsari,Hindi,09:00,3DExecutive0000000003,180₹,96,17
UttarPradesh,Ghaziabad,MirajCinemasM4URajendraNagar,Hindi,09:00,3DExecutive0000000002,160₹,228,2
UttarPradesh,Ghaziabad,MirajCinemasM4URajendraNagar,Hindi,09:00,3DSpecial0000000001,160₹,108,0
Delhi,NewDelhi,CinepolisCrossRiverMallShahdara,Hindi,09:00,Vip0000000003,421₹,9,2
Delhi,NewDelhi,CinepolisCrossRiverMallShahdara,Hindi,09:00,Executive0000000002,236₹,140,2
Delhi,NewDelhi,CinepolisCrossRiverMallShahdara,Hindi,09:00,Normal0000000000,227₹,159,0
Maharashtra,Pune,PvrMarketCity4DxVimanNagar,English,09:00,4DxClassic0000000014,420₹,48,3
Maharashtra,Pune,PvrMarketCity4DxVimanNagar,English,09:00,4DxPrime0000000015,490₹,72,17
Gujarat,Surat,CinepolisImperialSquareMallAdajan,Hindi,09:00,Normal0000000000,160₹,31,0
Gujarat,Surat,CinepolisImperialSquareMallAdajan,Hindi,09:00,Executive0000000002,160₹,207,2
Gujarat,Surat,CinepolisImperialSquareMallAdajan,Hindi,09:00,Premium0000000001,180₹,41,2
Gujarat,Surat,RajhansMultiplexAdajan,Hindi,09:00,Box2483Box,200₹,6,0
Gujarat,Surat,RajhansMultiplexAdajan,Hindi,09:00,Executive1849Executive,140₹,292,0
Punjab,Abohar,MirajCinemasKundanPalaceAbohar,Hindi,09:00,3DGold0000000001,280₹,5,0
Punjab,Abohar,MirajCinemasKundanPalaceAbohar,Hindi,09:00,3DExecutive0000000003,200₹,147,0
Punjab,Abohar,MirajCinemasKundanPalaceAbohar,Hindi,09:00,3DSpecial0000000002,200₹,55,0
