State,City,Name,Language,Time(IST),Type,Price,Capacity,Booked
WestBengal,Kolkata,InoxStarMallMadhyamgram,Bengali,11:15,Club,130₹,95,0
WestBengal,Kolkata,InoxStarMallMadhyamgram,Bengali,11:15,Executive,130₹,30,0
WestBengal,Kolkata,InoxStarMallMadhyamgram,Bengali,11:15,Royal,150₹,63,0
WestBengal,Kolkata,PvrDiamondPlazaJassore,Bengali,13:15,Classic,180₹,252,13
WestBengal,Kolkata,PvrDiamondPlazaJassore,Bengali,13:15,Prime,240₹,11,2
WestBengal,Kolkata,PvrDiamondPlazaJassore,Bengali,13:15,Recliner,460₹,10,2
WestBengal,Kolkata,InoxCityCentreIiRajarhat,Bengali,14:00,Executive,150₹,51,0
WestBengal,Kolkata,InoxCityCentreIiRajarhat,Bengali,14:00,Royale,320₹,9,2
WestBengal,Kolkata,InoxCityCentreIiRajarhat,Bengali,14:00,Club,150₹,232,20
WestBengal,Kolkata,JayantiCinemaBarrackpore,Bengali,14:15,GoldStall,100₹,18,18
WestBengal,Kolkata,JayantiCinemaBarrackpore,Bengali,14:15,SuperStall,100₹,244,222
WestBengal,Kolkata,JayantiCinemaBarrackpore,Bengali,14:15,Stall,100₹,50,50
WestBengal,Kolkata,CinepolisLakeMallRashbehari,Bengali,14:15,Normal,150₹,22,0
WestBengal,Kolkata,CinepolisLakeMallRashbehari,Bengali,14:15,Executive,170₹,55,36
WestBengal,Kolkata,CinepolisLakeMallRashbehari,Bengali,14:15,Premium,190₹,22,19
Maharashtra,Mumbai,InoxRCityGhatkoparW,Bengali,14:20,Club,170₹,80,0
Maharashtra,Mumbai,InoxRCityGhatkoparW,Bengali,14:20,Executive,150₹,47,0
Maharashtra,Mumbai,InoxRCityGhatkoparW,Bengali,14:20,RoyalRecliner,300₹,11,1
Maharashtra,Mumbai,InoxRCityGhatkoparW,Bengali,14:20,Royal,180₹,47,0
Jharkhand,Jamshedpur,PjpCinepolisCityCentreMallMauja,Bengali,14:25,Normal,180₹,26,0
Jharkhand,Jamshedpur,PjpCinepolisCityCentreMallMauja,Bengali,14:25,Executive,200₹,26,0
Jharkhand,Jamshedpur,PjpCinepolisCityCentreMallMauja,Bengali,14:25,Premium,220₹,68,0
Jharkhand,Jamshedpur,PjpCinepolisCityCentreMallMauja,Bengali,14:25,Normal,180₹,26,0
Jharkhand,Jamshedpur,PjpCinepolisCityCentreMallMauja,Bengali,14:25,Executive,200₹,26,2
Jharkhand,Jamshedpur,PjpCinepolisCityCentreMallMauja,Bengali,14:25,Premium,220₹,68,12
WestBengal,Howrah,InoxRDMallLiluah,Bengali,14:40,Club,130₹,242,0
WestBengal,Howrah,InoxRDMallLiluah,Bengali,14:40,Executive,130₹,84,0
Maharashtra,Pune,InoxAmanoraTownCentreHadapsar,Bengali,14:55,Club,150₹,109,9
Maharashtra,Pune,InoxAmanoraTownCentreHadapsar,Bengali,14:55,Executive,150₹,21,0
Maharashtra,Pune,InoxAmanoraTownCentreHadapsar,Bengali,14:55,Royale,230₹,3,0
WestBengal,Bakhrahat,UmaTalkiesBakhrahat,Bengali,15:00,Box,200₹,46,24
WestBengal,Bakhrahat,UmaTalkiesBakhrahat,Bengali,15:00,Balcony,100₹,102,82
WestBengal,Bakhrahat,UmaTalkiesBakhrahat,Bengali,15:00,SpecialClass,100₹,80,80
Delhi,NewDelhi,InoxNehruPlace,Bengali,15:30,Royal,280₹,21,4
Delhi,NewDelhi,InoxNehruPlace,Bengali,15:30,Club,260₹,75,0
Delhi,NewDelhi,InoxNehruPlace,Bengali,15:30,Executive,240₹,70,0
WestBengal,Kolkata,PvrDiamondPlazaJassore,Bengali,16:00,Classic,180₹,154,38
WestBengal,Kolkata,PvrDiamondPlazaJassore,Bengali,16:00,Prime,240₹,12,8
WestBengal,Kolkata,PvrDiamondPlazaJassore,Bengali,16:00,Recliner,460₹,14,3
Karnataka,Bengaluru,PvrPhoenixMarketcityMallWhitefieldRoad,Bengali,16:20,Classic,180₹,66,0
Karnataka,Bengaluru,PvrPhoenixMarketcityMallWhitefieldRoad,Bengali,16:20,Recliner,260₹,7,2
WestBengal,Kolkata,InoxStarMallMadhyamgram,Bengali,16:40,Club,150₹,92,2
WestBengal,Kolkata,InoxStarMallMadhyamgram,Bengali,16:40,Executive,150₹,32,2
WestBengal,Kolkata,InoxStarMallMadhyamgram,Bengali,16:40,Royal,190₹,63,4
WestBengal,Kolkata,PrachiCinemaAjcBoseRoad,Bengali,16:55,Balcony,150₹,177,140
WestBengal,Kolkata,PrachiCinemaAjcBoseRoad,Bengali,16:55,FrontStall,100₹,306,262
WestBengal,Kolkata,InoxCityCentreSaltlake,Bengali,16:55,DressCircle,200₹,140,0
WestBengal,Kolkata,InoxCityCentreSaltlake,Bengali,16:55,Galleria,200₹,49,0
WestBengal,Kolkata,InoxCityCentreSaltlake,Bengali,16:55,Royale,200₹,30,16
WestBengal,Kolkata,CinepolisLakeMallRashbehari,Bengali,17:00,Normal,170₹,22,0
WestBengal,Kolkata,CinepolisLakeMallRashbehari,Bengali,17:00,Executive,170₹,55,0
WestBengal,Kolkata,CinepolisLakeMallRashbehari,Bengali,17:00,Premium,170₹,22,0
Maharashtra,Mumbai,PvrIconInfinitiAndheriW,Bengali,17:00,Classic,170₹,42,0
Maharashtra,Mumbai,PvrIconInfinitiAndheriW,Bengali,17:00,Prime,200₹,126,6
Maharashtra,Mumbai,PvrIconInfinitiAndheriW,Bengali,17:00,PrimeSuperior,200₹,32,0
Maharashtra,Mumbai,PvrIconInfinitiAndheriW,Bengali,17:00,Recliner,300₹,11,0
WestBengal,Kolkata,IndiraCinemaBhawanipur,Bengali,17:30,Box,80₹,30,0
WestBengal,Kolkata,IndiraCinemaBhawanipur,Bengali,17:30,Balcony,50₹,280,131
WestBengal,Kolkata,JayantiCinemaBarrackpore,Bengali,17:30,SuperStall,100₹,183,171
WestBengal,Kolkata,JayantiCinemaBarrackpore,Bengali,17:30,Stall,100₹,39,39
WestBengal,Kolkata,CinepolisAcropolisMallRajdangaRoad,Bengali,17:55,Normal,160₹,42,0
WestBengal,Kolkata,CinepolisAcropolisMallRajdangaRoad,Bengali,17:55,Executive,180₹,135,18
WestBengal,Kolkata,CinepolisAcropolisMallRajdangaRoad,Bengali,17:55,Premium,200₹,42,2
Haryana,Gurgaon,PvrAmbienceGurgaon,Bengali,18:00,ClassicNormal,280₹,105,3
Haryana,Gurgaon,PvrAmbienceGurgaon,Bengali,18:00,Prime,330₹,38,0
WestBengal,Kolkata,SonaliCinemaDunlop,Bengali,18:45,DressCircle,100₹,290,220
WestBengal,Kolkata,SonaliCinemaDunlop,Bengali,18:45,RearStall,60₹,936,901
Jharkhand,Dhanbad,InoxOzoneGalleriaMallDhanbad,Bengali,18:55,Executive,180₹,109,0
Jharkhand,Dhanbad,InoxOzoneGalleriaMallDhanbad,Bengali,18:55,Gold,360₹,11,0
Jharkhand,Dhanbad,InoxOzoneGalleriaMallDhanbad,Bengali,18:55,Premier,160₹,39,0
Jharkhand,Dhanbad,InoxOzoneGalleriaMallDhanbad,Bengali,18:55,Silver,160₹,65,0
Karnataka,Bengaluru,PvrPhoenixMarketcityMallWhitefieldRoad,Bengali,19:10,Classic,200₹,66,0
Karnataka,Bengaluru,PvrPhoenixMarketcityMallWhitefieldRoad,Bengali,19:10,Recliner,310₹,7,1
WestBengal,Kolkata,InoxCityCentreIiRajarhat,Bengali,19:20,Club,150₹,232,10
WestBengal,Kolkata,InoxCityCentreIiRajarhat,Bengali,19:20,Executive,150₹,51,0
WestBengal,Kolkata,InoxCityCentreIiRajarhat,Bengali,19:20,Royale,320₹,9,0
WestBengal,Kolkata,InoxStarMallMadhyamgram,Bengali,19:25,Club,150₹,92,4
WestBengal,Kolkata,InoxStarMallMadhyamgram,Bengali,19:25,Executive,150₹,32,0
WestBengal,Kolkata,InoxStarMallMadhyamgram,Bengali,19:25,Royal,190₹,63,9
WestBengal,Kolkata,JayantiCinemaBarrackpore,Bengali,19:30,GoldStall,100₹,18,18
WestBengal,Kolkata,JayantiCinemaBarrackpore,Bengali,19:30,SuperStall,100₹,244,222
WestBengal,Kolkata,JayantiCinemaBarrackpore,Bengali,19:30,Stall,100₹,50,50
UttarPradesh,Noida,PvrLogixCityCentreNoida,Bengali,19:30,Classic,150₹,76,0
Maharashtra,Mumbai,PvrXperiaPalavaDombivaliE,Bengali,19:30,Classic,190₹,36,0
Maharashtra,Mumbai,PvrXperiaPalavaDombivaliE,Bengali,19:30,Prime,210₹,108,0
Maharashtra,Mumbai,PvrXperiaPalavaDombivaliE,Bengali,19:30,Recliner,310₹,12,0
WestBengal,Kolkata,InoxMetropolisMallHilandPark,Bengali,19:35,Premier,150₹,55,0
WestBengal,Kolkata,InoxMetropolisMallHilandPark,Bengali,19:35,Royal,320₹,20,0
WestBengal,Kolkata,InoxMetropolisMallHilandPark,Bengali,19:35,Silver,150₹,191,15
WestBengal,Kolkata,CinepolisLakeMallRashbehari,Bengali,19:35,Normal,150₹,22,0
WestBengal,Kolkata,CinepolisLakeMallRashbehari,Bengali,19:35,Executive,170₹,55,10
WestBengal,Kolkata,CinepolisLakeMallRashbehari,Bengali,19:35,Premium,190₹,22,4
WestBengal,Kolkata,InoxCityCentreSaltlake,Bengali,19:35,DressCircle,200₹,140,8
WestBengal,Kolkata,InoxCityCentreSaltlake,Bengali,19:35,Galleria,200₹,49,0
WestBengal,Kolkata,InoxCityCentreSaltlake,Bengali,19:35,Royale,200₹,30,18
Maharashtra,NaviMumbai,CinepolisNexusSeawoodsNaviMumbai,Bengali,19:40,Normal,220₹,17,0
Maharashtra,NaviMumbai,CinepolisNexusSeawoodsNaviMumbai,Bengali,19:40,Executive,240₹,77,12
Maharashtra,NaviMumbai,CinepolisNexusSeawoodsNaviMumbai,Bengali,19:40,Premium,260₹,80,10
Maharashtra,NaviMumbai,CinepolisNexusSeawoodsNaviMumbai,Bengali,19:40,Vip,480₹,13,0
Telangana,Hyderabad,InoxGsmMallMadinaguda,Bengali,19:45,Executive,150₹,146,6
Telangana,Hyderabad,InoxGsmMallMadinaguda,Bengali,19:45,Royal,250₹,6,2
Maharashtra,NaviMumbai,InoxRaghuleelaMallVashi,Bengali,20:10,Executive,150₹,22,0
Maharashtra,NaviMumbai,InoxRaghuleelaMallVashi,Bengali,20:10,Premier,160₹,118,0
Maharashtra,NaviMumbai,InoxRaghuleelaMallVashi,Bengali,20:10,Silver,160₹,28,0
WestBengal,Kolkata,InoxCityCentreSaltlake,Bengali,21:30,DressCircle,200₹,190,7
WestBengal,Kolkata,InoxCityCentreSaltlake,Bengali,21:30,Galleria,200₹,76,0
WestBengal,Kolkata,InoxCityCentreSaltlake,Bengali,21:30,Royale,200₹,38,13
Karnataka,Bengaluru,CinepolisNexusShantiniketanThigalarapalya,Bengali,21:50,Vip,600₹,10,0
Karnataka,Bengaluru,CinepolisNexusShantiniketanThigalarapalya,Bengali,21:50,Premium,240₹,48,5
Karnataka,Bengaluru,CinepolisNexusShantiniketanThigalarapalya,Bengali,21:50,Executive,220₹,56,0
Karnataka,Bengaluru,CinepolisNexusShantiniketanThigalarapalya,Bengali,21:50,Normal,200₹,24,0
Maharashtra,Mumbai,InoxMegaplexInorbitMall,Bengali,22:30,Club,260₹,116,0
Maharashtra,Mumbai,InoxMegaplexInorbitMall,Bengali,22:30,Executive,260₹,28,0
Maharashtra,Mumbai,InoxMegaplexInorbitMall,Bengali,22:30,Royal,280₹,25,0
