State,City,Name,Language,Time(IST),Type,Price,Capacity,Booked
Haryana,Faridabad,PvrPebbleDowntownSec12Faridabad,Haryanvi,10:00,Classic,150₹,128,0
Haryana,Faridabad,PvrPebbleDowntownSec12Faridabad,Haryanvi,10:00,Prime,150₹,114,28
Haryana,Faridabad,PvrPebbleDowntownSec12Faridabad,Haryanvi,10:00,Recliner,350₹,10,0
Haryana,Gurgaon,PvrElanTownCentreGurgaon,Haryanvi,10:05,Classic,150₹,60,0
Haryana,Gurgaon,PvrElanTownCentreGurgaon,Haryanvi,10:05,Prime,150₹,94,0
Haryana,Gurgaon,PvrElanTownCentreGurgaon,Haryanvi,10:05,Recliner,299₹,13,0
UttarPradesh,Lucknow,PvrSuperplexLulu,Haryanvi,11:00,Prime,240₹,63,9
UttarPradesh,Lucknow,PvrSuperplexLulu,Haryanvi,11:00,Recliner,370₹,7,0
UttarPradesh,GreaterNoida,PvrAnsalPlazaGreaterNoida,Haryanvi,11:00,Classic,150₹,78,0
UttarPradesh,GreaterNoida,PvrAnsalPlazaGreaterNoida,Haryanvi,11:00,Prime,170₹,35,0
Haryana,Sonipat,MirajCinemaSonipatCityMall,Haryanvi,12:00,Executive,150₹,235,0
Haryana,Sonipat,MirajCinemaSonipatCityMall,Haryanvi,12:00,Prime,170₹,20,0
Haryana,Yamunanagar,PvrCityMallYamunanagar,Haryanvi,12:05,Classic,180₹,72,0
Haryana,Yamunanagar,PvrCityMallYamunanagar,Haryanvi,12:05,Prime,210₹,80,20
Haryana,Yamunanagar,PvrCityMallYamunanagar,Haryanvi,12:05,Recliner,480₹,12,0
Haryana,Panipat,PvrFunCityPanipat,Haryanvi,12:05,Classic,190₹,68,0
Haryana,Panipat,PvrFunCityPanipat,Haryanvi,12:05,Prime,210₹,69,0
Haryana,Panipat,PvrFunCityPanipat,Haryanvi,12:05,PrimePlus,260₹,12,0
Haryana,Gurgaon,CinepolisTheEsplanade,Haryanvi,12:25,Normal,160₹,18,0
Haryana,Gurgaon,CinepolisTheEsplanade,Haryanvi,12:25,Executive,180₹,44,0
Haryana,Gurgaon,CinepolisTheEsplanade,Haryanvi,12:25,Premium,200₹,82,0
Delhi,NewDelhi,PvrVegasDwarka,Haryanvi,12:30,Prime,470₹,38,0
Delhi,NewDelhi,PvrVegasDwarka,Haryanvi,12:30,Classic,420₹,112,0
Haryana,Gurgaon,InoxDreamzMallGurgaon,Haryanvi,12:30,Club,280₹,86,0
Haryana,Gurgaon,InoxDreamzMallGurgaon,Haryanvi,12:30,Executive,250₹,30,0
Haryana,Gurgaon,InoxDreamzMallGurgaon,Haryanvi,12:30,RoyalRecliners,380₹,12,0
UttarPradesh,Ghaziabad,MirajCinemasM4URajendraNagar,Haryanvi,12:50,Executive,200₹,134,0
UttarPradesh,Ghaziabad,MirajCinemasM4URajendraNagar,Haryanvi,12:50,Special,180₹,60,0
UttarPradesh,Noida,PvrLogixCityCentreNoida,Haryanvi,12:55,Classic,200₹,89,1
Haryana,Gurgaon,PvrAmbienceGurgaon,Haryanvi,13:00,ClassicNormal,150₹,84,0
Haryana,Gurgaon,PvrAmbienceGurgaon,Haryanvi,13:00,Prime,150₹,68,4
Punjab,Amritsar,PvrSctCityCentre,Haryanvi,13:05,Classic,150₹,12,0
Punjab,Amritsar,PvrSctCityCentre,Haryanvi,13:05,Prime,150₹,40,0
Maharashtra,Mumbai,PvrCitiMallAndheriW,Haryanvi,14:00,Classic,220₹,46,46
Maharashtra,Mumbai,PvrCitiMallAndheriW,Haryanvi,14:00,Recliner,440₹,24,24
Maharashtra,Mumbai,PvrCitiMallAndheriW,Haryanvi,14:00,Prime,260₹,146,146
Rajasthan,Jaipur,PvrMallOfJaipur,Haryanvi,14:15,Prime,230₹,43,13
Rajasthan,Jaipur,PvrMallOfJaipur,Haryanvi,14:15,PrimePlus,250₹,26,0
Rajasthan,Jaipur,PvrMallOfJaipur,Haryanvi,14:15,Recliner,410₹,8,0
Rajasthan,Jaipur,PvrMallOfJaipur,Haryanvi,14:15,Classic,210₹,20,0
Haryana,Panipat,FunCinemaMittalMegaMallHuda,Haryanvi,15:00,Normal,160₹,54,0
Haryana,Panipat,FunCinemaMittalMegaMallHuda,Haryanvi,15:00,Executive,180₹,156,0
