State,City,Name,Language,Time(IST),Type,Price,Capacity,Booked
Goa,Goa,InoxOldGmcDbRoad,English,08:55,Club,170₹,90,0
Goa,Goa,InoxOldGmcDbRoad,English,08:55,Executive,170₹,36,0
Goa,Goa,InoxOldGmcDbRoad,English,08:55,Royal,190₹,95,0
WestBengal,Asansol,CarnivalSentrumMallAsansol,Hindi,09:00,3DGoldPack,130₹,41,0
WestBengal,Asansol,CarnivalSentrumMallAsansol,Hindi,09:00,3DSilverPack,130₹,185,0
WestBengal,Asansol,CarnivalSentrumMallAsansol,Hindi,09:00,3DPremiumPack,130₹,84,0
WestBengal,Kolkata,InoxForumMallElginRoad,English,09:00,DressCircle,170₹,108,0
WestBengal,Kolkata,InoxForumMallElginRoad,English,09:00,Galleria,170₹,36,0
WestBengal,Kolkata,InoxForumMallElginRoad,English,09:00,Royal,170₹,34,4
Rajasthan,Jaipur,InoxGtCentralMallMalviyaNagar,Hindi,09:00,Kiddles,190₹,34,0
MadhyaPradesh,Bhopal,CinepolisAashimaMallBawadiyaKalan,Hindi,09:05,Normal,140₹,30,0
MadhyaPradesh,Bhopal,CinepolisAashimaMallBawadiyaKalan,Hindi,09:05,Executive,140₹,102,0
MadhyaPradesh,Bhopal,CinepolisAashimaMallBawadiyaKalan,Hindi,09:05,Premium,140₹,73,0
UttarPradesh,Varanasi,IpCinemasIpSigraMallShastriNagar,Hindi,09:10,Recliner,600₹,12,4
UttarPradesh,Varanasi,IpCinemasIpSigraMallShastriNagar,Hindi,09:10,Gold,200₹,81,21
UttarPradesh,Varanasi,IpCinemasIpSigraMallShastriNagar,Hindi,09:10,Silver,150₹,75,0
Maharashtra,Mumbai,MovieTimeChembur,English,09:10,3DSilver,130₹,75,0
Karnataka,Bengaluru,PvrPhoenixMarketcityMallWhitefieldRoad,English,09:20,Classic,152₹,162,5
Karnataka,Bengaluru,PvrPhoenixMarketcityMallWhitefieldRoad,English,09:20,Prime,190₹,13,3
Karnataka,Bengaluru,PvrPhoenixMarketcityMallWhitefieldRoad,English,09:20,Recliner,270₹,17,4
Maharashtra,Mumbai,InoxMegaplexInorbitMall,English,09:20,Insignia,390₹,42,3
Karnataka,Bengaluru,PvrGoldNexusFormerlyForumKoramangala,English,09:20,Gold,500₹,20,0
Karnataka,Bengaluru,PvrGoldNexusFormerlyForumKoramangala,English,09:20,GoldPrime,550₹,8,4
Maharashtra,Pune,PvrMarketCityGoldPune,English,09:30,GoldPrime,400₹,22,1
Maharashtra,Pune,PvrMarketCityGoldPune,English,09:30,GoldClassic,350₹,24,8
Delhi,NewDelhi,PvrSelectCityWalkGoldDelhi,English,09:30,PlatinumSuperior,500₹,16,0
Delhi,NewDelhi,PvrSelectCityWalkGoldDelhi,English,09:30,Platinum,500₹,24,0
WestBengal,Kolkata,CinepolisAcropolisMallRajdangaRoad,English,09:30,Normal,160₹,22,0
WestBengal,Kolkata,CinepolisAcropolisMallRajdangaRoad,English,09:30,Executive,160₹,64,7
WestBengal,Kolkata,CinepolisAcropolisMallRajdangaRoad,English,09:30,Premium,160₹,20,10
Punjab,Amritsar,CinepolisNexusAmritsar,Hindi,09:30,Vip,330₹,10,1
Punjab,Amritsar,CinepolisNexusAmritsar,Hindi,09:30,Executive,180₹,75,0
Punjab,Amritsar,CinepolisNexusAmritsar,Hindi,09:30,Normal,170₹,48,0
Chhattisgarh,Raipur,MirajCinemasNavaRaipurAtalNagar,Hindi,09:35,3DClub,190₹,4,0
Chhattisgarh,Raipur,MirajCinemasNavaRaipurAtalNagar,Hindi,09:35,3DGold,290₹,4,0
Chhattisgarh,Raipur,MirajCinemasNavaRaipurAtalNagar,Hindi,09:35,3DExecutive,140₹,81,3
Chhattisgarh,Raipur,MirajCinemasNavaRaipurAtalNagar,Hindi,09:35,3DSpecial,140₹,28,0
Karnataka,Bengaluru,InoxMantriSquareMalleshwaram,English,09:35,Club,152₹,206,7
Karnataka,Bengaluru,InoxGalleriaMallYelahanka,English,09:40,Club,180₹,70,4
Karnataka,Bengaluru,InoxGalleriaMallYelahanka,English,09:40,Executive,170₹,128,0
Karnataka,Bengaluru,InoxGalleriaMallYelahanka,English,09:40,Royale,300₹,9,2
Karnataka,Bengaluru,PvrVrWhitefieldRoad,English,09:40,Classic,190₹,162,9
Karnataka,Bengaluru,PvrVrWhitefieldRoad,English,09:40,Recliner,290₹,16,5
Haryana,Gurgaon,PvrSaharaMallGurgaon,Hindi,09:45,Classic,152₹,144,3
Haryana,Gurgaon,PvrSaharaMallGurgaon,Hindi,09:45,Prime,180₹,64,7
Karnataka,Bengaluru,CinepolisRoyalMeenakshiMallBannerghattaRoad,English,09:45,Normal,180₹,30,0
Karnataka,Bengaluru,CinepolisRoyalMeenakshiMallBannerghattaRoad,English,09:45,Executive,200₹,81,2
Karnataka,Bengaluru,CinepolisRoyalMeenakshiMallBannerghattaRoad,English,09:45,Premium,220₹,47,8
Maharashtra,Pune,InoxAmanoraTownCentreHadapsar,English,09:45,Club,170₹,157,0
Maharashtra,Pune,InoxAmanoraTownCentreHadapsar,English,09:45,Executive,170₹,42,0
Maharashtra,Pune,InoxAmanoraTownCentreHadapsar,English,09:45,Royale,240₹,6,0
