State,City,Name,Language,Time(IST),Type,Price,Capacity,Booked
Karnataka,Malebennur,SriJyothiTalkies,Kannada,10:30,FirstClass,81₹,400,352
Karnataka,Bharamasagara,ShreeVinayakaChitramandira,Kannada,11:00,Balcony,100₹,144,100
Karnataka,Bharamasagara,ShreeVinayakaChitramandira,Kannada,11:00,FirstClass,60₹,100,100
Karnataka,Bharamasagara,ShreeVinayakaChitramandira,Kannada,11:00,SecondClass,40₹,175,175
Karnataka,Mudhol,SuryavanshiMultiplexRocklineCinemas,Kannada,12:00,GoldClass,150₹,154,39
Karnataka,Bengaluru,InoxCentralMantriJunctionJpNagar,Kannada,12:10,Club,200₹,234,0
Karnataka,Bengaluru,InoxCentralMantriJunctionJpNagar,Kannada,12:10,Royal,500₹,4,0
Karnataka,Bengaluru,PvrTheCinemaGtWorldMagadiRoad,Kannada,12:10,Classic,140₹,228,18
Karnataka,Bengaluru,PvrTheCinemaGtWorldMagadiRoad,Kannada,12:10,Recliner,280₹,12,6
Karnataka,Bengaluru,PvrOrionMallDrRajkumarRoad,Kannada,12:25,Classic,170₹,128,17
Karnataka,Bengaluru,PvrOrionMallDrRajkumarRoad,Kannada,12:25,Prime,190₹,80,20
Karnataka,Bengaluru,PvrOrionMallDrRajkumarRoad,Kannada,12:25,Recliner,350₹,13,9
Karnataka,Tumakuru,InoxSMallTumakuru,Kannada,12:45,Insignia,350₹,29,4
Karnataka,Bengaluru,CinepolisEtaNammaMallBinnyPete,Kannada,13:00,Premium,150₹,29,2
Karnataka,Bengaluru,CinepolisEtaNammaMallBinnyPete,Kannada,13:00,Executive,150₹,82,6
Karnataka,Bengaluru,CinepolisEtaNammaMallBinnyPete,Kannada,13:00,Normal,150₹,30,0
Karnataka,Bengaluru,PvrMsrElementsMallTanisandhraMainRoad,Kannada,13:00,Classic,170₹,95,0
Karnataka,Bengaluru,InoxMantriSquareMalleshwaram,Kannada,13:05,Club,200₹,260,15
Karnataka,Bengaluru,InoxMantriSquareMalleshwaram,Kannada,13:05,Royal,500₹,9,0
Karnataka,Bengaluru,CinepolisRoyalMeenakshiMallBannerghattaRoad,Kannada,13:05,Normal,180₹,26,0
Karnataka,Bengaluru,CinepolisRoyalMeenakshiMallBannerghattaRoad,Kannada,13:05,Executive,180₹,71,13
Karnataka,Bengaluru,CinepolisRoyalMeenakshiMallBannerghattaRoad,Kannada,13:05,Premium,180₹,30,16
Karnataka,Ranebennur,ShriShankarTalkiesDoddapet,Kannada,13:45,Balcony,100₹,40,0
Karnataka,Bharamasagara,ShreeVinayakaChitramandira,Kannada,14:00,Balcony,100₹,144,100
Karnataka,Bharamasagara,ShreeVinayakaChitramandira,Kannada,14:00,FirstClass,60₹,100,100
Karnataka,Bharamasagara,ShreeVinayakaChitramandira,Kannada,14:00,SecondClass,40₹,175,175
Karnataka,Shikarpur,MalateshaTalkies,Kannada,14:00,Balcony,101₹,15,15
Karnataka,Shikarpur,MalateshaTalkies,Kannada,14:00,FirstClass,101₹,411,311
Karnataka,Malebennur,SriJyothiTalkies,Kannada,14:30,FirstClass,81₹,400,352
Karnataka,Mudhol,SuryavanshiMultiplexRocklineCinemas,Kannada,15:00,GoldClass,150₹,154,36
Karnataka,Mysuru,PvrNexusMallCentreCityMysuru,Kannada,15:10,Classic,160₹,134,115
Karnataka,Bengaluru,PvrVaishnaviSapphireMallYashwantpur,Kannada,15:55,Classic,140₹,85,14
Karnataka,Bengaluru,PvrVaishnaviSapphireMallYashwantpur,Kannada,15:55,Prime,170₹,20,14
Karnataka,Bengaluru,PvrVaishnaviSapphireMallYashwantpur,Kannada,15:55,Recliner,280₹,9,2
Karnataka,Bengaluru,PvrTheCinemaGtWorldMagadiRoad,Kannada,16:00,Classic,140₹,179,91
Karnataka,Bengaluru,PvrTheCinemaGtWorldMagadiRoad,Kannada,16:00,Recliner,280₹,16,15
Karnataka,Bengaluru,SriSrinivasaTheatreAC2KPadmanabhanagar,Kannada,16:15,DiamondClass,150₹,98,88
Karnataka,Bengaluru,SriSrinivasaTheatreAC2KPadmanabhanagar,Kannada,16:15,GoldClass,110₹,532,518
Karnataka,Ranebennur,ShriShankarTalkiesDoddapet,Kannada,17:45,Balcony,100₹,40,0
Karnataka,Mudhol,SuryavanshiMultiplexRocklineCinemas,Kannada,18:00,GoldClass,150₹,154,36
Karnataka,Bharamasagara,ShreeVinayakaChitramandira,Kannada,18:00,Balcony,100₹,144,100
Karnataka,Bharamasagara,ShreeVinayakaChitramandira,Kannada,18:00,FirstClass,60₹,100,100
Karnataka,Bharamasagara,ShreeVinayakaChitramandira,Kannada,18:00,SecondClass,40₹,175,175
Karnataka,Shikarpur,MalateshaTalkies,Kannada,18:00,Balcony,101₹,15,15
Karnataka,Shikarpur,MalateshaTalkies,Kannada,18:00,FirstClass,101₹,411,311
Karnataka,Bengaluru,PvrOrionUptownOldMadrasRoadBengaluru,Kannada,18:25,Classic,170₹,128,75
Karnataka,Malebennur,SriJyothiTalkies,Kannada,18:30,FirstClass,81₹,400,352
Karnataka,Bengaluru,PvrOrionMallDrRajkumarRoad,Kannada,18:45,Classic,190₹,128,11
Karnataka,Bengaluru,PvrOrionMallDrRajkumarRoad,Kannada,18:45,Prime,210₹,80,54
Karnataka,Bengaluru,PvrOrionMallDrRajkumarRoad,Kannada,18:45,Recliner,400₹,10,7
