State,City,Name,Language,Time(IST),Type,Price,Capacity,Booked
Maharashtra,Mumbai,PvrCitiMallAndheriW,English,15:15,Classic,150₹,46,0
Maharashtra,Mumbai,PvrCitiMallAndheriW,English,15:15,Recliner,250₹,24,2
Maharashtra,Mumbai,PvrCitiMallAndheriW,English,15:15,Prime,150₹,146,23
TamilNadu,Chennai,InoxPhoenixMarketCityVelacheryFormerlyJazzCinemas,English,15:30,Budget,66₹,16,9
TamilNadu,Chennai,InoxPhoenixMarketCityVelacheryFormerlyJazzCinemas,English,15:30,Elite,211₹,136,30
Gujarat,Ahmedabad,PvrArvedTranscube,English,16:00,Classic,150₹,33,0
Gujarat,Ahmedabad,PvrArvedTranscube,English,16:00,Prime,150₹,100,32
Delhi,NewDelhi,InoxRCubeMonadMall,English,16:10,Insignia,400₹,24,0
Gujarat,Vadodara,PvrTransCubeVadodara,English,16:15,Classic,150₹,34,0
Gujarat,Vadodara,PvrTransCubeVadodara,English,16:15,Prime,150₹,100,16
Gujarat,Vadodara,PvrTransCubeVadodara,English,16:15,Recliner,250₹,8,4
Delhi,NewDelhi,PvrPromenadeVasantKunj,English,16:30,Classic,150₹,96,47
Delhi,NewDelhi,PvrPromenadeVasantKunj,English,16:30,Prime,150₹,26,24
MadhyaPradesh,Indore,PvrTreasureIslandMallSouthTukoganj,English,16:30,Prime,150₹,69,65
MadhyaPradesh,Indore,PvrTreasureIslandMallSouthTukoganj,English,16:30,Classic,150₹,28,0
Maharashtra,Mumbai,InoxRCityGhatkoparW,English,16:45,Club,150₹,80,0
Maharashtra,Mumbai,InoxRCityGhatkoparW,English,16:45,Executive,150₹,47,0
Maharashtra,Mumbai,InoxRCityGhatkoparW,English,16:45,RoyalRecliner,250₹,12,9
Maharashtra,Mumbai,InoxRCityGhatkoparW,English,16:45,Royal,150₹,47,6
Maharashtra,Pune,PvrMarketCityVimanNagar,English,16:50,PrimePlus,150₹,10,7
Maharashtra,Pune,PvrMarketCityVimanNagar,English,16:50,Prime,150₹,119,40
Maharashtra,Pune,PvrMarketCityVimanNagar,English,16:50,Classic,150₹,52,0
WestBengal,Kolkata,InoxQuestMallBallygunge,English,17:10,RoyalRecliner,250₹,8,8
WestBengal,Kolkata,InoxQuestMallBallygunge,English,17:10,Royal,150₹,28,18
WestBengal,Kolkata,InoxQuestMallBallygunge,English,17:10,Club,150₹,112,7
WestBengal,Kolkata,InoxQuestMallBallygunge,English,17:10,Executive,150₹,24,0
