State,City,Name,Language,Time(IST),Type,Price,Capacity,Booked
WestBengal,Kolkata,PvrDiamondPlazaJassore,Bengali,12:00,Classic,99₹,210,7
WestBengal,Kolkata,PvrDiamondPlazaJassore,Bengali,12:00,Prime,99₹,11,4
WestBengal,Kolkata,PvrDiamondPlazaJassore,Bengali,12:00,Recliner,199₹,12,0
WestBengal,Kolkata,InoxStarMallMadhyamgram,Bengali,12:30,Club,99₹,95,1
WestBengal,Kolkata,InoxStarMallMadhyamgram,Bengali,12:30,Executive,99₹,30,0
WestBengal,Kolkata,InoxStarMallMadhyamgram,Bengali,12:30,Royal,99₹,63,0
WestBengal,Kolkata,InoxMetropolisMallHilandPark,Bengali,13:15,Premier,99₹,36,0
WestBengal,Kolkata,InoxMetropolisMallHilandPark,Bengali,13:15,Royal,199₹,14,0
WestBengal,Kolkata,InoxMetropolisMallHilandPark,Bengali,13:15,Silver,99₹,147,3
WestBengal,Siliguri,CarnivalCinemaSiliguri,Bengali,13:25,Special,99₹,28,0
WestBengal,Siliguri,CarnivalCinemaSiliguri,Bengali,13:25,Executive,99₹,176,0
WestBengal,Kolkata,InoxSouthCityMall,Bengali,14:10,Premier,99₹,57,0
WestBengal,Kolkata,InoxSouthCityMall,Bengali,14:10,RoyalRecliner,199₹,16,0
WestBengal,Kolkata,InoxSouthCityMall,Bengali,14:10,Silver,99₹,291,5
WestBengal,Kolkata,InoxCityCentreSaltlake,Bengali,16:15,DressCircle,99₹,140,11
WestBengal,Kolkata,InoxCityCentreSaltlake,Bengali,16:15,Galleria,99₹,49,0
WestBengal,Kolkata,InoxCityCentreSaltlake,Bengali,16:15,Royale,99₹,30,9
WestBengal,Kolkata,CinepolisAcropolisMallRajdangaRoad,Bengali,16:40,Normal,100₹,38,0
WestBengal,Kolkata,CinepolisAcropolisMallRajdangaRoad,Bengali,16:40,Executive,100₹,148,0
WestBengal,Kolkata,CinepolisAcropolisMallRajdangaRoad,Bengali,16:40,Premium,100₹,38,9
WestBengal,Kolkata,InoxSouthCityMall,Bengali,16:55,Premier,99₹,32,0
WestBengal,Kolkata,InoxSouthCityMall,Bengali,16:55,RoyalRecliner,199₹,16,2
WestBengal,Kolkata,InoxSouthCityMall,Bengali,16:55,Silver,99₹,151,0
