City,Name,ZIP,Language,Time,Type,Price,Capacity,Booked
Mumbai,PvrDynamicJuhu,400049,Hindi,10:15,Prime,160₹,216,21
Mumbai,PvrDynamicJuhu,400049,Hindi,10:15,Classic,140₹,84,0
NewDelhi,PvrDirectorsCutDelhiAmbienceMall,110070,Hindi,10:40,Platinum,500₹,19,0
NewDelhi,PvrDirectorsCutDelhiAmbienceMall,110070,Hindi,10:40,PlatinumSuperior,500₹,6,0
Kolkata,InoxSwabhumiMaulanaAzadSarani,700054,Hindi,11:15,Club,100₹,134,0
Kolkata,InoxSwabhumiMaulanaAzadSarani,700054,Hindi,11:15,Executive,100₹,32,0
Kolkata,InoxSwabhumiMaulanaAzadSarani,700054,Hindi,11:15,Royal,100₹,16,0
NewDelhi,PvrSaketDelhi,110017,Hindi,11:30,Classic,99₹,135,0
NewDelhi,PvrSaketDelhi,110017,Hindi,11:30,Prime,99₹,150,30
NewDelhi,PvrSaketDelhi,110017,Hindi,11:30,Recliner,200₹,16,6
Kolkata,CinepolisAcropolisMallRajdangaRoad,839200,Hindi,11:40,Normal,110₹,38,0
Kolkata,CinepolisAcropolisMallRajdangaRoad,839200,Hindi,11:40,Executive,110₹,148,0
Kolkata,CinepolisAcropolisMallRajdangaRoad,839200,Hindi,11:40,Premium,110₹,38,0
Bhubaneswar,InoxDnRegaliaMallPatrapada,751019,Hindi,12:15,Club,112₹,50,0
Bhubaneswar,InoxDnRegaliaMallPatrapada,751019,Hindi,12:15,Executive,112₹,20,0
Bhubaneswar,InoxDnRegaliaMallPatrapada,751019,Hindi,12:15,Royal,112₹,59,0
Surat,InoxVrSuratDumasRoad,395007,Hindi,12:15,RoyalRecliner,400₹,52,2
Jamshedpur,PjpCinepolisCityCentreMallMauja,831001,Hindi,12:30,Normal,150₹,24,0
Jamshedpur,PjpCinepolisCityCentreMallMauja,831001,Hindi,12:30,Executive,150₹,56,0
Jamshedpur,PjpCinepolisCityCentreMallMauja,831001,Hindi,12:30,Premium,150₹,64,0
Jamshedpur,PjpCinepolisCityCentreMallMauja,831001,Hindi,12:30,Vip,500₹,12,0
Mumbai,PvrCitiMallAndheriW,400053,Hindi,12:45,Classic,129₹,46,0
Mumbai,PvrCitiMallAndheriW,400053,Hindi,12:45,Recliner,199₹,24,2
Mumbai,PvrCitiMallAndheriW,400053,Hindi,12:45,Prime,129₹,146,14
Indore,InoxC21MallSheetalNagar,452010,Hindi,12:50,In,300₹,44,0
Patna,CinepolisPMMallPatna,800013,Hindi,12:55,Normal,220₹,271,2
Mumbai,MetroInoxCinemaMGRoad,400020,Hindi,12:55,Insignia,500₹,41,0
Bhubaneswar,CinepolisNexusEsplanadeBhubaneswar,751007,Hindi,13:00,Vip,300₹,10,0
Bhubaneswar,CinepolisNexusEsplanadeBhubaneswar,751007,Hindi,13:00,Premium,100₹,48,4
Bhubaneswar,CinepolisNexusEsplanadeBhubaneswar,751007,Hindi,13:00,Executive,100₹,71,0
Bhubaneswar,CinepolisNexusEsplanadeBhubaneswar,751007,Hindi,13:00,Normal,100₹,26,0
Indore,AyouCinemaRajendraNagar,452012,Hindi,13:01,Gold,90₹,96,0
Indore,AyouCinemaRajendraNagar,452012,Hindi,13:01,Platinum,90₹,46,0
Indore,AyouCinemaRajendraNagar,452012,Hindi,13:01,Silver,90₹,90,0
Bhopal,CinepolisAashimaMallBawadiyaKalan,462026,Hindi,13:05,Normal,70₹,30,0
Bhopal,CinepolisAashimaMallBawadiyaKalan,462026,Hindi,13:05,Executive,70₹,102,0
Bhopal,CinepolisAashimaMallBawadiyaKalan,462026,Hindi,13:05,Premium,70₹,83,7
Mumbai,InoxMegaplexInorbitMall,400064,Hindi,13:25,Insignia,500₹,42,0
Indore,InoxTreasureIslandNextMallRegalSquare,452001,Hindi,13:25,Club,112₹,202,0
Indore,InoxTreasureIslandNextMallRegalSquare,452001,Hindi,13:25,Executive,112₹,39,0
Mumbai,PvrIconPhoenixPalladiumLowerParelMumbai,400013,Hindi,13:30,Recliner,350₹,14,4
Mumbai,PvrIconPhoenixPalladiumLowerParelMumbai,400013,Hindi,13:30,Prime,220₹,68,17
Mumbai,PvrIconPhoenixPalladiumLowerParelMumbai,400013,Hindi,13:30,Classic,140₹,39,0
Mumbai,PvrIconPhoenixPalladiumLowerParelMumbai,400013,Hindi,13:30,Lounger,180₹,10,0
NewDelhi,PvrSelectCityWalkSaket,110017,Hindi,14:15,ClassicNormal,150₹,120,2
NewDelhi,PvrSelectCityWalkSaket,110017,Hindi,14:15,ClassicSuperior,150₹,34,26
NewDelhi,PvrSelectCityWalkSaket,110017,Hindi,14:15,ReclinersNormal,400₹,10,0
Bhopal,CinepolisAashimaMallBawadiyaKalan,462026,Hindi,16:20,Normal,70₹,30,0
Bhopal,CinepolisAashimaMallBawadiyaKalan,462026,Hindi,16:20,Executive,70₹,77,0
Bhopal,CinepolisAashimaMallBawadiyaKalan,462026,Hindi,16:20,Premium,70₹,81,6
Kolkata,InoxSouthCityMall,700068,Hindi,16:30,Premier,150₹,34,0
Kolkata,InoxSouthCityMall,700068,Hindi,16:30,Silver,150₹,156,9
Gurgaon,PvrAmbienceGoldGurgaon,122001,Hindi,16:45,PlatinumSuperior,400₹,8,0
Gurgaon,PvrAmbienceGoldGurgaon,122001,Hindi,16:45,Platinum,400₹,28,0
Giridih,VOrbitCinemaParatdih,815301,Hindi,17:15,Platinum,200₹,27,0
Giridih,VOrbitCinemaParatdih,815301,Hindi,17:15,Gold,150₹,84,0
Giridih,VOrbitCinemaParatdih,815301,Hindi,17:15,Silver,100₹,28,0
NewDelhi,PvrPacificSubhashNagarDelhi,110018,Hindi,17:35,Classic,149₹,36,0
NewDelhi,PvrPacificSubhashNagarDelhi,110018,Hindi,17:35,Prime,199₹,90,0
NewDelhi,PvrPacificSubhashNagarDelhi,110018,Hindi,17:35,PrimePlus,199₹,39,2
NewDelhi,PvrPacificSubhashNagarDelhi,110018,Hindi,17:35,Recliner,349₹,35,3
Kolkata,CinepolisAcropolisMallRajdangaRoad,839200,Hindi,18:00,Normal,150₹,34,0
Kolkata,CinepolisAcropolisMallRajdangaRoad,839200,Hindi,18:00,Executive,150₹,134,1
Kolkata,CinepolisAcropolisMallRajdangaRoad,839200,Hindi,18:00,Premium,150₹,42,0
Bhubaneswar,InoxDnRegaliaMallPatrapada,751019,Hindi,19:00,Club,112₹,50,0
Bhubaneswar,InoxDnRegaliaMallPatrapada,751019,Hindi,19:00,Executive,112₹,20,0
Bhubaneswar,InoxDnRegaliaMallPatrapada,751019,Hindi,19:00,Royal,112₹,59,2
Kolkata,InoxQuestMallBallygunge,700017,Hindi,19:25,RoyalRecliner,400₹,63,7
Giridih,VOrbitCinemaParatdih,815301,Hindi,20:00,Platinum,200₹,27,0
Giridih,VOrbitCinemaParatdih,815301,Hindi,20:00,Gold,150₹,84,0
Giridih,VOrbitCinemaParatdih,815301,Hindi,20:00,Silver,100₹,28,0
Gurgaon,CinepolisAiriaMallSohnaRoadGurgaon,122103,Hindi,20:30,Vip,200₹,8,2
Gurgaon,CinepolisAiriaMallSohnaRoadGurgaon,122103,Hindi,20:30,Premium,100₹,34,9
Gurgaon,CinepolisAiriaMallSohnaRoadGurgaon,122103,Hindi,20:30,Executive,100₹,60,0
Gurgaon,CinepolisAiriaMallSohnaRoadGurgaon,122103,Hindi,20:30,Normal,100₹,29,0
Gurgaon,PvrAmbienceGurgaon,122001,Hindi,20:40,ClassicNormal,150₹,105,0
Gurgaon,PvrAmbienceGurgaon,122001,Hindi,20:40,Prime,150₹,62,9
Kolkata,InoxCityCentreSaltlake,700064,Hindi,21:15,DressCircle,100₹,190,0
Kolkata,InoxCityCentreSaltlake,700064,Hindi,21:15,Galleria,100₹,76,0
Kolkata,InoxCityCentreSaltlake,700064,Hindi,21:15,Royale,100₹,38,0
Jamshedpur,PjpCinepolisCityCentreMallMauja,831001,Hindi,21:15,Normal,150₹,24,0
Jamshedpur,PjpCinepolisCityCentreMallMauja,831001,Hindi,21:15,Executive,150₹,56,0
Jamshedpur,PjpCinepolisCityCentreMallMauja,831001,Hindi,21:15,Premium,150₹,64,6
Jamshedpur,PjpCinepolisCityCentreMallMauja,831001,Hindi,21:15,Vip,500₹,12,0
Mumbai,GoldCinemaSantacruzW,400054,Hindi,21:45,Club,112₹,420,264
Pune,InoxRoyalHeritageMallNibmExt,411060,Hindi,21:45,Club,100₹,38,0
Pune,InoxRoyalHeritageMallNibmExt,411060,Hindi,21:45,Executive,100₹,26,0
Pune,InoxRoyalHeritageMallNibmExt,411060,Hindi,21:45,RoyaleRecliners,180₹,15,0
Pune,InoxRoyalHeritageMallNibmExt,411060,Hindi,21:45,Royale,100₹,20,0
Gurgaon,PvrMgfMallGurgaon,122001,Hindi,21:55,Classic,99₹,59,0
Gurgaon,PvrMgfMallGurgaon,122001,Hindi,21:55,Prime,99₹,52,3
Gurgaon,PvrMgfMallGurgaon,122001,Hindi,21:55,Recliner,199₹,8,0
Bhubaneswar,CinepolisNexusEsplanadeBhubaneswar,751007,Hindi,22:00,Vip,400₹,10,0
Bhubaneswar,CinepolisNexusEsplanadeBhubaneswar,751007,Hindi,22:00,Premium,150₹,48,4
Bhubaneswar,CinepolisNexusEsplanadeBhubaneswar,751007,Hindi,22:00,Executive,140₹,71,0
Bhubaneswar,CinepolisNexusEsplanadeBhubaneswar,751007,Hindi,22:00,Normal,130₹,26,0
Mumbai,CinepolisNexusSeawoodsNaviMumbai,400706,Hindi,22:00,Normal,190₹,49,0
Mumbai,CinepolisNexusSeawoodsNaviMumbai,400706,Hindi,22:00,Executive,210₹,74,5
Mumbai,CinepolisNexusSeawoodsNaviMumbai,400706,Hindi,22:00,Premium,230₹,60,11
Mumbai,CinepolisNexusSeawoodsNaviMumbai,400706,Hindi,22:00,Vip,400₹,14,0
Mumbai,PvrLuxeMarketcityKurlaMumbai,400072,Hindi,22:00,GoldPremium,500₹,22,13
Mumbai,PvrLuxeMarketcityKurlaMumbai,400072,Hindi,22:00,GoldStar,450₹,55,0
Mumbai,InoxLaserplexCr2NarimanPoint,400021,Hindi,22:10,Club,200₹,160,0
Mumbai,InoxLaserplexCr2NarimanPoint,400021,Hindi,22:10,Royale,200₹,82,0
Kolkata,CinepolisAcropolisMallRajdangaRoad,839200,Hindi,22:25,Normal,150₹,22,0
