State,City,Name,Language,Time(IST),Type,Price,Capacity,Booked
Gujarat,Ahmedabad,BananaSmartplexSbrThaltej,Hindi,08:00,Premium,150₹,83,0
Gujarat,Ahmedabad,NewfangledMiniplexMoteraAhmedabad,Hindi,08:30,CoupleSeat,300₹,38,0
Karnataka,Bengaluru,PvrVegaBannerghattaRoad,English,08:50,Classic,200₹,144,1
Karnataka,Bengaluru,PvrVrWhitefieldRoad,English,08:50,Classic,200₹,207,207
Karnataka,Bengaluru,PvrVrWhitefieldRoad,English,08:50,Prime,220₹,75,75
Karnataka,Bengaluru,PvrVrWhitefieldRoad,English,08:50,Recliner,360₹,22,22
Gujarat,Anand,DiyaCinema100FeetRoad,Hindi,09:00,Recliner,250₹,10,0
Gujarat,Anand,DiyaCinema100FeetRoad,Hindi,09:00,Sofa,200₹,28,0
Gujarat,Anand,DiyaCinema100FeetRoad,Hindi,09:00,Platinum,100₹,77,0
Gujarat,Anand,DiyaCinema100FeetRoad,Hindi,09:00,Gold,100₹,39,0
Maharashtra,Kalyan,InoxMetroJunctionMallKalyan,English,09:00,Execuitve,130₹,28,0
Maharashtra,Kalyan,InoxMetroJunctionMallKalyan,English,09:00,Gold,210₹,14,0
Maharashtra,Kalyan,InoxMetroJunctionMallKalyan,English,09:00,Premier,150₹,129,5
Maharashtra,Kalyan,InoxMetroJunctionMallKalyan,English,09:00,Silver,150₹,74,8
Gujarat,Vadodara,InoxSevenSeasMallFatehgunj,Hindi,09:00,Executive,130₹,36,0
Gujarat,Vadodara,InoxSevenSeasMallFatehgunj,Hindi,09:00,Premiere,130₹,126,2
Gujarat,Vadodara,InoxSevenSeasMallFatehgunj,Hindi,09:00,Silver,130₹,98,0
Delhi,NewDelhi,InoxNehruPlace,English,09:00,Club,300₹,75,2
Delhi,NewDelhi,InoxNehruPlace,English,09:00,Executive,280₹,70,0
Delhi,NewDelhi,InoxNehruPlace,English,09:00,Royal,320₹,33,0
Maharashtra,Pune,CinepolisVipSeasonsMallHadapsar,English,09:00,VipExecutive,350₹,20,0
Maharashtra,Pune,CinepolisVipSeasonsMallHadapsar,English,09:00,VipPremium,400₹,52,1
Maharashtra,NaviMumbai,CinepolisNexusSeawoodsNaviMumbai,English,09:00,Normal,180₹,0,0
Maharashtra,NaviMumbai,CinepolisNexusSeawoodsNaviMumbai,English,09:00,Executive,200₹,74,17
Maharashtra,NaviMumbai,CinepolisNexusSeawoodsNaviMumbai,English,09:00,Premium,220₹,60,29
Maharashtra,NaviMumbai,CinepolisNexusSeawoodsNaviMumbai,English,09:00,Vip,350₹,14,10
Orissa,Bhubaneswar,CinepolisNexusEsplanadeBhubaneswar,English,09:00,Vip,500₹,13,0
Orissa,Bhubaneswar,CinepolisNexusEsplanadeBhubaneswar,English,09:00,Premium,220₹,66,19
Orissa,Bhubaneswar,CinepolisNexusEsplanadeBhubaneswar,English,09:00,Executive,200₹,94,9
Orissa,Bhubaneswar,CinepolisNexusEsplanadeBhubaneswar,English,09:00,Normal,180₹,35,0
Gujarat,Surat,InoxVrSuratDumasRoad,Hindi,09:00,Club,140₹,122,4
Gujarat,Surat,InoxVrSuratDumasRoad,Hindi,09:00,Executive,140₹,34,0
Gujarat,Surat,InoxVrSuratDumasRoad,Hindi,09:00,Royal,150₹,54,5
Gujarat,Surat,InoxVrSuratDumasRoad,Hindi,09:00,RoyalRecliner,300₹,12,2
Maharashtra,Thane,CinepolisVivianaMallThaneW,English,09:00,Normal,170₹,27,0
Maharashtra,Thane,CinepolisVivianaMallThaneW,English,09:00,Executive,170₹,104,5
Maharashtra,Thane,CinepolisVivianaMallThaneW,English,09:00,Premium,170₹,46,34
Assam,Guwahati,PvrCityCentreGuwahati,English,09:00,Classic,180₹,40,0
Assam,Guwahati,PvrCityCentreGuwahati,English,09:00,Prime,190₹,82,14
Assam,Guwahati,PvrCityCentreGuwahati,English,09:00,PrimePlus,220₹,13,0
Maharashtra,Pune,PvrIconPavillionMallShivajinagar,English,09:00,Classic,160₹,40,0
Maharashtra,Pune,PvrIconPavillionMallShivajinagar,English,09:00,Prime,190₹,189,37
Maharashtra,Pune,PvrIconPavillionMallShivajinagar,English,09:00,Recliner,500₹,14,2
Gujarat,Ahmedabad,CityGoldAshramRoad,Hindi,09:00,Executive,150₹,261,46
Maharashtra,Mumbai,PvrOdeonGhatkopar,English,09:00,Classic,140₹,27,0
Maharashtra,Mumbai,PvrOdeonGhatkopar,English,09:00,Prime,140₹,100,2
Maharashtra,Mumbai,PvrOdeonGhatkopar,English,09:00,PrimePlus,140₹,52,13
Maharashtra,Mumbai,PvrOdeonGhatkopar,English,09:00,Recliner,240₹,9,2
Maharashtra,Mumbai,MetroInoxCinemaMGRoad,English,09:00,Club,150₹,129,7
Maharashtra,Mumbai,MetroInoxCinemaMGRoad,English,09:00,Executive,150₹,30,0
Maharashtra,Mumbai,MetroInoxCinemaMGRoad,English,09:00,Royale,170₹,79,0
Maharashtra,Pune,CinepolisSeasonsMallHadapsar,English,09:00,Normal,140₹,27,0
Maharashtra,Pune,CinepolisSeasonsMallHadapsar,English,09:00,Executive,140₹,92,6
Maharashtra,Pune,CinepolisSeasonsMallHadapsar,English,09:00,Premium,140₹,33,15
Delhi,NewDelhi,PvrPrashantVihar,Hindi,09:00,Classic,250₹,150,0
Delhi,NewDelhi,PvrPrashantVihar,Hindi,09:00,Prime,300₹,30,0
Maharashtra,Mumbai,InoxRCityGhatkoparW,English,09:00,RoyalRecliner,300₹,16,5
Maharashtra,Mumbai,InoxRCityGhatkoparW,English,09:00,Royal,150₹,51,16
Maharashtra,Mumbai,InoxRCityGhatkoparW,English,09:00,Club,150₹,111,2
Maharashtra,Mumbai,InoxRCityGhatkoparW,English,09:00,Executive,130₹,53,0
Maharashtra,Aurangabad,InoxRelianceMallAurangabad,Hindi,09:00,Club,160₹,160,0
Maharashtra,Aurangabad,InoxRelianceMallAurangabad,Hindi,09:00,Executive,140₹,54,0
Maharashtra,Aurangabad,InoxRelianceMallAurangabad,Hindi,09:00,RoyaleRecliners,320₹,27,0
Maharashtra,Aurangabad,InoxRelianceMallAurangabad,Hindi,09:00,Royale,180₹,50,2
Gujarat,Surat,TheFridayCinemaMotaVarachha,Hindi,09:00,Recliner,250₹,115,2
Gujarat,Surat,TheFridayCinemaMotaVarachha,Hindi,09:00,PushBackSeat,150₹,115,2
Gujarat,Surat,TheFridayCinemaMotaVarachha,Hindi,09:00,Lounger,150₹,115,2
Punjab,Ludhiana,PvrSilverArcMallGurdevNagar,Hindi,09:05,Prime,200₹,18,0
Punjab,Ludhiana,PvrSilverArcMallGurdevNagar,Hindi,09:05,Classic,170₹,178,0
Punjab,Ludhiana,PvrSilverArcMallGurdevNagar,Hindi,09:05,Recliner,380₹,26,0
Gujarat,Vadodara,CinemarcAkota,Hindi,09:05,Premier,110₹,15,0
Gujarat,Vadodara,CinemarcAkota,Hindi,09:05,Silver,110₹,88,2
Gujarat,Vadodara,CinemarcAkota,Hindi,09:05,Sofa,110₹,19,0
WestBengal,Kolkata,PvrManiSquareMallEmBypassRoad,English,09:10,Recliner,440₹,25,2
WestBengal,Kolkata,PvrManiSquareMallEmBypassRoad,English,09:10,Prime,190₹,279,6
WestBengal,Kolkata,PvrManiSquareMallEmBypassRoad,English,09:10,Classic,160₹,71,0
Maharashtra,Pune,InoxJaiGaneshVisionMallAkurdi,Hindi,09:10,Premiere,130₹,88,4
Maharashtra,Pune,InoxJaiGaneshVisionMallAkurdi,Hindi,09:10,Silver,150₹,47,2
Punjab,Amritsar,InoxVrAmbarsarCircularRoad,Hindi,09:10,Normal,180₹,163,5
Karnataka,Bengaluru,PvrNexusFormerlyForumKoramangala,English,09:10,Lounger,260₹,11,2
Karnataka,Bengaluru,PvrNexusFormerlyForumKoramangala,English,09:10,Classic,230₹,171,33
Delhi,NewDelhi,InoxVishalMallRajouriGarden,Hindi,09:15,Club,250₹,36,2
Delhi,NewDelhi,InoxVishalMallRajouriGarden,Hindi,09:15,Executive,230₹,40,0
Maharashtra,Thane,InoxInsigniaAtRMallThane,English,09:15,Insignia,500₹,54,2
Gujarat,Vadodara,PvrEvaMallManjalpur,Hindi,09:15,Classic,130₹,47,0
Gujarat,Vadodara,PvrEvaMallManjalpur,Hindi,09:15,Prime,130₹,64,0
Gujarat,Vadodara,PvrEvaMallManjalpur,Hindi,09:15,PrimePlus,130₹,65,16
Goa,Goa,InoxOldGmcDbRoad,English,09:15,Club,180₹,250,0
Goa,Goa,InoxOldGmcDbRoad,English,09:15,Executive,180₹,50,0
Goa,Goa,InoxOldGmcDbRoad,English,09:15,RoyalRecliners,340₹,28,0
Goa,Goa,InoxOldGmcDbRoad,English,09:15,Royal,210₹,138,21
Maharashtra,Mumbai,InoxMegaplexInorbitMallMalad,English,09:15,Club,200₹,116,7
Maharashtra,Mumbai,InoxMegaplexInorbitMallMalad,English,09:15,Executive,200₹,28,0
Maharashtra,Mumbai,InoxMegaplexInorbitMallMalad,English,09:15,Royal,200₹,25,13
Delhi,NewDelhi,PvrPacificSubhashNagarDelhi,Hindi,09:15,Classic,300₹,52,4
Delhi,NewDelhi,PvrPacificSubhashNagarDelhi,Hindi,09:15,Prime,320₹,68,9
Maharashtra,Nashik,CinemaxCityCenterNasik,English,09:15,Prime,130₹,139,39
Maharashtra,Nashik,CinemaxCityCenterNasik,English,09:15,Recliner,280₹,14,8
Maharashtra,Nashik,CinemaxCityCenterNasik,English,09:15,Classic,110₹,34,2
Delhi,NewDelhi,InoxInsigniaAtEpicuriaNehruPlace,English,09:20,Insignia,553₹,35,0
Assam,Guwahati,CinepolisCentralMallGuwahati,English,09:20,Normal,140₹,26,0
Assam,Guwahati,CinepolisCentralMallGuwahati,English,09:20,Executive,150₹,124,0
Assam,Guwahati,CinepolisCentralMallGuwahati,English,09:20,Premium,160₹,41,4
Assam,Guwahati,CinepolisCentralMallGuwahati,English,09:20,Vip,450₹,8,0
Maharashtra,NaviMumbai,InoxPalmBeachGalleriaMallVashi,Hindi,09:25,RoyalRecliners,210₹,9,7
Maharashtra,NaviMumbai,InoxPalmBeachGalleriaMallVashi,Hindi,09:25,Royal,150₹,45,2
Maharashtra,NaviMumbai,InoxPalmBeachGalleriaMallVashi,Hindi,09:25,Club,150₹,122,0
Maharashtra,NaviMumbai,InoxPalmBeachGalleriaMallVashi,Hindi,09:25,Executive,130₹,30,0
Gujarat,Ahmedabad,CinemaxDevArcMall,English,09:30,Recliner,270₹,19,0
Gujarat,Ahmedabad,CinemaxDevArcMall,English,09:30,Prime,130₹,226,22
Gujarat,Ahmedabad,CinemaxDevArcMall,English,09:30,Classic,112₹,36,0
Gujarat,Ahmedabad,NyCinemasAhmedabad,Hindi,09:30,Recliner,250₹,23,1
Gujarat,Ahmedabad,NyCinemasAhmedabad,Hindi,09:30,Prime,130₹,228,0
Gujarat,Ahmedabad,NyCinemasAhmedabad,Hindi,09:30,Classic,100₹,60,0
Karnataka,Bengaluru,PvrVaishnaviSapphireMallYashwantpur,English,09:30,Classic,170₹,142,2
Karnataka,Bengaluru,PvrVaishnaviSapphireMallYashwantpur,English,09:30,Prime,190₹,40,5
Karnataka,Bengaluru,PvrVaishnaviSapphireMallYashwantpur,English,09:30,Recliner,290₹,14,0
Telangana,Hyderabad,PlatinumMovietimeCinemasGachibowliSlnTerminus,English,09:30,PlatinumRecliners,350₹,24,8
Telangana,Hyderabad,PlatinumMovietimeCinemasGachibowliSlnTerminus,English,09:30,PlatinumPremiumRecliner,350₹,15,11
Punjab,Patiala,PvrVrcPatiala,Hindi,09:30,Classic,190₹,26,0
Punjab,Patiala,PvrVrcPatiala,Hindi,09:30,Prime,200₹,171,4
Punjab,Zirakpur,InoxDhillonPlazaZirakpur,Hindi,09:30,Club,160₹,89,0
Punjab,Zirakpur,InoxDhillonPlazaZirakpur,Hindi,09:30,Executive,140₹,66,0
Punjab,Zirakpur,InoxDhillonPlazaZirakpur,Hindi,09:30,RoyalRecliner,300₹,8,0
Punjab,Zirakpur,InoxDhillonPlazaZirakpur,Hindi,09:30,Royal,160₹,37,0
Assam,Jorhat,InoxAbsMallJorhat,Hindi,09:30,Club,230₹,55,0
Assam,Jorhat,InoxAbsMallJorhat,Hindi,09:30,Executive,150₹,32,5
Assam,Jorhat,InoxAbsMallJorhat,Hindi,09:30,Premier,130₹,32,0
Assam,Jorhat,InoxAbsMallJorhat,Hindi,09:30,Royal,300₹,14,0
Maharashtra,Vasai,MirajDattaniCinemasVasai,English,09:30,Silver,150₹,191,4
Maharashtra,Vasai,MirajDattaniCinemasVasai,English,09:30,Bronze,130₹,32,0
Maharashtra,Vasai,MirajDattaniCinemasVasai,English,09:30,Gold,170₹,16,2
Maharashtra,Vasai,MirajDattaniCinemasVasai,English,09:30,Platinum,220₹,11,0
UttarPradesh,Chandigarh,PvrCentraChandigarh,Hindi,09:30,Prime,150₹,138,18
UttarPradesh,Chandigarh,PvrCentraChandigarh,Hindi,09:30,Classic,138₹,84,0
WestBengal,Kolkata,InoxMetropolisMallHilandPark,Hindi,09:30,CoupleSeats,150₹,12,0
WestBengal,Kolkata,InoxMetropolisMallHilandPark,Hindi,09:30,Premier,150₹,53,0
WestBengal,Kolkata,InoxMetropolisMallHilandPark,Hindi,09:30,Royal,250₹,20,0
WestBengal,Kolkata,InoxMetropolisMallHilandPark,Hindi,09:30,Silver,150₹,184,4
Haryana,Panchkula,RajhansCinemasPanchkula,Hindi,09:30,Executive,150₹,154,17
Haryana,Panchkula,RajhansCinemasPanchkula,Hindi,09:30,Royal,140₹,34,0
Haryana,Panchkula,RajhansCinemasPanchkula,Hindi,09:30,Marvel,130₹,17,0
Haryana,Faridabad,PvrCrownPlazaFaridabad,Hindi,09:30,PrimePlus,170₹,27,1
Haryana,Faridabad,PvrCrownPlazaFaridabad,Hindi,09:30,Prime,150₹,141,0
Haryana,Faridabad,PvrCrownPlazaFaridabad,Hindi,09:30,Classic,130₹,26,0
Jharkhand,Dhanbad,InoxPrabhatamGrandMallDhanbad,Hindi,09:30,Club,140₹,42,0
Jharkhand,Dhanbad,InoxPrabhatamGrandMallDhanbad,Hindi,09:30,Executive,130₹,42,0
Jharkhand,Dhanbad,InoxPrabhatamGrandMallDhanbad,Hindi,09:30,Royal,140₹,172,13
Karnataka,Bengaluru,PvrOrionUptownOldMadrasRoadBengaluru,English,09:30,Classic,170₹,159,0
Karnataka,Bengaluru,PvrOrionUptownOldMadrasRoadBengaluru,English,09:30,Recliner,320₹,12,0
Gujarat,Ahmedabad,CityGoldSatellite,Hindi,09:30,Executive,150₹,124,12
Gujarat,Surat,RajhansMultiplexAdajan,Hindi,09:30,Executive,140₹,291,0
WestBengal,Kolkata,PvrDiamondPlazaJassore,English,09:30,Classic,180₹,176,9
WestBengal,Kolkata,PvrDiamondPlazaJassore,English,09:30,Prime,230₹,12,4
WestBengal,Kolkata,PvrDiamondPlazaJassore,English,09:30,Recliner,460₹,14,2
UttarPradesh,Chandigarh,PvrElanteMallChandigarh,English,09:30,Classic,180₹,138,16
UttarPradesh,Chandigarh,PvrElanteMallChandigarh,English,09:30,Recliner,450₹,13,6
Karnataka,Bengaluru,PvrOrionMallDrRajkumarRoad,English,09:30,Lounger,240₹,11,0
Karnataka,Bengaluru,PvrOrionMallDrRajkumarRoad,English,09:30,Classic,220₹,209,1
