State,City,Name,Language,Time(IST),Type,Price,Capacity,Booked
Karnataka,Bengaluru,PvrNexusFormerlyForumKoramangala,Hindi,10:05,Classic,112₹,97,3
Maharashtra,Mumbai,PvrCitiMallAndheriW,Hindi,10:15,Classic,112₹,46,0
Maharashtra,Mumbai,PvrCitiMallAndheriW,Hindi,10:15,Recliner,250₹,24,4
Maharashtra,Mumbai,PvrCitiMallAndheriW,Hindi,10:15,Prime,112₹,146,29
Gujarat,Ahmedabad,PvrAcropolisMallThaltej,Hindi,10:15,Prime,112₹,42,0
Gujarat,Ahmedabad,PvrAcropolisMallThaltej,Hindi,10:15,Classic,112₹,42,0
Gujarat,Ahmedabad,PvrAcropolisMallThaltej,Hindi,10:15,Recliner,350₹,11,0
Gujarat,Ahmedabad,PvrAcropolisMallThaltej,Hindi,10:15,PrimePlus,112₹,70,2
Maharashtra,Mumbai,InoxRCityGhatkoparW,Hindi,10:20,Club,112₹,63,0
Maharashtra,Mumbai,InoxRCityGhatkoparW,Hindi,10:20,Executive,112₹,36,0
Maharashtra,Mumbai,InoxRCityGhatkoparW,Hindi,10:20,RoyalRecliner,200₹,13,4
Maharashtra,Mumbai,InoxRCityGhatkoparW,Hindi,10:20,Royal,112₹,37,1
UttarPradesh,Noida,PvrLogixCityCentreNoida,Hindi,10:35,Classic,112₹,78,5
Maharashtra,Mumbai,InoxMegaplexInorbitMall,Hindi,10:40,Amplix,112₹,16,0
Maharashtra,Mumbai,InoxMegaplexInorbitMall,Hindi,10:40,Executive,112₹,32,0
Maharashtra,Mumbai,InoxMegaplexInorbitMall,Hindi,10:40,Premiere,112₹,101,0
Maharashtra,Mumbai,InoxMegaplexInorbitMall,Hindi,10:40,Silver,112₹,76,3
Maharashtra,Mumbai,PvrInfinitiMaladMumbai,Hindi,10:45,Prime,112₹,76,19
Karnataka,Manipal,InoxCentralCinemasLaxmindraNagar,Hindi,11:00,Club,112₹,52,0
Karnataka,Manipal,InoxCentralCinemasLaxmindraNagar,Hindi,11:00,Executive,112₹,85,0
Karnataka,Manipal,InoxCentralCinemasLaxmindraNagar,Hindi,11:00,Royal,200₹,14,0
Delhi,NewDelhi,PvrShalimarBagh,Hindi,11:00,Classic,150₹,133,0
Delhi,NewDelhi,PvrShalimarBagh,Hindi,11:00,Prime,150₹,51,4
Maharashtra,Pune,PvrIconPavillionMallShivajinagar,Hindi,11:00,Classic,112₹,28,0
Maharashtra,Pune,PvrIconPavillionMallShivajinagar,Hindi,11:00,Prime,112₹,148,23
Maharashtra,Pune,PvrIconPavillionMallShivajinagar,Hindi,11:00,Recliner,200₹,8,2
Delhi,NewDelhi,PvrPacificSubhashNagarDelhi,Hindi,11:10,Classic,200₹,52,0
Delhi,NewDelhi,PvrPacificSubhashNagarDelhi,Hindi,11:10,Prime,200₹,68,25
MadhyaPradesh,Indore,PvrTreasureIslandMallSouthTukoganj,Hindi,11:30,Classic,110₹,48,0
MadhyaPradesh,Indore,PvrTreasureIslandMallSouthTukoganj,Hindi,11:30,Prime,110₹,117,23
MadhyaPradesh,Indore,PvrTreasureIslandMallSouthTukoganj,Hindi,11:30,Recliner,200₹,11,4
Delhi,NewDelhi,InoxRCubeMonadMall,Hindi,11:55,Insignia,300₹,30,1
Maharashtra,Nagpur,PvrEmpressCityMallNagpur,Hindi,12:20,Classic,112₹,26,0
Maharashtra,Nagpur,PvrEmpressCityMallNagpur,Hindi,12:20,Prime,112₹,50,2
Maharashtra,Nagpur,PvrEmpressCityMallNagpur,Hindi,12:20,PrimePlus,112₹,45,31
WestBengal,Kolkata,InoxQuestMallBallygunge,Hindi,13:00,Club,112₹,112,0
WestBengal,Kolkata,InoxQuestMallBallygunge,Hindi,13:00,Executive,112₹,24,0
WestBengal,Kolkata,InoxQuestMallBallygunge,Hindi,13:00,RoyalRecliner,200₹,8,5
WestBengal,Kolkata,InoxQuestMallBallygunge,Hindi,13:00,Royal,112₹,28,4
Gujarat,Ahmedabad,PvrAcropolisMallThaltej,Hindi,13:15,Prime,112₹,42,0
Gujarat,Ahmedabad,PvrAcropolisMallThaltej,Hindi,13:15,Classic,112₹,42,0
Gujarat,Ahmedabad,PvrAcropolisMallThaltej,Hindi,13:15,Recliner,350₹,11,0
Gujarat,Ahmedabad,PvrAcropolisMallThaltej,Hindi,13:15,PrimePlus,112₹,70,4
WestBengal,Kolkata,InoxSwabhumiMaulanaAzadSarani,Hindi,13:30,Club,112₹,133,2
WestBengal,Kolkata,InoxSwabhumiMaulanaAzadSarani,Hindi,13:30,Executive,112₹,33,0
WestBengal,Kolkata,InoxSwabhumiMaulanaAzadSarani,Hindi,13:30,Royal,112₹,16,4
Chhattisgarh,Raipur,PvrCityCenterRaipur,Hindi,13:30,Recliner,199₹,12,5
Chhattisgarh,Raipur,PvrCityCenterRaipur,Hindi,13:30,Prime,90₹,140,8
Chhattisgarh,Raipur,PvrCityCenterRaipur,Hindi,13:30,Classic,80₹,24,0
Maharashtra,Pune,PvrIconPavillionMallShivajinagar,Hindi,14:00,Classic,112₹,28,0
Maharashtra,Pune,PvrIconPavillionMallShivajinagar,Hindi,14:00,Prime,112₹,148,22
Maharashtra,Pune,PvrIconPavillionMallShivajinagar,Hindi,14:00,Recliner,200₹,8,2
Delhi,NewDelhi,InoxPatelNagar,Hindi,14:02,Club,112₹,81,6
Delhi,NewDelhi,InoxPatelNagar,Hindi,14:02,Executive,112₹,105,0
Delhi,NewDelhi,InoxPatelNagar,Hindi,14:02,Royal,112₹,30,15
WestBengal,Kolkata,InoxSouthCityMall,Hindi,14:25,Premier,112₹,34,0
WestBengal,Kolkata,InoxSouthCityMall,Hindi,14:25,Silver,112₹,157,14
Maharashtra,Aurangabad,InoxProzoneMallChilkalthana,Hindi,14:30,Club,112₹,93,2
Maharashtra,Aurangabad,InoxProzoneMallChilkalthana,Hindi,14:30,Executive,112₹,36,0
Maharashtra,Aurangabad,InoxProzoneMallChilkalthana,Hindi,14:30,RoyaleRecliners,200₹,10,2
Maharashtra,Aurangabad,InoxProzoneMallChilkalthana,Hindi,14:30,Royale,112₹,59,2
Maharashtra,Thane,InoxKorumMallThaneW,Hindi,15:00,Club,112₹,150,16
Maharashtra,Thane,InoxKorumMallThaneW,Hindi,15:00,Executive,112₹,75,0
Maharashtra,Thane,InoxKorumMallThaneW,Hindi,15:00,Royal,200₹,24,8
UttarPradesh,Noida,PvrLogixCityCentreNoida,Hindi,15:15,Classic,112₹,87,27
TamilNadu,Chennai,PvrVrMallAnnaNagar,Hindi,15:20,Classic,61₹,50,50
TamilNadu,Chennai,PvrVrMallAnnaNagar,Hindi,15:20,Prime,155₹,317,63
Uttarakhand,Dehradun,PvrPacificMallDehradun,Hindi,16:05,Prime,112₹,72,3
Uttarakhand,Dehradun,PvrPacificMallDehradun,Hindi,16:05,Classic,112₹,24,0
Maharashtra,Mumbai,MetroInoxCinemaMGRoad,Hindi,16:45,Kiddles,112₹,36,14
MadhyaPradesh,Indore,PvrTreasureIslandMallSouthTukoganj,Hindi,17:55,Classic,110₹,48,0
MadhyaPradesh,Indore,PvrTreasureIslandMallSouthTukoganj,Hindi,17:55,Prime,110₹,117,27
MadhyaPradesh,Indore,PvrTreasureIslandMallSouthTukoganj,Hindi,17:55,Recliner,200₹,11,4
MadhyaPradesh,Indore,InoxC21MallSheetalNagar,Hindi,19:00,Normal,112₹,163,0
Rajasthan,Jaipur,InoxGtCentralMallMalviyaNagar,Hindi,19:25,Kiddles,112₹,34,7
