State,City,Name,Language,Time(IST),Type,Price,Capacity,Booked
Maharashtra,Mumbai,PvrXperiaPalavaDombivaliE,Marathi,09:30,Classic,100₹,36,0
Maharashtra,Mumbai,PvrXperiaPalavaDombivaliE,Marathi,09:30,Prime,110₹,108,4
Maharashtra,Mumbai,PvrXperiaPalavaDombivaliE,Marathi,09:30,Recliner,190₹,12,0
Maharashtra,Mumbai,MovieMaxEternityThaneMumbai,Marathi,09:30,Classic,90₹,38,0
Maharashtra,Mumbai,MovieMaxEternityThaneMumbai,Marathi,09:30,Prime,110₹,177,0
Maharashtra,Mumbai,MovieMaxEternityThaneMumbai,Marathi,09:30,Recliner,200₹,22,0
Maharashtra,Washim,H2MMovieplexPatniCommercial,Marathi,09:30,Gl,150₹,96,0
Maharashtra,Washim,H2MMovieplexPatniCommercial,Marathi,09:30,Pl,150₹,60,0
Maharashtra,Washim,H2MMovieplexPatniCommercial,Marathi,09:30,Sf,150₹,21,0
Maharashtra,Washim,H2MMovieplexPatniCommercial,Marathi,09:30,Sl,100₹,52,0
Maharashtra,Pune,InoxAmanoraTownCentreHadapsar,Marathi,09:45,Club,112₹,231,2
Maharashtra,Pune,InoxAmanoraTownCentreHadapsar,Marathi,09:45,Executive,112₹,32,0
Maharashtra,Pune,InoxAmanoraTownCentreHadapsar,Marathi,09:45,Royale,190₹,6,0
Maharashtra,NaviMumbai,PvrOrionPanvel,Marathi,10:00,Classic,90₹,38,0
Maharashtra,NaviMumbai,PvrOrionPanvel,Marathi,10:00,Prime,110₹,209,24
Maharashtra,NaviMumbai,PvrOrionPanvel,Marathi,10:00,Recliner,240₹,11,0
Maharashtra,Pune,PvrKumarPacificMallSwarGate,Marathi,10:00,Classic,90₹,42,0
Maharashtra,Pune,PvrKumarPacificMallSwarGate,Marathi,10:00,Prime,110₹,249,28
Maharashtra,Pune,PvrKumarPacificMallSwarGate,Marathi,10:00,Recliner,200₹,16,0
Maharashtra,Pune,InoxJaiGaneshVisionMallAkurdi,Marathi,10:00,Premiere,90₹,90,0
Maharashtra,Pune,InoxJaiGaneshVisionMallAkurdi,Marathi,10:00,Silver,90₹,45,0
Maharashtra,Pune,PvrGrandHighstreetPune,Marathi,10:00,Classic,80₹,28,0
Maharashtra,Pune,PvrGrandHighstreetPune,Marathi,10:00,Prime,100₹,56,0
Maharashtra,Pune,PvrGrandHighstreetPune,Marathi,10:00,PrimePlus,130₹,85,17
Maharashtra,Pune,PvrGrandHighstreetPune,Marathi,10:00,Recliner,200₹,11,0
Maharashtra,Pune,PvrIconPavillionMallShivajinagar,Marathi,10:00,Classic,130₹,40,0
Maharashtra,Pune,PvrIconPavillionMallShivajinagar,Marathi,10:00,Prime,160₹,209,23
Maharashtra,Pune,PvrIconPavillionMallShivajinagar,Marathi,10:00,Recliner,460₹,14,0
Maharashtra,Mumbai,PvrMarketCityKurlaW,Marathi,10:00,Classic,90₹,85,0
Maharashtra,Mumbai,PvrMarketCityKurlaW,Marathi,10:00,Prime,110₹,155,23
Maharashtra,Nashik,CinemaxCityCenterNasik,Marathi,10:00,Prime,100₹,139,21
Maharashtra,Nashik,CinemaxCityCenterNasik,Marathi,10:00,Recliner,220₹,14,6
Maharashtra,Nashik,CinemaxCityCenterNasik,Marathi,10:00,Classic,80₹,34,0
Maharashtra,Mumbai,PvrOdeonGhatkopar,Marathi,10:00,Classic,112₹,27,0
Maharashtra,Mumbai,PvrOdeonGhatkopar,Marathi,10:00,Prime,112₹,100,0
Maharashtra,Mumbai,PvrOdeonGhatkopar,Marathi,10:00,PrimePlus,112₹,52,14
Maharashtra,Mumbai,PvrOdeonGhatkopar,Marathi,10:00,Recliner,200₹,9,0
Maharashtra,Pune,PvrMarketCityVimanNagar,Marathi,10:00,Recliner,200₹,12,2
Maharashtra,Pune,PvrMarketCityVimanNagar,Marathi,10:00,PrimePlus,150₹,15,10
Maharashtra,Pune,PvrMarketCityVimanNagar,Marathi,10:00,Prime,110₹,129,22
Maharashtra,Pune,PvrMarketCityVimanNagar,Marathi,10:00,Classic,110₹,80,0
Maharashtra,Pune,RahulTalkies70MmShivajiNagar,Marathi,10:01,GoldClass,80₹,204,0
Maharashtra,Pune,RahulTalkies70MmShivajiNagar,Marathi,10:01,SilverClass,80₹,120,0
Maharashtra,Thane,CinepolisVivianaMallThaneW,Marathi,10:15,Normal,120₹,27,0
Maharashtra,Thane,CinepolisVivianaMallThaneW,Marathi,10:15,Executive,140₹,101,0
