City,Name,ZIP,Language,Time,Type,Price,Capacity,Booked
Mumbai,MaxusCinemasBorivaliW,400092,Hindi,07:45,Sofa,199₹,36,0
Mumbai,MaxusCinemasBorivaliW,400092,Hindi,07:45,PremiumPlus,112₹,198,0
Mumbai,MaxusCinemasBorivaliW,400092,Hindi,07:45,Premium,99₹,42,0
Thane,MaxusCinemasMaxusMallBhayandar,401101,Hindi,07:45,Sofa,149₹,238,0
Ahmedabad,NewfangledMiniplexMoteraAhmedabad,380005,Hindi,08:00,CoupleSeat,400₹,29,0
Mumbai,CinepolisAndheriW,400053,Hindi,08:15,Premium,100₹,32,6
Mumbai,CinepolisAndheriW,400053,Hindi,08:15,Platinum,170₹,21,3
Mumbai,CinepolisAndheriW,400053,Hindi,08:15,Normal,80₹,32,0
Mumbai,CinepolisAndheriW,400053,Hindi,08:15,Executive,100₹,95,2
Mumbai,CarnivalAnnexMallBorivali,400066,Hindi,08:25,Sofa,130₹,133,0
Pune,CarnivalPremierPlazaChinchwad,411049,Hindi,08:25,GoldOffline,100₹,80,0
Pune,CarnivalPremierPlazaChinchwad,411049,Hindi,08:25,SilverOffline,90₹,40,0
Pune,CarnivalPremierPlazaChinchwad,411049,Hindi,08:25,PlatinumOffline,110₹,189,0
Pune,CarnivalPremierPlazaChinchwad,411049,Hindi,08:25,PremiumReclineOffline,190₹,19,0
Ahmedabad,NewfangledMiniplexMondealRetailParkAhmedabad,380015,Hindi,08:30,CoupleSeat,400₹,23,0
Pune,CarnivalCinemasSpineCityPuneSpineCityMall,412105,Hindi,08:45,PlatinumOffline,110₹,112,0
Pune,CarnivalCinemasSpineCityPuneSpineCityMall,412105,Hindi,08:45,GoldOffline,100₹,65,0
Pune,CarnivalCinemasSpineCityPuneSpineCityMall,412105,Hindi,08:45,SilverOffline,90₹,48,0
Pune,CarnivalCinemasSpineCityPuneSpineCityMall,412105,Hindi,08:45,SofaOffline,130₹,18,0
Bhavnagar,MaxusCinemaBhavnagar,364002,Hindi,08:45,Couple,199₹,30,6
Bhavnagar,MaxusCinemaBhavnagar,364002,Hindi,08:45,Recliner,199₹,72,44
Vasai,CarnivalKtVasaiW,401202,Hindi,08:55,Silver,90₹,63,0
Vasai,CarnivalKtVasaiW,401202,Hindi,08:55,Gold,90₹,205,0
Vasai,CarnivalKtVasaiW,401202,Hindi,08:55,Platinum,90₹,60,60
Pune,PvrCityOneMallPimpri,411018,Hindi,09:00,Classic,160₹,33,0
Pune,PvrCityOneMallPimpri,411018,Hindi,09:00,Prime,180₹,127,0
Mumbai,MaisonPvrLibraryHallJioWorldDriveBkc,400051,Hindi,09:00,Prime,190₹,138,0
Mumbai,MaisonPvrLibraryHallJioWorldDriveBkc,400051,Hindi,09:00,PrimePlus,190₹,66,22
Mumbai,MaisonPvrLibraryHallJioWorldDriveBkc,400051,Hindi,09:00,Recliner,400₹,16,6
Agra,SarvMultiplexAgra,282002,Hindi,09:00,Platinum,500₹,16,8
Agra,SarvMultiplexAgra,282002,Hindi,09:00,Gold,200₹,226,26
Agra,SarvMultiplexAgra,282002,Hindi,09:00,Silver,150₹,128,0
Gurgaon,InoxWorldMarkGurugram,122001,Hindi,09:00,Club,112₹,65,0
Gurgaon,InoxWorldMarkGurugram,122001,Hindi,09:00,Executive,112₹,26,0
Gurgaon,InoxWorldMarkGurugram,122001,Hindi,09:00,RoyalRecliner,450₹,8,0
Gurgaon,InoxWorldMarkGurugram,122001,Hindi,09:00,Royal,112₹,35,0
