City,Name,ZIP,Language,Time,Type,Price,Capacity,Booked
Ahmedabad,NewfangledMiniplexMondealRetailParkAhmedabad,380015,Hindi,08:00,VipClub,450₹,12,0
Ahmedabad,NewfangledMiniplexMondealRetailParkAhmedabad,380015,Hindi,08:00,Premium,400₹,11,0
Lucknow,CinepolisOneAwadhCenterMallGomtiNagar,226010,Hindi,09:40,Normal,130₹,25,0
Lucknow,CinepolisOneAwadhCenterMallGomtiNagar,226010,Hindi,09:40,Executive,130₹,68,0
Lucknow,CinepolisOneAwadhCenterMallGomtiNagar,226010,Hindi,09:40,Premium,130₹,48,2
Lucknow,CinepolisOneAwadhCenterMallGomtiNagar,226010,Hindi,09:40,Vip,300₹,16,0
Bhiwadi,LegendSrsCinemasLegendCentraMall,301019,Hindi,10:00,Platinum,120₹,144,116
Bhiwadi,LegendSrsCinemasLegendCentraMall,301019,Hindi,10:00,Gold,100₹,36,36
Firozabad,BharatDdPlex,283203,Hindi,10:00,Diamond,150₹,20,0
Firozabad,BharatDdPlex,283203,Hindi,10:00,Gold,150₹,166,0
Pune,RajhansCinemas93AvenueMallFatimaNagar,411022,Hindi,10:15,Marvel,100₹,24,0
Pune,RajhansCinemas93AvenueMallFatimaNagar,411022,Hindi,10:15,Royal,100₹,48,0
Pune,RajhansCinemas93AvenueMallFatimaNagar,411022,Hindi,10:15,Executive,100₹,84,10
Pune,RajhansCinemas93AvenueMallFatimaNagar,411022,Hindi,10:15,Recliner,190₹,15,2
Gwalior,GoldCinemaGwalior,474011,Hindi,10:15,Gold,112₹,99,0
Gwalior,GoldCinemaGwalior,474011,Hindi,10:15,Silver,100₹,27,0
Valsad,CineParkMultiplexValsad,396050,Hindi,10:15,Recliner,250₹,20,1
Valsad,CineParkMultiplexValsad,396050,Hindi,10:15,Gold,110₹,120,6
Valsad,CineParkMultiplexValsad,396050,Hindi,10:15,Executive,100₹,102,0
Valsad,CineParkMultiplexValsad,396050,Hindi,10:15,Special,100₹,51,0
Katni,CineworldzCinema,483501,Hindi,10:30,Recliner,200₹,10,0
Katni,CineworldzCinema,483501,Hindi,10:30,Platinum,140₹,62,0
Katni,CineworldzCinema,483501,Hindi,10:30,Gold,110₹,96,0
Katni,CineworldzCinema,483501,Hindi,10:30,Silver,89₹,64,0
Ghaziabad,MovieMagicLoni,201102,Hindi,10:30,Diamond,110₹,152,128
Ghaziabad,MovieMagicLoni,201102,Hindi,10:30,Gold,110₹,240,216
Titagarh,LaxmiCinemaTitagarh,700119,Hindi,11:00,Balcony,60₹,31,0
Titagarh,LaxmiCinemaTitagarh,700119,Hindi,11:00,Firstclass,40₹,48,0
Surat,CityPlusMultiplexDumasRoad,395007,Hindi,11:00,GoldStar,80₹,10,0
Surat,CityPlusMultiplexDumasRoad,395007,Hindi,11:00,Gold,100₹,10,0
Surat,CityPlusMultiplexDumasRoad,395007,Hindi,11:00,Executive,300₹,10,0
Shirpur,AlankarChitraMandirKrantinagar,425405,Hindi,11:15,DiamondClass,120₹,52,0
Ahmedabad,CinepolisNexusOneAhmedabad,380015,Hindi,11:20,Normal,150₹,37,0
Ahmedabad,CinepolisNexusOneAhmedabad,380015,Hindi,11:20,Executive,150₹,45,2
Ahmedabad,CinepolisNexusOneAhmedabad,380015,Hindi,11:20,Premium,200₹,54,0
Gurgaon,InoxAiplJoyStreetGurgaon,122018,Hindi,11:25,Club,150₹,39,0
Gurgaon,InoxAiplJoyStreetGurgaon,122018,Hindi,11:25,Executive,150₹,26,0
Gurgaon,InoxAiplJoyStreetGurgaon,122018,Hindi,11:25,RoyaleRecliner,250₹,10,3
Gurgaon,InoxAiplJoyStreetGurgaon,122018,Hindi,11:25,Royale,150₹,46,0
NewDelhi,CinepolisUnityOneMallRohini,110085,Hindi,11:30,Normal,290₹,26,0
NewDelhi,CinepolisUnityOneMallRohini,110085,Hindi,11:30,Executive,300₹,100,5
NewDelhi,CinepolisUnityOneMallRohini,110085,Hindi,11:30,Vip,450₹,10,2
Angul,DivyajyotiMovieplexHatisalapada,759106,Hindi,11:30,DressCircle,200₹,49,37
Angul,DivyajyotiMovieplexHatisalapada,759106,Hindi,11:30,Platinum,170₹,24,12
Jamtara,MiniSarojTalkies,815351,Hindi,11:30,Diamond,180₹,12,6
Jamtara,MiniSarojTalkies,815351,Hindi,11:30,Gold,120₹,90,45
Jamtara,MiniSarojTalkies,815351,Hindi,11:30,Silver,100₹,27,18
Kotdwar,KayCinemasKotdwar,246149,Hindi,11:30,Gold,200₹,60,18
Kotdwar,KayCinemasKotdwar,246149,Hindi,11:30,Silver,160₹,88,0
Mumbai,PvrIconInfinitiAndheriW,400053,Hindi,11:35,Classic,120₹,42,0
Mumbai,PvrIconInfinitiAndheriW,400053,Hindi,11:35,Prime,140₹,126,0
Mumbai,PvrIconInfinitiAndheriW,400053,Hindi,11:35,PrimeSuperior,140₹,32,10
Mumbai,PvrIconInfinitiAndheriW,400053,Hindi,11:35,Recliner,350₹,11,2
Ludhiana,SolitaireCinemasJmdGovardhanCityCenter,141008,Hindi,11:40,VipClass,200₹,20,0
Ludhiana,SolitaireCinemasJmdGovardhanCityCenter,141008,Hindi,11:40,GoldClass,180₹,127,5
Ludhiana,SolitaireCinemasJmdGovardhanCityCenter,141008,Hindi,11:40,SilverClass,160₹,60,2
Bhavnagar,TheEntertainmentParkNawapara,364001,Hindi,11:45,Royal,249₹,22,0
Varanasi,IpCinemasIpSigraMallShastriNagar,221002,Hindi,11:45,Recliner,550₹,12,7
Varanasi,IpCinemasIpSigraMallShastriNagar,221002,Hindi,11:45,Gold,280₹,81,16
Varanasi,IpCinemasIpSigraMallShastriNagar,221002,Hindi,11:45,Silver,230₹,75,2
Ankleshwar,RaginiMultiplexAnkleshwar,383002,Hindi,11:50,Gold,130₹,396,0
Ahmedabad,RajhansCinemasSatadhar,380061,Hindi,11:50,Marvel,130₹,26,0
Ahmedabad,RajhansCinemasSatadhar,380061,Hindi,11:50,Executive,150₹,71,8
Ahmedabad,RajhansCinemasSatadhar,380061,Hindi,11:50,Box,150₹,5,5
Gwalior,FunCinemaDdCityMallGwalior,474001,Hindi,11:50,Normal,120₹,108,0
Gwalior,FunCinemaDdCityMallGwalior,474001,Hindi,11:50,Executive,130₹,199,20
Raipur,ShyamTalkiesRaipur,492001,Hindi,12:00,Balcony,100₹,140,100
Saoner,MaaMinakshiTalkiesSaoner,441107,Hindi,12:00,Balcony,100₹,82,66
Saoner,MaaMinakshiTalkiesSaoner,441107,Hindi,12:00,Box,120₹,60,48
Saoner,MaaMinakshiTalkiesSaoner,441107,Hindi,12:00,Reserve,80₹,148,132
Shivpuri,ShriramCinemaShivpuri,473551,Hindi,12:00,Platinum,90₹,210,183
Shivpuri,ShriramCinemaShivpuri,473551,Hindi,12:00,Gold,60₹,304,262
Indore,KasturDeluxeTheatreIndore,452001,Hindi,12:00,Balcony,100₹,347,297
Ratlam,ShreeLokendraCinema,457001,Hindi,12:00,Balcony,100₹,244,212
Dhamtari,VimalDevshriCineplex,493773,Hindi,12:00,Balcony,100₹,63,42
Dhamtari,VimalDevshriCineplex,493773,Hindi,12:00,FamilyClass,80₹,73,50
Balaghat,MayurTalkiesBalaghat,481001,Hindi,12:00,Balcony,100₹,20,0
Balaghat,MayurTalkiesBalaghat,481001,Hindi,12:00,Deluxe,80₹,30,0
Wani,SujataTheatreNearNagarParishad,445304,Hindi,12:00,PlatinumSofaChair,250₹,10,0
Wani,SujataTheatreNearNagarParishad,445304,Hindi,12:00,Gold,170₹,96,30
Wani,SujataTheatreNearNagarParishad,445304,Hindi,12:00,Silver,100₹,186,27
Pipariya,AlkaTalkiesPipariya,461775,Hindi,12:00,Balcony,110₹,40,20
Pipariya,AlkaTalkiesPipariya,461775,Hindi,12:00,Deluxe,70₹,40,20
BalodaBazar,ShivaBollywoodTheater,493332,Hindi,12:00,GoldClass,100₹,132,104
Ahmedabad,RajhansCinemaVastral,382418,Hindi,12:15,Recliner,300₹,17,6
Ahmedabad,RajhansCinemaVastral,382418,Hindi,12:15,Executive,160₹,104,6
Ahmedabad,RajhansCinemaVastral,382418,Hindi,12:15,Royal,140₹,40,0
Ahmedabad,RajhansCinemaVastral,382418,Hindi,12:15,Marvel,130₹,32,0
Chhindwara,AlkaMultiplexChhindwara,480001,Hindi,12:15,Recliners,500₹,100,0
Chhindwara,AlkaMultiplexChhindwara,480001,Hindi,12:15,Platinum,200₹,100,0
Chhindwara,AlkaMultiplexChhindwara,480001,Hindi,12:15,Gold,150₹,100,0
