State,City,Name,Language,Time(IST),Type,Price,Capacity,Booked
Punjab,Zirakpur,InoxDhillonPlazaZirakpur,Punjabi,09:30,Club,160₹,89,0
Punjab,Zirakpur,InoxDhillonPlazaZirakpur,Punjabi,09:30,Executive,140₹,66,0
Punjab,Zirakpur,InoxDhillonPlazaZirakpur,Punjabi,09:30,RoyalRecliner,300₹,8,0
Punjab,Zirakpur,InoxDhillonPlazaZirakpur,Punjabi,09:30,Royal,160₹,37,0
Punjab,Batala,SolitaireCinemasBatala,Punjabi,09:40,SolitaireClassic,230₹,49,0
Punjab,Batala,SolitaireCinemasBatala,Punjabi,09:40,Gold,200₹,48,0
Punjab,Batala,SolitaireCinemasBatala,Punjabi,09:40,Silver,200₹,20,0
Punjab,Ludhiana,PvrSilverArcMallGurdevNagar,Punjabi,10:05,Prime,180₹,17,5
Punjab,Ludhiana,PvrSilverArcMallGurdevNagar,Punjabi,10:05,Classic,150₹,106,0
Punjab,Mohali,PvrVrPunjabMallMohali,Punjabi,10:05,Classic,180₹,105,0
Punjab,Mohali,PvrVrPunjabMallMohali,Punjabi,10:05,Prime,210₹,42,0
Punjab,Patiala,PvrVrcPatiala,Punjabi,10:15,Classic,112₹,26,0
Punjab,Patiala,PvrVrcPatiala,Punjabi,10:15,Prime,112₹,171,5
Punjab,Bathinda,FunCinemaMittalCityMallVishalNagar,Punjabi,10:15,Premium,150₹,64,16
Punjab,Bathinda,FunCinemaMittalCityMallVishalNagar,Punjabi,10:15,Executive,150₹,60,2
Punjab,Bathinda,FunCinemaMittalCityMallVishalNagar,Punjabi,10:15,Normal,150₹,60,0
Punjab,Amritsar,CinepolisCelebrationMallAmritsar,Punjabi,10:30,Premium,110₹,77,4
Punjab,Amritsar,CinepolisCelebrationMallAmritsar,Punjabi,10:30,Executive,110₹,49,2
Punjab,Amritsar,CinepolisCelebrationMallAmritsar,Punjabi,10:30,Normal,110₹,45,0
Punjab,Ludhiana,PvrPavilionMallLudhiana,Punjabi,10:30,Classic,112₹,70,11
Punjab,Amritsar,CinepolisNexusAmritsar,Punjabi,11:05,Vip,250₹,11,0
Punjab,Amritsar,CinepolisNexusAmritsar,Punjabi,11:05,Executive,130₹,42,2
Punjab,Amritsar,CinepolisNexusAmritsar,Punjabi,11:05,Normal,130₹,39,0
Punjab,Amritsar,InoxVrAmbarsarCircularRoad,Punjabi,11:40,Normal,130₹,163,2
Punjab,Patiala,MovieMaxOmaxeMallPatialaSrsEarlier,Punjabi,12:30,Gold,100₹,64,0
Punjab,Patiala,MovieMaxOmaxeMallPatialaSrsEarlier,Punjabi,12:30,Platinum,112₹,91,0
Punjab,Patiala,MovieMaxOmaxeMallPatialaSrsEarlier,Punjabi,12:30,Premium,112₹,88,0
Punjab,Patiala,MovieMaxOmaxeMallPatialaSrsEarlier,Punjabi,12:30,Recliner,300₹,23,0
Haryana,Chandigarh,PvrElanteMallChandigarh,Punjabi,12:30,Classic,180₹,138,0
Haryana,Chandigarh,PvrElanteMallChandigarh,Punjabi,12:30,Recliner,550₹,13,0
Punjab,Zirakpur,InoxDhillonPlazaZirakpur,Punjabi,12:30,Club,170₹,89,0
Punjab,Zirakpur,InoxDhillonPlazaZirakpur,Punjabi,12:30,Executive,150₹,66,0
Punjab,Zirakpur,InoxDhillonPlazaZirakpur,Punjabi,12:30,RoyalRecliner,350₹,8,2
Punjab,Zirakpur,InoxDhillonPlazaZirakpur,Punjabi,12:30,Royal,170₹,37,0
Punjab,Amritsar,InoxVrAmbarsarCircularRoad,Punjabi,13:25,Normal,140₹,310,0
Haryana,Sardulgarh,GoldenCinemasRoriRoad,Punjabi,13:30,Platinum,350₹,10,5
Haryana,Sardulgarh,GoldenCinemasRoriRoad,Punjabi,13:30,Royal,300₹,12,7
Haryana,Sardulgarh,GoldenCinemasRoriRoad,Punjabi,13:30,Gold,220₹,36,24
Haryana,Sardulgarh,GoldenCinemasRoriRoad,Punjabi,13:30,Silver,200₹,48,32
Haryana,Sardulgarh,GoldenCinemasRoriRoad,Punjabi,13:30,NormalClass,170₹,32,16
Punjab,Bathinda,FunCinemaMittalCityMallVishalNagar,Punjabi,13:45,Premium,180₹,135,0
Punjab,Bathinda,FunCinemaMittalCityMallVishalNagar,Punjabi,13:45,Executive,180₹,86,0
Punjab,Bathinda,FunCinemaMittalCityMallVishalNagar,Punjabi,13:45,Normal,180₹,66,0
Punjab,Patiala,PvrVrcPatiala,Punjabi,13:45,Classic,112₹,26,0
Punjab,Patiala,PvrVrcPatiala,Punjabi,13:45,Prime,112₹,78,3
Punjab,Patiala,PvrVrcPatiala,Punjabi,13:45,Recliner,350₹,9,3
Punjab,Amritsar,CinepolisNexusAmritsar,Punjabi,14:00,Normal,160₹,96,0
Punjab,Amritsar,CinepolisNexusAmritsar,Punjabi,14:00,Executive,170₹,129,0
Punjab,Amritsar,CinepolisNexusAmritsar,Punjabi,14:00,Vip,300₹,16,0
Punjab,Ludhiana,CinepolisMbdNeopolisMallLudhiana,Punjabi,14:05,Normal,150₹,66,0
Punjab,Ludhiana,CinepolisMbdNeopolisMallLudhiana,Punjabi,14:05,Executive,150₹,110,0
Punjab,Ludhiana,CinepolisMbdNeopolisMallLudhiana,Punjabi,14:05,Premium,150₹,131,7
Punjab,Ludhiana,CinepolisMbdNeopolisMallLudhiana,Punjabi,14:05,Vip,250₹,15,2
Punjab,Batala,SolitaireCinemasBatala,Punjabi,14:10,SolitaireClassic,230₹,49,0
Punjab,Batala,SolitaireCinemasBatala,Punjabi,14:10,Gold,200₹,48,0
Punjab,Batala,SolitaireCinemasBatala,Punjabi,14:10,Silver,200₹,20,0
Punjab,Banga,SuryaOhriCinema,Punjabi,14:20,Gold,210₹,12,0
Punjab,Banga,SuryaOhriCinema,Punjabi,14:20,Silver,160₹,109,0
Punjab,Moga,NeelamNovaCinemazMoga,Punjabi,14:30,Box,350₹,6,0
Punjab,Moga,NeelamNovaCinemazMoga,Punjabi,14:30,Sofa,300₹,8,0
Punjab,Moga,NeelamNovaCinemazMoga,Punjabi,14:30,Gold,200₹,159,0
Punjab,Morinda,SalhCinema,Punjabi,14:30,GoldClass,200₹,36,0
Punjab,Morinda,SalhCinema,Punjabi,14:30,SilverClass,180₹,114,0
Punjab,Patiala,MovieMaxOmaxeMallPatialaSrsEarlier,Punjabi,15:20,Gold,100₹,64,0
Punjab,Patiala,MovieMaxOmaxeMallPatialaSrsEarlier,Punjabi,15:20,Platinum,112₹,91,0
Punjab,Patiala,MovieMaxOmaxeMallPatialaSrsEarlier,Punjabi,15:20,Premium,112₹,88,0
Punjab,Patiala,MovieMaxOmaxeMallPatialaSrsEarlier,Punjabi,15:20,Recliner,300₹,23,0
Haryana,Chandigarh,PvrElanteMallChandigarh,Punjabi,15:30,Classic,180₹,138,3
Haryana,Chandigarh,PvrElanteMallChandigarh,Punjabi,15:30,Recliner,550₹,13,1
Punjab,Barnala,VrcCinemaVrcMall,Punjabi,15:30,Platinum,200₹,14,0
Punjab,Barnala,VrcCinemaVrcMall,Punjabi,15:30,Gold,150₹,123,0
Punjab,Barnala,VrcCinemaVrcMall,Punjabi,15:30,Silver,100₹,70,0
Punjab,Ludhiana,PvrFlamezMallGurudevNagar,Punjabi,15:45,Prime,112₹,25,0
Punjab,Ludhiana,PvrFlamezMallGurudevNagar,Punjabi,15:45,Classic,112₹,117,0
Punjab,Khanna,PvrTheCelebrationMallKhanna,Punjabi,15:50,Classic,160₹,119,0
Punjab,Khanna,PvrTheCelebrationMallKhanna,Punjabi,15:50,Prime,170₹,84,0
Punjab,Khanna,PvrTheCelebrationMallKhanna,Punjabi,15:50,Recliner,300₹,14,0
Punjab,Amritsar,PvrSctCityCentre,Punjabi,16:10,Classic,112₹,105,0
Punjab,Amritsar,PvrSctCityCentre,Punjabi,16:10,Prime,112₹,45,2
