State,City,Name,Language,Time(IST),Type,Price,Capacity,Booked
Punjab,Moga,NeelamNovaCinemazMoga,Punjabi,10:00,Box,350₹,8,0
Punjab,Moga,NeelamNovaCinemazMoga,Punjabi,10:00,Sofa,300₹,10,0
Punjab,Moga,NeelamNovaCinemazMoga,Punjabi,10:00,Gold,150₹,179,0
Punjab,Mohali,PvrVrPunjabMallMohali,Punjabi,10:00,Classic,99₹,105,0
Punjab,Mohali,PvrVrPunjabMallMohali,Punjabi,10:00,Prime,99₹,42,0
Punjab,Ludhiana,PvrPavilionMallLudhiana,Punjabi,10:30,Classic,99₹,64,0
Delhi,NewDelhi,PvrPacificSubhashNagarDelhi,Punjabi,11:10,Classic,200₹,36,0
Delhi,NewDelhi,PvrPacificSubhashNagarDelhi,Punjabi,11:10,Prime,250₹,111,0
Delhi,NewDelhi,PvrPacificSubhashNagarDelhi,Punjabi,11:10,PrimePlus,250₹,42,2
Delhi,NewDelhi,PvrPacificSubhashNagarDelhi,Punjabi,11:10,Recliner,350₹,20,5
Haryana,Yamunanagar,PvrCityMallYamunanagar,Punjabi,11:15,Classic,150₹,72,0
Haryana,Yamunanagar,PvrCityMallYamunanagar,Punjabi,11:15,Prime,150₹,80,20
Haryana,Yamunanagar,PvrCityMallYamunanagar,Punjabi,11:15,Recliner,370₹,12,0
Punjab,Ludhiana,PvrPavilionMallLudhiana,Punjabi,13:00,Classic,99₹,64,0
Punjab,Ludhiana,PvrFlamezMallGurudevNagar,Punjabi,14:00,Prime,99₹,25,0
Punjab,Ludhiana,PvrFlamezMallGurudevNagar,Punjabi,14:00,Classic,99₹,115,0
Punjab,Jalandhar,PvrMbdNeopolisMallJalandhar,Punjabi,15:00,Recliner,199₹,8,0
Punjab,Jalandhar,PvrMbdNeopolisMallJalandhar,Punjabi,15:00,Prime,99₹,10,2
Punjab,Jalandhar,PvrMbdNeopolisMallJalandhar,Punjabi,15:00,Classic,99₹,95,0
Punjab,Jalandhar,PvrMbdNeopolisMallJalandhar,Punjabi,15:00,ClassicPlus,99₹,146,0
Haryana,Chandigarh,PvrElanteMallChandigarh,Punjabi,16:25,Classic,180₹,138,0
Haryana,Chandigarh,PvrElanteMallChandigarh,Punjabi,16:25,Recliner,550₹,13,0
Punjab,Mohali,PvrVrPunjabMallMohali,Punjabi,17:35,Classic,99₹,105,0
Punjab,Mohali,PvrVrPunjabMallMohali,Punjabi,17:35,Prime,99₹,42,0
Punjab,Patiala,PvrVrcPatiala,Punjabi,17:40,Classic,99₹,26,0
Punjab,Patiala,PvrVrcPatiala,Punjabi,17:40,Prime,99₹,78,13
Punjab,Patiala,PvrVrcPatiala,Punjabi,17:40,Recliner,149₹,9,0
Punjab,Ludhiana,PvrPavilionMallLudhiana,Punjabi,18:30,Classic,99₹,64,0
Punjab,Khanna,PvrTheCelebrationMallKhanna,Punjabi,19:00,Classic,99₹,78,0
Punjab,Khanna,PvrTheCelebrationMallKhanna,Punjabi,19:00,Prime,99₹,66,2
Punjab,Moga,NeelamNovaCinemazMoga,Punjabi,19:30,Box,350₹,8,0
Punjab,Moga,NeelamNovaCinemazMoga,Punjabi,19:30,Sofa,300₹,10,0
Punjab,Moga,NeelamNovaCinemazMoga,Punjabi,19:30,Gold,200₹,179,0
Delhi,NewDelhi,PvrVikaspuri,Punjabi,20:10,Classic,130₹,44,0
Delhi,NewDelhi,PvrVikaspuri,Punjabi,20:10,ClassicPlus,130₹,105,0
Delhi,NewDelhi,PvrVikaspuri,Punjabi,20:10,Prime,130₹,44,2
