State,City,Name,Language,Time(IST),Type,Price,Capacity,Booked
Gujarat,Ahmedabad,CityGoldAshramRoad,Gujarati,09:15,Executive,150₹,221,32
Gujarat,Ahmedabad,CityGoldSatellite,Gujarati,10:00,Executive,150₹,124,26
Gujarat,Ahmedabad,RajhansCinemaVastral,Gujarati,10:30,Marvel,100₹,32,0
Gujarat,Ahmedabad,RajhansCinemaVastral,Gujarati,10:30,Royal,110₹,40,0
Gujarat,Ahmedabad,RajhansCinemaVastral,Gujarati,10:30,Executive,130₹,104,6
Gujarat,Ahmedabad,RajhansCinemaVastral,Gujarati,10:30,Recliner,250₹,17,6
Gujarat,Gandhidham,MirajCinemasMadhuban,Gujarati,11:00,Special,100₹,34,0
Gujarat,Gandhidham,MirajCinemasMadhuban,Gujarati,11:00,Executive,100₹,189,0
Gujarat,Gandhidham,MirajCinemasMadhuban,Gujarati,11:00,Platinum,150₹,16,0
Gujarat,Vadodara,InoxSevenSeasMallFatehgunj,Gujarati,11:00,Executive,112₹,36,0
Gujarat,Vadodara,InoxSevenSeasMallFatehgunj,Gujarati,11:00,Premiere,112₹,126,0
Gujarat,Vadodara,InoxSevenSeasMallFatehgunj,Gujarati,11:00,Silver,112₹,98,0
Gujarat,Ahmedabad,NewfangledMiniplexMondealRetailParkAhmedabad,Gujarati,11:30,VipClub,600₹,12,4
Gujarat,Ahmedabad,NewfangledMiniplexMondealRetailParkAhmedabad,Gujarati,11:30,Premium,550₹,11,0
Gujarat,Surat,RajhansMultiplexAdajan,Gujarati,11:35,Box,200₹,6,0
Gujarat,Surat,RajhansMultiplexAdajan,Gujarati,11:35,Executive,140₹,292,21
Gujarat,Kadi,CityGoldBhaupura,Gujarati,12:30,Box,160₹,100,0
Gujarat,Kadi,CityGoldBhaupura,Gujarati,12:30,Gold,140₹,100,0
Gujarat,Kadi,CityGoldBhaupura,Gujarati,12:30,Silver,140₹,100,0
Gujarat,Ahmedabad,OrangeCinemasBapunagar,Gujarati,12:45,Royal,140₹,14,4
Gujarat,Ahmedabad,OrangeCinemasBapunagar,Gujarati,12:45,Gold,120₹,72,0
Gujarat,Rajkot,InoxRelianceMegaMallRajkot,Gujarati,13:00,Club,180₹,72,0
Gujarat,Rajkot,InoxRelianceMegaMallRajkot,Gujarati,13:00,Executive,160₹,24,0
Gujarat,Rajkot,InoxRelianceMegaMallRajkot,Gujarati,13:00,Royal,200₹,45,0
Maharashtra,Mumbai,PvrOdeonGhatkopar,Gujarati,13:15,Classic,140₹,28,0
Maharashtra,Mumbai,PvrOdeonGhatkopar,Gujarati,13:15,Prime,140₹,84,0
Maharashtra,Mumbai,PvrOdeonGhatkopar,Gujarati,13:15,PrimePlus,140₹,65,22
Maharashtra,Mumbai,PvrOdeonGhatkopar,Gujarati,13:15,Recliner,240₹,11,0
Gujarat,Ahmedabad,AppleMultiplexAhmedabad,Gujarati,13:15,UpperSofa,130₹,7,0
Gujarat,Ahmedabad,AppleMultiplexAhmedabad,Gujarati,13:15,Platinum,130₹,104,0
Gujarat,Ahmedabad,AppleMultiplexAhmedabad,Gujarati,13:15,LowerSofa,100₹,9,0
Gujarat,Ahmedabad,BananaSmartplexSbrThaltej,Gujarati,13:30,Premium,200₹,41,0
Gujarat,Anjar,CarnivalJalsaTalkiesAnjar,Gujarati,13:30,Sofa,250₹,11,0
Gujarat,Anjar,CarnivalJalsaTalkiesAnjar,Gujarati,13:30,Gold,150₹,24,0
Gujarat,Anjar,CarnivalJalsaTalkiesAnjar,Gujarati,13:30,Silver,110₹,70,0
Gujarat,Vadodara,InoxRaceCourseCircleElloraPark,Gujarati,13:45,Gold,140₹,244,0
Gujarat,Vadodara,InoxRaceCourseCircleElloraPark,Gujarati,13:45,Platinum,140₹,80,0
Gujarat,Vadodara,InoxRaceCourseCircleElloraPark,Gujarati,13:45,Silver,140₹,152,0
Gujarat,Ahmedabad,CityGoldSatellite,Gujarati,14:15,Executive,170₹,123,25
Gujarat,Ahmedabad,MirajCinemasCinePrideKrishnaNagar,Gujarati,14:15,Platinum,130₹,98,0
Gujarat,Ahmedabad,MirajCinemasCinePrideKrishnaNagar,Gujarati,14:15,Gold,110₹,25,0
Gujarat,Ahmedabad,RajhansCinemasNikol,Gujarati,14:30,Marvel,110₹,26,0
Gujarat,Ahmedabad,RajhansCinemasNikol,Gujarati,14:30,Royal,130₹,73,0
Gujarat,Ahmedabad,RajhansCinemasNikol,Gujarati,14:30,Executive,150₹,140,21
Gujarat,Ahmedabad,RajhansCinemasNikol,Gujarati,14:30,Box,150₹,12,12
Gujarat,Ahmedabad,CityGoldAshramRoad,Gujarati,14:30,Executive,180₹,221,32
Gujarat,Ahmedabad,NyCinemasAhmedabad,Gujarati,14:30,Cl,110₹,34,0
Gujarat,Ahmedabad,NyCinemasAhmedabad,Gujarati,14:30,Pr,150₹,126,0
Gujarat,Ahmedabad,NyCinemasAhmedabad,Gujarati,14:30,Re,300₹,15,0
Gujarat,Ahmedabad,NyCinemasAhmedabad,Gujarati,14:30,Co,200₹,26,0
Maharashtra,Mumbai,InoxMegaplexInorbitMall,Gujarati,14:35,Insignia,450₹,34,0
Gujarat,Rajkot,CosmoplexMultiplexKalawadRoad,Gujarati,15:00,Crew,210₹,10,0
Gujarat,Ahmedabad,CityGoldBopal,Gujarati,15:15,Executive,150₹,117,26
Gujarat,Ahmedabad,OrangeCinemasBapunagar,Gujarati,15:30,Royal,140₹,14,0
Gujarat,Ahmedabad,OrangeCinemasBapunagar,Gujarati,15:30,Gold,120₹,72,0
Gujarat,Ahmedabad,NewfangledMiniplexMondealRetailParkAhmedabad,Gujarati,15:30,VipClub,600₹,10,4
Gujarat,Ahmedabad,NewfangledMiniplexMondealRetailParkAhmedabad,Gujarati,15:30,Premium,550₹,10,0
Gujarat,Ahmedabad,NewfangledMiniplexMoteraAhmedabad,Gujarati,15:30,CoupleSeat,250₹,25,12
Gujarat,Surat,InoxRajImperialVarachhaRoad,Gujarati,15:30,Gold,160₹,112,0
Gujarat,Surat,InoxRajImperialVarachhaRoad,Gujarati,15:30,Imperial,340₹,0,0
Gujarat,Surat,InoxRajImperialVarachhaRoad,Gujarati,15:30,Platinum,190₹,42,1
Gujarat,Surat,InoxRajImperialVarachhaRoad,Gujarati,15:30,Silver,140₹,30,0
Gujarat,Ahmedabad,CityGoldBapunagar,Gujarati,15:45,Executive,140₹,92,0
Gujarat,Vadodara,InoxTakshGalaxyMallMadhavpura,Gujarati,16:00,Club,150₹,60,0
Gujarat,Vadodara,InoxTakshGalaxyMallMadhavpura,Gujarati,16:00,Executive,150₹,20,0
Gujarat,Vadodara,InoxTakshGalaxyMallMadhavpura,Gujarati,16:00,Royal,150₹,62,0
Gujarat,Anand,InoxCityPulseMallAnand,Gujarati,16:00,Gold,130₹,48,0
Gujarat,Gandhidham,MirajCinemasMadhuban,Gujarati,16:00,Special,100₹,34,0
Gujarat,Gandhidham,MirajCinemasMadhuban,Gujarati,16:00,Executive,100₹,189,0
Gujarat,Gandhidham,MirajCinemasMadhuban,Gujarati,16:00,Platinum,150₹,16,0
Gujarat,Vadodara,InoxSevenSeasMallFatehgunj,Gujarati,16:10,Executive,150₹,36,0
Gujarat,Vadodara,InoxSevenSeasMallFatehgunj,Gujarati,16:10,Premiere,150₹,126,3
Gujarat,Vadodara,InoxSevenSeasMallFatehgunj,Gujarati,16:10,Silver,160₹,98,0
Gujarat,Gandhidham,VinayCinemasAdipur,Gujarati,16:15,Diamond,130₹,42,0
Gujarat,Gandhidham,VinayCinemasAdipur,Gujarati,16:15,Gold,130₹,42,0
Gujarat,Gandhidham,VinayCinemasAdipur,Gujarati,16:15,Platinum,170₹,30,0
Gujarat,Gandhidham,VinayCinemasAdipur,Gujarati,16:15,Silver,130₹,42,0
Gujarat,Gandhidham,VinayCinemasAdipur,Gujarati,16:15,Vip,300₹,14,0
Gujarat,Ahmedabad,CinepolisNexusOneAhmedabad,Gujarati,16:30,Normal,150₹,39,0
Gujarat,Ahmedabad,CinepolisNexusOneAhmedabad,Gujarati,16:30,Premium,220₹,56,0
Gujarat,Ahmedabad,CinepolisNexusOneAhmedabad,Gujarati,16:30,Executive,180₹,132,0
Gujarat,Surat,TheFridayCinemaMotaVarachha,Gujarati,16:30,PushBackSeat,150₹,119,0
Gujarat,Surat,TheFridayCinemaMotaVarachha,Gujarati,16:30,Lounger,150₹,119,0
Gujarat,Ahmedabad,PvrAcropolisMallThaltej,Gujarati,16:30,PrimePlus,250₹,105,18
Gujarat,Ahmedabad,PvrAcropolisMallThaltej,Gujarati,16:30,Prime,200₹,144,0
Gujarat,Ahmedabad,PvrAcropolisMallThaltej,Gujarati,16:30,Classic,175₹,48,0
Gujarat,Ahmedabad,PvrAcropolisMallThaltej,Gujarati,16:30,Recliner,450₹,10,0
Gujarat,Vadodara,MirajCinemasSwcMallTandalja,Gujarati,16:45,Special,100₹,72,0
Gujarat,Vadodara,MirajCinemasSwcMallTandalja,Gujarati,16:45,Executive,140₹,93,0
Gujarat,Gandhinagar,InoxR21Gandhinagar,Gujarati,16:45,Gold,140₹,84,0
Gujarat,Gandhinagar,InoxR21Gandhinagar,Gujarati,16:45,Platinum,160₹,13,0
Gujarat,Gandhinagar,InoxR21Gandhinagar,Gujarati,16:45,Silver,100₹,28,0
Gujarat,Rajkot,InoxRWorldRajkot,Gujarati,17:00,Gold,220₹,133,0
Gujarat,Rajkot,InoxRWorldRajkot,Gujarati,17:00,Silver,200₹,41,0
Gujarat,Surat,CityPlusMultiplexDumasRoad,Gujarati,17:00,GoldStar,110₹,10,0
Gujarat,Surat,CityPlusMultiplexDumasRoad,Gujarati,17:00,Gold,140₹,10,0
Gujarat,Surat,CityPlusMultiplexDumasRoad,Gujarati,17:00,Executive,300₹,10,0
Maharashtra,Mumbai,InoxRCityGhatkoparW,Gujarati,17:15,Club,210₹,65,0
Maharashtra,Mumbai,InoxRCityGhatkoparW,Gujarati,17:15,Executive,190₹,35,0
Maharashtra,Mumbai,InoxRCityGhatkoparW,Gujarati,17:15,RoyalRecliner,470₹,13,0
Maharashtra,Mumbai,InoxRCityGhatkoparW,Gujarati,17:15,Royal,230₹,40,0
Gujarat,Vadodara,BansalMovieplexTarsali,Gujarati,17:30,Recliner,200₹,11,0
Gujarat,Vadodara,BansalMovieplexTarsali,Gujarati,17:30,Platinum,100₹,75,0
Gujarat,Vadodara,BansalMovieplexTarsali,Gujarati,17:30,Gold,100₹,60,0
Gujarat,Vadodara,BansalMovieplexTarsali,Gujarati,17:30,Silver,100₹,15,0
