State,City,Name,Language,Time(IST),Type,Price,Capacity,Booked
Gujarat,Anand,ShaanCinemaAvFortuneMall,Gujarati,09:00,Recliner,350₹,100,0
Gujarat,Anand,ShaanCinemaAvFortuneMall,Gujarati,09:00,Sofa,250₹,100,0
Gujarat,Anand,ShaanCinemaAvFortuneMall,Gujarati,09:00,Platinum,100₹,100,0
Gujarat,Anand,ShaanCinemaAvFortuneMall,Gujarati,09:00,Gold,100₹,100,0
Gujarat,Surat,CityPlusMultiplexDumasRoad,Gujarati,09:30,GoldStar,80₹,10,0
Gujarat,Surat,CityPlusMultiplexDumasRoad,Gujarati,09:30,Gold,100₹,10,0
Gujarat,Surat,CityPlusMultiplexDumasRoad,Gujarati,09:30,Executive,300₹,10,0
Gujarat,Vadodara,PvrEvaMallManjalpur,Gujarati,10:00,Classic,110₹,62,0
Gujarat,Vadodara,PvrEvaMallManjalpur,Gujarati,10:00,Recliner,250₹,15,0
Gujarat,Vadodara,PvrEvaMallManjalpur,Gujarati,10:00,Prime,110₹,63,0
Gujarat,Vadodara,PvrEvaMallManjalpur,Gujarati,10:00,PrimePlus,110₹,84,21
Gujarat,Ahmedabad,PvrArvedTranscube,Gujarati,10:00,Classic,90₹,36,0
Gujarat,Ahmedabad,PvrArvedTranscube,Gujarati,10:00,Prime,120₹,119,16
Gujarat,Ahmedabad,PvrArvedTranscube,Gujarati,10:00,Recliner,220₹,3,0
Gujarat,Surat,PvrRahulRajMallDumasRoad,Gujarati,10:00,Recliner,280₹,24,5
Gujarat,Surat,PvrRahulRajMallDumasRoad,Gujarati,10:00,ClassicPlus,120₹,38,0
Gujarat,Surat,PvrRahulRajMallDumasRoad,Gujarati,10:00,Prime,140₹,76,12
Gujarat,Surat,PvrRahulRajMallDumasRoad,Gujarati,10:00,Classic,120₹,38,0
Gujarat,Gandhidham,VinayCinemasAdipur,Gujarati,10:01,Diamond,95₹,35,0
Gujarat,Gandhidham,VinayCinemasAdipur,Gujarati,10:01,Gold,95₹,42,0
Gujarat,Gandhidham,VinayCinemasAdipur,Gujarati,10:01,Platinum,150₹,23,0
Gujarat,Gandhidham,VinayCinemasAdipur,Gujarati,10:01,Silver,95₹,42,0
Gujarat,Gandhidham,VinayCinemasAdipur,Gujarati,10:01,Vip,250₹,8,0
Gujarat,Ahmedabad,PvrAcropolisMallThaltej,Gujarati,10:30,PrimePlus,150₹,66,6
Gujarat,Ahmedabad,PvrAcropolisMallThaltej,Gujarati,10:30,Prime,125₹,65,0
Gujarat,Ahmedabad,PvrAcropolisMallThaltej,Gujarati,10:30,Classic,100₹,39,0
Gujarat,Ahmedabad,PvrAcropolisMallThaltej,Gujarati,10:30,Recliner,300₹,9,0
Gujarat,Ahmedabad,RajhansCinemaVastral,Gujarati,10:30,Marvel,100₹,38,0
Gujarat,Ahmedabad,RajhansCinemaVastral,Gujarati,10:30,Royal,100₹,49,0
Gujarat,Ahmedabad,RajhansCinemaVastral,Gujarati,10:30,Executive,110₹,125,6
Gujarat,Ahmedabad,RajhansCinemaVastral,Gujarati,10:30,Recliner,200₹,20,6
Gujarat,Ahmedabad,MirajCityPulseManiNagar,Gujarati,10:45,Gold,130₹,66,5
Gujarat,Gandhinagar,CinemaxSumanGandhinagar,Gujarati,11:00,Classic,110₹,42,0
Gujarat,Gandhinagar,CinemaxSumanGandhinagar,Gujarati,11:00,Prime,130₹,98,3
Gujarat,Gandhinagar,CinemaxSumanGandhinagar,Gujarati,11:00,Recliner,250₹,23,2
Gujarat,Gandhinagar,CinemaxSumanGandhinagar,Gujarati,11:00,ClassicPlus,130₹,47,0
Maharashtra,Pune,CinepolisSeasonsMallHadapsar,Gujarati,11:15,Normal,130₹,23,0
Maharashtra,Pune,CinepolisSeasonsMallHadapsar,Gujarati,11:15,Executive,130₹,52,3
Maharashtra,Pune,CinepolisSeasonsMallHadapsar,Gujarati,11:15,Premium,130₹,40,4
Gujarat,Surat,InoxVrSuratDumasRoad,Gujarati,11:25,Executive,140₹,34,0
Gujarat,Surat,InoxVrSuratDumasRoad,Gujarati,11:25,Royal,170₹,54,0
Gujarat,Surat,InoxVrSuratDumasRoad,Gujarati,11:25,RoyalRecliner,330₹,12,0
Gujarat,Surat,InoxVrSuratDumasRoad,Gujarati,11:25,Club,150₹,102,0
Gujarat,Vadodara,CinemarcAkota,Gujarati,11:50,Premier,70₹,12,0
Gujarat,Vadodara,CinemarcAkota,Gujarati,11:50,Silver,80₹,87,0
Gujarat,Vadodara,CinemarcAkota,Gujarati,11:50,Sofa,80₹,26,0
Gujarat,Vadodara,CinemarcAkota,Gujarati,11:50,Premier,70₹,15,0
Gujarat,Vadodara,CinemarcAkota,Gujarati,11:50,Silver,80₹,88,0
Gujarat,Vadodara,CinemarcAkota,Gujarati,11:50,Sofa,80₹,19,0
Gujarat,Vadodara,CinemarcVip,Gujarati,11:59,Premium,80₹,46,0
Gujarat,Vadodara,CinemarcVip,Gujarati,11:59,Silver,80₹,158,0
Gujarat,Vadodara,CinemarcVip,Gujarati,11:59,Gold,90₹,37,0
Gujarat,Vadodara,CinemarcVip,Gujarati,11:59,Sofa,110₹,35,0
Maharashtra,Mumbai,PvrIconPhoenixPalladiumLowerParelMumbai,Gujarati,12:30,Recliner,300₹,14,8
Maharashtra,Mumbai,PvrIconPhoenixPalladiumLowerParelMumbai,Gujarati,12:30,Prime,150₹,68,36
Maharashtra,Mumbai,PvrIconPhoenixPalladiumLowerParelMumbai,Gujarati,12:30,Classic,150₹,42,0
Maharashtra,Mumbai,PvrIconPhoenixPalladiumLowerParelMumbai,Gujarati,12:30,Lounger,150₹,10,0
