State,City,Name,Language,Time(IST),Type,Price,Capacity,Booked
Kerala,Trivandrum,PvrLuluThiruvananthapuram,Tamil,09:45,Classic,190₹,65,0
Kerala,Trivandrum,PvrLuluThiruvananthapuram,Tamil,09:45,Prime,210₹,34,17
Kerala,Trivandrum,PvrLuluThiruvananthapuram,Tamil,09:45,Recliner,400₹,8,0
Kerala,Kochi,PvrLuluKochi,Tamil,09:50,Classic,110₹,39,0
Kerala,Kochi,PvrLuluKochi,Tamil,09:50,ClassicPlus,140₹,91,0
Kerala,Kochi,PvrLuluKochi,Tamil,09:50,Prime,160₹,68,0
Kerala,Kochi,PvrLuluKochi,Tamil,09:50,Recliner,300₹,10,2
TamilNadu,Chennai,RakkiCinemasAmbattur,Tamil,09:55,Premium,150₹,91,2
TamilNadu,Chennai,RakkiCinemasAmbattur,Tamil,09:55,Executive,110₹,210,0
Karnataka,Bengaluru,SriLakshmiChitramandiraTavarekere,Tamil,10:00,Diamond,150₹,142,71
Karnataka,Bengaluru,SriLakshmiChitramandiraTavarekere,Tamil,10:00,Gold,120₹,695,456
Karnataka,Bengaluru,SriLakshmiChitramandiraTavarekere,Tamil,10:00,Silver,120₹,216,216
Kerala,Kozhikode,MallikaPlexDolbyAtmosCalicut,Tamil,10:00,Executive,140₹,163,7
TamilNadu,Arakkonam,SindhuCinemasArakkonam,Tamil,10:00,Box1,150₹,12,12
TamilNadu,Arakkonam,SindhuCinemasArakkonam,Tamil,10:00,Box2,150₹,12,12
TamilNadu,Arakkonam,SindhuCinemasArakkonam,Tamil,10:00,Executive,100₹,166,16
Karnataka,Bengaluru,CinepolisOrionEastMallBanaswadi,Tamil,10:00,Normal,120₹,34,0
Karnataka,Bengaluru,CinepolisOrionEastMallBanaswadi,Tamil,10:00,Executive,140₹,114,2
Karnataka,Bengaluru,CinepolisOrionEastMallBanaswadi,Tamil,10:00,Premium,160₹,58,20
TamilNadu,Uthangarai,ThirumagalTheatreDtsSalemMainRoad,Tamil,10:00,PlatinumLeft,120₹,27,27
TamilNadu,Uthangarai,ThirumagalTheatreDtsSalemMainRoad,Tamil,10:00,PlatinumRight,120₹,27,27
