State,City,Name,Language,Time(IST),Type,Price,Capacity,Booked
Maharashtra,NaviMumbai,CinepolisNexusSeawoodsNaviMumbai,Marathi,09:30,Normal0000000000,150₹,32,0
Maharashtra,NaviMumbai,CinepolisNexusSeawoodsNaviMumbai,Marathi,09:30,Executive0000000002,150₹,91,5
Maharashtra,NaviMumbai,CinepolisNexusSeawoodsNaviMumbai,Marathi,09:30,Premium0000000001,150₹,80,9
Maharashtra,NaviMumbai,CinepolisNexusSeawoodsNaviMumbai,Marathi,09:30,Vip0000000003,300₹,14,0
Maharashtra,Mumbai,NyCinemasMulundE,Marathi,10:45,Premier0000000003,150₹,20,2
Maharashtra,Mumbai,NyCinemasMulundE,Marathi,10:45,Classic0000000002,150₹,180,12
Maharashtra,Mumbai,NyCinemasMulundE,Marathi,10:45,Lounger0000000004,150₹,9,0
Maharashtra,Pune,InoxAmanoraTownCentreHadapsar,Marathi,12:35,ClubCl,150₹,157,0
Maharashtra,Pune,InoxAmanoraTownCentreHadapsar,Marathi,12:35,ExecutiveEx,150₹,42,0
Maharashtra,Pune,InoxAmanoraTownCentreHadapsar,Marathi,12:35,RoyaleRy,230₹,6,0
Maharashtra,Pune,CinepolisSeasonsMallHadapsar,Marathi,12:35,Normal0000000000,190₹,23,0
Maharashtra,Pune,CinepolisSeasonsMallHadapsar,Marathi,12:35,Executive0000000002,190₹,52,5
Maharashtra,Pune,CinepolisSeasonsMallHadapsar,Marathi,12:35,Premium0000000001,210₹,40,4
Maharashtra,Pune,InoxElproCitySquareChinchwad,Marathi,14:25,ClubCl,160₹,85,28
Maharashtra,Pune,InoxElproCitySquareChinchwad,Marathi,14:25,ExecutiveEx,140₹,34,0
Maharashtra,Pune,InoxElproCitySquareChinchwad,Marathi,14:25,RoyaleRy,190₹,71,31
Maharashtra,Nashik,InoxOldVijayMamtaNasik,Marathi,14:30,ExecutiveEx,100₹,46,2
Maharashtra,Nashik,InoxOldVijayMamtaNasik,Marathi,14:30,PlatinumPl,130₹,88,6
Maharashtra,Nashik,InoxOldVijayMamtaNasik,Marathi,14:30,SilverSl,130₹,189,13
Maharashtra,Mumbai,MovieTimeChembur,Marathi,14:30,Silver0000000001,150₹,76,0
Maharashtra,Mumbai,InoxNeelyogSquareMallGhatkoparE,Marathi,14:40,ExecutiveEx,110₹,37,0
Maharashtra,Mumbai,InoxNeelyogSquareMallGhatkoparE,Marathi,14:40,PremierPr,110₹,140,7
Maharashtra,Mumbai,InoxNeelyogSquareMallGhatkoparE,Marathi,14:40,SilverSl,110₹,62,8
Maharashtra,NaviMumbai,CinepolisNexusSeawoodsNaviMumbai,Marathi,15:20,Normal0000000000,180₹,32,0
Maharashtra,NaviMumbai,CinepolisNexusSeawoodsNaviMumbai,Marathi,15:20,Executive0000000002,200₹,91,20
Maharashtra,NaviMumbai,CinepolisNexusSeawoodsNaviMumbai,Marathi,15:20,Premium0000000001,220₹,80,21
Maharashtra,NaviMumbai,CinepolisNexusSeawoodsNaviMumbai,Marathi,15:20,Vip0000000003,420₹,14,0
Maharashtra,Mumbai,FunCinemaKStarMallChemburE,Marathi,15:40,Normal0000000000,110₹,106,0
Maharashtra,Mumbai,FunCinemaKStarMallChemburE,Marathi,15:40,Executive0000000002,110₹,72,7
Maharashtra,Mumbai,FunCinemaKStarMallChemburE,Marathi,15:40,Premium0000000001,110₹,44,12
Maharashtra,Mumbai,InoxRCityGhatkoparW,Marathi,16:40,ClubCl,290₹,80,2
Maharashtra,Mumbai,InoxRCityGhatkoparW,Marathi,16:40,ExecutiveEx,260₹,47,0
Maharashtra,Mumbai,InoxRCityGhatkoparW,Marathi,16:40,RoyalReclinerRr,520₹,11,0
Maharashtra,Mumbai,InoxRCityGhatkoparW,Marathi,16:40,RoyalRy,310₹,47,6
Maharashtra,Pune,InoxRoyalHeritageMallNibmExt,Marathi,17:00,ClubCl,160₹,33,0
Maharashtra,Pune,InoxRoyalHeritageMallNibmExt,Marathi,17:00,ExecutiveEx,140₹,22,0
Maharashtra,Pune,InoxRoyalHeritageMallNibmExt,Marathi,17:00,RoyaleReclinersRr,260₹,13,0
Maharashtra,Pune,InoxRoyalHeritageMallNibmExt,Marathi,17:00,RoyaleRy,160₹,40,0
Maharashtra,Thane,InoxKorumMallThaneW,Marathi,17:35,ClubCl,170₹,119,33
Maharashtra,Thane,InoxKorumMallThaneW,Marathi,17:35,ExecutiveEx,170₹,51,0
Maharashtra,Thane,InoxKorumMallThaneW,Marathi,17:35,RoyalRy,240₹,18,0
Maharashtra,Mumbai,MovieTimeHubMallGoregaonE,Marathi,18:00,Gold0000000001,120₹,196,34
Maharashtra,Pune,CinepolisSeasonsMallHadapsar,Marathi,18:45,Normal0000000000,210₹,23,0
Maharashtra,Pune,CinepolisSeasonsMallHadapsar,Marathi,18:45,Executive0000000002,230₹,52,0
Maharashtra,Pune,CinepolisSeasonsMallHadapsar,Marathi,18:45,Premium0000000001,230₹,40,16
Maharashtra,Mumbai,CinepolisMagnetMallBhandupW,Marathi,18:55,Vip0000000003,400₹,19,2
Maharashtra,Mumbai,CinepolisMagnetMallBhandupW,Marathi,18:55,Executive0000000002,150₹,77,40
Maharashtra,Mumbai,CinepolisMagnetMallBhandupW,Marathi,18:55,Normal0000000000,150₹,36,0
Maharashtra,Thane,CinepolisVivianaMallThaneW,Marathi,19:10,Normal0000000000,200₹,25,0
Maharashtra,Thane,CinepolisVivianaMallThaneW,Marathi,19:10,Executive0000000002,230₹,97,24
Maharashtra,Thane,CinepolisVivianaMallThaneW,Marathi,19:10,Premium0000000001,230₹,43,41
Maharashtra,Aurangabad,InoxProzoneMallChilkalthana,Marathi,19:45,ClubCl,190₹,104,9
