City,Name,Language,Time,Type,Price,Capacity,Booked
Thrissur,InoxSobhaCityMallPuzhakkal,Malayalam,11:05,Club,140₹,31,0
Thrissur,InoxSobhaCityMallPuzhakkal,Malayalam,11:05,Executive,110₹,11,0
Thrissur,InoxSobhaCityMallPuzhakkal,Malayalam,11:05,RoyalRecliner,270₹,5,0
Thrissur,InoxSobhaCityMallPuzhakkal,Malayalam,11:05,Royal,170₹,5,0
Thrissur,InoxSobhaCityMallPuzhakkal,Malayalam,16:40,Club,190₹,72,0
Thrissur,InoxSobhaCityMallPuzhakkal,Malayalam,16:40,Executive,130₹,13,0
Thrissur,InoxSobhaCityMallPuzhakkal,Malayalam,16:40,RoyalRecliner,350₹,5,0
Thrissur,InoxSobhaCityMallPuzhakkal,Malayalam,16:40,Royal,190₹,5,0
Kochi,PvrLuluKochi,Malayalam,19:30,Classic,140₹,39,21
Kochi,PvrLuluKochi,Malayalam,19:30,ClassicPlus,160₹,91,69
Kochi,PvrLuluKochi,Malayalam,19:30,Prime,190₹,64,43
Kochi,PvrLuluKochi,Malayalam,19:30,Recliner,350₹,9,7
