State,City,Name,Language,Time(IST),Type,Price,Capacity,Booked
Gujarat,Ahmedabad,CineworldVishalaEmpireNaroda,Hindi,09:35,Platinum,300₹,110,1
Gujarat,Ahmedabad,CineworldVishalaEmpireNaroda,Hindi,09:35,Gold,80₹,110,1
Gujarat,Ahmedabad,CineworldVishalaEmpireNaroda,Hindi,09:35,Silver,80₹,110,1
UttarPradesh,Mughalsarai,IpCinemasIpMughalMultiplexMughalsarai,Hindi,10:00,Silver,100₹,132,0
UttarPradesh,Mughalsarai,IpCinemasIpMughalMultiplexMughalsarai,Hindi,10:00,Gold,150₹,215,0
UttarPradesh,Mughalsarai,IpCinemasIpMughalMultiplexMughalsarai,Hindi,10:00,Diamond,200₹,6,0
Maharashtra,Mumbai,InoxMegaplexInorbitMall,Hindi,10:20,Insignia,200₹,34,0
AndhraPradesh,Hyderabad,CinepolisMantraMallUpparpally,Hindi,12:00,Normal,150₹,153,80
AndhraPradesh,Hyderabad,CinepolisMantraMallUpparpally,Hindi,12:00,Vip,250₹,11,0
Gujarat,Bhavnagar,Top3MultiplexBhavnagar,Hindi,13:00,Gold,80₹,230,0
Gujarat,Bhavnagar,Top3MultiplexBhavnagar,Hindi,13:00,Silver,70₹,270,0
Karnataka,Bengaluru,CinepolisRoyalMeenakshiMallBannerghattaRoad,Hindi,13:05,Normal,100₹,24,0
Karnataka,Bengaluru,CinepolisRoyalMeenakshiMallBannerghattaRoad,Hindi,13:05,Executive,100₹,49,0
Karnataka,Bengaluru,CinepolisRoyalMeenakshiMallBannerghattaRoad,Hindi,13:05,Premium,100₹,28,0
Chhattisgarh,Bilaspur,PvrRamaMagnetoMallBilaspur,Hindi,13:10,Classic,112₹,36,0
Chhattisgarh,Bilaspur,PvrRamaMagnetoMallBilaspur,Hindi,13:10,Prime,112₹,69,22
Chhattisgarh,Bilaspur,PvrRamaMagnetoMallBilaspur,Hindi,13:10,PrimePlus,112₹,10,5
Gujarat,Ahmedabad,CinepolisNexusOneAhmedabad,Hindi,13:10,Executive,100₹,63,38
Gujarat,Ahmedabad,CinepolisNexusOneAhmedabad,Hindi,13:10,Premium,100₹,42,42
Gujarat,Ahmedabad,CinepolisNexusOneAhmedabad,Hindi,13:10,Normal,100₹,27,0
Maharashtra,Nagpur,CinepolisVrNagpurMall,Hindi,13:20,Vip,200₹,10,0
Maharashtra,Nagpur,CinepolisVrNagpurMall,Hindi,13:20,Premium,100₹,69,0
Maharashtra,Nagpur,CinepolisVrNagpurMall,Hindi,13:20,Executive,100₹,73,0
Maharashtra,Nagpur,CinepolisVrNagpurMall,Hindi,13:20,Normal,100₹,29,0
Maharashtra,Thane,CinepolisVivianaMallThaneW,Hindi,13:20,Normal,100₹,24,0
Maharashtra,Thane,CinepolisVivianaMallThaneW,Hindi,13:20,Executive,100₹,72,0
Maharashtra,Thane,CinepolisVivianaMallThaneW,Hindi,13:20,Premium,100₹,12,12
Maharashtra,Mumbai,FunCinemaKStarMallChemburE,Hindi,13:25,Normal,100₹,103,0
Maharashtra,Mumbai,FunCinemaKStarMallChemburE,Hindi,13:25,Executive,100₹,94,0
Maharashtra,Mumbai,FunCinemaKStarMallChemburE,Hindi,13:25,Premium,100₹,37,10
Chhattisgarh,Raipur,PvrCityCenterRaipur,Hindi,13:40,Recliner,150₹,12,0
Chhattisgarh,Raipur,PvrCityCenterRaipur,Hindi,13:40,Prime,90₹,140,16
Chhattisgarh,Raipur,PvrCityCenterRaipur,Hindi,13:40,Classic,80₹,24,0
Gujarat,Ahmedabad,CineworldVishalaEmpireNaroda,Hindi,14:15,Platinum,300₹,110,0
Gujarat,Ahmedabad,CineworldVishalaEmpireNaroda,Hindi,14:15,Gold,80₹,110,0
Gujarat,Ahmedabad,CineworldVishalaEmpireNaroda,Hindi,14:15,Silver,80₹,110,0
MadhyaPradesh,Satna,A4EntertainmentSatna,Hindi,15:30,Recliner,250₹,11,0
MadhyaPradesh,Satna,A4EntertainmentSatna,Hindi,15:30,Platinum,140₹,90,0
MadhyaPradesh,Satna,A4EntertainmentSatna,Hindi,15:30,Gold,120₹,42,0
Chhattisgarh,Raipur,InoxAmbujaCityCentreMowa,Hindi,15:45,Club,70₹,132,106
Chhattisgarh,Raipur,InoxAmbujaCityCentreMowa,Hindi,15:45,Executive,70₹,28,0
Chhattisgarh,Raipur,InoxAmbujaCityCentreMowa,Hindi,15:45,RoyalRecliner,190₹,14,0
Chhattisgarh,Raipur,InoxAmbujaCityCentreMowa,Hindi,15:45,Royal,80₹,28,0
WestBengal,Kolkata,CinepolisAcropolisMallRajdangaRoad,Hindi,15:45,Normal,100₹,22,1
WestBengal,Kolkata,CinepolisAcropolisMallRajdangaRoad,Hindi,15:45,Executive,100₹,64,60
WestBengal,Kolkata,CinepolisAcropolisMallRajdangaRoad,Hindi,15:45,Premium,100₹,20,20
Assam,Guwahati,CinepolisCentralMallGuwahati,Hindi,15:55,Normal,100₹,24,0
Assam,Guwahati,CinepolisCentralMallGuwahati,Hindi,15:55,Executive,100₹,116,0
Assam,Guwahati,CinepolisCentralMallGuwahati,Hindi,15:55,Premium,100₹,41,0
Assam,Guwahati,CinepolisCentralMallGuwahati,Hindi,15:55,Vip,150₹,4,0
Assam,Guwahati,CinepolisCentralMallGuwahati,Hindi,15:55,Normal,100₹,24,0
Assam,Guwahati,CinepolisCentralMallGuwahati,Hindi,15:55,Executive,100₹,116,0
Assam,Guwahati,CinepolisCentralMallGuwahati,Hindi,15:55,Premium,100₹,41,0
Assam,Guwahati,CinepolisCentralMallGuwahati,Hindi,15:55,Vip,400₹,4,0
Bihar,Patna,CinepolisPMMallPatna,Hindi,15:55,Normal,100₹,186,122
