State,City,Name,Language,Time(IST),Type,Price,Capacity,Booked
WestBengal,Kolkata,InoxQuestMallBallygunge,English,10:20,RoyalRecliner,440₹,63,0
WestBengal,Kolkata,CinepolisAcropolisMallRajdangaRoad,English,11:45,Normal,150₹,22,0
WestBengal,Kolkata,CinepolisAcropolisMallRajdangaRoad,English,11:45,Executive,150₹,64,2
WestBengal,Kolkata,CinepolisAcropolisMallRajdangaRoad,English,11:45,Premium,150₹,38,4
Goa,Goa,InoxOldGmcDbRoad,English,11:55,Club,130₹,90,0
Goa,Goa,InoxOldGmcDbRoad,English,11:55,Executive,130₹,36,0
Goa,Goa,InoxOldGmcDbRoad,English,11:55,Royal,160₹,75,0
Maharashtra,Mumbai,PvrIconPhoenixPalladiumLowerParelMumbai,English,12:30,Recliner,580₹,14,6
Maharashtra,Mumbai,PvrIconPhoenixPalladiumLowerParelMumbai,English,12:30,Prime,290₹,68,17
Maharashtra,Mumbai,PvrIconPhoenixPalladiumLowerParelMumbai,English,12:30,Classic,190₹,42,0
Maharashtra,Mumbai,PvrIconPhoenixPalladiumLowerParelMumbai,English,12:30,Lounger,240₹,10,0
Maharashtra,Thane,CinepolisVivianaMallThaneW,Hindi,12:40,Normal,230₹,27,0
Maharashtra,Thane,CinepolisVivianaMallThaneW,Hindi,12:40,Executive,230₹,106,0
Maharashtra,Thane,CinepolisVivianaMallThaneW,Hindi,12:40,Premium,260₹,46,18
TamilNadu,Chennai,SpiEscapeCinemasRoyapettah,English,12:50,Elite,211₹,99,16
TamilNadu,Chennai,SpiEscapeCinemasRoyapettah,English,12:50,Budget,66₹,11,11
Karnataka,Bengaluru,InoxGarudaMallMagrathRoad,English,12:55,Club,280₹,74,0
Karnataka,Bengaluru,InoxGarudaMallMagrathRoad,English,12:55,Executive,260₹,88,0
Karnataka,Bengaluru,InoxGarudaMallMagrathRoad,English,12:55,RoyaleRecliners,480₹,12,0
Maharashtra,Mumbai,CinepolisFunRepublicMallAndheriW,English,13:10,Premium,250₹,32,4
Maharashtra,Mumbai,CinepolisFunRepublicMallAndheriW,English,13:10,Platinum,350₹,21,0
Maharashtra,Mumbai,CinepolisFunRepublicMallAndheriW,English,13:10,Executive,230₹,91,0
Maharashtra,Mumbai,CinepolisFunRepublicMallAndheriW,English,13:10,Normal,210₹,30,0
Maharashtra,Pune,CinepolisNexusWestend,English,13:30,Normal,180₹,25,0
Maharashtra,Pune,CinepolisNexusWestend,English,13:30,Executive,180₹,42,0
