State,City,Name,Language,Time(IST),Type,Price,Capacity,Booked
Gujarat,Vadodara,PvrTransCubeVadodara,Hindi,13:15,Classic,160₹,34,0
Gujarat,Vadodara,PvrTransCubeVadodara,Hindi,13:15,Prime,160₹,100,2
Gujarat,Vadodara,PvrTransCubeVadodara,Hindi,13:15,Recliner,320₹,8,0
Maharashtra,NaviMumbai,CinepolisNexusSeawoodsNaviMumbai,Hindi,13:55,Normal,200₹,30,0
Maharashtra,NaviMumbai,CinepolisNexusSeawoodsNaviMumbai,Hindi,13:55,Executive,220₹,86,5
Maharashtra,NaviMumbai,CinepolisNexusSeawoodsNaviMumbai,Hindi,13:55,Premium,240₹,76,5
Maharashtra,NaviMumbai,CinepolisNexusSeawoodsNaviMumbai,Hindi,13:55,Vip,440₹,14,0
WestBengal,Siliguri,InoxVegaCircleMallSevokeRoad,Hindi,14:20,Club,160₹,68,0
WestBengal,Siliguri,InoxVegaCircleMallSevokeRoad,Hindi,14:20,Executive,160₹,34,0
WestBengal,Siliguri,InoxVegaCircleMallSevokeRoad,Hindi,14:20,Royal,160₹,148,0
UttarPradesh,Noida,PvrLogixCityCentreNoida,Hindi,14:20,Classic,340₹,76,9
Maharashtra,Thane,InoxInsigniaAtRMallThane,Hindi,14:25,Insignia,400₹,50,0
UttarPradesh,GreaterNoida,PvrGaurCityGreaterNoida,Hindi,15:05,Classic,220₹,92,0
UttarPradesh,GreaterNoida,PvrGaurCityGreaterNoida,Hindi,15:05,Prime,250₹,13,0
Maharashtra,Mumbai,PvrIconPhoenixPalladiumLowerParelMumbai,Hindi,15:10,Recliner,730₹,14,4
Maharashtra,Mumbai,PvrIconPhoenixPalladiumLowerParelMumbai,Hindi,15:10,Prime,390₹,68,23
Maharashtra,Mumbai,PvrIconPhoenixPalladiumLowerParelMumbai,Hindi,15:10,Classic,220₹,42,2
Maharashtra,Mumbai,PvrIconPhoenixPalladiumLowerParelMumbai,Hindi,15:10,Lounger,290₹,10,2
Maharashtra,Mumbai,InoxMegaplexInorbitMall,Hindi,15:25,Insignia,680₹,42,0
Maharashtra,Mumbai,MetroInoxCinemaMGRoad,Hindi,15:35,Insignia,580₹,38,3
Gujarat,Vadodara,PvrTransCubeVadodara,Hindi,16:15,Classic,160₹,42,0
Gujarat,Vadodara,PvrTransCubeVadodara,Hindi,16:15,Prime,160₹,99,19
Gujarat,Vadodara,PvrTransCubeVadodara,Hindi,16:15,Recliner,320₹,8,0
Maharashtra,Mumbai,InoxRCityGhatkoparW,Hindi,16:30,Club,340₹,111,5
Maharashtra,Mumbai,InoxRCityGhatkoparW,Hindi,16:30,Executive,320₹,53,0
Maharashtra,Mumbai,InoxRCityGhatkoparW,Hindi,16:30,RoyalRecliner,620₹,16,2
Maharashtra,Mumbai,InoxRCityGhatkoparW,Hindi,16:30,Royal,350₹,51,16
Maharashtra,Mumbai,InoxMegaplexInorbitMall,Hindi,16:50,Kiddles,320₹,53,4
Jharkhand,Jamshedpur,PjpCinepolisCityCentreMallMauja,Hindi,18:10,Normal,220₹,24,0
Jharkhand,Jamshedpur,PjpCinepolisCityCentreMallMauja,Hindi,18:10,Executive,240₹,56,21
Jharkhand,Jamshedpur,PjpCinepolisCityCentreMallMauja,Hindi,18:10,Premium,260₹,64,55
Jharkhand,Jamshedpur,PjpCinepolisCityCentreMallMauja,Hindi,18:10,Vip,500₹,12,0
WestBengal,Kolkata,InoxQuestMallBallygunge,Hindi,18:50,RoyalRecliner,680₹,63,30
Haryana,Gurgaon,PvrAmbienceGoldGurgaon,Hindi,18:55,Platinum,900₹,28,2
Haryana,Gurgaon,PvrAmbienceGoldGurgaon,Hindi,18:55,PlatinumSuperior,"1,100₹",8,0
Maharashtra,Mumbai,PvrLuxeMarketcityKurlaMumbai,Hindi,19:15,GoldPremium,680₹,24,12
Maharashtra,Mumbai,PvrLuxeMarketcityKurlaMumbai,Hindi,19:15,GoldStar,580₹,36,6
Maharashtra,Pune,InoxRoyalHeritageMallNibmExt,Hindi,20:00,Club,230₹,86,0
Maharashtra,Pune,InoxRoyalHeritageMallNibmExt,Hindi,20:00,Executive,210₹,26,0
Maharashtra,Pune,InoxRoyalHeritageMallNibmExt,Hindi,20:00,RoyaleRecliners,520₹,14,0
Maharashtra,Pune,InoxRoyalHeritageMallNibmExt,Hindi,20:00,Royale,230₹,26,0
Delhi,NewDelhi,PvrVegasDwarka,Hindi,20:45,Classic,430₹,76,6
Haryana,Gurgaon,CinepolisAiriaMallSohnaRoadGurgaon,Hindi,22:25,Normal,200₹,22,5
Haryana,Gurgaon,CinepolisAiriaMallSohnaRoadGurgaon,Hindi,22:25,DoubleSofa,300₹,24,0
Haryana,Gurgaon,CinepolisAiriaMallSohnaRoadGurgaon,Hindi,22:25,Lounger,300₹,8,0
