State,City,Name,Language,Time(IST),Type,Price,Capacity,Booked
Kerala,Kochi,PvrLuluKochi,Malayalam,09:10,Classic0000000007,110₹,54,6
Kerala,Kochi,PvrLuluKochi,Malayalam,09:10,ClassicPlus0000000006,140₹,108,0
Kerala,Kochi,PvrLuluKochi,Malayalam,09:10,Prime0000000008,160₹,125,24
Kerala,Kochi,PvrLuluKochi,Malayalam,09:10,Recliner0000000010,300₹,14,2
Kerala,Perinthalmanna,VismayaCinemasPerinthalmanna,Malayalam,09:55,Platinum10,100₹,151,16
Kerala,Kozhikode,ArcCoronationDolbyAtmosCalicut,Malayalam,10:00,Elite20,100₹,146,19
Kerala,Ottapalam,LadderCinemasOttapalam,Malayalam,10:00,Executive20,150₹,214,0
Kerala,Kozhikode,RegalCinema,Malayalam,10:30,FirstClassSc3FirstClassSc3,200₹,158,0
Kerala,Kakkattil,BmCinemasKakkattil,Malayalam,10:30,Executive10,110₹,227,0
Kerala,Manjeri,LadderCinemasIndianMall,Malayalam,10:30,Executive10,150₹,114,1
Kerala,Mannarkkad,ShivasakthiCinemasDolbyAtmosMannarkkad,Malayalam,11:00,Executive10,110₹,256,0
Kerala,Pandalam,ThrilokCinemas,Malayalam,11:00,ExecutiveClassExecutiveClass,160₹,26,14
Kerala,Pandalam,ThrilokCinemas,Malayalam,11:00,ExecutiveClass1ExecutiveClass1,150₹,124,61
Kerala,Trivandrum,SriKalidasMPlex4KRgbLaserDolbyAtmosThoongamparaKattakada,Malayalam,11:00,PlatinumRecliner35,300₹,13,1
Kerala,Trivandrum,SriKalidasMPlex4KRgbLaserDolbyAtmosThoongamparaKattakada,Malayalam,11:00,Gold40,150₹,225,0
Kerala,Kottakkal,LeenaTheatre4K3DDolbyAtmosKottakkal,Malayalam,11:00,Executive10,129₹,309,3
Kerala,Punalur,CarnivalDMallPunalur,Malayalam,11:00,Silver0000000002,100₹,140,2
Kerala,Punalur,CarnivalDMallPunalur,Malayalam,11:00,Gold0000000003,200₹,12,0
Kerala,Punalur,CarnivalDMallPunalur,Malayalam,11:00,Platinum0000000001,290₹,10,0
Kerala,Malappuram,MallikaPlexRachanaNaveenMalappuram,Malayalam,11:00,Sofa10,200₹,11,0
Kerala,Malappuram,MallikaPlexRachanaNaveenMalappuram,Malayalam,11:00,Executive20,129₹,140,0
Kerala,Kozhikode,MallikaPlexDolbyAtmosCalicut,Malayalam,11:00,Executive10,140₹,192,0
Kerala,Pandikkad,IllamCinemasPandikkad,Malayalam,11:00,DiamondCircle20,129₹,182,0
Kerala,SultanBathery,AiswaryaAthulyaAiswaryaCineplexSulthanBathery,Malayalam,11:15,SofaSeat10,180₹,41,0
Kerala,SultanBathery,AiswaryaAthulyaAiswaryaCineplexSulthanBathery,Malayalam,11:15,GoldClass20,110₹,288,0
Kerala,Vadakkencherry,JayabharathTheatre,Malayalam,11:15,Screen1Screen1,110₹,277,210
Kerala,Wandoor,HariharFilmCity4KSony3DWandoor,Malayalam,11:15,Executive10,129₹,140,4
Kerala,Valanchery,SreekumarAndPavithraTheatreAC2K,Malayalam,11:15,FirstClass10,110₹,334,0
Kerala,Manjeri,SreeDeviCinePalace4KDolbyAtmosManjeri,Malayalam,11:15,Screen220,150₹,148,34
Kerala,Irinjalakuda,ChembakasseryCinemas4K3DDolbyAtmos,Malayalam,11:30,RoyalCircle20,129₹,213,6
Kerala,Mukkam,AbhilashCinemas4KMukkam,Malayalam,11:45,Executive10,110₹,388,26
