State,City,ZIP,Name,Language,Time,Type,Price,Capacity,Booked
Kerala,Trivandrum,695024,CarnivalMallOfTravancoreEanchakkal,Malayalam,10:00,NormalOffline,100₹,20,0
Kerala,Trivandrum,695024,CarnivalMallOfTravancoreEanchakkal,Malayalam,10:00,ExecutiveOffline,180₹,100,0
Kerala,Trivandrum,695024,CarnivalMallOfTravancoreEanchakkal,Malayalam,10:00,Silver,210₹,172,31
Kerala,Trivandrum,695024,CarnivalMallOfTravancoreEanchakkal,Malayalam,10:00,Gold,350₹,15,8
Kerala,Kochi,682025,PvrLuluKochi,Malayalam,10:00,Classic,110₹,69,0
Kerala,Kochi,682025,PvrLuluKochi,Malayalam,10:00,ClassicPlus,140₹,138,93
Kerala,Kochi,682025,PvrLuluKochi,Malayalam,10:00,Prime,160₹,108,106
Kerala,Kochi,682025,PvrLuluKochi,Malayalam,10:00,Recliner,300₹,10,10
Karnataka,Bengaluru,560068,GalaxyParadiseHongasandra,Malayalam,10:00,FirstClass,150₹,100,80
Kerala,Trivandrum,695581,CarnivalGreenfieldCinemaKaryavattom,Malayalam,10:30,ExecutiveOffline,140₹,132,48
Kerala,Trivandrum,695024,CarnivalMallOfTravancoreEanchakkal,Malayalam,10:30,GoldLounge,400₹,36,6
Kerala,Cheruvathur,671313,PakkanarCinemasCheruvathur,Malayalam,10:30,Executive,100₹,322,74
Kerala,Thrissur,680553,InoxSobhaCityMallPuzhakkal,Malayalam,10:30,Club,140₹,221,40
Kerala,Thrissur,680553,InoxSobhaCityMallPuzhakkal,Malayalam,10:30,Executive,110₹,36,0
Kerala,Thrissur,680553,InoxSobhaCityMallPuzhakkal,Malayalam,10:30,RoyalRecliner,270₹,15,12
Kerala,Thrissur,680553,InoxSobhaCityMallPuzhakkal,Malayalam,10:30,Royal,170₹,26,12
Kerala,Payyanur,670307,SumangaliCinemasAnnurRoad,Malayalam,10:30,GoldenCircle,130₹,192,6
Kerala,Muvattupuzha,686661,CarnivalGrandCentreMallAramanaJunction,Malayalam,10:40,ExecutiveOffline,130₹,155,44
Kerala,Kozhikode,673001,RegalCinema,Malayalam,11:00,FirstClassSc3,200₹,158,36
Kerala,Kottakkal,676503,LeenaTheatre4KDolbyAtmosKottakkal,Malayalam,11:00,Executive,110₹,186,36
Kerala,Punalur,691305,CarnivalDMallPunalur,Malayalam,11:00,Silver,130₹,140,0
Kerala,Punalur,691305,CarnivalDMallPunalur,Malayalam,11:00,Gold,200₹,12,0
Kerala,Punalur,691305,CarnivalDMallPunalur,Malayalam,11:00,Platinum,290₹,10,0
Kerala,Trivandrum,695572,SriKalidasMPlex4KRgbLaserDolbyAtmosThoongamparaKattakada,Malayalam,11:00,DiamondSofa,200₹,4,0
Kerala,Trivandrum,695572,SriKalidasMPlex4KRgbLaserDolbyAtmosThoongamparaKattakada,Malayalam,11:00,Gold,150₹,170,0
Kerala,Manjeri,676121,KairaliCinemasDolbyAtmosManjeri,Malayalam,11:00,LuxusCircle,130₹,707,401
Kerala,Kozhinjampara,678555,RavirajComplexACKozhinjampara,Malayalam,11:00,FirstClass,110₹,163,52
Kerala,Kozhikode,673633,SurabhiCinemas,Malayalam,11:00,RedRuby,180₹,100,52
Kerala,SultanBathery,673592,AiswaryaAthulyaAiswaryaCineplexSulthanBathery,Malayalam,11:15,Balcony,110₹,408,2
Kerala,Alappuzha,688001,RaibanCineHouseAC2K71Dolby,Malayalam,11:15,Balcony,125₹,206,100
Kerala,Manjeri,676121,LadderCinemasIndianMall,Malayalam,11:15,Executive,150₹,114,0
Kerala,Kozhikode,673001,MagicFramesRadha2KUhd3DDolby71Calicut,Malayalam,11:30,Balcony,150₹,140,38
Kerala,Kozhikode,673001,MagicFramesRadha2KUhd3DDolby71Calicut,Malayalam,11:30,FirstClass,130₹,635,135
Kerala,Thalassery,670101,LibertyParadiseComplexThalassery,Malayalam,11:30,Suite,125₹,324,169
Kerala,Kunnamkulam,680503,BavanaMoviesHouseACKunnamkulam,Malayalam,11:30,LuxuryClass,220₹,13,0
Kerala,Kunnamkulam,680503,BavanaMoviesHouseACKunnamkulam,Malayalam,11:30,PlatinumCircle,130₹,159,0
Kerala,Valanchery,676552,SreekumarAndPavithraTheatreAC2K,Malayalam,11:30,FirstClass,110₹,334,0
Maharashtra,Mumbai,400706,CinepolisNexusSeawoodsNaviMumbai,Malayalam,11:40,Normal,200₹,30,0
Maharashtra,Mumbai,400706,CinepolisNexusSeawoodsNaviMumbai,Malayalam,11:40,Executive,220₹,86,26
Maharashtra,Mumbai,400706,CinepolisNexusSeawoodsNaviMumbai,Malayalam,11:40,Premium,240₹,76,62
Maharashtra,Mumbai,400706,CinepolisNexusSeawoodsNaviMumbai,Malayalam,11:40,Vip,440₹,14,8
Kerala,Mukkam,673602,AbhilashCinemas4KMukkam,Malayalam,11:45,Executive,110₹,300,9
Delhi,NewDelhi,110078,PvrVegasDwarka,Malayalam,11:55,Prime,250₹,15,8
Delhi,NewDelhi,110078,PvrVegasDwarka,Malayalam,11:55,Classic,200₹,105,48
Kerala,Thrissur,680501,SavithaMovieMagic,Malayalam,12:00,FirstClass,100₹,300,2
Kerala,Chalakudy,680307,SurabhiMoviesChalakudy,Malayalam,12:00,Box,139₹,20,20
Kerala,Chalakudy,680307,SurabhiMoviesChalakudy,Malayalam,12:00,Gold,129₹,295,48
Kerala,Kochi,682035,CinepolisCentreSquareMallKochi,Malayalam,12:00,Normal,140₹,13,0
Kerala,Kochi,682035,CinepolisCentreSquareMallKochi,Malayalam,12:00,Executive,160₹,28,10
Kerala,Kochi,682035,CinepolisCentreSquareMallKochi,Malayalam,12:00,Premium,190₹,65,51
Kerala,Ashtamichira,680731,MahalakshmiCinemasAshtamichira,Malayalam,12:15,Diamond,120₹,137,4
Kerala,Ashtamichira,680731,MahalakshmiCinemasAshtamichira,Malayalam,12:15,Gold,100₹,220,0
Kerala,Kunnamkulam,680503,BavanaMoviesHouseACKunnamkulam,Malayalam,12:30,LuxuryClass,220₹,13,0
Kerala,Kunnamkulam,680503,BavanaMoviesHouseACKunnamkulam,Malayalam,12:30,PlatinumCircle,130₹,159,0
Kerala,Kochi,682025,PvrLuluKochi,Malayalam,12:35,Classic,140₹,57,1
Kerala,Kochi,682025,PvrLuluKochi,Malayalam,12:35,ClassicPlus,160₹,133,79
Kerala,Kochi,682025,PvrLuluKochi,Malayalam,12:35,Prime,190₹,143,138
Kerala,Kochi,682025,PvrLuluKochi,Malayalam,12:35,Recliner,350₹,13,13
Kerala,Angamaly,683572,CarnivalKsrtComplexSalemErnakulamHighway,Malayalam,12:45,Platinum,160₹,110,41
Kerala,Angamaly,683572,CarnivalKsrtComplexSalemErnakulamHighway,Malayalam,12:45,GoldOffline,150₹,188,0
Kerala,Thrissur,680553,InoxSobhaCityMallPuzhakkal,Malayalam,13:00,Club,190₹,256,19
Kerala,Thrissur,680553,InoxSobhaCityMallPuzhakkal,Malayalam,13:00,Executive,130₹,36,0
Kerala,Thrissur,680553,InoxSobhaCityMallPuzhakkal,Malayalam,13:00,RoyalRecliner,350₹,14,2
Kerala,Thrissur,680553,InoxSobhaCityMallPuzhakkal,Malayalam,13:00,Royal,190₹,32,23
Kerala,Trivandrum,695035,CarnivalArtechMallVanchyoor,Malayalam,13:00,ExecutiveOffline,100₹,13,0
Kerala,Trivandrum,695035,CarnivalArtechMallVanchyoor,Malayalam,13:00,SilverOffline,180₹,167,23
Kerala,Trivandrum,695035,CarnivalArtechMallVanchyoor,Malayalam,13:00,GoldOffline,350₹,13,0
Kerala,Perinthalmanna,679322,PlazaCinemasPerinthalmanna,Malayalam,13:00,Platinum,120₹,161,0
Kerala,Perinthalmanna,679322,PlazaCinemasPerinthalmanna,Malayalam,13:00,Executive,110₹,288,9
Kerala,Perinthalmanna,679322,VismayaCinemasPerinthalmanna,Malayalam,13:00,Platinum,100₹,198,39
Kerala,Thalayolaparambu,686605,CarnivalThalayolaparambu,Malayalam,13:15,Executive,80₹,88,0
Kerala,Thalayolaparambu,686605,CarnivalThalayolaparambu,Malayalam,13:15,Gold,110₹,402,37
Kerala,Thalayolaparambu,686605,CarnivalThalayolaparambu,Malayalam,13:15,Platinum,140₹,84,15
Kerala,Trivandrum,695024,CarnivalMallOfTravancoreEanchakkal,Malayalam,13:15,NormalOffline,100₹,16,0
Kerala,Trivandrum,695024,CarnivalMallOfTravancoreEanchakkal,Malayalam,13:15,ExecutiveOffline,180₹,80,2
Kerala,Trivandrum,695024,CarnivalMallOfTravancoreEanchakkal,Malayalam,13:15,Silver,210₹,140,32
Kerala,Trivandrum,695024,CarnivalMallOfTravancoreEanchakkal,Malayalam,13:15,Gold,350₹,12,3
Kerala,Thalassery,670101,CarnivalDowntownThalassery,Malayalam,13:15,ExecutiveOffline,140₹,136,93
Kerala,Muvattupuzha,686661,CarnivalGrandCentreMallAramanaJunction,Malayalam,13:20,ExecutiveOffline,150₹,155,40
UttarPradesh,Noida,201301,PvrLogixCityCentreNoida,Malayalam,13:25,Classic,345₹,78,45
Kerala,Karunagappally,690518,CarnivalHJComplexLalajiJunction,Malayalam,13:30,ClassicOffline,150₹,194,48
Kerala,Cheruvathur,671313,PakkanarCinemasCheruvathur,Malayalam,13:30,Executive,100₹,322,57
