State,City,Name,Language,Time(IST),Type,Price,Capacity,Booked
Maharashtra,Aurangabad,InoxProzoneMallChilkalthana,Hindi,18:30,Club,100₹,104,104
Maharashtra,Aurangabad,InoxProzoneMallChilkalthana,Hindi,18:30,Executive,100₹,32,32
Maharashtra,Aurangabad,InoxProzoneMallChilkalthana,Hindi,18:30,Royale,100₹,74,74
MadhyaPradesh,Bhopal,InoxCapitalMallHoshangabadRoad,Hindi,18:40,Club,100₹,229,229
MadhyaPradesh,Bhopal,InoxCapitalMallHoshangabadRoad,Hindi,18:40,Executive,100₹,38,38
MadhyaPradesh,Bhopal,InoxCapitalMallHoshangabadRoad,Hindi,18:40,Royal,100₹,68,68
Delhi,NewDelhi,InoxPatelNagar,Hindi,19:00,Club,210₹,81,30
Delhi,NewDelhi,InoxPatelNagar,Hindi,19:00,Executive,210₹,105,0
Delhi,NewDelhi,InoxPatelNagar,Hindi,19:00,Royal,210₹,30,24
Maharashtra,Mumbai,InoxRCityGhatkoparW,Hindi,19:30,Club,150₹,63,63
Maharashtra,Mumbai,InoxRCityGhatkoparW,Hindi,19:30,Executive,150₹,36,36
Maharashtra,Mumbai,InoxRCityGhatkoparW,Hindi,19:30,RoyalRecliner,150₹,13,13
Maharashtra,Mumbai,InoxRCityGhatkoparW,Hindi,19:30,Royal,150₹,37,37
