State,City,Name,Language,Time(IST),Type,Price,Capacity,Booked
Haryana,Sirsa,OhmCineGardenHissarRoad,Punjabi,09:40,Recliner,600₹,44,21
Haryana,Sirsa,OhmCineGardenHissarRoad,Punjabi,09:40,GoldExecutive,150₹,72,20
Haryana,Sirsa,OhmCineGardenHissarRoad,Punjabi,09:40,Silver,100₹,54,36
Punjab,Banga,SuryaOhriCinema,Punjabi,12:20,Gold,210₹,12,0
Punjab,Banga,SuryaOhriCinema,Punjabi,12:20,Silver,160₹,109,0
Punjab,TalwandiBhai,FunCineplex,Punjabi,12:40,Royal,100₹,91,78
Haryana,Sardulgarh,GoldenCinemasRoriRoad,Punjabi,12:50,Platinum,350₹,10,5
Haryana,Sardulgarh,GoldenCinemasRoriRoad,Punjabi,12:50,Royal,300₹,12,7
Haryana,Sardulgarh,GoldenCinemasRoriRoad,Punjabi,12:50,Gold,220₹,36,24
Haryana,Sardulgarh,GoldenCinemasRoriRoad,Punjabi,12:50,Silver,200₹,48,32
Haryana,Sardulgarh,GoldenCinemasRoriRoad,Punjabi,12:50,NormalClass,170₹,32,16
Punjab,Fazilka,OhmOrbitNovaCinemaSanjeevChowk,Punjabi,14:15,Box1,200₹,8,0
Punjab,Fazilka,OhmOrbitNovaCinemaSanjeevChowk,Punjabi,14:15,Box2,200₹,10,0
Punjab,Fazilka,OhmOrbitNovaCinemaSanjeevChowk,Punjabi,14:15,Gold,150₹,138,0
Punjab,Fazilka,OhmOrbitNovaCinemaSanjeevChowk,Punjabi,14:15,Silver,150₹,26,0
Punjab,Kotkapura,FunPlazaKotkapura,Punjabi,15:40,Royal,170₹,94,83
Punjab,TalwandiBhai,FunCineplex,Punjabi,18:00,Royal,100₹,91,78
Punjab,Fazilka,OhmOrbitNovaCinemaSanjeevChowk,Punjabi,18:20,Box1,200₹,8,0
Punjab,Fazilka,OhmOrbitNovaCinemaSanjeevChowk,Punjabi,18:20,Box2,200₹,10,0
Punjab,Fazilka,OhmOrbitNovaCinemaSanjeevChowk,Punjabi,18:20,Gold,150₹,138,0
Punjab,Fazilka,OhmOrbitNovaCinemaSanjeevChowk,Punjabi,18:20,Silver,150₹,26,0
Haryana,Sardulgarh,GoldenCinemasRoriRoad,Punjabi,20:20,Platinum,350₹,10,5
Haryana,Sardulgarh,GoldenCinemasRoriRoad,Punjabi,20:20,Royal,300₹,12,7
Haryana,Sardulgarh,GoldenCinemasRoriRoad,Punjabi,20:20,Gold,220₹,36,24
Haryana,Sardulgarh,GoldenCinemasRoriRoad,Punjabi,20:20,Silver,200₹,48,32
Haryana,Sardulgarh,GoldenCinemasRoriRoad,Punjabi,20:20,NormalClass,170₹,32,16
Punjab,Kotkapura,FunPlazaKotkapura,Punjabi,20:50,Royal,170₹,94,83
