City,Name,Language,Time,Type,Price,Capacity,Booked
Jalgaon,PvrUtsavKirtiMallNaviPeth,Marathi,09:00,Classic,110₹,51,25
Jalgaon,PvrUtsavKirtiMallNaviPeth,Marathi,09:00,ClassicPlus,110₹,120,60
Jalgaon,PvrUtsavKirtiMallNaviPeth,Marathi,09:00,Prime,110₹,55,30
Baramati,CarnivalCinemasSubhadraMallBaramati,Marathi,09:10,Silver,170₹,42,0
Baramati,CarnivalCinemasSubhadraMallBaramati,Marathi,09:10,Gold,170₹,128,0
Baramati,CarnivalCinemasSubhadraMallBaramati,Marathi,09:10,Sofa,200₹,17,0
Mumbai,CinepolisSeawoodsGrandCentralMall,Marathi,09:30,Normal,150₹,49,0
Mumbai,CinepolisSeawoodsGrandCentralMall,Marathi,09:30,Executive,170₹,94,0
Mumbai,CinepolisSeawoodsGrandCentralMall,Marathi,09:30,Premium,190₹,80,2
Mumbai,CinepolisSeawoodsGrandCentralMall,Marathi,09:30,Vip,280₹,14,0
Pune,PvrMarketCityVimanNagar,Marathi,09:30,PrimePlus,240₹,10,10
Pune,PvrMarketCityVimanNagar,Marathi,09:30,Prime,180₹,119,119
Pune,PvrMarketCityVimanNagar,Marathi,09:30,Classic,180₹,52,52
Mumbai,PvrXperiaPalavaDombivaliE,Marathi,10:00,Classic,130₹,18,0
Mumbai,PvrXperiaPalavaDombivaliE,Marathi,10:00,Prime,130₹,63,2
Mumbai,PvrXperiaPalavaDombivaliE,Marathi,10:00,Recliner,230₹,6,2
Pune,CinepolisWestendMallAundh,Marathi,10:00,Normal,280₹,23,0
Pune,CinepolisWestendMallAundh,Marathi,10:00,Executive,280₹,55,0
Pune,CinepolisWestendMallAundh,Marathi,10:00,Premium,280₹,47,9
NaviMumbai,PvrOrionPanvel,Marathi,10:00,Classic,110₹,20,0
NaviMumbai,PvrOrionPanvel,Marathi,10:00,Prime,140₹,98,25
NaviMumbai,PvrOrionPanvel,Marathi,10:00,PrimePlus,180₹,27,2
Thane,CinepolisVivianaMallThaneW,Marathi,10:00,Normal,180₹,25,0
Thane,CinepolisVivianaMallThaneW,Marathi,10:00,Executive,180₹,97,3
Thane,CinepolisVivianaMallThaneW,Marathi,10:00,Premium,180₹,43,20
Baramati,CarnivalCinemasSubhadraMallBaramati,Marathi,12:00,Silver,170₹,42,0
Baramati,CarnivalCinemasSubhadraMallBaramati,Marathi,12:00,Gold,170₹,128,4
Baramati,CarnivalCinemasSubhadraMallBaramati,Marathi,12:00,Sofa,200₹,17,0
Vita,SuriyaNovaCinemas,Marathi,12:00,Gold,200₹,100,0
Vita,SuriyaNovaCinemas,Marathi,12:00,Silver,160₹,100,0
Pune,GunjanCinemaNhavare,Marathi,12:00,Gold,100₹,40,0
Pune,GunjanCinemaNhavare,Marathi,12:00,Silver,100₹,34,16
Loni,NathgangaCinemaLoni,Marathi,12:00,DlxPush,150₹,27,3
Loni,NathgangaCinemaLoni,Marathi,12:00,Push,100₹,88,0
Pune,CarnivalPremierPlazaChinchwad,Marathi,12:15,GoldOffline,120₹,80,12
