City,Name,ZIP,Language,Time,Type,Price,Capacity,Booked
Ahmedabad,ConnplexSmartScienceCity,380060,Hindi,08:00,Miller,120₹,38,0
Ahmedabad,ConnplexSmartScienceCity,380060,Hindi,08:00,Lounger,120₹,9,0
Agra,ShreeTalkiesDolbyAtmos,282002,Hindi,08:00,Box,230₹,12,0
Agra,ShreeTalkiesDolbyAtmos,282002,Hindi,08:00,Premium,185₹,24,0
Agra,ShreeTalkiesDolbyAtmos,282002,Hindi,08:00,Gold,150₹,240,0
Agra,ShreeTalkiesDolbyAtmos,282002,Hindi,08:00,SilverPlus,110₹,24,0
Agra,ShreeTalkiesDolbyAtmos,282002,Hindi,08:00,Silver,100₹,450,0
Agra,ShreeTalkiesDolbyAtmos,282002,Hindi,08:00,Dc,40₹,110,0
Pune,PvrCityOneMallPimpri,411018,Hindi,08:10,Classic,90₹,40,40
Pune,PvrCityOneMallPimpri,411018,Hindi,08:10,Prime,90₹,125,125
Pune,PvrCityOneMallPimpri,411018,Hindi,08:10,Recliner,150₹,12,12
Vadodara,PvrDeepVadodara,390008,Hindi,08:30,PrimePlus,100₹,113,18
Vadodara,PvrDeepVadodara,390008,Hindi,08:30,Classic,90₹,72,0
Vadodara,PvrDeepVadodara,390008,Hindi,08:30,Prime,90₹,78,0
Kanpur,JugulPalaceCinemaKrishnaNagar,208010,Hindi,08:30,Balcony,110₹,20,0
Sawantwadi,AryaNovaCinemaz,416510,Hindi,08:45,Vip,200₹,11,0
Sawantwadi,AryaNovaCinemaz,416510,Hindi,08:45,Gold,170₹,72,0
Sawantwadi,AryaNovaCinemaz,416510,Hindi,08:45,Silver,150₹,60,0
Mumbai,PvrLuxeMarketcityKurlaMumbai,400072,Hindi,08:45,GoldPremium,300₹,24,24
Mumbai,PvrLuxeMarketcityKurlaMumbai,400072,Hindi,08:45,GoldStar,250₹,36,36
NewDelhi,PvrVikaspuri,110018,Hindi,08:50,Classic,100₹,44,0
NewDelhi,PvrVikaspuri,110018,Hindi,08:50,ClassicPlus,110₹,105,2
NewDelhi,PvrVikaspuri,110018,Hindi,08:50,Prime,120₹,44,7
Ludhiana,CarnivalNirmalLudhiana,141014,Hindi,09:00,Gold,170₹,134,20
Ludhiana,CarnivalNirmalLudhiana,141014,Hindi,09:00,Recliner,270₹,18,10
Ludhiana,CarnivalNirmalLudhiana,141014,Hindi,09:00,Silver,170₹,34,0
Saharanpur,MirajCinemaSaharanpurUttarPradesh,247001,Hindi,09:00,Special,150₹,128,0
Saharanpur,MirajCinemaSaharanpurUttarPradesh,247001,Hindi,09:00,Executive,160₹,161,0
Mumbai,MirajVCinemasDombivali,421201,Hindi,09:00,Silver,90₹,26,0
Mumbai,MirajVCinemasDombivali,421201,Hindi,09:00,Gold,110₹,116,0
Mumbai,MovieTimeChembur,400074,Hindi,09:00,Silver,140₹,127,0
Mumbai,MovieTimeChembur,400074,Hindi,09:00,Gold,140₹,16,0
Muzaffarnagar,CarnivalAsjGrandPlazaMallBhopaRoad,251001,Hindi,09:00,Club,220₹,129,0
Muzaffarnagar,CarnivalAsjGrandPlazaMallBhopaRoad,251001,Hindi,09:00,Premium,190₹,90,0
Guwahati,PvrCityCentreGuwahati,781005,Hindi,09:00,Classic,130₹,40,0
Guwahati,PvrCityCentreGuwahati,781005,Hindi,09:00,Prime,150₹,82,14
Guwahati,PvrCityCentreGuwahati,781005,Hindi,09:00,PrimePlus,200₹,13,0
Rohtak,InoxSkytechMallRohtak,124001,Hindi,09:00,Club,140₹,74,0
Rohtak,InoxSkytechMallRohtak,124001,Hindi,09:00,Executive,110₹,41,0
Rohtak,InoxSkytechMallRohtak,124001,Hindi,09:00,Royale,160₹,34,0
Gorakhpur,InoxCityMallGorakhpur,273009,Hindi,09:00,Club,210₹,199,0
Gorakhpur,InoxCityMallGorakhpur,273009,Hindi,09:00,Executive,180₹,90,0
Gorakhpur,InoxCityMallGorakhpur,273009,Hindi,09:00,RoyalRecliner,400₹,9,0
Azamgarh,MurliDdPlexPaharpur,276001,Hindi,09:00,Diamond,200₹,26,0
Azamgarh,MurliDdPlexPaharpur,276001,Hindi,09:00,Gold,150₹,196,0
Bokaro,PvrBokaro,827003,Hindi,09:00,Classic,120₹,84,0
Bokaro,PvrBokaro,827003,Hindi,09:00,Prime,140₹,109,13
Gurgaon,InoxAiplJoyStreetGurgaon,122018,Hindi,09:00,Club,130₹,160,0
Gurgaon,InoxAiplJoyStreetGurgaon,122018,Hindi,09:00,Executive,110₹,36,0
Gurgaon,InoxAiplJoyStreetGurgaon,122018,Hindi,09:00,RoyaleRecliner,200₹,15,0
Gurgaon,InoxAiplJoyStreetGurgaon,122018,Hindi,09:00,Royale,130₹,78,2
Surat,CineverseCinemaVesuSurat,395007,Hindi,09:00,Sofa,150₹,55,0
Surat,CineverseCinemaVesuSurat,395007,Hindi,09:00,Recliner,150₹,8,0
Kolkata,PvrAvaniRiverSideMall,711102,Hindi,09:00,Classic,112₹,183,0
Kolkata,PvrAvaniRiverSideMall,711102,Hindi,09:00,Prime,150₹,6,0
Guwahati,InoxAurusGuwahati,781006,Hindi,09:00,Insignia,300₹,38,0
Ahmedabad,ConnplexSmartScienceCity,380060,Hindi,09:00,Miller,120₹,38,0
Ahmedabad,ConnplexSmartScienceCity,380060,Hindi,09:00,Lounger,120₹,9,0
Ahmedabad,ConnplexSmartMiniplexTimesSquareArcade,380058,Hindi,09:00,Miller,150₹,49,0
Ahmedabad,ConnplexSmartMiniplexTimesSquareArcade,380058,Hindi,09:00,Lounger,120₹,8,0
Ahmedabad,ConnplexSmartMiniplexTimesSquareArcade,380058,Hindi,09:00,Miller,150₹,49,0
Ahmedabad,ConnplexSmartMiniplexTimesSquareArcade,380058,Hindi,09:00,Lounger,150₹,8,0
Deoghar,EylexDeoghar,814112,Hindi,09:00,Diamond,75₹,64,0
Deoghar,EylexDeoghar,814112,Hindi,09:00,Gold,75₹,51,0
Deoghar,EylexDeoghar,814112,Hindi,09:00,Platinum,75₹,51,0
Deoghar,EylexDeoghar,814112,Hindi,09:00,Silver,75₹,34,0
Nagpur,PvrEmpressCityMallNagpur,440017,Hindi,09:00,Classic,70₹,26,3
Nagpur,PvrEmpressCityMallNagpur,440017,Hindi,09:00,Prime,100₹,95,13
Mumbai,MovieMaxMiraRoadMumbai,401107,Hindi,09:00,Recliner,250₹,16,0
Mumbai,MovieMaxMiraRoadMumbai,401107,Hindi,09:00,PrimePlus,150₹,10,0
Mumbai,MovieMaxMiraRoadMumbai,401107,Hindi,09:00,Classic,130₹,40,0
Mumbai,MovieMaxMiraRoadMumbai,401107,Hindi,09:00,Prime,140₹,233,0
Hisar,MirajCinemasHisar,125001,Hindi,09:00,Special,140₹,135,0
Hisar,MirajCinemasHisar,125001,Hindi,09:00,Executive,160₹,44,0
NewDelhi,InoxErosOneJangpuraExtn,110014,Hindi,09:00,Insignia,463₹,23,2
NewDelhi,InoxErosOneJangpuraExtn,110014,Hindi,09:00,Premium,168₹,294,0
Meerut,InoxPvsMallShastriNagar,250001,Hindi,09:00,Cl,112₹,112,0
Meerut,InoxPvsMallShastriNagar,250001,Hindi,09:00,Ex,112₹,40,0
Meerut,InoxPvsMallShastriNagar,250001,Hindi,09:00,Rr,190₹,15,0
Meerut,InoxPvsMallShastriNagar,250001,Hindi,09:00,Ry,112₹,28,0
Faridabad,InoxCrownInteriorzMallDelhiMathuraRoad,121003,Hindi,09:00,Club,140₹,178,1
Faridabad,InoxCrownInteriorzMallDelhiMathuraRoad,121003,Hindi,09:00,Executive,140₹,48,0
Ghaziabad,MirajCinemasWsmGhaziabad,201007,Hindi,09:00,Gold,110₹,9,2
Ghaziabad,MirajCinemasWsmGhaziabad,201007,Hindi,09:00,Platinum,110₹,153,0
Ghaziabad,MirajCinemasWsmGhaziabad,201007,Hindi,09:00,Executive,110₹,128,0
Surat,CinepolisImperialSquareMallAdajan,395009,Hindi,09:00,Normal,110₹,29,0
Surat,CinepolisImperialSquareMallAdajan,395009,Hindi,09:00,Executive,110₹,204,0
Surat,CinepolisImperialSquareMallAdajan,395009,Hindi,09:00,Premium,110₹,40,0
Dehradun,PvrPacificMallDehradun,248001,Hindi,09:00,Prime,140₹,122,2
Dehradun,PvrPacificMallDehradun,248001,Hindi,09:00,PrimePlus,240₹,11,0
Dehradun,PvrPacificMallDehradun,248001,Hindi,09:00,Recliner,350₹,11,0
Dehradun,PvrPacificMallDehradun,248001,Hindi,09:00,Classic,112₹,26,0
Mumbai,InoxMegaplexInorbitMall,400064,Hindi,09:00,Executive,112₹,32,0
Mumbai,InoxMegaplexInorbitMall,400064,Hindi,09:00,Premiere,112₹,125,0
Mumbai,InoxMegaplexInorbitMall,400064,Hindi,09:00,Silver,130₹,76,4
Almora,HeritageCinemasAlmora,263601,Hindi,09:00,VipBox,250₹,4,0
Almora,HeritageCinemasAlmora,263601,Hindi,09:00,Platinum,180₹,60,0
Almora,HeritageCinemasAlmora,263601,Hindi,09:00,Gold,150₹,121,0
Almora,HeritageCinemasAlmora,263601,Hindi,09:00,Silver,130₹,51,0
Ghaziabad,JamMultiplexShipraMallNowInox,201014,Hindi,09:00,Classic,112₹,120,0
Ghaziabad,JamMultiplexShipraMallNowInox,201014,Hindi,09:00,Executive,140₹,178,0
Mumbai,CinepolisNexusSeawoodsNaviMumbai,400706,Hindi,09:00,Normal,180₹,30,2
Mumbai,CinepolisNexusSeawoodsNaviMumbai,400706,Hindi,09:00,Executive,200₹,86,9
Mumbai,CinepolisNexusSeawoodsNaviMumbai,400706,Hindi,09:00,Premium,220₹,76,9
Mumbai,CinepolisNexusSeawoodsNaviMumbai,400706,Hindi,09:00,Vip,350₹,14,0
Raipur,PvrCityCenterRaipur,492001,Hindi,09:00,Recliner,260₹,12,0
Raipur,PvrCityCenterRaipur,492001,Hindi,09:00,Prime,90₹,140,20
Raipur,PvrCityCenterRaipur,492001,Hindi,09:00,Classic,80₹,24,0
Katni,CineworldzCinema,483501,Hindi,09:00,Recliner,200₹,10,0
Katni,CineworldzCinema,483501,Hindi,09:00,Platinum,170₹,62,0
Katni,CineworldzCinema,483501,Hindi,09:00,Gold,140₹,96,0
Katni,CineworldzCinema,483501,Hindi,09:00,Silver,110₹,64,0
Bhubaneswar,InoxBmcBhawaniMallShahidNagar,751007,Hindi,09:00,Club,112₹,126,0
Bhubaneswar,InoxBmcBhawaniMallShahidNagar,751007,Hindi,09:00,Executive,112₹,42,0
Bhubaneswar,InoxBmcBhawaniMallShahidNagar,751007,Hindi,09:00,Royale,112₹,36,4
Jalandhar,PvrFriendsJalandhar,144001,Hindi,09:00,Classic,130₹,70,0
Jalandhar,PvrFriendsJalandhar,144001,Hindi,09:00,Prime,150₹,80,22
Jalandhar,PvrFriendsJalandhar,144001,Hindi,09:00,Recliner,270₹,14,1
Ulhasnagar,MirajAshokAnilMultiplexUlhasnagar,421003,Hindi,09:00,Gold,110₹,125,0
Ghaziabad,MirajCinemasM4URajendraNagar,201006,Hindi,09:00,Executive,100₹,134,0
Ghaziabad,MirajCinemasM4URajendraNagar,201006,Hindi,09:00,Special,100₹,60,0
Mumbai,InoxThakurMallDahisarE,400068,Hindi,09:00,Executive,112₹,69,0
Mumbai,InoxThakurMallDahisarE,400068,Hindi,09:00,Gold,200₹,30,0
Mumbai,InoxThakurMallDahisarE,400068,Hindi,09:00,Premier,112₹,272,12
Moga,OrbitMultiplexZiraRoad,142001,Hindi,09:00,Recliner,300₹,6,0
Moga,OrbitMultiplexZiraRoad,142001,Hindi,09:00,Gold,160₹,231,12
Saharanpur,RollingReelsDolbyAtmosSaharanpur,247001,Hindi,09:00,Classic,170₹,81,0
Saharanpur,RollingReelsDolbyAtmosSaharanpur,247001,Hindi,09:00,Executive,170₹,171,29
Saharanpur,RollingReelsDolbyAtmosSaharanpur,247001,Hindi,09:00,Gold,300₹,24,10
Siliguri,CarnivalCinemaSiliguri,734003,Hindi,09:00,Special,180₹,44,0
Siliguri,CarnivalCinemaSiliguri,734003,Hindi,09:00,Executive,180₹,167,0
Siliguri,CarnivalCinemaSiliguri,734003,Hindi,09:00,Gold,230₹,15,1
Kanpur,PvrDeepKanpur,208014,Hindi,09:00,Classic,112₹,116,0
Kanpur,PvrDeepKanpur,208014,Hindi,09:00,Prime,112₹,69,20
Varanasi,ChhotuMaharajVaranasi,221003,Hindi,09:00,Cl,200₹,76,0
Varanasi,ChhotuMaharajVaranasi,221003,Hindi,09:00,Pr,200₹,24,0
GreaterNoida,PvrAnsalPlazaGreaterNoida,201310,Hindi,09:00,Classic,99₹,228,0
GreaterNoida,PvrAnsalPlazaGreaterNoida,201310,Hindi,09:00,Prime,99₹,55,0
Ghaziabad,PvrMahagunVaishali,201010,Hindi,09:00,Classic,112₹,253,2
Ghaziabad,PvrMahagunVaishali,201010,Hindi,09:00,Recliner,200₹,10,0
Gurgaon,InoxGurgaonSapphire83,122004,Hindi,09:00,Club,140₹,45,0
Gurgaon,InoxGurgaonSapphire83,122004,Hindi,09:00,RoyalRecliner,230₹,8,0
Gurgaon,InoxGurgaonSapphire83,122004,Hindi,09:00,Royal,140₹,106,0
NewDelhi,PvrSelectCityWalkSaket,110017,Hindi,09:00,ClassicNormal,200₹,252,0
