City,Name,ZIP,Language,Time,Type,Price,Capacity,Booked
Surat,CinepolisImperialSquareMallAdajan,395009,Hindi,09:00,Premium,100₹,42,0
Surat,CinepolisImperialSquareMallAdajan,395009,Hindi,09:00,Normal,100₹,29,0
Surat,CinepolisImperialSquareMallAdajan,395009,Hindi,09:00,Executive,100₹,92,0
Ahmedabad,MirajCityPulseManiNagar,380001,Hindi,09:00,Gold,100₹,24,0
Noida,PvrLogixCityCentreNoida,201301,Hindi,09:00,Classic,145₹,78,2
Allahabad,PvrVinayakPrayagraj,211003,Hindi,09:00,Classic,99₹,161,161
Allahabad,PvrVinayakPrayagraj,211003,Hindi,09:00,Prime,99₹,121,121
Allahabad,PvrVinayakPrayagraj,211003,Hindi,09:00,Recliner,149₹,9,9
Allahabad,PvrVinayakPrayagraj,211003,Hindi,09:00,Classic,99₹,58,58
Allahabad,PvrVinayakPrayagraj,211003,Hindi,09:00,Prime,99₹,72,72
Allahabad,PvrVinayakPrayagraj,211003,Hindi,09:00,Recliner,149₹,9,9
Thane,CinepolisVivianaMallThaneW,400606,Hindi,09:20,Normal,150₹,31,0
Thane,CinepolisVivianaMallThaneW,400606,Hindi,09:20,Executive,150₹,104,0
Thane,CinepolisVivianaMallThaneW,400606,Hindi,09:20,Premium,150₹,52,26
Gurgaon,CarnivalRahejaMallGurgaon,122001,Hindi,09:30,Classic,100₹,78,0
Gurgaon,CarnivalRahejaMallGurgaon,122001,Hindi,09:30,PremiumOffline,100₹,32,0
Gurgaon,CarnivalRahejaMallGurgaon,122001,Hindi,09:30,Standard,100₹,37,0
Mumbai,InoxRCityGhatkoparW,400086,Hindi,09:30,Club,112₹,111,0
Mumbai,InoxRCityGhatkoparW,400086,Hindi,09:30,Executive,112₹,53,0
Mumbai,InoxRCityGhatkoparW,400086,Hindi,09:30,RoyalRecliner,200₹,12,2
Mumbai,InoxRCityGhatkoparW,400086,Hindi,09:30,Royal,112₹,51,2
Ghaziabad,WaveCinemasGaurCentralMallRdc,201002,Hindi,09:45,Classic,110₹,198,0
Haridwar,WavePentagonMallSidcul,249403,Hindi,09:45,Classic,130₹,114,0
Ahmedabad,PvrAcropolisMallThaltej,380059,Hinglish,09:45,PrimePlus,150₹,66,15
Ahmedabad,PvrAcropolisMallThaltej,380059,Hinglish,09:45,Prime,100₹,65,0
