State,City,Name,Language,Time(IST),Type,Price,Capacity,Booked
Maharashtra,Mumbai,PvrIconOberoiGoregaonE,Hindi,18:15,Classic,112₹,45,0
Maharashtra,Mumbai,PvrIconOberoiGoregaonE,Hindi,18:15,Prime,112₹,147,34
Maharashtra,Mumbai,PvrIconOberoiGoregaonE,Hindi,18:15,Recliner,200₹,34,3
Karnataka,Bengaluru,InoxGarudaMallMagrathRoad,Hindi,18:15,Club,112₹,60,3
Karnataka,Bengaluru,InoxGarudaMallMagrathRoad,Hindi,18:15,Executive,112₹,90,0
Karnataka,Bengaluru,InoxGarudaMallMagrathRoad,Hindi,18:15,RoyaleRecliners,200₹,9,3
TamilNadu,Chennai,PvrHeritageRslEcrChennai,Tamil,18:40,Classic,60₹,15,15
TamilNadu,Chennai,PvrHeritageRslEcrChennai,Tamil,18:40,Prime,149₹,119,12
Kerala,Trivandrum,PvrLuluThiruvananthapuram,Malayalam,18:45,Classic,170₹,60,0
Kerala,Trivandrum,PvrLuluThiruvananthapuram,Malayalam,18:45,Prime,190₹,39,17
Kerala,Trivandrum,PvrLuluThiruvananthapuram,Malayalam,18:45,Recliner,350₹,8,0
TamilNadu,Chennai,SpiEscapeCinemasRoyapettah,Tamil,18:45,Elite,149₹,99,25
TamilNadu,Chennai,SpiEscapeCinemasRoyapettah,Tamil,18:45,Budget,60₹,11,11
WestBengal,Kolkata,PvrManiSquareMallEmBypassRoad,Hindi,19:00,Classic,112₹,48,0
WestBengal,Kolkata,PvrManiSquareMallEmBypassRoad,Hindi,19:00,Prime,112₹,94,6
WestBengal,Kolkata,PvrManiSquareMallEmBypassRoad,Hindi,19:00,Recliner,199₹,7,7
Maharashtra,Pune,InoxAmanoraTownCentreHadapsar,Hindi,19:00,Club,112₹,109,10
Maharashtra,Pune,InoxAmanoraTownCentreHadapsar,Hindi,19:00,Executive,112₹,21,0
Maharashtra,Pune,InoxAmanoraTownCentreHadapsar,Hindi,19:00,Royale,190₹,3,2
Haryana,Gurgaon,InoxWorldMarkGurugram,Hindi,19:05,Club,112₹,65,0
Haryana,Gurgaon,InoxWorldMarkGurugram,Hindi,19:05,Executive,112₹,26,0
Haryana,Gurgaon,InoxWorldMarkGurugram,Hindi,19:05,RoyalRecliner,200₹,10,10
Haryana,Gurgaon,InoxWorldMarkGurugram,Hindi,19:05,Royal,112₹,51,0
UttarPradesh,Lucknow,InoxMegaplexPhoenixPalassioMallLucknow,Hindi,19:05,Club,112₹,54,1
UttarPradesh,Lucknow,InoxMegaplexPhoenixPalassioMallLucknow,Hindi,19:05,Executive,112₹,20,0
UttarPradesh,Lucknow,InoxMegaplexPhoenixPalassioMallLucknow,Hindi,19:05,Royale,112₹,49,0
Gujarat,Surat,PvrRahulRajMallDumasRoad,Hindi,19:15,Recliner,200₹,24,5
Gujarat,Surat,PvrRahulRajMallDumasRoad,Hindi,19:15,Prime,112₹,72,16
Gujarat,Surat,PvrRahulRajMallDumasRoad,Hindi,19:15,ClassicPlus,112₹,30,0
Gujarat,Surat,PvrRahulRajMallDumasRoad,Hindi,19:15,Classic,112₹,30,0
Delhi,NewDelhi,PvrPacificSubhashNagarDelhi,Hindi,19:15,Classic,250₹,36,1
Delhi,NewDelhi,PvrPacificSubhashNagarDelhi,Hindi,19:15,Prime,300₹,90,4
Delhi,NewDelhi,PvrPacificSubhashNagarDelhi,Hindi,19:15,PrimePlus,300₹,21,3
Delhi,NewDelhi,PvrPacificSubhashNagarDelhi,Hindi,19:15,Recliner,450₹,15,0
Maharashtra,Mumbai,InoxMegaplexInorbitMall,Hindi,19:15,Insignia,300₹,34,1
Maharashtra,Mumbai,InoxLaserplexCr2NarimanPoint,Hindi,19:15,Club,112₹,128,0
Maharashtra,Mumbai,InoxLaserplexCr2NarimanPoint,Hindi,19:15,Royale,112₹,100,4
Assam,Guwahati,PvrCityCentreGuwahati,Hindi,19:25,Classic,112₹,40,0
Assam,Guwahati,PvrCityCentreGuwahati,Hindi,19:25,Prime,112₹,82,17
Assam,Guwahati,PvrCityCentreGuwahati,Hindi,19:25,PrimePlus,112₹,13,5
Delhi,NewDelhi,PvrVegasDwarka,Hindi,22:40,Prime,150₹,15,2
Delhi,NewDelhi,PvrVegasDwarka,Hindi,22:40,Classic,150₹,105,7
