City,Name,ZIP,Language,Time,Type,Price,Capacity,Booked
Anantapur,SvCinemax4KDolbyAtmos,515001,Telugu,09:10,Boxs,148₹,48,0
Anantapur,SvCinemax4KDolbyAtmos,515001,Telugu,09:10,Diamond,148₹,316,162
Anantapur,SvCinemax4KDolbyAtmos,515001,Telugu,09:10,Gold,148₹,168,168
Anantapur,SvCinemax4KDolbyAtmos,515001,Telugu,09:10,Silver,112₹,98,0
Hyderabad,InoxGvkOneBanjaraHills,500034,Telugu,11:20,Executive,150₹,158,4
Hyderabad,InoxGvkOneBanjaraHills,500034,Telugu,11:20,Royal,250₹,10,0
Vijayawada,SailajaTheater2KDolby71Vijayawada,520003,Telugu,11:30,Diamond,112₹,468,321
Vijayawada,SailajaTheater2KDolby71Vijayawada,520003,Telugu,11:30,Gold,100₹,590,341
Vijayawada,SailajaTheater2KDolby71Vijayawada,520003,Telugu,11:30,Silver,78₹,322,138
Vizag,InoxVarunBeachMaharanipet,530003,Telugu,11:35,Excutive,177₹,130,26
Kurnool,VMegaAnandCineComplexKurnool,518004,Telugu,13:00,Platinum,148₹,10,0
Kurnool,VMegaAnandCineComplexKurnool,518004,Telugu,13:00,Gold,148₹,152,16
Kurnool,VMegaAnandCineComplexKurnool,518004,Telugu,13:00,Executive,112₹,48,0
Hyderabad,PvrNextGalleriaMallPanjagutta,500082,Telugu,13:25,Classic,200₹,145,10
Vijayawada,CapitalCinemasTrendsetMallKalaNagar,520010,Telugu,13:45,Gold,295₹,34,20
Vijayawada,CapitalCinemasTrendsetMallKalaNagar,520010,Telugu,13:45,Executive,177₹,514,282
Vizag,InoxCmrCentralMaddilapalem,530013,Telugu,14:15,Executive,177₹,151,33
Vijayawada,PvrRipplesMallVijaywada,520010,Telugu,14:15,Classic,177₹,167,41
Vijayawada,PvrRipplesMallVijaywada,520010,Telugu,14:15,Recliner,295₹,13,0
Kakinada,InoxSrmtMallRamanayyapeta,533005,Telugu,14:31,Executive,112₹,131,77
Adoni,VMegaDwarakaCineComplexAdoni,518301,Telugu,14:32,Gold,110₹,142,0
Adoni,VMegaDwarakaCineComplexAdoni,518301,Telugu,14:32,Executive,90₹,66,0
Hyderabad,InoxMaheshwariParmeshwariMallKachiguda,500027,Telugu,16:20,Executive,150₹,149,0
Vijayawada,InoxLeplIconPatamata,520010,Telugu,16:40,Club,177₹,200,25
Vijayawada,InoxLeplIconPatamata,520010,Telugu,16:40,Royal,295₹,7,0
Kurnool,InoxJyotiMallKurnool,518001,Telugu,16:41,Executive,177₹,226,15
Hyderabad,PvrKukatpally,500072,Telugu,16:55,Classic,200₹,135,30
Hyderabad,PvrKukatpally,500072,Telugu,16:55,Recliner,350₹,9,0
Guntur,PvrTheCinemaGuntur,522001,Telugu,16:55,Premium,295₹,13,0
Guntur,PvrTheCinemaGuntur,522001,Telugu,16:55,Deluxe,177₹,146,0
Vijayawada,CinepolisPvpSquareVijayawada,520010,Telugu,17:00,Normal,177₹,224,84
Hyderabad,MirajShaliniShivaniCinemasKothapet,500036,Telugu,17:30,Executive,200₹,94,0
Vijayawada,SailajaTheater2KDolby71Vijayawada,520003,Telugu,18:30,Diamond,112₹,234,70
Vijayawada,SailajaTheater2KDolby71Vijayawada,520003,Telugu,18:30,Gold,100₹,272,69
Vijayawada,SailajaTheater2KDolby71Vijayawada,520003,Telugu,18:30,Silver,78₹,184,46
Vijayawada,CinepolisPowerOneMallBunderRoad,520007,Telugu,19:25,Premium,147₹,72,55
Vijayawada,CinepolisPowerOneMallBunderRoad,520007,Telugu,19:25,Executive,147₹,62,0
Vijayawada,CinepolisPowerOneMallBunderRoad,520007,Telugu,19:25,Normal,147₹,28,0
Guntur,VCelluloidPlatenoCinemasVidyanagar,522007,Telugu,19:30,GoldClass,175₹,146,0
Warangal,PvrMaddoxWarangal,506001,Telugu,22:30,Classic,200₹,97,0
