State,City,Name,Language,Time(IST),Type,Price,Capacity,Booked
Karnataka,Bengaluru,PvrVrWhitefieldRoad,Telugu,09:05,Classic,220₹,121,35
Karnataka,Bengaluru,PvrVrWhitefieldRoad,Telugu,09:05,Prime,240₹,17,12
Karnataka,Bengaluru,PvrVrWhitefieldRoad,Telugu,09:05,Recliner,410₹,14,12
Karnataka,Mysuru,PvrGarudaMallAlbertVictorRoad,Telugu,09:10,Classic,140₹,102,2
Karnataka,Bengaluru,PvrOrionUptownOldMadrasRoadBengaluru,Telugu,09:20,Classic,170₹,128,15
Karnataka,Bengaluru,PvrOrionMallDrRajkumarRoad,Telugu,09:20,Classic,160₹,108,5
Karnataka,Bengaluru,PvrOrionMallDrRajkumarRoad,Telugu,09:20,Prime,200₹,108,2
Karnataka,Bengaluru,PvrOrionMallDrRajkumarRoad,Telugu,09:20,Recliner,360₹,14,5
Karnataka,Bengaluru,InoxNexusWhitefield,Telugu,09:20,Insignia,450₹,43,14
Karnataka,Bengaluru,PvrGoldNexusFormerlyForumKoramangala,Telugu,09:25,Gold,600₹,20,2
Karnataka,Bengaluru,PvrGoldNexusFormerlyForumKoramangala,Telugu,09:25,GoldPrime,650₹,8,2
Karnataka,Bengaluru,PvrBhartiyaMallOfBengaluru,Telugu,09:40,Classic,160₹,88,3
Karnataka,Bengaluru,PvrBhartiyaMallOfBengaluru,Telugu,09:40,Prime,200₹,84,17
Karnataka,Bengaluru,PvrBhartiyaMallOfBengaluru,Telugu,09:40,Recliner,360₹,15,2
TamilNadu,Chennai,InoxPhoenixMarketCityVelacheryFormerlyJazzCinemas,Telugu,09:45,Budget,63₹,16,16
TamilNadu,Chennai,InoxPhoenixMarketCityVelacheryFormerlyJazzCinemas,Telugu,09:45,Elite,202₹,136,76
Karnataka,Bengaluru,CinepolisRoyalMeenakshiMallBannerghattaRoad,Telugu,09:55,Normal,180₹,28,0
Karnataka,Bengaluru,CinepolisRoyalMeenakshiMallBannerghattaRoad,Telugu,09:55,Executive,200₹,76,10
Karnataka,Bengaluru,CinepolisRoyalMeenakshiMallBannerghattaRoad,Telugu,09:55,Premium,220₹,33,11
AndhraPradesh,Kurnool,SvcCinemasCitySquareMall,Telugu,10:00,Platinum,295₹,19,2
AndhraPradesh,Kurnool,SvcCinemasCitySquareMall,Telugu,10:00,Gold,177₹,220,36
AndhraPradesh,Kurnool,SvcCinemasCitySquareMall,Telugu,10:00,Loungers,177₹,17,0
AndhraPradesh,Vizianagaram,SvcRanjaniAndShivaranjaniJonnaguddiArea,Telugu,10:00,Gold,177₹,189,11
AndhraPradesh,Vizianagaram,SvcRanjaniAndShivaranjaniJonnaguddiArea,Telugu,10:00,Silver,112₹,62,2
Telangana,Hyderabad,InoxGvkOneBanjaraHills,Telugu,10:05,Executive,200₹,175,76
Telangana,Hyderabad,InoxGvkOneBanjaraHills,Telugu,10:05,Royal,300₹,10,10
AndhraPradesh,Vijayawada,InoxLeplIconPatamata,Telugu,10:05,Club,177₹,284,30
AndhraPradesh,Vijayawada,InoxLeplIconPatamata,Telugu,10:05,Royal,295₹,13,12
AndhraPradesh,Vizag,StblCineWorldMadhurawada,Telugu,10:10,Recliners,250₹,13,12
AndhraPradesh,Vizag,StblCineWorldMadhurawada,Telugu,10:10,Premium,145₹,330,64
AndhraPradesh,Vizag,StblCineWorldMadhurawada,Telugu,10:10,Executive,100₹,97,28
Karnataka,Bengaluru,PvrVegaBannerghattaRoad,Telugu,10:20,Classic,240₹,110,47
Karnataka,Bengaluru,CinepolisNexusShantiniketanThigalarapalya,Telugu,10:20,Vip,600₹,10,2
Karnataka,Bengaluru,CinepolisNexusShantiniketanThigalarapalya,Telugu,10:20,Premium,240₹,63,52
Karnataka,Bengaluru,CinepolisNexusShantiniketanThigalarapalya,Telugu,10:20,Executive,220₹,24,8
Karnataka,Bengaluru,CinepolisNexusShantiniketanThigalarapalya,Telugu,10:20,Normal,200₹,24,0
Telangana,Hyderabad,PvrNextGalleriaMallPanjagutta,Telugu,10:20,Classic,200₹,170,117
AndhraPradesh,Vizag,InoxCmrCentralGajuwaka,Telugu,10:25,Executive,177₹,209,59
Karnataka,Bengaluru,CinepolisLuluGlobalMall,Telugu,10:30,Normal,160₹,39,0
Karnataka,Bengaluru,CinepolisLuluGlobalMall,Telugu,10:30,Executive,180₹,169,12
Karnataka,Bengaluru,CinepolisLuluGlobalMall,Telugu,10:30,Premium,200₹,69,34
