City,Name,ZIP,Language,Time,Type,Price,Capacity,Booked
Nakodar,KcAnandMiniplexNakodar,144040,Punjabi,09:00,Gold,170₹,100,0
Nakodar,KcAnandMiniplexNakodar,144040,Punjabi,09:00,Silver,170₹,100,0
Jammu,WaveOneMoviesJammu,180015,Punjabi,09:00,Executive,300₹,57,0
Jammu,WaveOneMoviesJammu,180015,Punjabi,09:00,Premium,300₹,99,0
Jammu,WaveOneMoviesJammu,180015,Punjabi,09:00,Classic,300₹,48,0
NewDelhi,PvrVegasDwarka,110078,Punjabi,09:00,Prime,400₹,38,0
NewDelhi,PvrVegasDwarka,110078,Punjabi,09:00,Classic,350₹,112,0
Amritsar,PvrSctCityCentre,143001,Punjabi,09:00,Classic,140₹,150,0
Amritsar,PvrSctCityCentre,143001,Punjabi,09:00,Prime,150₹,41,0
Amritsar,PvrSctCityCentre,143001,Punjabi,09:00,Recliner,330₹,6,2
Mansa,DreamRealityCinemasGrandMall,151505,Punjabi,09:00,Recliner,370₹,14,0
Mansa,DreamRealityCinemasGrandMall,151505,Punjabi,09:00,Platinum,250₹,72,0
Mansa,DreamRealityCinemasGrandMall,151505,Punjabi,09:00,Gold,230₹,68,0
Mansa,DreamRealityCinemasGrandMall,151505,Punjabi,09:00,Silver,200₹,56,0
Mansa,DreamRealityCinemasGrandMall,151505,Punjabi,09:00,Normal,170₹,42,0
Ludhiana,PvrSilverArcMallGurdevNagar,141001,Punjabi,09:00,Prime,230₹,15,0
Ludhiana,PvrSilverArcMallGurdevNagar,141001,Punjabi,09:00,Classic,180₹,106,0
Zirakpur,PvrCosmoMallZirakpur,140603,Punjabi,09:05,Classic,112₹,88,0
Zirakpur,PvrCosmoMallZirakpur,140603,Punjabi,09:05,Prime,140₹,100,20
Zirakpur,PvrCosmoMallZirakpur,140603,Punjabi,09:05,Recliner,230₹,11,0
Ludhiana,WaveOneMoviesLudhiana,141001,Punjabi,09:05,Classic,140₹,85,0
Ludhiana,WaveOneMoviesLudhiana,141001,Punjabi,09:05,Premium,160₹,84,8
Dhuri,MirajCinemasDhuri,148024,Punjabi,09:10,Special,160₹,39,0
Dhuri,MirajCinemasDhuri,148024,Punjabi,09:10,Executive,180₹,181,0
Pathankot,MirajCinemasPathankot,145001,Punjabi,09:10,Silver,100₹,64,0
Pathankot,MirajCinemasPathankot,145001,Punjabi,09:10,Gold,200₹,12,2
Rudrapur,WaveRudrapur,263154,Punjabi,09:10,Classic,130₹,141,30
Ludhiana,SolitaireCinemasJmdGovardhanCityCenter,141008,Punjabi,09:15,VipClass,200₹,23,0
Ludhiana,SolitaireCinemasJmdGovardhanCityCenter,141008,Punjabi,09:15,GoldClass,180₹,224,0
Ludhiana,SolitaireCinemasJmdGovardhanCityCenter,141008,Punjabi,09:15,SilverClass,160₹,54,27
Patiala,SrsOmaxeMallMallRoad,147001,Punjabi,09:30,Platinum,200₹,207,7
Patiala,SrsOmaxeMallMallRoad,147001,Punjabi,09:30,Gold,190₹,64,0
Jalandhar,PvrFriendsJalandhar,144001,Punjabi,09:30,Classic,220₹,70,0
Jalandhar,PvrFriendsJalandhar,144001,Punjabi,09:30,Prime,260₹,80,20
Jalandhar,PvrFriendsJalandhar,144001,Punjabi,09:30,Recliner,490₹,14,1
Amritsar,InoxVrAmbarsarCircularRoad,143001,Punjabi,09:30,SkyBox,260₹,34,5
Batala,SolitaireCinemasBatala,143505,Punjabi,09:30,SolitaireClassic,230₹,65,2
Batala,SolitaireCinemasBatala,143505,Punjabi,09:30,Gold,200₹,78,0
Batala,SolitaireCinemasBatala,143505,Punjabi,09:30,Silver,170₹,30,0
Ludhiana,PvrFlamezMallGurudevNagar,141002,Punjabi,09:45,Prime,205₹,38,2
Ludhiana,PvrFlamezMallGurudevNagar,141002,Punjabi,09:45,Classic,170₹,161,2
Mohali,PvrVrPunjabMallMohali,140301,Punjabi,09:50,Classic,210₹,168,2
Mohali,PvrVrPunjabMallMohali,140301,Punjabi,09:50,Prime,240₹,106,2
Ludhiana,PvrSilverArcMallGurdevNagar,141001,Punjabi,09:50,Prime,230₹,15,2
Ludhiana,PvrSilverArcMallGurdevNagar,141001,Punjabi,09:50,Classic,180₹,328,7
Amritsar,CinepolisMallOfAmritsarAmritsar,143001,Punjabi,09:55,Normal,180₹,97,0
Amritsar,CinepolisMallOfAmritsarAmritsar,143001,Punjabi,09:55,Executive,190₹,137,16
Pathankot,PvrNoveltyMallPathankot,145001,Punjabi,10:00,Classic,140₹,110,0
Pathankot,PvrNoveltyMallPathankot,145001,Punjabi,10:00,Prime,160₹,72,0
Pathankot,PvrNoveltyMallPathankot,145001,Punjabi,10:00,PrimePlus,180₹,108,8
Chandigarh,FunCinemasRepublicMallChandigarh,160101,Punjabi,10:00,Normal,100₹,118,0
Chandigarh,FunCinemasRepublicMallChandigarh,160101,Punjabi,10:00,Executive,110₹,142,8
Zirakpur,InoxDhillonPlazaZirakpur,140603,Punjabi,10:00,Club,112₹,109,0
Zirakpur,InoxDhillonPlazaZirakpur,140603,Punjabi,10:00,Executive,100₹,78,0
Zirakpur,InoxDhillonPlazaZirakpur,140603,Punjabi,10:00,RoyalRecliner,230₹,12,4
Zirakpur,InoxDhillonPlazaZirakpur,140603,Punjabi,10:00,Royal,140₹,48,0
Chandigarh,PvrElanteMallChandigarh,178178,Punjabi,10:00,Classic,180₹,284,8
Chandigarh,PvrElanteMallChandigarh,178178,Punjabi,10:00,Recliner,450₹,14,0
Yamunanagar,DimpleCineplexYamunaNagar,135003,Punjabi,10:00,Recliner,200₹,12,8
Yamunanagar,DimpleCineplexYamunaNagar,135003,Punjabi,10:00,Gold,170₹,146,52
Yamunanagar,DimpleCineplexYamunaNagar,135003,Punjabi,10:00,Silver,170₹,72,18
Ambala,FunCinemaGalaxyMallAmbala,134003,Punjabi,10:05,Normal,200₹,81,0
Ambala,FunCinemaGalaxyMallAmbala,134003,Punjabi,10:05,Executive,210₹,214,24
Bathinda,FunCinemaMittalCityMallVishalNagar,151001,Punjabi,10:10,Premium,260₹,174,17
Bathinda,FunCinemaMittalCityMallVishalNagar,151001,Punjabi,10:10,Executive,250₹,120,0
Bathinda,FunCinemaMittalCityMallVishalNagar,151001,Punjabi,10:10,Normal,240₹,80,0
Ludhiana,PvrPavilionMallLudhiana,141002,Punjabi,10:10,Classic,180₹,64,11
Amritsar,CinepolisCelebrationMallAmritsar,143001,Punjabi,10:10,Premium,130₹,22,11
Amritsar,CinepolisCelebrationMallAmritsar,143001,Punjabi,10:10,Executive,130₹,180,4
