State,City,Name,Language,Time(IST),Type,Price,Capacity,Booked
Gujarat,Bhavnagar,MaxusCinemaBhavnagar,Hindi,12:45,Sofa,179₹,38,0
Gujarat,Bhavnagar,MaxusCinemaBhavnagar,Hindi,12:45,PremierPlus,129₹,272,4
Gujarat,Bhavnagar,MaxusCinemaBhavnagar,Hindi,12:45,Premium,129₹,44,0
UttarPradesh,GreaterNoida,UsCinemasEuropaLuxGalaxyBlueSapphire,Hindi,14:25,LuxPlus,210₹,143,0
UttarPradesh,GreaterNoida,UsCinemasEuropaLuxGalaxyBlueSapphire,Hindi,14:25,Lux,180₹,80,0
Orissa,Jharsuguda,EylexCinemaJharsuguda,Hindi,16:45,Dm,150₹,55,0
Orissa,Jharsuguda,EylexCinemaJharsuguda,Hindi,16:45,Pl,150₹,65,0
Jharkhand,Jamshedpur,EylexCinemaZone1Mall,Hindi,16:46,Gl,180₹,57,0
Jharkhand,Jamshedpur,EylexCinemaZone1Mall,Hindi,16:46,L2,230₹,15,0
Jharkhand,Jamshedpur,EylexCinemaZone1Mall,Hindi,16:46,Pl,180₹,208,2
Jharkhand,Jamshedpur,EylexCinemaZone1Mall,Hindi,16:46,Sl,180₹,38,0
MadhyaPradesh,Indore,CineSquareCinemasIndore,Hindi,17:10,Luxury,240₹,5,5
MadhyaPradesh,Indore,CineSquareCinemasIndore,Hindi,17:10,Royal,190₹,104,80
MadhyaPradesh,Indore,CineSquareCinemasIndore,Hindi,17:10,Premium,170₹,26,19
UttarPradesh,Ghaziabad,NewUsCinemasAdityaMall,Hindi,17:45,Luxury,170₹,130,2
UttarPradesh,Ghaziabad,NewUsCinemasAdityaMall,Hindi,17:45,LuxuryPlus,200₹,132,26
Gujarat,Bhavnagar,MaxusCinemaBhavnagar,Hindi,18:15,Sofa,229₹,38,0
Gujarat,Bhavnagar,MaxusCinemaBhavnagar,Hindi,18:15,PremierPlus,179₹,272,4
Gujarat,Bhavnagar,MaxusCinemaBhavnagar,Hindi,18:15,Premium,179₹,44,0
UttarPradesh,Bulandshahr,SuncityCinemaBulandshahr,Hindi,19:20,Platinum,250₹,240,0
UttarPradesh,Bulandshahr,SuncityCinemaBulandshahr,Hindi,19:20,Gold,180₹,240,0
UttarPradesh,Ghaziabad,SilvercityMultiplexGhaziabad,Hindi,21:15,Platinum,150₹,39,16
UttarPradesh,Ghaziabad,SilvercityMultiplexGhaziabad,Hindi,21:15,Gold,100₹,268,36
Uttarakhand,Dehradun,SilvercityDehradun,Hindi,21:30,Silver,150₹,68,0
Uttarakhand,Dehradun,SilvercityDehradun,Hindi,21:30,Gold,200₹,137,4
Uttarakhand,Dehradun,SilvercityDehradun,Hindi,21:30,Platinum,250₹,15,3
