State,City,Name,Language,Time(IST),Type,Price,Capacity,Booked
Maharashtra,Mumbai,PvrIconOberoiGoregaonE,Japanese,09:00,Classic,130₹,22,0
Maharashtra,Mumbai,PvrIconOberoiGoregaonE,Japanese,09:00,Prime,160₹,96,15
Maharashtra,Mumbai,PvrIconOberoiGoregaonE,Japanese,09:00,Recliner,280₹,26,0
TamilNadu,Chennai,SpiEscapeCinemasRoyapettah,Japanese,09:20,Elite,211₹,99,84
TamilNadu,Chennai,SpiEscapeCinemasRoyapettah,Japanese,09:20,Budget,66₹,11,11
Karnataka,Bengaluru,InoxGarudaMallMagrathRoad,Japanese,09:25,Club,190₹,60,2
Karnataka,Bengaluru,InoxGarudaMallMagrathRoad,Japanese,09:25,Executive,180₹,90,0
Karnataka,Bengaluru,InoxGarudaMallMagrathRoad,Japanese,09:25,RoyaleRecliners,330₹,9,1
TamilNadu,Chennai,SpiPalazzoNexusVijayaMallVadapalaniChennai,Japanese,09:30,Elite,211₹,210,9
TamilNadu,Chennai,SpiPalazzoNexusVijayaMallVadapalaniChennai,Japanese,09:30,Budget,66₹,27,26
AndhraPradesh,Vizag,InoxVarunBeachMaharanipet,Japanese,09:30,Excutive,177₹,261,7
AndhraPradesh,Vizag,InoxVarunBeachMaharanipet,Japanese,09:30,Royal,295₹,11,0
Delhi,NewDelhi,CinepolisDlfAvenueSaket,Japanese,10:00,Normal,550₹,108,12
Delhi,NewDelhi,PvrVegas4DxDwarka,Japanese,10:00,Prime,750₹,24,0
Delhi,NewDelhi,PvrVegas4DxDwarka,Japanese,10:00,Classic,700₹,72,0
UttarPradesh,Lucknow,Pvr4DxSuperplexLulu,Japanese,10:00,Prime,300₹,112,13
UttarPradesh,Noida,PvrLogixCityCentre4DxNoida,Japanese,10:00,Classic,400₹,80,9
Delhi,NewDelhi,PvrPacificSubhashNagar4DxDelhi,Japanese,10:00,Prime,500₹,56,0
Delhi,NewDelhi,PvrPacificSubhashNagar4DxDelhi,Japanese,10:00,Classic,450₹,36,5
Delhi,NewDelhi,PvrVegas4DxDwarka,Japanese,10:00,Prime,450₹,24,0
Delhi,NewDelhi,PvrVegas4DxDwarka,Japanese,10:00,Classic,400₹,72,1
Haryana,Gurgaon,PvrMgfMall4DxGurgaon,Japanese,10:00,Classic,400₹,84,0
Haryana,Chandigarh,PvrElanteMallChandigarh,Japanese,10:00,Classic,400₹,140,0
Haryana,Chandigarh,Pvr4DxElanteChandigarh,Japanese,10:00,Classic,400₹,92,3
Delhi,NewDelhi,PvrSelectCityWalkSaket,Japanese,10:00,ClassicNormal,200₹,112,2
Delhi,NewDelhi,PvrSelectCityWalkSaket,Japanese,10:00,ClassicSuperior,250₹,47,0
Delhi,NewDelhi,PvrSelectCityWalkSaket,Japanese,10:00,ReclinersNormal,400₹,9,0
Gujarat,Surat,PvrRahulRaj4DxDumasRoad,Japanese,10:00,4DxPrime,350₹,60,9
Gujarat,Surat,PvrRahulRaj4DxDumasRoad,Japanese,10:00,4DxClassic,330₹,24,0
Delhi,NewDelhi,PvrPromenadeVasantKunj,Japanese,10:05,Classic,270₹,150,0
Delhi,NewDelhi,PvrPromenadeVasantKunj,Japanese,10:05,Prime,300₹,25,0
Kerala,Kochi,PvrLuluKochi,Japanese,10:10,Classic,110₹,39,0
Kerala,Kochi,PvrLuluKochi,Japanese,10:10,ClassicPlus,140₹,91,12
Kerala,Kochi,PvrLuluKochi,Japanese,10:10,Prime,160₹,68,25
Kerala,Kochi,PvrLuluKochi,Japanese,10:10,Recliner,300₹,10,1
Karnataka,Bengaluru,PvrVega4DxBannerghattaRoad,Japanese,10:35,Classic,280₹,108,0
Telangana,Hyderabad,InoxGvkOneBanjaraHills,Japanese,10:55,Executive,200₹,172,14
Telangana,Hyderabad,InoxGvkOneBanjaraHills,Japanese,10:55,Royal,350₹,12,1
Assam,Guwahati,PvrCityCentreGuwahati,Japanese,11:00,Classic,180₹,40,0
Assam,Guwahati,PvrCityCentreGuwahati,Japanese,11:00,Prime,190₹,82,21
Assam,Guwahati,PvrCityCentreGuwahati,Japanese,11:00,PrimePlus,220₹,13,3
Rajasthan,Jaipur,Pvr4DxMallOfJaipur,Japanese,11:00,4DxPrime,440₹,56,8
Rajasthan,Jaipur,Pvr4DxMallOfJaipur,Japanese,11:00,4DxClassic,420₹,16,0
Uttarakhand,Dehradun,PvrCentrioDehradun,Japanese,11:00,Classic,112₹,22,0
Uttarakhand,Dehradun,PvrCentrioDehradun,Japanese,11:00,ClassicPlus,130₹,55,1
Uttarakhand,Dehradun,PvrCentrioDehradun,Japanese,11:00,Prime,150₹,60,22
Uttarakhand,Dehradun,PvrCentrioDehradun,Japanese,11:00,Recliner,330₹,11,0
MadhyaPradesh,Indore,Pvr4DxTreasureIslandIndore,Japanese,11:00,4DxPrime,320₹,60,23
MadhyaPradesh,Indore,Pvr4DxTreasureIslandIndore,Japanese,11:00,4DxClassic,320₹,48,0
Haryana,Gurgaon,PvrDirectorsCutGurugramAmbienceMall,Japanese,11:00,Platinum,500₹,36,1
Haryana,Gurgaon,PvrDirectorsCutGurugramAmbienceMall,Japanese,11:00,PlatinumSuperior,500₹,7,2
Maharashtra,Mumbai,InoxMegaplexInorbitMall,Japanese,11:00,Club,250₹,16,0
Maharashtra,Mumbai,InoxMegaplexInorbitMall,Japanese,11:00,Royal,250₹,59,1
TamilNadu,Chennai,SpiSathyamCinemasRoyapettah,Japanese,11:05,Elite,211₹,164,6
TamilNadu,Chennai,SpiSathyamCinemasRoyapettah,Japanese,11:05,Budget,66₹,20,20
AndhraPradesh,Vizag,InoxVarunBeachMaharanipet,Japanese,11:15,Excutive,177₹,137,14
Karnataka,Bengaluru,Pvr4DxOrionMallDrRajkumarRoad,Japanese,11:15,Classic,280₹,88,5
Maharashtra,Pune,PvrMarketCity4DxVimanNagar,Japanese,11:15,4DxClassic,370₹,48,0
Maharashtra,Pune,PvrMarketCity4DxVimanNagar,Japanese,11:15,4DxPrime,420₹,72,12
Karnataka,Bengaluru,PvrPhoenixMarketcityMall4DxWhitefieldRoad,Japanese,11:25,Classic,280₹,94,9
Karnataka,Bengaluru,Pvr4DxNexusFormerlyForumKoramangala,Japanese,11:25,4DxClassic,330₹,90,5
Maharashtra,Mumbai,PvrMarketCity4DxKurlaW,Japanese,11:35,4DxPrime,420₹,84,16
Maharashtra,Mumbai,PvrMarketCity4DxKurlaW,Japanese,11:35,4DxClassic,370₹,60,0
Maharashtra,Mumbai,MetroInoxCinemaMGRoad,Japanese,11:55,Club,150₹,108,0
Maharashtra,Mumbai,MetroInoxCinemaMGRoad,Japanese,11:55,Executive,130₹,36,0
Maharashtra,Mumbai,MetroInoxCinemaMGRoad,Japanese,11:55,Royale,170₹,48,4
Telangana,Hyderabad,CinepolisDslVirtueMallUppal,Japanese,12:00,Normal,150₹,25,0
Telangana,Hyderabad,CinepolisDslVirtueMallUppal,Japanese,12:00,Executive,150₹,116,8
