State,City,Name,Language,Time(IST),Type,Price,Capacity,Booked
WestBengal,Kolkata,InoxCityCentreIiRajarhat,Bengali,12:20,ClubCl,150₹,229,2
WestBengal,Kolkata,InoxCityCentreIiRajarhat,Bengali,12:20,ExecutiveEx,150₹,42,0
WestBengal,Krishnanagar,SangeetaTalkiesKrishnanagar,Bengali,13:00,Balcony20,50₹,264,33
WestBengal,Krishnanagar,SangeetaTalkiesKrishnanagar,Bengali,13:00,FirstClass30,30₹,513,30
WestBengal,Kolkata,InoxCityCentreSaltlake,Bengali,13:10,DressCircleDc,250₹,140,3
WestBengal,Kolkata,InoxCityCentreSaltlake,Bengali,13:10,GalleriaGl,210₹,49,0
WestBengal,Kolkata,InoxCityCentreSaltlake,Bengali,13:10,RoyaleRy,300₹,30,0
WestBengal,Malda,RupkothaCinemaHallMalda,Bengali,13:30,SpecialAc1,150₹,82,35
WestBengal,Malda,RupkothaCinemaHallMalda,Bengali,13:30,DressCircle2,80₹,99,59
WestBengal,Kolkata,PvrDiamondPlazaJassore,Bengali,14:15,Classic0000000006,180₹,176,23
WestBengal,Kolkata,PvrDiamondPlazaJassore,Bengali,14:15,Prime0000000008,240₹,12,8
WestBengal,Kolkata,PvrDiamondPlazaJassore,Bengali,14:15,Recliner0000000009,460₹,14,0
WestBengal,Kolkata,InoxMetropolisMallHilandPark,Bengali,14:15,PremierPr,150₹,55,0
WestBengal,Kolkata,InoxMetropolisMallHilandPark,Bengali,14:15,RoyalRy,320₹,20,0
WestBengal,Kolkata,InoxMetropolisMallHilandPark,Bengali,14:15,SilverSl,150₹,195,7
WestBengal,Bakhrahat,UmaTalkiesBakhrahat,Bengali,15:00,Box1,200₹,46,24
WestBengal,Bakhrahat,UmaTalkiesBakhrahat,Bengali,15:00,Balcony2,100₹,102,82
WestBengal,Bakhrahat,UmaTalkiesBakhrahat,Bengali,15:00,SpecialClass3,100₹,80,80
WestBengal,Kolkata,PvrDiamondPlazaJassore,Bengali,15:00,Classic0000000006,150₹,154,0
WestBengal,Kolkata,PvrDiamondPlazaJassore,Bengali,15:00,Prime0000000008,210₹,12,0
WestBengal,Kolkata,PvrDiamondPlazaJassore,Bengali,15:00,Recliner0000000009,390₹,14,0
WestBengal,Kolkata,InoxSouthCityMall,Bengali,16:55,PremierPr,200₹,34,0
WestBengal,Kolkata,InoxSouthCityMall,Bengali,16:55,SilverSl,220₹,157,23
WestBengal,Kolkata,CinepolisLakeMallRashbehari,Bengali,17:25,Normal0000000000,150₹,22,0
WestBengal,Kolkata,CinepolisLakeMallRashbehari,Bengali,17:25,Executive0000000002,170₹,55,13
WestBengal,Kolkata,CinepolisLakeMallRashbehari,Bengali,17:25,Premium0000000001,190₹,22,7
WestBengal,Kolkata,PvrAvaniRiverSideMall,Bengali,17:40,Classic0000000005,210₹,200,16
WestBengal,Kolkata,PvrAvaniRiverSideMall,Bengali,17:40,Prime0000000007,330₹,11,0
WestBengal,Kolkata,MirajCinemasNewtownKolkata,Bengali,17:55,Special0000000005,130₹,56,0
WestBengal,Kolkata,MirajCinemasNewtownKolkata,Bengali,17:55,Executive0000000003,130₹,78,0
WestBengal,Kolkata,MirajCinemasNewtownKolkata,Bengali,17:55,Recliner0000000004,250₹,22,0
WestBengal,Kolkata,CinepolisAcropolisMallRajdangaRoad,Bengali,18:00,Normal0000000000,150₹,22,0
WestBengal,Kolkata,CinepolisAcropolisMallRajdangaRoad,Bengali,18:00,Executive0000000002,170₹,64,7
WestBengal,Kolkata,CinepolisAcropolisMallRajdangaRoad,Bengali,18:00,Premium0000000001,190₹,20,11
