City,Name,ZIP,Language,Time,Type,Price,Capacity,Booked
Kolkata,ChhabigharCinemaBaithakkhana,700009,Bengali,12:15,Balcony,100₹,144,84
Kolkata,ChhabigharCinemaBaithakkhana,700009,Bengali,12:15,RearStall,80₹,502,148
Kolkata,MinarCinemaACDolbyHatiBagan,700004,Bengali,12:30,Balcony,120₹,274,159
Kolkata,BijoliCinemaBhowanipore,700025,Bengali,12:30,Balcony,100₹,188,110
Kolkata,BijoliCinemaBhowanipore,700025,Bengali,12:30,RearStall,80₹,614,0
Kolkata,PvrAvaniRiverSideMall,711102,Bengali,14:00,Classic,210₹,200,12
Kolkata,PvrAvaniRiverSideMall,711102,Bengali,14:00,Prime,290₹,11,5
Kolkata,InoxCityCentreIiRajarhat,700157,Bengali,14:25,Club,220₹,229,43
Kolkata,InoxCityCentreIiRajarhat,700157,Bengali,14:25,Executive,200₹,42,4
Kolkata,PvrDiamondPlazaJassore,700055,Bengali,15:55,Classic,240₹,154,77
Kolkata,PvrDiamondPlazaJassore,700055,Bengali,15:55,Prime,290₹,12,10
Kolkata,PvrDiamondPlazaJassore,700055,Bengali,15:55,Recliner,460₹,14,2
Kolkata,InoxSouthCityMall,700068,Bengali,17:55,Premier,270₹,34,0
Kolkata,InoxSouthCityMall,700068,Bengali,17:55,Silver,300₹,156,119
Kolkata,InoxMetropolisMallHilandPark,700094,Bengali,19:15,Premier,200₹,29,0
Kolkata,InoxMetropolisMallHilandPark,700094,Bengali,19:15,Royal,400₹,18,4
Kolkata,InoxMetropolisMallHilandPark,700094,Bengali,19:15,Silver,220₹,140,71
Kolkata,CinepolisLakeMallRashbehari,700026,Bengali,19:20,Normal,210₹,22,0
Kolkata,CinepolisLakeMallRashbehari,700026,Bengali,19:20,Executive,230₹,52,26
Kolkata,CinepolisLakeMallRashbehari,700026,Bengali,19:20,Premium,250₹,22,22
Kolkata,PvrDiamondPlazaJassore,700055,Bengali,19:40,Classic,240₹,210,99
Kolkata,PvrDiamondPlazaJassore,700055,Bengali,19:40,Prime,290₹,11,10
Kolkata,PvrDiamondPlazaJassore,700055,Bengali,19:40,Recliner,460₹,12,11
Kolkata,InoxCityCentreSaltlake,700064,Bengali,20:35,DressCircle,240₹,158,43
Kolkata,InoxCityCentreSaltlake,700064,Bengali,20:35,Galleria,200₹,36,0
Kolkata,InoxCityCentreSaltlake,700064,Bengali,20:35,Royale,280₹,31,6
Kolkata,InoxSouthCityMall,700068,Bengali,21:30,Premier,270₹,32,0
Kolkata,InoxSouthCityMall,700068,Bengali,21:30,Rr,450₹,16,7
Kolkata,InoxSouthCityMall,700068,Bengali,21:30,Silver,290₹,151,57
Kolkata,CinepolisAcropolisMallRajdangaRoad,839200,Bengali,21:35,Normal,200₹,22,0
Kolkata,CinepolisAcropolisMallRajdangaRoad,839200,Bengali,21:35,Executive,220₹,64,30
Kolkata,CinepolisAcropolisMallRajdangaRoad,839200,Bengali,21:35,Premium,240₹,20,9
Kolkata,PvrDiamondPlazaJassore,700055,Bengali,21:55,Classic,230₹,189,0
Kolkata,PvrDiamondPlazaJassore,700055,Bengali,21:55,Prime,290₹,11,0
Kolkata,PvrDiamondPlazaJassore,700055,Bengali,21:55,Recliner,460₹,12,0
