City,Name,Language,Time,Type,Price,Capacity,Booked
Mumbai,MetroInoxCinemaMGRoad,English,09:15,Insignia,250₹,42,0
Mumbai,InoxLaserplexCr2NarimanPoint,English,09:30,Club,140₹,160,0
Mumbai,InoxLaserplexCr2NarimanPoint,English,09:30,Royale,160₹,82,2
Vadodara,PvrTransCubeVadodara,Hindi,10:00,Classic,140₹,39,0
Vadodara,PvrTransCubeVadodara,Hindi,10:00,Prime,140₹,90,17
Vadodara,PvrTransCubeVadodara,Hindi,10:00,Recliner,250₹,8,1
Ahmedabad,TimeCinemaCgRoad,English,10:10,Infinity900,900₹,12,0
Surat,TimeCinemaSuratGalaxyCircle,English,10:20,Sofa180,180₹,34,0
NewDelhi,PvrVegasDwarka,English,10:35,Prime,295₹,15,2
NewDelhi,PvrVegasDwarka,English,10:35,Classic,240₹,105,3
NewDelhi,PvrPromenadeVasantKunj,English,11:05,Classic,320₹,96,2
NewDelhi,PvrPromenadeVasantKunj,English,11:05,Prime,350₹,33,7
Chennai,SpiEscapeCinemasRoyapettah,English,12:15,Elite,211₹,99,21
Chennai,SpiEscapeCinemasRoyapettah,English,12:15,Budget,66₹,11,11
Mumbai,PvrMarketCity4DxKurlaW,English,13:30,4DxPrime,350₹,84,3
Mumbai,PvrMarketCity4DxKurlaW,English,13:30,4DxClassic,300₹,60,2
Chennai,SpiSathyamCinemasRoyapettah,English,15:55,Elite,168₹,102,27
Chennai,SpiSathyamCinemasRoyapettah,English,15:55,Budget,66₹,12,12
Chandigarh,Pvr4DxElanteChandigarh,English,17:30,Classic,368₹,108,36
Gurgaon,PvrAmbienceGoldGurgaon,English,19:35,PlatinumSuperior,900₹,16,13
Gurgaon,PvrAmbienceGoldGurgaon,English,19:35,Platinum,800₹,28,15
GreaterNoida,PvrGaurCityGreaterNoida,Hindi,20:20,Classic,185₹,92,0
GreaterNoida,PvrGaurCityGreaterNoida,Hindi,20:20,Prime,215₹,13,7
Chennai,PvrVrMallAnnaNagar,English,22:15,Classic,66₹,24,4
Chennai,PvrVrMallAnnaNagar,English,22:15,Prime,211₹,112,21
