State,City,Name,Language,Time(IST),Type,Price,Capacity,Booked
Maharashtra,NaviMumbai,CinepolisNexusSeawoodsNaviMumbai,Marathi,09:45,Normal,99₹,32,0
Maharashtra,NaviMumbai,CinepolisNexusSeawoodsNaviMumbai,Marathi,09:45,Executive,99₹,70,5
Maharashtra,NaviMumbai,CinepolisNexusSeawoodsNaviMumbai,Marathi,09:45,Premium,99₹,57,8
Maharashtra,NaviMumbai,CinepolisNexusSeawoodsNaviMumbai,Marathi,09:45,Vip,250₹,14,0
Maharashtra,Thane,CinepolisVivianaMallThaneW,Marathi,09:45,Normal,110₹,31,0
Maharashtra,Thane,CinepolisVivianaMallThaneW,Marathi,09:45,Executive,140₹,104,0
Maharashtra,Thane,CinepolisVivianaMallThaneW,Marathi,09:45,Premium,140₹,52,15
Maharashtra,Pune,CinepolisSeasonsMallHadapsar,Marathi,10:00,Normal,110₹,29,0
Maharashtra,Pune,CinepolisSeasonsMallHadapsar,Marathi,10:00,Executive,110₹,98,8
Maharashtra,Pune,CinepolisSeasonsMallHadapsar,Marathi,10:00,Premium,110₹,35,14
Maharashtra,Kalyan,Sm5Kalyan,Marathi,10:15,Platinum,90₹,111,0
Maharashtra,Kalyan,Sm5Kalyan,Marathi,10:15,Gold,90₹,88,0
Maharashtra,Pune,InoxBundGarden,Marathi,11:15,DressCircle,150₹,297,4
Maharashtra,Pune,InoxBundGarden,Marathi,11:15,Galleria,150₹,76,0
Maharashtra,Pune,PvrMarketCityVimanNagar,Marathi,11:30,Recliner,350₹,12,4
Maharashtra,Pune,PvrMarketCityVimanNagar,Marathi,11:30,PrimePlus,250₹,15,8
Maharashtra,Pune,PvrMarketCityVimanNagar,Marathi,11:30,Prime,150₹,129,49
Maharashtra,Pune,PvrMarketCityVimanNagar,Marathi,11:30,Classic,150₹,80,0
Maharashtra,Thane,InoxKorumMallThaneW,Marathi,12:15,Club,200₹,150,10
Maharashtra,Thane,InoxKorumMallThaneW,Marathi,12:15,Executive,180₹,75,0
Maharashtra,Thane,InoxKorumMallThaneW,Marathi,12:15,Royal,300₹,24,0
Maharashtra,Nagpur,CinepolisVrNagpurMall,Marathi,13:05,Vip,200₹,8,3
Maharashtra,Nagpur,CinepolisVrNagpurMall,Marathi,13:05,Premium,110₹,51,29
Maharashtra,Nagpur,CinepolisVrNagpurMall,Marathi,13:05,Executive,110₹,68,2
