State,City,Name,Language,Time(IST),Type,Price,Capacity,Booked
Haryana,Chandigarh,PvrElanteMallChandigarh,Hindi,09:55,Classic,130₹,138,2
Haryana,Chandigarh,PvrElanteMallChandigarh,Hindi,09:55,Recliner,300₹,13,0
Maharashtra,Thane,CinepolisVivianaMallThaneW,Hindi,10:00,Normal,120₹,24,0
Maharashtra,Thane,CinepolisVivianaMallThaneW,Hindi,10:00,Executive,140₹,72,0
Maharashtra,Thane,CinepolisVivianaMallThaneW,Hindi,10:00,Premium,160₹,12,12
Maharashtra,Pune,CinepolisSeasonsMallHadapsar,Hindi,10:10,Normal,110₹,23,0
Maharashtra,Pune,CinepolisSeasonsMallHadapsar,Hindi,10:10,Executive,110₹,52,0
Maharashtra,Pune,CinepolisSeasonsMallHadapsar,Hindi,10:10,Premium,110₹,40,2
Telangana,Hyderabad,CinepolisMantraMallUpparpally,Hindi,10:20,Normal,150₹,188,0
Telangana,Hyderabad,CinepolisMantraMallUpparpally,Hindi,10:20,Vip,250₹,12,0
Maharashtra,NaviMumbai,PvrOrionPanvel,Hindi,10:30,Classic,90₹,28,0
Maharashtra,NaviMumbai,PvrOrionPanvel,Hindi,10:30,Prime,110₹,115,17
Maharashtra,NaviMumbai,PvrOrionPanvel,Hindi,10:30,PrimePlus,140₹,34,0
Delhi,NewDelhi,PvrPacificSubhashNagarDelhi,Hindi,10:30,Classic,300₹,36,0
Delhi,NewDelhi,PvrPacificSubhashNagarDelhi,Hindi,10:30,Prime,330₹,111,0
Delhi,NewDelhi,PvrPacificSubhashNagarDelhi,Hindi,10:30,PrimePlus,330₹,42,1
Delhi,NewDelhi,PvrPacificSubhashNagarDelhi,Hindi,10:30,Recliner,450₹,20,0
Haryana,Gurgaon,PvrAmbienceGurgaon,Hindi,10:30,ClassicNormal,150₹,105,0
Haryana,Gurgaon,PvrAmbienceGurgaon,Hindi,10:30,Prime,150₹,38,0
Haryana,Gurgaon,CinepolisAiriaMallSohnaRoadGurgaon,Hindi,11:00,Vip,250₹,8,0
Haryana,Gurgaon,CinepolisAiriaMallSohnaRoadGurgaon,Hindi,11:00,Premium,110₹,22,0
Haryana,Gurgaon,CinepolisAiriaMallSohnaRoadGurgaon,Hindi,11:00,Executive,110₹,64,0
Haryana,Gurgaon,CinepolisAiriaMallSohnaRoadGurgaon,Hindi,11:00,Normal,110₹,31,0
Delhi,NewDelhi,M2KPitampura,Hindi,11:00,Gold,150₹,17,0
Delhi,NewDelhi,M2KPitampura,Hindi,11:00,Silver,130₹,151,0
UttarPradesh,Noida,CarnivalTgipNoida,Hindi,11:30,Gold,150₹,199,5
Maharashtra,Mumbai,FunCinemaKStarMallChemburE,Hindi,11:35,Normal,100₹,102,0
Maharashtra,Mumbai,FunCinemaKStarMallChemburE,Hindi,11:35,Executive,100₹,69,0
Maharashtra,Mumbai,FunCinemaKStarMallChemburE,Hindi,11:35,Premium,100₹,45,11
Gujarat,Rajkot,InoxRWorldRajkot,Hindi,11:50,Platinum,170₹,172,0
UttarPradesh,Lucknow,InoxMegaplexPhoenixPalassioMallLucknow,Hindi,12:00,Club,170₹,54,0
UttarPradesh,Lucknow,InoxMegaplexPhoenixPalassioMallLucknow,Hindi,12:00,Executive,130₹,20,0
UttarPradesh,Lucknow,InoxMegaplexPhoenixPalassioMallLucknow,Hindi,12:00,Royale,190₹,49,0
Maharashtra,Pune,PvrIconPavillionMallShivajinagar,Hindi,12:00,Classic,130₹,40,0
Maharashtra,Pune,PvrIconPavillionMallShivajinagar,Hindi,12:00,Prime,160₹,189,22
Maharashtra,Pune,PvrIconPavillionMallShivajinagar,Hindi,12:00,Recliner,460₹,14,0
Gujarat,Surat,CinepolisImperialSquareMallAdajan,Hindi,12:00,Normal,130₹,22,0
Gujarat,Surat,CinepolisImperialSquareMallAdajan,Hindi,12:00,Premium,150₹,33,0
Gujarat,Surat,CinepolisImperialSquareMallAdajan,Hindi,12:00,Executive,130₹,67,0
Gujarat,Ahmedabad,PvrMotera,Hindi,12:00,Classic,120₹,54,0
Gujarat,Ahmedabad,PvrMotera,Hindi,12:00,Prime,140₹,192,18
Gujarat,Ahmedabad,PvrMotera,Hindi,12:00,Recliner,265₹,23,1
Maharashtra,Mumbai,MovieTimeHubMallGoregaonE,Hindi,12:00,Gold,130₹,196,30
Delhi,NewDelhi,InoxPatelNagar,Hindi,12:00,Club,185₹,96,0
Delhi,NewDelhi,InoxPatelNagar,Hindi,12:00,Executive,156₹,105,2
Delhi,NewDelhi,InoxPatelNagar,Hindi,12:00,Royal,193₹,30,2
Assam,Guwahati,InoxAurusGuwahati,Hindi,12:05,Insignia,350₹,42,0
Punjab,Jalandhar,InoxJalandharRelianceMall,Hindi,12:05,Club,170₹,140,0
Punjab,Jalandhar,InoxJalandharRelianceMall,Hindi,12:05,Executive,150₹,53,0
Punjab,Jalandhar,InoxJalandharRelianceMall,Hindi,12:05,RoyaleRecliners,400₹,37,0
Punjab,Jalandhar,InoxJalandharRelianceMall,Hindi,12:05,Royale,270₹,40,0
Delhi,NewDelhi,PvrSelectCityWalkSaket,Hindi,12:05,ClassicNormal,150₹,90,0
Delhi,NewDelhi,PvrSelectCityWalkSaket,Hindi,12:05,ClassicSuperior,150₹,34,3
Delhi,NewDelhi,PvrSelectCityWalkSaket,Hindi,12:05,ReclinersNormal,400₹,10,0
Delhi,NewDelhi,CinepolisDlfAvenueSaket,Hindi,12:20,Normal,200₹,42,0
Delhi,NewDelhi,CinepolisDlfAvenueSaket,Hindi,12:20,Executive,200₹,56,0
Delhi,NewDelhi,CinepolisDlfAvenueSaket,Hindi,12:20,Vip,400₹,10,0
Delhi,NewDelhi,CinepolisDlfAvenueSaket,Hindi,12:20,Premium,200₹,45,2
Punjab,Mohali,PvrVrPunjabMallMohali,Hindi,12:25,Classic,180₹,84,0
Punjab,Mohali,PvrVrPunjabMallMohali,Hindi,12:25,Prime,210₹,38,0
Delhi,NewDelhi,InoxNehruPlace,Hindi,12:25,Club,200₹,87,0
Delhi,NewDelhi,InoxNehruPlace,Hindi,12:25,Executive,200₹,84,0
Delhi,NewDelhi,InoxNehruPlace,Hindi,12:25,RoyaleRecliner,500₹,18,0
Delhi,NewDelhi,InoxNehruPlace,Hindi,12:25,Royal,200₹,26,0
Haryana,Gurgaon,InoxWorldMarkGurugram,Hindi,12:30,Club,180₹,65,0
Haryana,Gurgaon,InoxWorldMarkGurugram,Hindi,12:30,Executive,160₹,26,0
Haryana,Gurgaon,InoxWorldMarkGurugram,Hindi,12:30,RoyalRecliner,400₹,8,0
Haryana,Gurgaon,InoxWorldMarkGurugram,Hindi,12:30,Royal,230₹,35,0
Karnataka,Bengaluru,InoxMantriSquareMalleshwaram,Hindi,12:35,Club,160₹,295,2
Karnataka,Bengaluru,InoxMantriSquareMalleshwaram,Hindi,12:35,Royal,300₹,9,2
Rajasthan,Udaipur,InoxLakeCityMallAshokNagar,Hindi,12:45,Club,130₹,180,0
Rajasthan,Udaipur,InoxLakeCityMallAshokNagar,Hindi,12:45,Executive,112₹,27,2
Bihar,Patna,CinepolisPMMallPatna,Hindi,12:55,Normal,180₹,172,2
UttarPradesh,Kanpur,InoxZSquareMallBadaChauraha,Hindi,12:55,RoyalRecliner,350₹,16,0
UttarPradesh,Kanpur,InoxZSquareMallBadaChauraha,Hindi,12:55,Royal,190₹,52,0
UttarPradesh,Kanpur,InoxZSquareMallBadaChauraha,Hindi,12:55,Club,170₹,178,2
UttarPradesh,Kanpur,InoxZSquareMallBadaChauraha,Hindi,12:55,Executive,150₹,34,0
WestBengal,Kolkata,InoxCityCentreIiRajarhat,Hindi,13:00,Club,140₹,229,0
WestBengal,Kolkata,InoxCityCentreIiRajarhat,Hindi,13:00,Executive,140₹,42,0
Karnataka,Bengaluru,CinepolisEtaNammaMallBinnyPete,Hindi,13:00,Normal,130₹,10,0
Karnataka,Bengaluru,CinepolisEtaNammaMallBinnyPete,Hindi,13:00,Executive,130₹,82,0
Karnataka,Bengaluru,CinepolisEtaNammaMallBinnyPete,Hindi,13:00,Premium,130₹,47,2
Maharashtra,Mumbai,InoxLaserplexCr2NarimanPoint,Hindi,13:00,Club,250₹,128,4
Maharashtra,Mumbai,InoxLaserplexCr2NarimanPoint,Hindi,13:00,Royale,270₹,100,0
Maharashtra,Thane,CinepolisVipVivianaMallThaneW,Hindi,13:00,Vip,500₹,73,7
Karnataka,Bengaluru,PvrGoldOrionMallDrRajkumarRoad,Hindi,13:05,Gold,300₹,36,0
Karnataka,Bengaluru,PvrGoldOrionMallDrRajkumarRoad,Hindi,13:05,GoldPrime,350₹,8,1
Delhi,NewDelhi,PvrVegasLuxeDwarka,Hindi,13:10,LuxePrimePlus,500₹,6,2
Delhi,NewDelhi,PvrVegasLuxeDwarka,Hindi,13:10,LuxePrime,400₹,24,2
Uttarakhand,Dehradun,SilvercityDehradun,Hindi,13:20,Silver,75₹,60,0
Uttarakhand,Dehradun,SilvercityDehradun,Hindi,13:20,Gold,100₹,119,0
Uttarakhand,Dehradun,SilvercityDehradun,Hindi,13:20,Recliner,350₹,15,0
Maharashtra,Mumbai,InoxRaghuleelaMegaMallKandivaliW,Hindi,13:20,Gold,150₹,140,4
Maharashtra,Mumbai,InoxRaghuleelaMegaMallKandivaliW,Hindi,13:20,Premiere,150₹,82,0
Gujarat,Vadodara,CinepolisInorbitMallGorwa,Hindi,13:20,Normal,150₹,24,0
Gujarat,Vadodara,CinepolisInorbitMallGorwa,Hindi,13:20,Executive,150₹,81,0
Gujarat,Vadodara,CinepolisInorbitMallGorwa,Hindi,13:20,Premium,150₹,29,0
Delhi,NewDelhi,PvrSaketDelhi,Hindi,13:20,Classic,150₹,52,0
Delhi,NewDelhi,PvrSaketDelhi,Hindi,13:20,Prime,180₹,41,18
Maharashtra,Mumbai,PvrXperiaPalavaDombivaliE,Hindi,13:30,Classic,130₹,36,0
